rb_date,nav,period_ret,year
2015-06-12,1.0,,N/A
2015-09-14,1.0,,N/A
2015-12-14,1.0,,N/A
2016-03-14,1.0,,N/A
2016-06-13,1.0,,N/A
2016-09-12,1.0,,N/A
2016-12-12,1.0,,N/A
2017-03-13,1.0,,N/A
2017-06-12,1.0,,N/A
2017-09-11,1.0,,N/A
2017-12-11,1.0,,N/A
2018-03-12,1.0,,N/A
2018-06-11,1.0,,N/A
2018-09-14,1.0,,N/A
2018-12-17,1.0,,N/A
2019-03-11,1.0,,N/A
2019-06-14,1.0,,N/A
2019-09-16,1.0,,N/A
2019-12-16,1.0,,N/A
2020-03-13,1.0,,N/A
2020-06-15,1.0,,N/A
2020-09-14,1.0,,N/A
2020-12-14,1.0,,N/A
2021-03-15,1.0,,N/A
2021-06-11,1.0,,N/A
2021-09-13,1.0,,N/A
2021-12-13,1.0,,N/A
2022-03-14,1.0,,N/A
2022-06-13,1.0,,N/A
2022-09-12,1.0,,N/A
2022-12-12,1.0,,N/A
2023-03-13,1.0,,N/A
2023-06-12,1.0,,N/A
2023-09-11,1.0,,N/A
2023-12-11,1.0,,N/A
2024-03-11,1.0,,N/A
2024-06-17,1.0,,N/A
2024-09-16,1.0,,N/A
2024-12-16,0.9599309192081461,-0.040069080791853944,N/A
2025-03-17,0.914786594471916,-0.04702872241418165,N/A
2025-06-16,1.0306973298370017,0.12670795141242552,N/A
2025-09-15,1.0748788053929446,0.04286561561475055,N/A
2025-12-15,1.2348734935588164,0.1488490491794397,N/A
2026-03-16,1.1272596132279722,-0.08714567191875555,N/A
