rb_date,next_rb,ret,nav
2016-06-13,2016-09-12,0.088375,1.088375
2016-09-12,2016-12-12,0.059468,1.1530984845
2016-12-12,2017-03-13,0.063484,1.2263017886899983
2017-03-13,2017-06-12,0.172403,1.4377198959655202
2017-06-12,2017-09-11,0.035287,1.4884527179344555
2017-09-11,2017-12-11,0.115443,1.6602841650509628
2017-12-11,2018-03-12,0.036722,1.7212531201599641
2018-03-12,2018-06-11,-0.039471,1.6533135382541302
2018-06-11,2018-09-17,-0.069033,1.5391803447678327
2018-09-17,2018-12-17,0.0082944144256085,1.5519469444230882
2018-12-17,2019-03-11,0.146201,1.7788431396446882
2019-03-11,2019-06-17,-0.03604,1.7147336328918936
2019-06-17,2019-09-16,0.0544080539308505,1.808028952867319
2019-09-16,2019-12-16,-0.003633,1.8014603836815521
2019-12-16,2020-03-16,-0.072228,1.671344503089001
2020-03-16,2020-06-15,0.0051631770584855,1.679973950684176
2020-06-15,2020-09-14,0.161863,1.9518995742637688
2020-09-14,2020-12-14,-0.005631,1.9409084277610895
2020-12-14,2021-03-15,0.096039,2.1273113322548367
2021-03-15,2021-06-14,0.004235,2.136320495746936
2021-06-14,2021-09-13,0.2157864541080937,2.5973095203626118
2021-09-13,2021-12-13,-0.084668,2.3774005178925504
2021-12-13,2022-03-14,-0.043358,2.2743211862377652
2022-03-14,2022-06-13,0.090284,2.479656000216056
2022-06-13,2022-09-12,0.010748,2.506307342906378
2022-09-12,2022-12-12,-0.005895,2.491532661119945
2022-12-12,2023-03-13,0.103911,2.7504303114695796
2023-03-13,2023-06-12,-0.048801,2.6162065618395527
2023-06-12,2023-09-11,0.068147,2.7944931904092325
2023-09-11,2023-12-11,0.003625,2.804623228224466
2023-12-11,2024-03-11,0.204237,3.377431062487346
2024-03-11,2024-06-17,0.020165,3.4455369598624035
2024-06-17,2024-09-16,-0.126207,3.010686076769049
2024-09-16,2024-12-16,0.211219,3.646600179218131
2024-12-16,2025-03-17,-0.0400690807918539,3.5004842620214505
2025-03-17,2025-06-16,-0.0470287224141816,3.3358609593476323
2025-06-16,2025-09-15,0.1267079514124255,3.7585410677032587
2025-09-15,2025-12-15,0.0428656156147505,3.9196532443836802
2025-12-15,2026-03-16,0.1488490491794397,4.503089902923297
2026-03-16,2026-06-04,-0.0871456719187555,4.1106651076224825
