ts_code,trade_date,open,high,low,close,vol
932366.CSI,20260604,3393.1255,3396.6139,3358.4021,3365.1047,57479162.0
932366.CSI,20260603,3404.597,3415.3108,3384.1913,3411.2561,59907629.14
932366.CSI,20260602,3396.6365,3409.0297,3379.5587,3405.4587,46482660.14
932366.CSI,20260601,3375.9079,3403.321,3369.059,3394.584,47366313.21
932366.CSI,20260529,3360.7576,3393.6878,3353.1922,3383.4348,52231975.88
932366.CSI,20260528,3364.9601,3373.5347,3344.5472,3358.0966,43150716.33
932366.CSI,20260527,3407.2911,3414.2295,3351.6684,3381.081,56182057.82
932366.CSI,20260526,3381.606,3416.783,3379.7163,3415.1612,59786042.65
932366.CSI,20260525,3394.2473,3414.9029,3376.1268,3388.2984,45711451.89
932366.CSI,20260522,3422.9604,3424.4794,3387.5996,3405.1439,54733533.42
932366.CSI,20260521,3483.5834,3496.9104,3417.6123,3419.3213,66073507.49
932366.CSI,20260520,3503.5491,3503.5491,3479.6927,3489.8947,44807476.78
932366.CSI,20260519,3500.893,3532.4084,3493.5791,3522.9499,51437245.65
932366.CSI,20260518,3513.756,3516.7025,3483.1148,3506.967,50824563.63
932366.CSI,20260515,3515.8247,3537.1875,3496.2253,3507.3108,49408346.43
932366.CSI,20260514,3536.1798,3546.6848,3516.0932,3520.7354,45342999.36
932366.CSI,20260513,3521.9403,3538.4478,3521.2783,3535.422,46056733.66
932366.CSI,20260512,3543.3226,3547.9788,3517.8039,3522.0844,47249005.35
932366.CSI,20260511,3524.9577,3543.1278,3516.1231,3537.1746,55791798.34
932366.CSI,20260508,3524.0289,3525.061,3501.9147,3515.4959,40382227.31
932366.CSI,20260507,3561.1177,3568.3769,3520.188,3526.7542,47393403.75
932366.CSI,20260506,3576.2636,3576.2636,3547.5142,3574.621,49856920.23
932366.CSI,20260430,3603.0858,3613.9453,3583.4359,3583.7372,46789401.38
932366.CSI,20260429,3560.1167,3599.5143,3560.0054,3596.3417,43123086.05
932366.CSI,20260428,3518.6732,3555.9224,3518.2256,3555.2423,40766218.61
932366.CSI,20260427,3519.8835,3536.3655,3515.2672,3526.5943,33281418.39
932366.CSI,20260424,3519.3161,3531.1163,3510.5702,3526.9071,34281938.82
932366.CSI,20260423,3518.8936,3536.0959,3506.7139,3530.3815,40528677.1
932366.CSI,20260422,3517.7579,3522.6879,3500.4714,3509.2746,33940914.44
932366.CSI,20260421,3502.4509,3524.2035,3500.2437,3522.6664,31638743.5
932366.CSI,20260420,3506.7446,3511.6299,3496.3498,3501.5414,36208945.72
932366.CSI,20260417,3527.726,3527.726,3502.8639,3509.2285,31989172.11
932366.CSI,20260416,3522.2821,3535.1701,3516.3117,3533.4736,35974342.2
932366.CSI,20260415,3533.3356,3534.5916,3519.4618,3523.1828,36211831.09
932366.CSI,20260414,3538.2416,3540.5776,3519.4433,3537.9086,36322213.68
932366.CSI,20260413,3529.9697,3534.3795,3511.3587,3534.2739,32620111.17
932366.CSI,20260410,3530.5001,3541.9124,3523.6095,3533.3367,33605927.63
932366.CSI,20260409,3511.993,3525.2416,3504.1318,3524.021,34040794.85
932366.CSI,20260408,3483.1286,3529.242,3483.1286,3527.4399,47766714.27
932366.CSI,20260407,3495.1948,3507.4667,3478.9001,3506.4117,27559602.46
932366.CSI,20260403,3525.6367,3526.1256,3482.1024,3494.3639,27120164.48
932366.CSI,20260402,3531.9584,3539.61,3508.0309,3524.7023,34751525.04
932366.CSI,20260401,3525.5677,3548.1479,3519.5954,3523.9654,36746702.2
932366.CSI,20260331,3538.6496,3567.9114,3509.701,3509.701,41006480.38
932366.CSI,20260330,3523.5425,3533.1606,3500.4064,3530.328,45667053.77
932366.CSI,20260327,3477.787,3526.1249,3477.1015,3524.0208,35937974.59
932366.CSI,20260326,3522.3731,3538.4182,3504.6784,3509.9857,35404068.6
932366.CSI,20260325,3501.8203,3525.1859,3494.556,3523.4561,41641865.91
932366.CSI,20260324,3497.8071,3516.9035,3468.6309,3516.6879,42027974.87
932366.CSI,20260323,3551.0836,3551.0836,3483.3583,3494.16,57811743.47
932366.CSI,20260320,3590.9842,3620.5409,3580.7494,3586.013,45811228.99
932366.CSI,20260319,3627.1154,3649.0918,3608.0802,3623.5245,48939218.08
932366.CSI,20260318,3641.992,3642.9328,3592.283,3631.6682,38810918.76
932366.CSI,20260317,3663.9352,3692.8277,3647.3771,3648.5841,43890143.48
932366.CSI,20260316,3706.3071,3714.5216,3665.2701,3669.4034,53170881.52
932366.CSI,20260313,3739.1031,3753.569,3695.1311,3706.0459,57937239.12
932366.CSI,20260312,3734.1498,3751.0029,3702.1086,3741.2536,56540109.62
932366.CSI,20260311,3661.2125,3721.7263,3650.1874,3717.7311,50932134.0
932366.CSI,20260310,3646.8886,3693.9659,3646.8886,3676.0707,49723551.35
932366.CSI,20260309,3753.0841,3760.7078,3701.1305,3723.3936,69223167.27
932366.CSI,20260306,3652.6828,3690.0483,3637.2049,3686.005,53059958.6
932366.CSI,20260305,3690.1169,3728.531,3652.3408,3691.9024,63526448.07
932366.CSI,20260304,3720.081,3720.4839,3599.5553,3693.095,71216103.36
932366.CSI,20260303,3703.6596,3760.67,3696.0337,3719.979,81610544.12
932366.CSI,20260302,3640.0549,3673.3138,3594.6996,3670.3557,78212982.64
932366.CSI,20260227,3539.0413,3576.9888,3537.2841,3569.1244,49313706.14
932366.CSI,20260226,3564.3876,3573.317,3537.771,3550.1576,41419043.84
932366.CSI,20260225,3571.055,3613.1362,3551.3364,3566.3953,53817145.72
932366.CSI,20260224,3525.8529,3566.4405,3524.0323,3563.4708,45225577.03
932366.CSI,20260213,3500.2421,3500.974,3454.5141,3460.6889,39126275.94
932366.CSI,20260212,3530.6811,3555.0357,3520.079,3539.5256,36997716.35
932366.CSI,20260211,3498.5658,3533.4656,3498.2193,3527.0087,36340082.09
932366.CSI,20260210,3497.6032,3508.2106,3486.5618,3502.681,34168071.2
932366.CSI,20260209,3486.9023,3492.5409,3475.8752,3491.9623,36788460.51
932366.CSI,20260206,3414.7292,3483.0557,3414.7292,3466.257,42873210.6
932366.CSI,20260205,3481.7656,3496.9801,3437.0821,3465.5155,49608199.1
932366.CSI,20260204,3462.8478,3498.7321,3455.5057,3495.4345,52481926.38
932366.CSI,20260203,3416.9135,3442.0168,3383.2196,3441.1274,58972597.01
932366.CSI,20260202,3439.4537,3478.9174,3392.7854,3395.8532,78989625.54
932366.CSI,20260130,3552.6951,3581.6149,3474.6401,3522.1678,74853588.11
932366.CSI,20260129,3574.7467,3590.8823,3511.6194,3587.3383,92258965.8
932366.CSI,20260128,3493.3327,3565.8459,3471.477,3544.0255,85376609.89
932366.CSI,20260127,3488.5702,3518.9814,3464.7545,3470.8089,65064319.71
932366.CSI,20260126,3454.0034,3518.2607,3451.4299,3493.5096,79166369.39
932366.CSI,20260123,3450.1734,3456.4276,3415.7312,3428.3789,65252658.86
932366.CSI,20260122,3432.9049,3470.0192,3432.488,3442.9806,51596548.51
932366.CSI,20260121,3428.186,3442.4913,3410.0084,3426.9863,56781898.81
932366.CSI,20260120,3403.3317,3431.5301,3386.7016,3426.7234,59080357.48
932366.CSI,20260119,3367.8696,3410.5307,3367.4919,3399.7031,55142603.65
932366.CSI,20260116,3413.2349,3428.0015,3354.7631,3370.6099,65514269.51
932366.CSI,20260115,3389.6508,3435.6904,3387.9359,3402.8176,55156560.48
932366.CSI,20260114,3420.2769,3450.627,3396.2253,3399.1631,81349721.09
932366.CSI,20260113,3398.0977,3433.8016,3394.9629,3409.7164,60018802.83
932366.CSI,20260112,3400.4632,3401.2437,3375.9381,3391.9377,57888042.66
932366.CSI,20260109,3364.5185,3394.697,3364.5185,3387.1768,52931278.08
932366.CSI,20260108,3362.0057,3366.6551,3343.9718,3356.5197,46841118.05
932366.CSI,20260107,3407.1498,3407.1498,3359.8027,3370.7245,55923739.73
932366.CSI,20260106,3351.3877,3415.5826,3345.1493,3415.5826,64469794.42
932366.CSI,20260105,3364.6981,3365.7386,3324.6078,3343.7154,47093366.71
932366.CSI,20251231,3332.6935,3350.8403,3328.2135,3341.7289,34114029.0
932366.CSI,20251230,3284.4032,3340.8017,3284.2981,3330.4785,37193280.15
932366.CSI,20251229,3309.4664,3329.482,3296.9927,3300.8962,42774575.47
932366.CSI,20251226,3280.0578,3311.6954,3280.0578,3305.9694,36390229.01
932366.CSI,20251225,3273.9747,3284.4462,3268.9072,3278.5375,23424966.05
932366.CSI,20251224,3285.5886,3287.3094,3260.6,3282.8674,28982116.04
932366.CSI,20251223,3289.9537,3304.8829,3278.032,3286.9132,32122426.95
932366.CSI,20251222,3292.194,3295.2538,3279.8674,3285.8955,34244090.33
932366.CSI,20251219,3268.4796,3291.6281,3258.4022,3281.2067,31980254.65
932366.CSI,20251218,3262.1831,3278.6344,3257.8707,3271.2396,27128801.03
932366.CSI,20251217,3236.5283,3276.5338,3229.3349,3266.0261,33690371.08
932366.CSI,20251216,3252.2163,3254.5955,3220.4712,3237.7357,32220147.1
932366.CSI,20251215,3251.391,3280.6701,3249.3589,3258.3054,31456935.99
932366.CSI,20251212,3259.7923,3268.7104,3243.9399,3263.484,35266323.85
932366.CSI,20251211,3269.0201,3288.88,3247.5172,3254.0012,26060673.31
932366.CSI,20251210,3255.6453,3263.9263,3242.4556,3260.5658,23772790.41
932366.CSI,20251209,3297.1639,3298.8807,3256.5181,3261.6209,30997861.33
932366.CSI,20251208,3329.2374,3330.119,3293.6264,3305.2172,31263585.53
932366.CSI,20251205,3312.4234,3332.5044,3304.3003,3326.2077,34062594.27
932366.CSI,20251204,3318.3841,3332.9169,3302.7732,3311.1538,26444144.39
932366.CSI,20251203,3301.6804,3324.8835,3297.117,3308.4683,31373139.35
932366.CSI,20251202,3304.8973,3320.6519,3296.6261,3305.7686,21497477.83
932366.CSI,20251201,3278.1246,3307.5272,3276.4681,3307.3664,32272276.75
932366.CSI,20251128,3261.9645,3268.2492,3248.9444,3266.7773,19641140.83
932366.CSI,20251127,3261.9108,3276.4749,3250.3736,3264.6828,22361240.03
932366.CSI,20251126,3264.7155,3276.8559,3253.6223,3259.0441,24155689.53
932366.CSI,20251125,3265.7763,3270.4334,3248.3888,3263.5933,26470782.16
932366.CSI,20251124,3280.8919,3288.1589,3240.9032,3253.0391,30698143.3
932366.CSI,20251121,3295.0433,3309.8627,3269.7017,3271.8905,35785752.77
932366.CSI,20251120,3333.0907,3354.5785,3313.0948,3315.446,25644329.27
932366.CSI,20251119,3299.2983,3346.9675,3299.2389,3336.1546,28898151.47
932366.CSI,20251118,3317.6953,3326.6224,3283.9352,3297.3539,31506789.08
932366.CSI,20251117,3336.7156,3339.5602,3308.3558,3325.8634,32593509.0
932366.CSI,20251114,3376.3816,3398.0008,3353.8578,3353.8578,29346335.29
932366.CSI,20251113,3356.568,3395.2233,3354.5017,3393.7254,39375606.58
932366.CSI,20251112,3351.9769,3384.3927,3350.7679,3367.5732,38440217.61
932366.CSI,20251111,3364.9285,3364.9285,3330.3099,3346.9623,31515410.76
932366.CSI,20251110,3332.1395,3367.4643,3325.0238,3362.1218,46317081.07
932366.CSI,20251107,3307.7129,3334.8564,3305.9581,3327.9032,40717610.38
932366.CSI,20251106,3265.4125,3316.5524,3265.4125,3310.7822,37769718.82
932366.CSI,20251105,3232.7774,3272.4855,3224.0872,3263.7947,28751081.21
932366.CSI,20251104,3279.3193,3289.0047,3244.8361,3257.8917,32341830.13
932366.CSI,20251103,3253.0639,3287.0047,3250.5567,3286.9736,37994136.45
932366.CSI,20251031,3265.9211,3274.6064,3246.3915,3251.0107,41807487.78
932366.CSI,20251030,3260.8174,3298.9446,3259.0986,3264.0229,47160226.62
932366.CSI,20251029,3230.8881,3260.5764,3224.8888,3259.5061,37524103.05
932366.CSI,20251028,3253.4608,3257.7249,3227.5888,3231.292,31363337.22
932366.CSI,20251027,3235.0141,3259.5091,3224.529,3256.2439,39096408.5
932366.CSI,20251024,3230.1002,3243.4119,3213.5594,3225.4419,31087575.57
932366.CSI,20251023,3193.6812,3230.8636,3184.561,3228.1339,31772564.5
932366.CSI,20251022,3166.6783,3196.9489,3166.3254,3193.6828,28595730.86
932366.CSI,20251021,3169.9118,3189.4813,3156.7345,3180.0976,30018958.16
932366.CSI,20251020,3158.7034,3165.8378,3143.0195,3163.0295,29060216.34
932366.CSI,20251017,3182.6219,3196.1339,3145.5271,3149.2848,35990695.21
932366.CSI,20251016,3186.3004,3202.8744,3179.2431,3192.5984,33653477.59
932366.CSI,20251015,3177.0979,3192.7861,3159.641,3190.8199,37037593.95
932366.CSI,20251014,3192.4879,3210.5316,3166.5316,3175.6296,49981257.56
932366.CSI,20251013,3124.3182,3179.985,3124.127,3173.9281,44718534.97
932366.CSI,20251010,3189.4675,3221.859,3183.7964,3193.4105,44747232.76
932366.CSI,20251009,3150.7839,3209.237,3145.3186,3209.2248,55222166.48
932366.CSI,20250930,3138.013,3150.6431,3129.0585,3148.3169,36071701.12
932366.CSI,20250929,3124.2142,3152.8996,3103.4597,3143.5878,40324173.55
932366.CSI,20250926,3119.1441,3136.6539,3117.3027,3118.7657,31652150.52
932366.CSI,20250925,3120.6025,3134.0149,3109.6929,3123.4443,34747232.71
932366.CSI,20250924,3093.2892,3117.8507,3087.9461,3116.7235,28626148.22
932366.CSI,20250923,3094.7538,3115.0836,3068.6268,3095.815,31431715.95
932366.CSI,20250922,3125.4145,3126.2643,3086.5254,3098.3523,28270829.42
932366.CSI,20250919,3101.9223,3129.7999,3098.3774,3122.3555,31387766.91
932366.CSI,20250918,3161.4152,3161.8788,3088.1944,3105.8943,45561806.15
932366.CSI,20250917,3148.1288,3172.2793,3137.3355,3168.0248,33046768.62
932366.CSI,20250916,3181.2723,3184.3143,3137.891,3154.6536,37263799.53
932366.CSI,20250915,3176.1843,3191.6658,3167.8287,3178.4752,32863466.44
932366.CSI,20250912,3174.1266,3185.6695,3157.8235,3161.7958,39324502.05
932366.CSI,20250911,3134.1105,3168.9434,3133.3158,3168.8133,33134577.54
932366.CSI,20250910,3138.0784,3147.3707,3121.168,3137.8574,25926235.51
932366.CSI,20250909,3155.2733,3170.6562,3130.6049,3145.2928,31136564.5
932366.CSI,20250908,3148.3215,3171.1872,3144.486,3158.8742,37910917.05
932366.CSI,20250905,3087.6774,3142.5005,3087.5006,3140.6237,33764849.17
932366.CSI,20250904,3140.0681,3140.9026,3066.7431,3098.0954,44230863.21
932366.CSI,20250903,3169.2565,3184.6921,3126.9971,3147.3546,35539117.95
932366.CSI,20250902,3141.2503,3168.0261,3129.8148,3158.2861,43133968.35
932366.CSI,20250901,3137.9346,3146.9638,3115.3686,3136.802,45819826.53
932366.CSI,20250829,3105.3699,3147.4407,3104.7422,3131.2371,50855329.54
932366.CSI,20250828,3094.2138,3111.6156,3066.7269,3109.5553,35305515.51
932366.CSI,20250827,3155.469,3157.9224,3098.0823,3098.682,37874931.65
932366.CSI,20250826,3143.5772,3170.3591,3129.5973,3157.8691,32162601.28
932366.CSI,20250825,3098.9524,3148.5292,3098.1843,3148.5292,40021687.51
932366.CSI,20250822,3074.5185,3085.3762,3062.2231,3085.0595,27589472.71
932366.CSI,20250821,3058.1769,3081.2693,3051.369,3073.9271,30101815.3
932366.CSI,20250820,3022.5724,3054.4939,3011.869,3053.372,29409288.04
932366.CSI,20250819,3052.754,3060.628,3023.8176,3026.9252,32229173.96
932366.CSI,20250818,3068.9464,3069.3551,3045.99,3047.5764,40050586.06
932366.CSI,20250815,3042.4311,3063.5881,3035.6166,3053.8562,28054829.45
932366.CSI,20250814,3056.3512,3074.1763,3046.4105,3047.0423,25866865.17
932366.CSI,20250813,3042.849,3055.9021,3039.9241,3053.4732,26661535.31
932366.CSI,20250812,3026.004,3052.6043,3023.0668,3036.3081,21593874.5
932366.CSI,20250811,3039.2643,3040.6179,3020.4137,3024.3622,24511535.13
932366.CSI,20250808,3014.4237,3046.1834,3012.7139,3037.2532,23093335.61
932366.CSI,20250807,3013.1996,3016.9193,2996.6431,3015.2348,21730373.78
932366.CSI,20250806,2998.5607,3014.6914,2997.0433,3013.7807,20464267.36
932366.CSI,20250805,2985.1944,3003.3343,2980.501,3001.5876,19824271.94
932366.CSI,20250804,2963.1287,2980.7703,2959.9766,2980.7025,19186389.88
932366.CSI,20250801,2990.4649,2999.8551,2966.4229,2972.4005,20380280.76
932366.CSI,20250731,3046.9746,3046.9746,2987.1344,2994.2841,30643925.4
932366.CSI,20250730,3048.4681,3073.5677,3042.193,3055.4439,27256860.24
932366.CSI,20250729,3031.4445,3043.6318,3024.1453,3043.1063,25481564.57
932366.CSI,20250728,3046.2422,3046.6131,3023.1847,3030.9934,26626337.6
932366.CSI,20250725,3077.7342,3082.323,3048.2391,3051.251,28642798.08
932366.CSI,20250724,3080.586,3087.3856,3065.1673,3084.5282,31222560.01
932366.CSI,20250723,3110.1931,3112.2424,3078.9687,3081.7462,34960223.87
932366.CSI,20250722,3040.3437,3098.8395,3035.6654,3098.7159,41499722.33
932366.CSI,20250721,3014.593,3039.2215,3013.9819,3038.5552,32616514.78
932366.CSI,20250718,2987.8955,3006.6952,2984.388,3002.8347,21642554.98
932366.CSI,20250717,2985.5834,2991.2149,2977.3692,2982.6457,19014664.37
932366.CSI,20250716,2991.1725,2995.2245,2979.3129,2985.8071,16566480.19
932366.CSI,20250715,2996.7128,3004.7611,2976.1259,2990.516,22078278.15
932366.CSI,20250714,2987.8495,3006.2912,2987.8495,2997.4573,23752838.34
932366.CSI,20250711,2983.6658,3016.657,2979.9999,2979.9999,29661849.29
932366.CSI,20250710,2976.1849,2999.4775,2973.3598,2985.699,23072858.49
932366.CSI,20250709,2971.2287,2991.3045,2968.3846,2969.9866,27184088.79
932366.CSI,20250708,2962.5624,2976.0718,2956.9431,2969.7048,19233387.45
932366.CSI,20250707,2979.2262,2979.6607,2957.184,2960.6392,19875313.92
932366.CSI,20250704,2976.8298,3000.9647,2971.2442,2989.3048,20061794.62
932366.CSI,20250703,2977.355,2980.5909,2967.6534,2978.7216,20199804.72
932366.CSI,20250702,2956.5777,2972.6955,2954.7135,2970.6168,23007925.67
932366.CSI,20250701,2946.6297,2954.835,2932.5228,2954.0621,16664551.03
932366.CSI,20250630,2939.9721,2948.3827,2927.7416,2943.6495,19051657.45
932366.CSI,20250627,2952.4206,2961.9769,2937.0065,2941.2365,23825965.59
932366.CSI,20250626,2947.9915,2959.0389,2945.8474,2950.1265,20320344.49
932366.CSI,20250625,2939.298,2955.2919,2927.1224,2951.9649,20290774.94
932366.CSI,20250624,2936.7562,2971.1097,2929.0565,2958.7425,22570729.61
932366.CSI,20250623,2960.1505,2968.2985,2938.7019,2950.8722,19705090.18
932366.CSI,20250620,2943.1921,2961.707,2943.1921,2959.139,17714267.82
932366.CSI,20250619,2961.1946,2962.274,2934.607,2946.2317,18181903.53
932366.CSI,20250618,2974.5204,2984.3133,2958.3807,2964.8674,15295084.48
932366.CSI,20250617,2954.4377,2971.0365,2950.6679,2967.2028,16851247.63
932366.CSI,20250616,2964.454,2964.7002,2952.7137,2956.531,19983357.18
932366.CSI,20250613,2965.2005,2974.0349,2952.2305,2965.9313,29659695.51
932366.CSI,20250612,2970.5217,2970.8567,2950.7965,2955.1422,21565477.74
932366.CSI,20250611,2950.9027,2978.0406,2950.0179,2972.1697,23042957.15
932366.CSI,20250610,2957.3902,2965.9696,2936.3159,2947.0408,22074890.17
932366.CSI,20250609,2953.0316,2962.2166,2946.9341,2954.7611,21937258.77
932366.CSI,20250606,2943.015,2957.2191,2938.5425,2952.8453,21023528.95
932366.CSI,20250605,2949.867,2957.8068,2941.5545,2946.2649,22034521.61
932366.CSI,20250604,2951.2861,2956.6663,2946.3521,2950.6476,24947993.21
932366.CSI,20250603,2953.6131,2956.8836,2939.8728,2948.1228,22522681.27
932366.CSI,20250530,2950.8542,2963.8858,2939.736,2954.8107,19565914.32
932366.CSI,20250529,2955.133,2966.1616,2949.3501,2955.2405,17986039.57
932366.CSI,20250528,2942.2691,2962.2954,2941.2886,2954.8087,17347950.51
932366.CSI,20250527,2950.4244,2963.0007,2938.1912,2939.0543,19273419.69
932366.CSI,20250526,2963.0299,2967.1822,2941.3788,2951.6434,20960393.58
932366.CSI,20250523,2989.9478,3007.5074,2965.3075,2965.3075,21124985.53
932366.CSI,20250522,2990.1983,2997.1819,2977.7264,2992.169,17844385.85
932366.CSI,20250521,2965.3263,3000.1954,2965.3263,2992.2059,23091768.98
932366.CSI,20250520,2945.9902,2964.7598,2942.9475,2958.0292,20182995.48
932366.CSI,20250519,2932.2297,2944.8522,2932.2297,2939.28,19253757.26
932366.CSI,20250516,2946.0094,2950.1718,2921.4048,2933.6653,19926239.06
932366.CSI,20250515,2963.4224,2969.9261,2950.6781,2953.228,24174612.55
932366.CSI,20250514,2933.1571,2970.7482,2930.8354,2967.9353,27465883.13
932366.CSI,20250513,2934.8458,2934.8458,2921.0034,2931.8585,24294845.28
932366.CSI,20250512,2913.2854,2920.6592,2902.6596,2919.385,26125575.64
932366.CSI,20250509,2891.8295,2904.8917,2890.9214,2899.7435,20273467.8
932366.CSI,20250508,2878.8664,2901.9275,2874.1579,2888.9469,20578814.97
932366.CSI,20250507,2896.622,2897.3301,2873.4459,2888.6341,28037020.13
932366.CSI,20250506,2861.0554,2865.074,2842.1137,2862.1895,26840980.47
932366.CSI,20250430,2864.4566,2867.1002,2853.464,2853.5583,22997332.31
932366.CSI,20250429,2867.7149,2872.3034,2858.6143,2861.4796,21623203.86
932366.CSI,20250428,2868.8768,2885.3123,2852.5351,2876.2556,24664487.66
932366.CSI,20250425,2875.0439,2876.5001,2863.2583,2868.9011,22600553.35
932366.CSI,20250424,2861.9477,2881.337,2859.7245,2871.954,20087805.6
932366.CSI,20250423,2878.2748,2881.5756,2863.3402,2863.5939,23998398.92
932366.CSI,20250422,2862.3729,2878.483,2860.2036,2869.4227,25966433.31
932366.CSI,20250421,2863.5694,2874.9854,2860.3374,2866.1128,20506580.12
932366.CSI,20250418,2860.5258,2879.8321,2855.3295,2872.1457,18441539.74
932366.CSI,20250417,2861.9971,2868.3048,2849.8589,2867.4646,22325891.63
932366.CSI,20250416,2843.7946,2871.1753,2828.4771,2870.7107,29545230.9
932366.CSI,20250415,2833.3757,2850.1788,2829.099,2848.8603,26138446.54
932366.CSI,20250414,2815.0053,2837.8565,2808.4749,2833.814,35242686.28
932366.CSI,20250411,2819.7038,2820.3771,2793.9642,2809.8792,33402105.35
932366.CSI,20250410,2838.4363,2840.1053,2801.9627,2827.8648,46689037.45
932366.CSI,20250409,2771.2142,2806.8327,2740.592,2806.8327,52357600.82
932366.CSI,20250408,2726.2158,2801.1705,2719.5997,2800.0749,57293755.03
932366.CSI,20250407,2749.2577,2782.9765,2669.159,2709.4473,57083293.42
932366.CSI,20250403,2880.5131,2908.6534,2880.5131,2899.7258,29189247.43
932366.CSI,20250402,2924.5552,2925.5844,2908.3439,2913.7598,20286571.2
932366.CSI,20250401,2922.7527,2929.225,2917.8862,2923.9582,25089987.38
932366.CSI,20250331,2910.6672,2938.154,2910.3735,2918.3838,27445926.07
932366.CSI,20250328,2921.886,2922.7793,2902.5387,2912.497,22829247.49
932366.CSI,20250327,2924.9402,2938.1095,2924.1285,2931.009,23130242.26
932366.CSI,20250326,2932.5107,2940.2842,2924.6605,2928.0874,27878566.94
932366.CSI,20250325,2920.623,2935.9651,2911.7128,2932.9879,29634620.14
932366.CSI,20250324,2902.3871,2923.331,2900.3415,2917.7913,31779672.12
932366.CSI,20250321,2910.7425,2942.4694,2890.7312,2898.0874,31138124.22
932366.CSI,20250320,2919.5135,2923.9027,2908.1286,2911.5831,24718898.07
932366.CSI,20250319,2909.7215,2925.5595,2901.6362,2917.6079,25145496.0
932366.CSI,20250318,2907.4696,2912.8063,2895.1529,2906.7432,26201745.6
932366.CSI,20250317,2923.0596,2925.9717,2900.8222,2902.8603,27477445.58
932366.CSI,20250314,2874.0091,2916.4836,2874.0091,2910.1681,36340034.03
932366.CSI,20250313,2856.2542,2885.9371,2856.2542,2871.8902,32461960.88
932366.CSI,20250312,2865.5772,2866.6418,2848.053,2856.0242,28760467.8
932366.CSI,20250311,2829.5649,2863.5748,2828.8354,2863.5748,27552212.34
932366.CSI,20250310,2858.8202,2862.213,2838.543,2852.0686,31864066.36
932366.CSI,20250307,2844.7757,2862.6479,2840.3674,2856.0868,28911522.16
932366.CSI,20250306,2840.4484,2853.3035,2828.7189,2850.3972,33110790.04
932366.CSI,20250305,2828.0477,2841.3908,2822.0904,2839.2765,26885442.69
932366.CSI,20250304,2836.3257,2837.6396,2820.2505,2829.656,24991738.0
932366.CSI,20250303,2855.9167,2876.4208,2841.9531,2850.3539,33239167.8
932366.CSI,20250228,2865.294,2888.8533,2850.37,2851.351,32610274.21
932366.CSI,20250227,2858.2816,2870.433,2851.2213,2870.0762,33376301.33
932366.CSI,20250226,2853.6066,2866.7104,2845.5356,2857.3322,28171594.72
932366.CSI,20250225,2874.046,2883.0728,2850.2424,2855.2977,31210899.71
932366.CSI,20250224,2903.0504,2910.3638,2880.1861,2892.1547,37370309.8
932366.CSI,20250221,,,,2913.7166,38120063.44
932366.CSI,20250220,,,,2898.6683,24889782.34
932366.CSI,20250219,,,,2909.8608,30126664.91
932366.CSI,20250218,,,,2912.9239,31494456.71
932366.CSI,20250217,,,,2929.4312,33695974.85
932366.CSI,20250214,,,,2942.6747,30419924.47
932366.CSI,20250213,,,,2925.918,28762410.68
932366.CSI,20250212,,,,2928.3668,27629618.36
932366.CSI,20250211,,,,2926.8352,26064953.01
