ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
932368.CSI,20150105,1566.5151,,,,1485.1507,81.3644,5.4785,33010343.06,40170839.505
932368.CSI,20150106,1571.2317,,,,1566.5151,4.7166,0.3011,31511617.72,42144989.704
932368.CSI,20150107,1566.0064,,,,1571.2317,-5.2253,-0.3326,21789060.28,26804221.171
932368.CSI,20150108,1532.0309,,,,1566.0064,-33.9755,-2.1696,20488955.87,23917456.73
932368.CSI,20150109,1506.4829,,,,1532.0309,-25.548,-1.6676,20451218.98,24695102.644
932368.CSI,20150112,1471.1875,,,,1506.4829,-35.2954,-2.3429,18206366.08,20111267.328
932368.CSI,20150113,1476.9187,,,,1471.1875,5.7312,0.3896,10414349.69,13005772.253
932368.CSI,20150114,1469.6418,,,,1476.9187,-7.2769,-0.4927,10833050.49,13611861.91
932368.CSI,20150115,1505.0865,,,,1469.6418,35.4447,2.4118,12376199.02,14707604.928
932368.CSI,20150116,1511.4678,,,,1505.0865,6.3813,0.424,13749529.8,17113631.319
932368.CSI,20150119,1382.3476,,,,1511.4678,-129.1202,-8.5427,20862968.43,24004191.55
932368.CSI,20150120,1413.2148,,,,1382.3476,30.8672,2.233,15033450.37,17106011.397
932368.CSI,20150121,1462.1996,,,,1413.2148,48.9848,3.4662,16201061.0,19343307.197
932368.CSI,20150122,1463.7849,,,,1462.1996,1.5853,0.1084,12781234.54,15716707.538
932368.CSI,20150123,1458.6076,,,,1463.7849,-5.1773,-0.3537,13251414.79,16355337.165
932368.CSI,20150126,1480.9555,,,,1458.6076,22.3479,1.5321,14407051.42,16687152.404
932368.CSI,20150127,1464.0535,,,,1480.9555,-16.902,-1.1413,16184452.48,19185243.306
932368.CSI,20150128,1453.1415,,,,1464.0535,-10.912,-0.7453,13394432.48,14709501.844
932368.CSI,20150129,1452.9062,,,,1453.1415,-0.2353,-0.0162,17350460.37,17917863.076
932368.CSI,20150130,1436.0195,,,,1452.9062,-16.8867,-1.1623,12968221.88,13949252.582
932368.CSI,20150202,1400.2633,,,,1436.0195,-35.7562,-2.49,12300358.23,12998138.454
932368.CSI,20150203,1423.6853,,,,1400.2633,23.422,1.6727,9287422.57,10528111.01
932368.CSI,20150204,1423.3133,,,,1423.6853,-0.372,-0.0261,11419077.57,12112919.712
932368.CSI,20150205,1390.935,,,,1423.3133,-32.3783,-2.2749,13321274.35,14485112.964
932368.CSI,20150206,1349.4466,,,,1390.935,-41.4884,-2.9828,12217318.2,12549915.152
932368.CSI,20150209,1342.7069,,,,1349.4466,-6.7397,-0.4994,9032526.41,9625405.975
932368.CSI,20150210,1375.4421,,,,1342.7069,32.7352,2.438,7876121.73,8712851.254
932368.CSI,20150211,1387.3426,,,,1375.4421,11.9005,0.8652,7454179.63,8311775.462
932368.CSI,20150212,1394.7057,,,,1387.3426,7.3631,0.5307,7790900.08,9285007.732
932368.CSI,20150213,1411.0481,,,,1394.7057,16.3424,1.1717,11977304.91,13429044.492
932368.CSI,20150216,1417.0012,,,,1411.0481,5.9531,0.4219,8608471.66,10215984.39
932368.CSI,20150217,1428.3662,,,,1417.0012,11.365,0.802,8829696.6,10531145.88
932368.CSI,20150225,1422.9905,,,,1428.3662,-5.3757,-0.3764,12308071.06,13549927.763
932368.CSI,20150226,1455.8124,,,,1422.9905,32.8219,2.3065,12886447.14,14474987.038
932368.CSI,20150227,1453.5692,,,,1455.8124,-2.2432,-0.1541,11786255.17,13391667.416
932368.CSI,20150302,1471.1639,,,,1453.5692,17.5947,1.2104,15390201.75,17590462.628
932368.CSI,20150303,1432.4306,,,,1471.1639,-38.7333,-2.6328,15954377.45,18409490.759
932368.CSI,20150304,1441.1591,,,,1432.4306,8.7285,0.6093,12373710.93,14840849.857
932368.CSI,20150305,1417.3635,,,,1441.1591,-23.7956,-1.6511,12911865.63,14977225.224
932368.CSI,20150306,1419.8119,,,,1417.3635,2.4484,0.1727,10603541.93,12775634.625
932368.CSI,20150309,1438.569,,,,1419.8119,18.7571,1.3211,12627904.37,14543387.594
932368.CSI,20150310,1442.7929,,,,1438.569,4.2239,0.2936,13122965.85,15569708.243
932368.CSI,20150311,1444.0711,,,,1442.7929,1.2782,0.0886,12369884.55,15444373.976
932368.CSI,20150312,1468.5368,,,,1444.0711,24.4657,1.6942,14891280.51,18508158.424
932368.CSI,20150313,1483.6806,,,,1468.5368,15.1438,1.0312,15242497.1,18099816.732
932368.CSI,20150316,1514.2047,,,,1483.6806,30.5241,2.0573,19833354.51,22809403.715
932368.CSI,20150317,1538.4194,,,,1514.2047,24.2147,1.5992,25160224.28,29762488.262
932368.CSI,20150318,1572.6951,,,,1538.4194,34.2757,2.228,25608795.3,30203929.449
