trade_date,adj_close,adj_factor,ts_code,close
20120104,35.547959999999996,2.828,000900.SZ,12.57
20120105,34.27536,2.828,000900.SZ,12.12
20120106,33.99256,2.828,000900.SZ,12.02
20120109,35.463119999999996,2.828,000900.SZ,12.54
20120110,36.9054,2.828,000900.SZ,13.05
20120111,36.509479999999996,2.828,000900.SZ,12.91
20120112,36.763999999999996,2.828,000900.SZ,13.0
20120116,35.632799999999996,2.828,000900.SZ,12.6
20120117,37.38616,2.828,000900.SZ,13.22
20120118,36.4812,2.828,000900.SZ,12.9
20120119,36.96196,2.828,000900.SZ,13.07
20120120,37.83864,2.828,000900.SZ,13.38
20120130,37.640679999999996,2.828,000900.SZ,13.31
20120131,37.86692,2.828,000900.SZ,13.39
20120201,37.38616,2.828,000900.SZ,13.22
20120202,37.895199999999996,2.828,000900.SZ,13.4
20120203,38.34768,2.828,000900.SZ,13.56
20120206,38.09316,2.828,000900.SZ,13.47
20120207,37.38616,2.828,000900.SZ,13.22
20120208,38.20628,2.828,000900.SZ,13.51
20120209,38.4608,2.828,000900.SZ,13.6
20120210,38.54564,2.828,000900.SZ,13.63
20120213,39.28092,2.828,000900.SZ,13.89
20120214,39.84652,2.828,000900.SZ,14.09
20120215,40.157599999999995,2.828,000900.SZ,14.2
20120216,39.78996,2.828,000900.SZ,14.07
20120217,39.592,2.828,000900.SZ,14.0
20120220,39.620279999999994,2.828,000900.SZ,14.01
20120221,39.87479999999999,2.828,000900.SZ,14.1
20120222,40.83631999999999,2.828,000900.SZ,14.44
20120223,41.37364,2.828,000900.SZ,14.63
20120224,41.5716,2.828,000900.SZ,14.7
20120227,41.741279999999996,2.828,000900.SZ,14.76
20120228,41.713,2.828,000900.SZ,14.75
20120229,41.09083999999999,2.828,000900.SZ,14.53
20120301,41.23224,2.828,000900.SZ,14.58
20120302,42.1372,2.828,000900.SZ,14.9
20120305,42.5614,2.828,000900.SZ,15.05
20120306,41.8544,2.828,000900.SZ,14.8
20120307,40.694919999999996,2.828,000900.SZ,14.39
20120308,41.1474,2.828,000900.SZ,14.55
20120309,41.713,2.828,000900.SZ,14.75
20120312,41.741279999999996,2.828,000900.SZ,14.76
20120313,42.19376,2.828,000900.SZ,14.92
20120314,40.610079999999996,2.828,000900.SZ,14.36
20120315,39.76168,2.828,000900.SZ,14.06
20120316,40.7232,2.828,000900.SZ,14.4
20120319,40.949439999999996,2.828,000900.SZ,14.48
20120320,40.0162,2.828,000900.SZ,14.15
20120321,39.78996,2.828,000900.SZ,14.07
20120323,38.71532,2.828,000900.SZ,13.69
20120326,38.51736,2.828,000900.SZ,13.62
20120327,38.65876,2.828,000900.SZ,13.67
20120328,36.70744,2.828,000900.SZ,12.98
20120329,36.22668,2.828,000900.SZ,12.81
20120330,36.67916,2.828,000900.SZ,12.97
20120405,37.86692,2.828,000900.SZ,13.39
20120406,37.92348,2.828,000900.SZ,13.41
20120409,38.3194,2.828,000900.SZ,13.55
20120410,38.885,2.828,000900.SZ,13.75
20120411,38.941559999999996,2.828,000900.SZ,13.77
20120412,39.563719999999996,2.828,000900.SZ,13.99
20120413,41.23224,2.828,000900.SZ,14.58
20120416,40.89288,2.828,000900.SZ,14.46
