ts_code,trade_date,close,adj_factor,adj_close
001965.SZ,20171225,11.44,1.0,11.44
001965.SZ,20171226,12.58,1.0,12.58
001965.SZ,20171227,13.84,1.0,13.84
001965.SZ,20171228,15.22,1.0,15.22
001965.SZ,20171229,13.85,1.0,13.85
001965.SZ,20180102,13.68,1.0,13.68
001965.SZ,20180103,13.76,1.0,13.76
001965.SZ,20180104,13.2,1.0,13.2
001965.SZ,20180105,13.07,1.0,13.07
001965.SZ,20180108,12.99,1.0,12.99
001965.SZ,20180109,12.83,1.0,12.83
001965.SZ,20180110,12.2,1.0,12.2
001965.SZ,20180111,12.11,1.0,12.11
001965.SZ,20180112,11.91,1.0,11.91
001965.SZ,20180115,11.27,1.0,11.27
001965.SZ,20180116,12.4,1.0,12.4
001965.SZ,20180117,12.18,1.0,12.18
001965.SZ,20180118,12.42,1.0,12.42
001965.SZ,20180119,12.15,1.0,12.15
001965.SZ,20180122,11.82,1.0,11.82
001965.SZ,20180123,11.74,1.0,11.74
001965.SZ,20180124,12.03,1.0,12.03
001965.SZ,20180125,12.13,1.0,12.13
001965.SZ,20180126,12.11,1.0,12.11
001965.SZ,20180129,11.86,1.0,11.86
001965.SZ,20180130,11.84,1.0,11.84
001965.SZ,20180131,11.32,1.0,11.32
001965.SZ,20180201,11.1,1.0,11.1
001965.SZ,20180202,11.19,1.0,11.19
001965.SZ,20180205,11.2,1.0,11.2
001965.SZ,20180206,10.46,1.0,10.46
001965.SZ,20180207,10.48,1.0,10.48
001965.SZ,20180208,10.48,1.0,10.48
001965.SZ,20180209,9.68,1.0,9.68
001965.SZ,20180212,9.85,1.0,9.85
001965.SZ,20180213,9.62,1.0,9.62
001965.SZ,20180214,9.54,1.0,9.54
001965.SZ,20180222,9.75,1.0,9.75
001965.SZ,20180223,10.54,1.0,10.54
001965.SZ,20180226,10.6,1.0,10.6
001965.SZ,20180227,10.45,1.0,10.45
001965.SZ,20180228,10.28,1.0,10.28
001965.SZ,20180301,10.29,1.0,10.29
001965.SZ,20180302,10.19,1.0,10.19
001965.SZ,20180305,10.28,1.0,10.28
001965.SZ,20180306,10.62,1.0,10.62
001965.SZ,20180307,10.43,1.0,10.43
001965.SZ,20180308,10.59,1.0,10.59
001965.SZ,20180309,10.62,1.0,10.62
001965.SZ,20180312,10.73,1.0,10.73
001965.SZ,20180313,10.38,1.0,10.38
001965.SZ,20180314,10.22,1.0,10.22
001965.SZ,20180315,9.98,1.0,9.98
001965.SZ,20180316,9.87,1.0,9.87
001965.SZ,20180319,10.01,1.0,10.01
001965.SZ,20180320,10.12,1.0,10.12
001965.SZ,20180321,10.28,1.0,10.28
001965.SZ,20180322,10.08,1.0,10.08
001965.SZ,20180323,9.25,1.0,9.25
001965.SZ,20180326,9.22,1.0,9.22
001965.SZ,20180327,9.35,1.0,9.35
001965.SZ,20180328,9.26,1.0,9.26
001965.SZ,20180329,9.39,1.0,9.39
001965.SZ,20180330,9.37,1.0,9.37
001965.SZ,20180402,9.26,1.0,9.26
001965.SZ,20180403,9.01,1.0,9.01
001965.SZ,20180404,9.02,1.0,9.02
001965.SZ,20180409,9.18,1.0,9.18
001965.SZ,20180410,9.26,1.0,9.26
001965.SZ,20180411,9.18,1.0,9.18
001965.SZ,20180412,9.3,1.0,9.3
001965.SZ,20180413,9.15,1.0,9.15
001965.SZ,20180416,9.02,1.0,9.02
001965.SZ,20180417,8.84,1.0,8.84
001965.SZ,20180418,8.86,1.0,8.86
001965.SZ,20180419,8.92,1.0,8.92
001965.SZ,20180420,8.71,1.0,8.71
001965.SZ,20180423,8.78,1.0,8.78
001965.SZ,20180424,8.94,1.0,8.94
001965.SZ,20180425,8.92,1.0,8.92
001965.SZ,20180426,8.61,1.0,8.61
001965.SZ,20180427,8.71,1.0,8.71
001965.SZ,20180502,8.66,1.0,8.66
001965.SZ,20180503,8.64,1.0,8.64
001965.SZ,20180504,8.54,1.0,8.54
001965.SZ,20180507,8.62,1.0,8.62
001965.SZ,20180508,8.71,1.0,8.71
001965.SZ,20180509,8.62,1.0,8.62
001965.SZ,20180510,8.59,1.0,8.59
001965.SZ,20180511,8.47,1.0,8.47
001965.SZ,20180514,8.46,1.0,8.46
001965.SZ,20180515,8.76,1.0,8.76
001965.SZ,20180516,8.65,1.0,8.65
001965.SZ,20180517,8.56,1.0,8.56
001965.SZ,20180518,8.6,1.0,8.6
001965.SZ,20180521,8.94,1.0,8.94
001965.SZ,20180522,8.92,1.0,8.92
001965.SZ,20180523,8.91,1.0,8.91
001965.SZ,20180524,9.14,1.0,9.14
001965.SZ,20180525,9.07,1.0,9.07
001965.SZ,20180528,8.89,1.0,8.89
001965.SZ,20180529,8.82,1.0,8.82
001965.SZ,20180530,8.32,1.0,8.32
001965.SZ,20180531,8.42,1.0,8.42
001965.SZ,20180601,8.32,1.0,8.32
001965.SZ,20180604,8.35,1.0,8.35
001965.SZ,20180605,8.47,1.0,8.47
001965.SZ,20180606,8.49,1.0,8.49
001965.SZ,20180607,8.46,1.0,8.46
001965.SZ,20180608,8.33,1.0,8.33
001965.SZ,20180611,8.41,1.0,8.41
001965.SZ,20180612,8.42,1.0,8.42
001965.SZ,20180613,8.28,1.0,8.28
001965.SZ,20180614,8.24,1.0,8.24
001965.SZ,20180615,8.01,1.0,8.01
001965.SZ,20180619,7.21,1.0,7.21
001965.SZ,20180620,7.19,1.0,7.19
001965.SZ,20180621,7.21,1.0,7.21
001965.SZ,20180622,7.36,1.0,7.36
001965.SZ,20180625,7.66,1.0,7.66
001965.SZ,20180626,7.73,1.0,7.73
001965.SZ,20180627,7.81,1.0,7.81
001965.SZ,20180628,7.68,1.0,7.68
001965.SZ,20180629,8.14,1.0,8.14
001965.SZ,20180702,8.05,1.0,8.05
001965.SZ,20180703,8.09,1.0,8.09
001965.SZ,20180704,8.04,1.0,8.04
001965.SZ,20180705,7.72,1.0,7.72
001965.SZ,20180706,7.9,1.0,7.9
001965.SZ,20180709,8.11,1.0,8.11
001965.SZ,20180710,8.12,1.0,8.12
001965.SZ,20180711,7.93,1.0,7.93
001965.SZ,20180712,8.13,1.0,8.13
001965.SZ,20180713,8.12,1.0,8.12
001965.SZ,20180716,8.23,1.0,8.23
001965.SZ,20180717,8.12,1.0,8.12
001965.SZ,20180718,8.14,1.0,8.14
001965.SZ,20180719,7.99,1.0,7.99
001965.SZ,20180720,8.13,1.0,8.13
001965.SZ,20180723,8.31,1.0,8.31
001965.SZ,20180724,8.59,1.0,8.59
001965.SZ,20180725,8.41,1.0,8.41
001965.SZ,20180726,8.5,1.0,8.5
001965.SZ,20180727,8.39,1.0,8.39
001965.SZ,20180730,8.26,1.0,8.26
001965.SZ,20180731,8.36,1.0,8.36
001965.SZ,20180801,8.44,1.0,8.44
001965.SZ,20180802,8.2,1.0,8.2
001965.SZ,20180803,8.51,1.0,8.51
001965.SZ,20180806,8.58,1.0,8.58
001965.SZ,20180807,8.72,1.0,8.72
001965.SZ,20180808,8.34,1.026,8.55684
001965.SZ,20180809,8.44,1.026,8.65944
001965.SZ,20180810,8.36,1.026,8.577359999999999
001965.SZ,20180813,8.27,1.026,8.48502
001965.SZ,20180814,8.36,1.026,8.577359999999999
001965.SZ,20180815,8.27,1.026,8.48502
001965.SZ,20180816,8.23,1.0259,8.443157000000001
001965.SZ,20180817,8.09,1.0259,8.299531
001965.SZ,20180820,8.16,1.0259,8.371344
001965.SZ,20180821,8.25,1.0259,8.463675
001965.SZ,20180822,8.31,1.0259,8.525229000000001
001965.SZ,20180823,8.3,1.0259,8.514970000000002
001965.SZ,20180824,8.36,1.0259,8.576524
001965.SZ,20180827,8.41,1.0259,8.627819
001965.SZ,20180828,8.44,1.026,8.65944
001965.SZ,20180829,8.39,1.026,8.60814
001965.SZ,20180830,8.34,1.026,8.55684
001965.SZ,20180831,8.26,1.026,8.47476
001965.SZ,20180903,8.24,1.026,8.45424
001965.SZ,20180904,8.33,1.026,8.54658
001965.SZ,20180905,8.22,1.026,8.433720000000001
001965.SZ,20180906,8.19,1.026,8.40294
001965.SZ,20180907,8.19,1.026,8.40294
001965.SZ,20180910,8.04,1.026,8.249039999999999
001965.SZ,20180911,8.1,1.026,8.310599999999999
001965.SZ,20180912,8.11,1.026,8.32086
001965.SZ,20180913,8.1,1.026,8.310599999999999
001965.SZ,20180914,8.14,1.026,8.351640000000002
001965.SZ,20180917,8.09,1.026,8.30034
001965.SZ,20180918,8.18,1.026,8.39268
001965.SZ,20180919,8.22,1.026,8.433720000000001
001965.SZ,20180920,8.21,1.026,8.42346
001965.SZ,20180921,8.32,1.026,8.53632
001965.SZ,20180925,8.35,1.026,8.5671
001965.SZ,20180926,8.36,1.026,8.577359999999999
001965.SZ,20180927,8.33,1.026,8.54658
001965.SZ,20180928,8.53,1.026,8.75178
001965.SZ,20181008,8.36,1.026,8.577359999999999
001965.SZ,20181009,8.27,1.026,8.48502
001965.SZ,20181010,8.33,1.026,8.54658
001965.SZ,20181011,7.81,1.026,8.01306
001965.SZ,20181012,7.88,1.026,8.08488
001965.SZ,20181015,7.9,1.026,8.105400000000001
001965.SZ,20181016,7.66,1.026,7.85916
001965.SZ,20181017,7.73,1.026,7.930980000000001
001965.SZ,20181018,7.65,1.026,7.8489
001965.SZ,20181019,7.8,1.026,8.0028
001965.SZ,20181022,8.11,1.026,8.32086
001965.SZ,20181023,8.19,1.026,8.40294
001965.SZ,20181024,8.2,1.026,8.4132
001965.SZ,20181025,8.18,1.026,8.39268
001965.SZ,20181026,8.26,1.026,8.47476
001965.SZ,20181029,8.19,1.026,8.40294
001965.SZ,20181030,8.29,1.026,8.50554
001965.SZ,20181031,8.29,1.026,8.50554
001965.SZ,20181101,8.35,1.026,8.5671
001965.SZ,20181102,8.45,1.026,8.669699999999999
001965.SZ,20181105,8.45,1.026,8.669699999999999
001965.SZ,20181106,8.29,1.026,8.50554
001965.SZ,20181107,8.4,1.026,8.618400000000001
001965.SZ,20181108,8.27,1.026,8.48502
001965.SZ,20181109,8.38,1.026,8.597880000000002
001965.SZ,20181112,8.54,1.026,8.762039999999999
001965.SZ,20181113,8.57,1.026,8.79282
001965.SZ,20181114,8.62,1.026,8.84412
001965.SZ,20181115,8.65,1.026,8.8749
001965.SZ,20181116,8.56,1.026,8.78256
001965.SZ,20181119,8.7,1.026,8.9262
001965.SZ,20181120,8.4,1.026,8.618400000000001
001965.SZ,20181121,8.42,1.026,8.63892
001965.SZ,20181122,8.62,1.026,8.84412
001965.SZ,20181123,8.31,1.026,8.526060000000001
001965.SZ,20181126,8.29,1.026,8.50554
001965.SZ,20181127,8.3,1.026,8.5158
001965.SZ,20181128,8.37,1.026,8.58762
001965.SZ,20181129,8.25,1.026,8.464500000000001
001965.SZ,20181130,8.19,1.026,8.40294
001965.SZ,20181203,8.36,1.026,8.577359999999999
001965.SZ,20181204,8.39,1.026,8.60814
001965.SZ,20181205,8.26,1.026,8.47476
001965.SZ,20181206,8.21,1.026,8.42346
001965.SZ,20181207,8.18,1.026,8.39268
001965.SZ,20181210,8.04,1.026,8.249039999999999
001965.SZ,20181211,8.05,1.026,8.259300000000001
001965.SZ,20181212,8.12,1.026,8.331119999999999
001965.SZ,20181213,8.15,1.026,8.3619
001965.SZ,20181214,8.07,1.026,8.27982
001965.SZ,20181217,8.06,1.026,8.26956
001965.SZ,20181218,7.99,1.026,8.19774
001965.SZ,20181219,7.99,1.026,8.19774
001965.SZ,20181220,7.88,1.026,8.08488
001965.SZ,20181221,7.84,1.026,8.04384
001965.SZ,20181224,7.94,1.026,8.14644
001965.SZ,20181225,8.05,1.026,8.259300000000001
001965.SZ,20181226,8.01,1.026,8.21826
001965.SZ,20181227,8.09,1.026,8.30034
001965.SZ,20181228,8.03,1.026,8.23878
001965.SZ,20190102,7.91,1.026,8.11566
001965.SZ,20190103,7.89,1.026,8.09514
001965.SZ,20190104,8.08,1.026,8.29008
001965.SZ,20190107,8.16,1.026,8.372160000000001
001965.SZ,20190108,8.15,1.026,8.3619
001965.SZ,20190109,8.12,1.026,8.331119999999999
001965.SZ,20190110,8.08,1.026,8.29008
001965.SZ,20190111,8.12,1.026,8.331119999999999
001965.SZ,20190114,8.14,1.026,8.351640000000002
001965.SZ,20190115,8.15,1.026,8.3619
001965.SZ,20190116,8.09,1.026,8.30034
001965.SZ,20190117,8.01,1.026,8.21826
001965.SZ,20190118,8.08,1.026,8.29008
001965.SZ,20190121,8.12,1.026,8.331119999999999
001965.SZ,20190122,8.01,1.026,8.21826
001965.SZ,20190123,8.02,1.026,8.22852
001965.SZ,20190124,8.16,1.026,8.372160000000001
001965.SZ,20190125,8.17,1.026,8.38242
001965.SZ,20190128,8.26,1.026,8.47476
001965.SZ,20190129,8.27,1.026,8.48502
001965.SZ,20190130,8.19,1.026,8.40294
001965.SZ,20190131,8.25,1.026,8.464500000000001
001965.SZ,20190201,8.29,1.026,8.50554
001965.SZ,20190211,8.35,1.026,8.5671
001965.SZ,20190212,8.4,1.026,8.618400000000001
