ts_code,trade_date,close,adj_factor,adj_close
600518.SH,20150105,16.15,21.587,348.63005
600518.SH,20150106,16.85,21.587,363.74095
600518.SH,20150107,16.66,21.587,359.63942
600518.SH,20150108,16.7,21.587,360.50289999999995
600518.SH,20150109,16.42,21.587,354.45854
600518.SH,20150112,17.06,21.587,368.27421999999996
600518.SH,20150113,17.03,21.587,367.62661
600518.SH,20150114,17.07,21.587,368.49009
600518.SH,20150115,16.94,21.587,365.68378
600518.SH,20150116,17.16,21.587,370.43292
600518.SH,20150119,16.53,21.587,356.83311000000003
600518.SH,20150120,17.05,21.587,368.05835
600518.SH,20150121,17.37,21.587,374.96619000000004
600518.SH,20150122,17.23,21.587,371.94401
600518.SH,20150123,17.11,21.587,369.35357
600518.SH,20150126,17.32,21.587,373.88684
600518.SH,20150127,17.02,21.587,367.41074
600518.SH,20150128,16.87,21.587,364.17269000000005
600518.SH,20150129,16.61,21.587,358.56007
600518.SH,20150130,16.63,21.587,358.99181
600518.SH,20150202,16.67,21.587,359.85529
600518.SH,20150203,16.8,21.587,362.6616
600518.SH,20150204,16.57,21.587,357.69659
600518.SH,20150205,16.27,21.587,351.22049
600518.SH,20150206,16.28,21.587,351.43636000000004
600518.SH,20150209,16.39,21.587,353.81093
600518.SH,20150210,16.57,21.587,357.69659
600518.SH,20150211,18.23,21.587,393.53101
600518.SH,20150212,18.43,21.587,397.84841
600518.SH,20150213,20.27,21.587,437.56849
600518.SH,20150216,22.19,21.587,479.01553
600518.SH,20150217,22.18,21.587,478.79965999999996
600518.SH,20150225,22.21,21.587,479.44727
600518.SH,20150226,21.51,21.587,464.33637000000004
600518.SH,20150227,22.63,21.587,488.51381
600518.SH,20150302,24.27,21.587,523.91649
600518.SH,20150303,23.29,21.587,502.76122999999995
600518.SH,20150304,23.78,21.587,513.3388600000001
600518.SH,20150305,26.16,21.587,564.71592
600518.SH,20150306,25.95,21.587,560.18265
600518.SH,20150309,27.69,21.587,597.7440300000001
600518.SH,20150310,27.79,21.587,599.90273
600518.SH,20150311,27.1,21.587,585.0077
600518.SH,20150312,26.62,21.587,574.64594
600518.SH,20150313,28.47,21.587,614.5818899999999
600518.SH,20150316,29.76,21.587,642.42912
600518.SH,20150317,29.16,21.587,629.47692
600518.SH,20150318,29.56,21.587,638.11172
600518.SH,20150319,29.06,21.587,627.31822
600518.SH,20150320,29.09,21.587,627.96583
600518.SH,20150323,29.95,21.587,646.5306499999999
600518.SH,20150324,29.79,21.587,643.07673
600518.SH,20150325,31.79,21.587,686.25073
600518.SH,20150326,29.83,21.587,643.94021
600518.SH,20150327,30.1,21.587,649.7687
600518.SH,20150330,30.99,21.587,668.98113
600518.SH,20150331,31.01,21.587,669.41287
600518.SH,20150401,31.52,21.587,680.42224
600518.SH,20150402,32.48,21.587,701.1457599999999
600518.SH,20150403,32.72,21.587,706.32664
600518.SH,20150407,35.99,21.587,776.9161300000001
600518.SH,20150408,38.74,21.587,836.28038
600518.SH,20150409,38.74,21.587,836.28038
600518.SH,20150410,39.29,21.587,848.15323
600518.SH,20150413,37.99,21.587,820.09013
600518.SH,20150414,37.11,21.587,801.09357
600518.SH,20150415,34.43,21.587,743.24041
600518.SH,20150416,34.86,21.587,752.52282
600518.SH,20150417,34.99,21.587,755.3291300000001
600518.SH,20150420,35.31,21.587,762.23697
600518.SH,20150421,36.47,21.587,787.27789
600518.SH,20150422,36.5,21.587,787.9254999999999
600518.SH,20150423,35.58,21.587,768.0654599999999
600518.SH,20150424,36.1,21.587,779.2907
600518.SH,20150427,37.01,21.587,798.9348699999999
600518.SH,20150428,36.32,21.587,784.03984
600518.SH,20150429,39.95,21.587,862.40065
600518.SH,20150430,38.39,21.587,828.72493
600518.SH,20150505,37.54,21.587,810.37598
600518.SH,20150506,37.21,21.587,803.25227
600518.SH,20150507,34.96,21.587,754.68152
600518.SH,20150508,35.56,21.587,767.63372
600518.SH,20150511,36.66,21.587,791.3794199999999
600518.SH,20150512,36.79,21.587,794.1857299999999
600518.SH,20150513,37.83,21.587,816.63621
600518.SH,20150514,37.11,21.587,801.09357
600518.SH,20150515,35.32,21.587,762.45284
600518.SH,20150518,35.2,21.587,759.8624000000001
600518.SH,20150519,37.93,21.587,818.79491
600518.SH,20150520,37.39,21.587,807.13793
600518.SH,20150521,41.13,21.587,887.8733100000001
600518.SH,20150522,41.72,21.587,900.60964
600518.SH,20150525,43.77,21.587,944.8629900000001
600518.SH,20150526,44.98,21.587,970.98326
600518.SH,20150527,44.36,21.587,957.5993199999999
600518.SH,20150528,40.02,21.587,863.91174
600518.SH,20150529,40.45,21.587,873.19415
600518.SH,20150601,44.5,21.587,960.6215
600518.SH,20150602,47.95,21.587,1035.09665
600518.SH,20150603,45.97,21.587,992.35439
600518.SH,20150604,45.68,21.587,986.09416
600518.SH,20150605,45.31,21.587,978.10697
600518.SH,20150608,46.35,21.587,1000.55745
600518.SH,20150609,45.69,21.587,986.31003
600518.SH,20150610,50.26,21.587,1084.96262
600518.SH,20150611,49.93,21.587,1077.83891
600518.SH,20150612,49.98,21.587,1078.91826
600518.SH,20150615,47.01,21.587,1014.8048699999999
600518.SH,20150616,23.39,43.46,1016.5294
600518.SH,20150617,22.7,43.46,986.542
600518.SH,20150618,21.6,43.46,938.7360000000001
600518.SH,20150619,19.44,43.46,844.8624000000001
600518.SH,20150623,19.31,43.46,839.2126
600518.SH,20150624,19.45,43.46,845.297
600518.SH,20150625,19.5,43.46,847.47
600518.SH,20150626,17.55,43.46,762.7230000000001
600518.SH,20150629,16.12,43.46,700.5752000000001
600518.SH,20150630,17.73,43.46,770.5458
600518.SH,20150701,18.26,43.46,793.5796
600518.SH,20150702,18.45,43.46,801.837
600518.SH,20150703,17.71,43.46,769.6766
600518.SH,20150706,18.79,43.46,816.6134
600518.SH,20150707,16.91,43.46,734.9086
600518.SH,20150708,15.22,43.46,661.4612000000001
600518.SH,20150710,16.74,43.46,727.5204
600518.SH,20150713,18.41,43.46,800.0986
600518.SH,20150714,19.15,43.46,832.2589999999999
600518.SH,20150715,18.15,43.46,788.799
600518.SH,20150716,18.7,43.46,812.702
600518.SH,20150717,19.8,43.46,860.508
600518.SH,20150720,19.38,43.46,842.2547999999999
600518.SH,20150721,19.3,43.46,838.778
600518.SH,20150722,19.41,43.46,843.5586000000001
600518.SH,20150723,20.49,43.46,890.4953999999999
600518.SH,20150724,19.82,43.46,861.3772
600518.SH,20150727,17.84,43.46,775.3264
600518.SH,20150728,17.01,43.46,739.2546000000001
600518.SH,20150729,18.27,43.46,794.0142
600518.SH,20150730,17.56,43.46,763.1576
600518.SH,20150731,17.73,43.46,770.5458
600518.SH,20150803,17.82,43.46,774.4572000000001
600518.SH,20150804,18.85,43.46,819.2210000000001
600518.SH,20150805,18.14,43.46,788.3644
600518.SH,20150806,17.91,43.46,778.3686
600518.SH,20150807,18.22,43.46,791.8412
600518.SH,20150810,18.93,43.46,822.6978
600518.SH,20150811,18.81,43.46,817.4825999999999
600518.SH,20150812,18.22,43.46,791.8412
600518.SH,20150813,18.42,43.46,800.5332000000001
600518.SH,20150814,18.18,43.46,790.1028
600518.SH,20150817,19.02,43.46,826.6092
600518.SH,20150818,17.23,43.46,748.8158000000001
600518.SH,20150819,17.83,43.46,774.8918
600518.SH,20150820,18.22,43.46,791.8412
600518.SH,20150821,18.05,43.46,784.4530000000001
600518.SH,20150824,16.25,43.46,706.225
600518.SH,20150825,14.63,43.46,635.8198000000001
600518.SH,20150826,13.18,43.46,572.8028
600518.SH,20150827,13.61,43.46,591.4906
600518.SH,20150828,14.52,43.46,631.0391999999999
600518.SH,20150831,14.39,43.46,625.3894
600518.SH,20150901,14.29,43.46,621.0434
600518.SH,20150902,14.31,43.46,621.9126
600518.SH,20150907,13.97,43.46,607.1362
600518.SH,20150908,14.44,43.46,627.5624
600518.SH,20150909,14.69,43.46,638.4274
600518.SH,20150910,14.38,43.46,624.9548000000001
600518.SH,20150911,14.25,43.46,619.3050000000001
600518.SH,20150914,14.65,43.46,636.6890000000001
600518.SH,20150915,14.06,43.46,611.0476
600518.SH,20150916,14.82,43.46,644.0772000000001
600518.SH,20150917,14.11,43.46,613.2206
600518.SH,20150918,14.13,43.46,614.0898000000001
600518.SH,20150921,14.27,43.46,620.1742
600518.SH,20150922,14.41,43.46,626.2586
600518.SH,20150923,14.04,43.46,610.1784
600518.SH,20150924,14.08,43.46,611.9168
600518.SH,20150925,13.96,43.46,606.7016000000001
600518.SH,20150928,13.88,43.46,603.2248000000001
