date,ts_code,name,category,shares,cost_price,current_price,market_value,weight,profit_pct,cash,total_value
2025-03-28,511880.SH,银华日利,现金管理,9800,100.466,100.366,983583.86,98.55,-0.1,14447.99,998031.85
2025-06-27,511880.SH,银华日利,现金管理,5200,100.466,100.658,523421.08,52.42,0.19,4239.9,998564.98
2025-06-27,601988.SH,中国银行,弱周期红利,17800,5.606,5.6,99680.0,9.98,-0.1,4239.9,998564.98
2025-06-27,000333.SZ,美的集团,消费成长红利,2400,72.352,72.28,173472.0,17.37,-0.1,4239.9,998564.98
2025-06-27,601225.SH,陕西煤业,周期资源红利,5100,19.319,19.3,98430.0,9.86,-0.1,4239.9,998564.98
2025-06-27,601939.SH,建设银行,弱周期红利,10600,9.379,9.37,99322.0,9.95,-0.1,4239.9,998564.98
2025-09-26,511880.SH,银华日利,现金管理,1400,100.466,100.925,141294.44,14.22,0.46,3861.6,993566.04
2025-09-26,601988.SH,中国银行,弱周期红利,13900,5.606,5.24,72836.0,7.33,-6.52,3861.6,993566.04
2025-09-26,000333.SZ,美的集团,消费成长红利,1200,72.352,74.2,89040.0,8.96,2.55,3861.6,993566.04
2025-09-26,601225.SH,陕西煤业,周期资源红利,5100,19.319,20.32,103632.0,10.43,5.18,3861.6,993566.04
2025-09-26,601939.SH,建设银行,弱周期红利,10600,9.379,8.66,91796.0,9.24,-7.67,3861.6,993566.04
2025-09-26,000858.SZ,五粮液,消费成长红利,400,120.29,120.17,48068.0,4.84,-0.1,3861.6,993566.04
2025-09-26,600036.SH,招商银行,弱周期红利,1700,40.841,40.8,69360.0,6.98,-0.1,3861.6,993566.04
2025-09-26,601398.SH,工商银行,弱周期红利,9700,7.417,7.41,71877.0,7.23,-0.1,3861.6,993566.04
2025-09-26,000651.SZ,格力电器,消费成长红利,2000,39.89,39.85,79700.0,8.02,-0.1,3861.6,993566.04
2025-09-26,601088.SH,中国神华,周期资源红利,2500,38.799,38.76,96900.0,9.75,-0.1,3861.6,993566.04
2025-09-26,600690.SH,海尔智家,消费成长红利,2100,25.746,25.72,54012.0,5.44,-0.1,3861.6,993566.04
2025-09-26,600886.SH,国投电力,弱周期红利,2700,13.153,13.14,35478.0,3.57,-0.1,3861.6,993566.04
2025-09-26,600900.SH,长江电力,弱周期红利,1300,27.497,27.47,35711.0,3.59,-0.1,3861.6,993566.04
2025-12-26,511880.SH,银华日利,现金管理,800,100.466,101.194,80954.96,7.83,0.72,8855.97,1033960.13
2025-12-26,601988.SH,中国银行,弱周期红利,13900,5.606,5.61,77979.0,7.54,0.08,8855.97,1033960.13
2025-12-26,000333.SZ,美的集团,消费成长红利,1200,72.352,78.87,94644.0,9.15,9.01,8855.97,1033960.13
2025-12-26,601225.SH,陕西煤业,周期资源红利,5100,19.319,21.58,110058.0,10.64,11.7,8855.97,1033960.13
2025-12-26,601939.SH,建设银行,弱周期红利,10600,9.379,9.09,96354.0,9.32,-3.09,8855.97,1033960.13
2025-12-26,000858.SZ,五粮液,消费成长红利,400,120.29,109.78,43912.0,4.25,-8.74,8855.97,1033960.13
2025-12-26,600036.SH,招商银行,弱周期红利,2100,41.012,41.7,87570.0,8.47,1.68,8855.97,1033960.13
2025-12-26,000651.SZ,格力电器,消费成长红利,2000,39.89,40.76,81520.0,7.88,2.18,8855.97,1033960.13
2025-12-26,601088.SH,中国神华,周期资源红利,2500,38.799,40.07,100175.0,9.69,3.28,8855.97,1033960.13
2025-12-26,600690.SH,海尔智家,消费成长红利,2100,25.746,26.74,56154.0,5.43,3.86,8855.97,1033960.13
2025-12-26,600886.SH,国投电力,弱周期红利,2700,13.153,13.42,36234.0,3.5,2.03,8855.97,1033960.13
2025-12-26,600900.SH,长江电力,弱周期红利,1300,27.497,27.64,35932.0,3.48,0.52,8855.97,1033960.13
2025-12-26,515180.SH,易方达红利ETF,ETF红利,90100,1.373,1.372,123617.2,11.96,-0.1,8855.97,1033960.13
2026-03-27,511880.SH,银华日利,现金管理,1900,101.1,101.459,192772.64,18.14,0.36,14122.65,1062416.39
2026-03-27,601988.SH,中国银行,弱周期红利,13900,5.606,5.57,77423.0,7.29,-0.64,14122.65,1062416.39
2026-03-27,000333.SZ,美的集团,消费成长红利,1200,72.352,74.78,89736.0,8.45,3.36,14122.65,1062416.39
2026-03-27,601225.SH,陕西煤业,周期资源红利,2100,19.319,26.12,54852.0,5.16,35.2,14122.65,1062416.39
2026-03-27,601939.SH,建设银行,弱周期红利,8000,9.379,9.42,75360.0,7.09,0.43,14122.65,1062416.39
2026-03-27,000858.SZ,五粮液,消费成长红利,400,120.29,102.65,41060.0,3.86,-14.66,14122.65,1062416.39
2026-03-27,600036.SH,招商银行,弱周期红利,2100,41.012,39.44,82824.0,7.8,-3.83,14122.65,1062416.39
2026-03-27,601398.SH,工商银行,弱周期红利,10000,7.407,7.4,74000.0,6.97,-0.1,14122.65,1062416.39
2026-03-27,000651.SZ,格力电器,消费成长红利,2000,39.89,37.88,75760.0,7.13,-5.04,14122.65,1062416.39
2026-03-27,601088.SH,中国神华,周期资源红利,1200,38.799,47.5,57000.0,5.37,22.43,14122.65,1062416.39
2026-03-27,600690.SH,海尔智家,消费成长红利,2100,25.746,22.23,46683.0,4.39,-13.66,14122.65,1062416.39
2026-03-27,515180.SH,易方达红利ETF,ETF红利,90100,1.373,1.431,128933.1,12.14,4.2,14122.65,1062416.39
2026-03-27,000568.SZ,泸州老窖,消费成长红利,500,103.884,103.78,51890.0,4.88,-0.1,14122.65,1062416.39
