date,ts_code,name,category,shares,cost_price,current_price,market_value,weight,profit_pct,cash,total_value
2015-03-27,511880.SH,银华日利,现金管理,9700,101.269,101.168,981329.39,98.33,-0.1,16706.97,998036.36
2015-06-26,511880.SH,银华日利,现金管理,3900,101.269,102.079,398108.36,39.66,0.8,4339.07,1003895.43
2015-06-26,601088.SH,中国神华,周期龙头红利,1600,19.81,19.79,31664.0,3.15,-0.1,4339.07,1003895.43
2015-06-26,002595.SZ,豪迈科技,周期龙头红利,1500,21.191,21.17,31755.0,3.16,-0.1,4339.07,1003895.43
2015-06-26,600183.SH,生益科技,周期龙头红利,3100,10.32,10.31,31961.0,3.18,-0.1,4339.07,1003895.43
2015-06-26,600023.SH,浙能电力,周期龙头红利,3300,9.7,9.69,31977.0,3.19,-0.1,4339.07,1003895.43
2015-06-26,600066.SH,宇通客车,周期龙头红利,3500,18.518,18.5,64750.0,6.45,-0.1,4339.07,1003895.43
2015-06-26,600000.SH,浦发银行,周期龙头红利,2000,15.866,15.85,31700.0,3.16,-0.1,4339.07,1003895.43
2015-06-26,600887.SH,伊利股份,周期龙头红利,3600,17.638,17.62,63432.0,6.32,-0.1,4339.07,1003895.43
2015-06-26,600563.SH,法拉电子,周期龙头红利,1000,31.361,31.33,31330.0,3.12,-0.1,4339.07,1003895.43
2015-06-26,000895.SZ,双汇发展,周期龙头红利,3200,20.14,20.12,64384.0,6.41,-0.1,4339.07,1003895.43
2015-06-26,600660.SH,福耀玻璃,周期龙头红利,4700,13.604,13.59,63873.0,6.36,-0.1,4339.07,1003895.43
2015-06-26,002304.SZ,洋河股份,周期龙头红利,400,65.866,65.8,26320.0,2.62,-0.1,4339.07,1003895.43
2015-06-26,002670.SZ,国盛证券,周期龙头红利,1700,18.719,18.7,31790.0,3.17,-0.1,4339.07,1003895.43
2015-06-26,600027.SH,华电国际,周期龙头红利,3100,10.32,10.31,31961.0,3.18,-0.1,4339.07,1003895.43
2015-06-26,601688.SH,华泰证券,周期龙头红利,1400,23.023,23.0,32200.0,3.21,-0.1,4339.07,1003895.43
2015-06-26,603288.SH,海天味业,周期龙头红利,1100,29.439,29.41,32351.0,3.22,-0.1,4339.07,1003895.43
2015-09-25,511880.SH,银华日利,现金管理,7900,102.061,102.73,811565.77,88.25,0.66,13403.88,919581.65
2015-09-25,000895.SZ,双汇发展,周期龙头红利,1000,20.14,17.99,17990.0,1.96,-10.68,13403.88,919581.65
2015-09-25,600660.SH,福耀玻璃,周期龙头红利,1500,13.604,11.7,17550.0,1.91,-13.99,13403.88,919581.65
2015-09-25,601601.SH,中国太保,周期龙头红利,2600,22.743,22.72,59072.0,6.42,-0.1,13403.88,919581.65
2015-12-25,511880.SH,银华日利,现金管理,5800,102.061,103.409,599769.37,62.97,1.32,6336.91,952464.27
2015-12-25,600066.SH,宇通客车,周期龙头红利,1100,22.512,22.49,24739.0,2.6,-0.1,6336.91,952464.27
2015-12-25,600887.SH,伊利股份,周期龙头红利,1500,17.117,17.1,25650.0,2.69,-0.1,6336.91,952464.27
2015-12-25,000895.SZ,双汇发展,周期龙头红利,1000,20.14,21.02,21020.0,2.21,4.37,6336.91,952464.27
2015-12-25,600660.SH,福耀玻璃,周期龙头红利,1500,13.604,15.71,23565.0,2.47,15.48,6336.91,952464.27
2015-12-25,600011.SH,华能国际,周期龙头红利,2800,8.989,8.98,25144.0,2.64,-0.1,6336.91,952464.27
2015-12-25,000830.SZ,鲁西化工,周期龙头红利,3600,7.097,7.09,25524.0,2.68,-0.1,6336.91,952464.27
2015-12-25,600104.SH,上汽集团,周期龙头红利,1100,21.872,21.85,24035.0,2.52,-0.1,6336.91,952464.27
2015-12-25,601006.SH,大秦铁路,周期龙头红利,2800,9.029,9.02,25256.0,2.65,-0.1,6336.91,952464.27
2015-12-25,600690.SH,海尔智家,周期龙头红利,2500,9.93,9.92,24800.0,2.6,-0.1,6336.91,952464.27
2015-12-25,601633.SH,长城汽车,周期龙头红利,2100,12.152,12.14,25494.0,2.68,-0.1,6336.91,952464.27
2015-12-25,601288.SH,农业银行,周期龙头红利,7800,3.273,3.27,25506.0,2.68,-0.1,6336.91,952464.27
2015-12-25,600377.SH,宁沪高速,周期龙头红利,2900,8.859,8.85,25665.0,2.69,-0.1,6336.91,952464.27
2015-12-25,000651.SZ,格力电器,周期龙头红利,1100,23.023,23.0,25300.0,2.66,-0.1,6336.91,952464.27
