date,ts_code,name,action,price,shares,amount,commission,reason,category
2015-03-27,511880.SH,银华日利,buy,101.269,9700,982310.72,982.31,闲置现金扫入,现金管理
2015-06-26,511880.SH,银华日利,sell,101.977,200,20395.4,40.79,释放现金用于调仓,现金管理
2015-06-26,601088.SH,中国神华,buy,19.81,1600,31695.66,31.7,新买入，评分56(👀 观察等待)，股息率3.55%，目标权重3.2%,周期龙头红利
2015-06-26,511880.SH,银华日利,sell,101.977,300,30593.1,61.19,释放现金用于调仓,现金管理
2015-06-26,002595.SZ,豪迈科技,buy,21.191,1500,31786.76,31.79,新买入，评分52(👀 观察等待)，股息率2.24%，目标权重3.2%,周期龙头红利
2015-06-26,511880.SH,银华日利,sell,101.977,300,30593.1,61.19,释放现金用于调仓,现金管理
2015-06-26,600183.SH,生益科技,buy,10.32,3100,31992.96,31.99,新买入，评分53(👀 观察等待)，股息率2.30%，目标权重3.2%,周期龙头红利
2015-06-26,511880.SH,银华日利,sell,101.977,300,30593.1,61.19,释放现金用于调仓,现金管理
2015-06-26,600023.SH,浙能电力,buy,9.7,3300,32008.98,32.01,新买入，评分55(👀 观察等待)，股息率2.45%，目标权重3.2%,周期龙头红利
2015-06-26,511880.SH,银华日利,sell,101.977,700,71383.89,142.77,释放现金用于调仓,现金管理
2015-06-26,600066.SH,宇通客车,buy,18.518,3500,64814.75,64.81,新买入，评分70(✅ 积极布局)，股息率5.14%，目标权重6.5%,周期龙头红利
2015-06-26,511880.SH,银华日利,sell,101.977,300,30593.1,61.19,释放现金用于调仓,现金管理
2015-06-26,600000.SH,浦发银行,buy,15.866,2000,31731.7,31.73,新买入，评分60(👀 观察等待)，股息率4.54%，目标权重3.2%,周期龙头红利
2015-06-26,511880.SH,银华日利,sell,101.977,600,61186.19,122.37,释放现金用于调仓,现金管理
2015-06-26,600887.SH,伊利股份,buy,17.638,3600,63495.43,63.5,新买入，评分69(✅ 积极布局)，股息率4.31%，目标权重6.5%,周期龙头红利
2015-06-26,511880.SH,银华日利,sell,101.977,300,30593.1,61.19,释放现金用于调仓,现金管理
2015-06-26,600563.SH,法拉电子,buy,31.361,1000,31361.33,31.36,新买入，评分51(👀 观察等待)，股息率2.12%，目标权重3.2%,周期龙头红利
2015-06-26,511880.SH,银华日利,sell,101.977,700,71383.89,142.77,释放现金用于调仓,现金管理
2015-06-26,000895.SZ,双汇发展,buy,20.14,3200,64448.38,64.45,新买入，评分70(✅ 积极布局)，股息率6.70%，目标权重6.5%,周期龙头红利
2015-06-26,511880.SH,银华日利,sell,101.977,600,61186.19,122.37,释放现金用于调仓,现金管理
2015-06-26,600660.SH,福耀玻璃,buy,13.604,4700,63936.87,63.94,新买入，评分70(✅ 积极布局)，股息率5.24%，目标权重6.5%,周期龙头红利
2015-06-26,511880.SH,银华日利,sell,101.977,300,30593.1,61.19,释放现金用于调仓,现金管理
2015-06-26,002304.SZ,洋河股份,buy,65.866,400,26346.32,26.35,新买入，评分59(👀 观察等待)，股息率2.89%，目标权重3.2%,周期龙头红利
2015-06-26,511880.SH,银华日利,sell,101.977,300,30593.1,61.19,释放现金用于调仓,现金管理
2015-06-26,002670.SZ,国盛证券,buy,18.719,1700,31821.79,31.82,新买入，评分50(👀 观察等待)，股息率2.03%，目标权重3.2%,周期龙头红利
2015-06-26,511880.SH,银华日利,sell,101.977,300,30593.1,61.19,释放现金用于调仓,现金管理
2015-06-26,600027.SH,华电国际,buy,10.32,3100,31992.96,31.99,新买入，评分55(👀 观察等待)，股息率2.49%，目标权重3.2%,周期龙头红利
2015-06-26,511880.SH,银华日利,sell,101.977,300,30593.1,61.19,释放现金用于调仓,现金管理
2015-06-26,601688.SH,华泰证券,buy,23.023,1400,32232.2,32.23,新买入，评分51(👀 观察等待)，股息率2.07%，目标权重3.2%,周期龙头红利
2015-06-26,511880.SH,银华日利,sell,101.977,300,30593.1,61.19,释放现金用于调仓,现金管理
2015-06-26,603288.SH,海天味业,buy,29.439,1100,32383.35,32.38,新买入，评分57(👀 观察等待)，股息率2.75%，目标权重3.2%,周期龙头红利
2015-09-25,601088.SH,中国神华,sell,14.895,1600,23832.14,47.66,清仓，评分65(👀 观察等待)，低于观察阈值，当前权重2.6%,周期龙头红利
2015-09-25,600023.SH,浙能电力,sell,7.273,3300,23999.98,48.0,清仓，评分62(👀 观察等待)，低于观察阈值，当前权重2.6%,周期龙头红利
2015-09-25,600563.SH,法拉电子,sell,26.204,1000,26203.77,52.41,清仓，评分55(👀 观察等待)，低于观察阈值，当前权重2.8%,周期龙头红利
2015-09-25,002304.SZ,洋河股份,sell,53.926,400,21570.41,43.14,清仓，评分63(👀 观察等待)，低于观察阈值，当前权重2.3%,周期龙头红利
2015-09-25,002670.SZ,国盛证券,sell,18.681,1700,31758.21,63.52,清仓，评分50(👀 观察等待)，低于观察阈值，当前权重3.4%,周期龙头红利
2015-09-25,600660.SH,福耀玻璃,sell,11.688,3200,37402.56,74.81,减仓，评分70(✅ 积极布局)，权重6.0%→1.9%,周期龙头红利
2015-09-25,601688.SH,华泰证券,sell,14.006,1400,19608.37,39.22,清仓，评分63(👀 观察等待)，低于观察阈值，当前权重2.1%,周期龙头红利
