date,ts_code,name,category,shares,cost_price,current_price,market_value,weight,profit_pct,cash,total_value
2015-03-27,511880.SH,银华日利,现金管理,9700,101.269,101.168,981329.39,98.33,-0.1,16706.97,998036.36
2015-06-26,511880.SH,银华日利,现金管理,5900,101.269,102.079,602266.49,59.93,0.8,4773.35,1004914.84
2015-06-26,600887.SH,伊利股份,消费红利,2800,17.638,17.62,49336.0,4.91,-0.1,4773.35,1004914.84
2015-06-26,000895.SZ,双汇发展,消费红利,7400,20.14,20.12,148888.0,14.82,-0.1,4773.35,1004914.84
2015-06-26,600000.SH,浦发银行,金融红利,3100,15.866,15.85,49135.0,4.89,-0.1,4773.35,1004914.84
2015-06-26,600660.SH,福耀玻璃,消费红利,7400,13.604,13.59,100566.0,10.01,-0.1,4773.35,1004914.84
2015-06-26,600066.SH,宇通客车,消费红利,2700,18.518,18.5,49950.0,4.97,-0.1,4773.35,1004914.84
2015-09-25,511880.SH,银华日利,现金管理,300,101.269,102.73,30818.95,3.18,1.44,193.21,967917.16
2015-09-25,600887.SH,伊利股份,消费红利,2800,17.638,15.4,43120.0,4.45,-12.69,193.21,967917.16
2015-09-25,000895.SZ,双汇发展,消费红利,7400,20.14,17.99,133126.0,13.75,-10.68,193.21,967917.16
2015-09-25,600000.SH,浦发银行,金融红利,3100,15.866,15.59,48329.0,4.99,-1.74,193.21,967917.16
2015-09-25,600660.SH,福耀玻璃,消费红利,10500,13.045,11.7,122850.0,12.69,-10.31,193.21,967917.16
2015-09-25,600066.SH,宇通客车,消费红利,4500,18.342,18.06,81270.0,8.4,-1.54,193.21,967917.16
2015-09-25,601398.SH,工商银行,金融红利,22100,4.454,4.45,98345.0,10.16,-0.1,193.21,967917.16
2015-09-25,601288.SH,农业银行,金融红利,31700,3.113,3.11,98587.0,10.19,-0.1,193.21,967917.16
2015-09-25,000651.SZ,格力电器,消费红利,9200,16.106,16.09,148028.0,15.29,-0.1,193.21,967917.16
2015-09-25,600690.SH,海尔智家,消费红利,4300,9.439,9.43,40549.0,4.19,-0.1,193.21,967917.16
2015-09-25,600377.SH,宁沪高速,基础设施红利,5100,8.058,8.05,41055.0,4.24,-0.1,193.21,967917.16
2015-09-25,600011.SH,华能国际,基础设施红利,4700,8.639,8.63,40561.0,4.19,-0.1,193.21,967917.16
2015-09-25,601818.SH,光大银行,金融红利,9900,4.154,4.15,41085.0,4.24,-0.1,193.21,967917.16
2015-12-25,511880.SH,银华日利,现金管理,1000,102.839,103.409,103408.51,8.99,0.55,17261.7,1150119.21
2015-12-25,600887.SH,伊利股份,消费红利,2800,17.638,17.1,47880.0,4.16,-3.05,17261.7,1150119.21
2015-12-25,000895.SZ,双汇发展,消费红利,7400,20.14,21.02,155548.0,13.52,4.37,17261.7,1150119.21
2015-12-25,600660.SH,福耀玻璃,消费红利,3700,13.045,15.71,58127.0,5.05,20.43,17261.7,1150119.21
2015-12-25,600066.SH,宇通客车,消费红利,2600,18.342,22.49,58474.0,5.08,22.61,17261.7,1150119.21
2015-12-25,601398.SH,工商银行,金融红利,14900,4.454,4.65,69285.0,6.02,4.39,17261.7,1150119.21
2015-12-25,601288.SH,农业银行,金融红利,21200,3.113,3.27,69324.0,6.03,5.04,17261.7,1150119.21
2015-12-25,000651.SZ,格力电器,消费红利,9200,16.106,23.0,211600.0,18.4,42.8,17261.7,1150119.21
2015-12-25,600690.SH,海尔智家,消费红利,4300,9.439,9.92,42656.0,3.71,5.09,17261.7,1150119.21
2015-12-25,600377.SH,宁沪高速,基础设施红利,5100,8.058,8.85,45135.0,3.92,9.83,17261.7,1150119.21
2015-12-25,600011.SH,华能国际,基础设施红利,4700,8.639,8.98,42206.0,3.67,3.95,17261.7,1150119.21
2015-12-25,601006.SH,大秦铁路,防御红利,6300,9.029,9.02,56826.0,4.94,-0.1,17261.7,1150119.21
2015-12-25,601633.SH,长城汽车,消费红利,14200,12.152,12.14,172388.0,14.99,-0.1,17261.7,1150119.21
2016-03-25,600887.SH,伊利股份,消费红利,5200,16.044,14.17,73684.0,7.29,-11.68,2158.84,1010753.84
2016-03-25,000895.SZ,双汇发展,消费红利,5600,20.14,20.12,112672.0,11.15,-0.1,2158.84,1010753.84
2016-03-25,600660.SH,福耀玻璃,消费红利,3700,13.045,14.78,54686.0,5.41,13.3,2158.84,1010753.84
2016-03-25,600066.SH,宇通客车,消费红利,2600,18.342,19.74,51324.0,5.08,7.62,2158.84,1010753.84
2016-03-25,601398.SH,工商银行,金融红利,20800,4.406,4.28,89024.0,8.81,-2.86,2158.84,1010753.84
2016-03-25,601288.SH,农业银行,金融红利,28200,3.126,3.16,89112.0,8.82,1.1,2158.84,1010753.84
2016-03-25,000651.SZ,格力电器,消费红利,7000,16.106,19.22,134540.0,13.31,19.33,2158.84,1010753.84
2016-03-25,600690.SH,海尔智家,消费红利,10500,8.89,8.5,89250.0,8.83,-4.38,2158.84,1010753.84
2016-03-25,601818.SH,光大银行,金融红利,10000,3.704,3.7,37000.0,3.66,-0.1,2158.84,1010753.84
2016-03-25,601006.SH,大秦铁路,防御红利,16300,7.678,6.82,111166.0,11.0,-11.17,2158.84,1010753.84
2016-03-25,601633.SH,长城汽车,消费红利,14200,12.152,9.1,129220.0,12.78,-25.12,2158.84,1010753.84
2016-03-25,601328.SH,交通银行,金融红利,6700,5.516,5.51,36917.0,3.65,-0.1,2158.84,1010753.84
2016-06-24,511880.SH,银华日利,现金管理,300,104.815,104.71,31413.02,3.07,-0.1,19843.04,1021989.06
2016-06-24,000895.SZ,双汇发展,消费红利,3600,20.14,20.85,75060.0,7.34,3.52,19843.04,1021989.06
2016-06-24,600660.SH,福耀玻璃,消费红利,5300,13.265,13.76,72928.0,7.14,3.73,19843.04,1021989.06
2016-06-24,600066.SH,宇通客车,消费红利,5600,19.086,19.71,110376.0,10.8,3.27,19843.04,1021989.06
2016-06-24,601398.SH,工商银行,金融红利,20800,4.406,4.4,91520.0,8.96,-0.14,19843.04,1021989.06
2016-06-24,601288.SH,农业银行,金融红利,14000,3.126,3.17,44380.0,4.34,1.42,19843.04,1021989.06
2016-06-24,000651.SZ,格力电器,消费红利,7000,16.106,19.22,134540.0,13.16,19.33,19843.04,1021989.06
2016-06-24,600690.SH,海尔智家,消费红利,5200,8.89,8.63,44876.0,4.39,-2.92,19843.04,1021989.06
2016-06-24,601006.SH,大秦铁路,防御红利,16300,7.678,6.31,102853.0,10.06,-17.82,19843.04,1021989.06
2016-06-24,601633.SH,长城汽车,消费红利,8800,12.152,8.4,73920.0,7.23,-30.88,19843.04,1021989.06
2016-06-24,600023.SH,浙能电力,基础设施红利,14600,5.045,5.04,73584.0,7.2,-0.1,19843.04,1021989.06
2016-06-24,600027.SH,华电国际,基础设施红利,14800,4.975,4.97,73556.0,7.2,-0.1,19843.04,1021989.06
2016-06-24,600741.SH,华域汽车,消费红利,5300,13.814,13.8,73140.0,7.16,-0.1,19843.04,1021989.06
2016-09-30,511880.SH,银华日利,现金管理,500,105.116,105.463,52731.55,4.58,0.33,20186.4,1152020.96
2016-09-30,000895.SZ,双汇发展,消费红利,2300,20.14,23.59,54257.0,4.71,17.13,20186.4,1152020.96
2016-09-30,600660.SH,福耀玻璃,消费红利,3100,13.265,16.89,52359.0,4.54,27.33,20186.4,1152020.96
2016-09-30,600066.SH,宇通客车,消费红利,7000,19.685,22.06,154420.0,13.4,12.07,20186.4,1152020.96
2016-09-30,601398.SH,工商银行,金融红利,14200,4.406,4.43,62906.0,5.46,0.54,20186.4,1152020.96
2016-09-30,601288.SH,农业银行,金融红利,14000,3.126,3.13,43820.0,3.8,0.14,20186.4,1152020.96
2016-09-30,000651.SZ,格力电器,消费红利,5700,16.106,22.22,126654.0,10.99,37.96,20186.4,1152020.96
2016-09-30,600011.SH,华能国际,基础设施红利,22200,7.047,7.04,156288.0,13.57,-0.1,20186.4,1152020.96
2016-09-30,601818.SH,光大银行,金融红利,16500,3.794,3.79,62535.0,5.43,-0.1,20186.4,1152020.96
2016-09-30,601006.SH,大秦铁路,防御红利,24600,7.229,6.34,155964.0,13.54,-12.29,20186.4,1152020.96
2016-09-30,600023.SH,浙能电力,基础设施红利,10000,5.045,5.24,52400.0,4.55,3.86,20186.4,1152020.96
2016-09-30,600027.SH,华电国际,基础设施红利,21000,4.969,4.95,103950.0,9.02,-0.38,20186.4,1152020.96
2016-09-30,600741.SH,华域汽车,消费红利,3400,13.814,15.75,53550.0,4.65,14.02,20186.4,1152020.96
2016-12-30,511880.SH,银华日利,现金管理,800,105.508,106.054,84843.47,7.26,0.52,17482.16,1169169.63
2016-12-30,000895.SZ,双汇发展,消费红利,5500,20.612,20.93,115115.0,9.85,1.54,17482.16,1169169.63
2016-12-30,600066.SH,宇通客车,消费红利,8900,19.669,19.59,174351.0,14.91,-0.4,17482.16,1169169.63
2016-12-30,601398.SH,工商银行,金融红利,14200,4.406,4.41,62622.0,5.36,0.09,17482.16,1169169.63
2016-12-30,601288.SH,农业银行,金融红利,22600,3.117,3.1,70060.0,5.99,-0.55,17482.16,1169169.63
2016-12-30,000651.SZ,格力电器,消费红利,5700,16.106,24.62,140334.0,12.0,52.86,17482.16,1169169.63
2016-12-30,600011.SH,华能国际,基础设施红利,16600,7.047,7.05,117030.0,10.01,0.04,17482.16,1169169.63
2016-12-30,601006.SH,大秦铁路,防御红利,16600,7.229,7.08,117528.0,10.05,-2.06,17482.16,1169169.63
2016-12-30,600023.SH,浙能电力,基础设施红利,10000,5.045,5.43,54300.0,4.64,7.63,17482.16,1169169.63
2016-12-30,600027.SH,华电国际,基础设施红利,21000,4.969,4.95,103950.0,8.89,-0.38,17482.16,1169169.63
2016-12-30,600741.SH,华域汽车,消费红利,3400,13.814,15.95,54230.0,4.64,15.46,17482.16,1169169.63
2016-12-30,000776.SZ,广发证券,金融红利,3400,16.877,16.86,57324.0,4.9,-0.1,17482.16,1169169.63
2017-03-31,511880.SH,银华日利,现金管理,3100,106.594,106.865,331280.76,26.1,0.25,18020.05,1269064.8
2017-03-31,000895.SZ,双汇发展,消费红利,5500,20.612,22.55,124025.0,9.77,9.4,18020.05,1269064.8
2017-03-31,600066.SH,宇通客车,消费红利,8900,19.669,21.48,191172.0,15.06,9.21,18020.05,1269064.8
2017-03-31,601288.SH,农业银行,金融红利,22600,3.117,3.34,75484.0,5.95,7.15,18020.05,1269064.8
2017-03-31,600011.SH,华能国际,基础设施红利,16600,7.047,7.17,119022.0,9.38,1.74,18020.05,1269064.8
2017-03-31,601006.SH,大秦铁路,防御红利,16600,7.229,7.57,125662.0,9.9,4.72,18020.05,1269064.8
2017-03-31,600023.SH,浙能电力,基础设施红利,10000,5.045,5.7,57000.0,4.49,12.98,18020.05,1269064.8
2017-03-31,600027.SH,华电国际,基础设施红利,21000,4.969,5.04,105840.0,8.34,1.43,18020.05,1269064.8
2017-03-31,000776.SZ,广发证券,金融红利,3400,16.877,17.09,58106.0,4.58,1.26,18020.05,1269064.8
2017-03-31,600999.SH,招商证券,金融红利,3900,16.286,16.27,63453.0,5.0,-0.1,18020.05,1269064.8
2017-06-30,511880.SH,银华日利,现金管理,6700,107.311,107.821,722403.24,54.53,0.48,14802.42,1324693.66
2017-06-30,000895.SZ,双汇发展,消费红利,8300,21.679,23.75,197125.0,14.88,9.56,14802.42,1324693.66
2017-06-30,600066.SH,宇通客车,消费红利,3100,19.669,21.97,68107.0,5.14,11.7,14802.42,1324693.66
2017-06-30,600027.SH,华电国际,基础设施红利,27400,4.938,4.83,132342.0,9.99,-2.18,14802.42,1324693.66
2017-06-30,000776.SZ,广发证券,金融红利,3400,16.877,17.25,58650.0,4.43,2.21,14802.42,1324693.66
2017-06-30,300498.SZ,温氏股份,防御红利,5600,23.463,23.44,131264.0,9.91,-0.1,14802.42,1324693.66
2017-09-29,511880.SH,银华日利,现金管理,6000,107.311,108.919,653513.37,48.91,1.5,11062.49,1336251.85
2017-09-29,000895.SZ,双汇发展,消费红利,8300,21.679,24.9,206670.0,15.47,14.86,11062.49,1336251.85
2017-09-29,600741.SH,华域汽车,消费红利,2900,22.573,22.55,65395.0,4.89,-0.1,11062.49,1336251.85
2017-09-29,300498.SZ,温氏股份,防御红利,9300,22.695,21.51,200043.0,14.97,-5.22,11062.49,1336251.85
2017-09-29,000625.SZ,长安汽车,消费红利,4700,14.184,14.17,66599.0,4.98,-0.1,11062.49,1336251.85
2017-09-29,000338.SZ,潍柴动力,消费红利,8900,7.497,7.49,66661.0,4.99,-0.1,11062.49,1336251.85
2017-09-29,600900.SH,长江电力,基础设施红利,4400,15.085,15.07,66308.0,4.96,-0.1,11062.49,1336251.85
2017-12-29,511880.SH,银华日利,现金管理,6200,107.398,109.902,681390.45,48.64,2.33,21337.72,1400983.18
2017-12-29,000895.SZ,双汇发展,消费红利,8300,21.679,26.5,219950.0,15.7,22.24,21337.72,1400983.18
2017-12-29,600377.SH,宁沪高速,基础设施红利,7100,9.86,9.85,69935.0,4.99,-0.1,21337.72,1400983.18
2017-12-29,600011.SH,华能国际,基础设施红利,11300,6.176,6.17,69721.0,4.98,-0.1,21337.72,1400983.18
2017-12-29,600023.SH,浙能电力,基础设施红利,13100,5.335,5.33,69823.0,4.98,-0.1,21337.72,1400983.18
2017-12-29,300498.SZ,温氏股份,防御红利,5900,22.695,23.9,141010.0,10.07,5.31,21337.72,1400983.18
2017-12-29,000625.SZ,长安汽车,消费红利,4700,14.184,12.6,59220.0,4.23,-11.17,21337.72,1400983.18
2017-12-29,600900.SH,长江电力,基础设施红利,4400,15.085,15.59,68596.0,4.9,3.35,21337.72,1400983.18
2018-03-30,511880.SH,银华日利,现金管理,3600,107.398,111.003,399611.93,28.84,3.36,4122.09,1385520.02
2018-03-30,000895.SZ,双汇发展,消费红利,8300,21.679,25.6,212480.0,15.34,18.09,4122.09,1385520.02
2018-03-30,600066.SH,宇通客车,消费红利,3000,22.382,22.36,67080.0,4.84,-0.1,4122.09,1385520.02
2018-03-30,600377.SH,宁沪高速,基础设施红利,7100,9.86,9.66,68586.0,4.95,-2.03,4122.09,1385520.02
2018-03-30,600011.SH,华能国际,基础设施红利,11300,6.176,6.87,77631.0,5.6,11.23,4122.09,1385520.02
2018-03-30,600023.SH,浙能电力,基础设施红利,13100,5.335,5.53,72443.0,5.23,3.65,4122.09,1385520.02
2018-03-30,300498.SZ,温氏股份,防御红利,9900,21.962,20.86,206514.0,14.91,-5.02,4122.09,1385520.02
2018-03-30,000625.SZ,长安汽车,消费红利,12300,12.36,11.22,138006.0,9.96,-9.22,4122.09,1385520.02
2018-03-30,000338.SZ,潍柴动力,消费红利,8300,8.268,8.26,68558.0,4.95,-0.1,4122.09,1385520.02
2018-03-30,600900.SH,长江电力,基础设施红利,4400,15.085,16.02,70488.0,5.09,6.2,4122.09,1385520.02
2018-06-29,511880.SH,银华日利,现金管理,1700,107.398,112.052,190488.87,13.93,4.33,4629.23,1367170.1
2018-06-29,000895.SZ,双汇发展,消费红利,2600,21.679,26.41,68666.0,5.02,21.83,4629.23,1367170.1
2018-06-29,600066.SH,宇通客车,消费红利,7100,20.55,19.19,136249.0,9.97,-6.62,4629.23,1367170.1
2018-06-29,601288.SH,农业银行,金融红利,23800,3.443,3.44,81872.0,5.99,-0.1,4629.23,1367170.1
2018-06-29,601006.SH,大秦铁路,防御红利,16600,8.218,8.21,136286.0,9.97,-0.1,4629.23,1367170.1
2018-06-29,601328.SH,交通银行,金融红利,11900,5.746,5.74,68306.0,5.0,-0.1,4629.23,1367170.1
2018-06-29,600023.SH,浙能电力,基础设施红利,13100,5.335,4.66,61046.0,4.47,-12.66,4629.23,1367170.1
2018-06-29,600741.SH,华域汽车,消费红利,2800,23.744,23.72,66416.0,4.86,-0.1,4629.23,1367170.1
2018-06-29,000625.SZ,长安汽车,消费红利,22800,10.817,9.0,205200.0,15.01,-16.79,4629.23,1367170.1
2018-06-29,600900.SH,长江电力,基础设施红利,4400,15.085,16.14,71016.0,5.19,6.99,4629.23,1367170.1
2018-06-29,600028.SH,中国石化,周期资源红利,17600,6.496,6.49,114224.0,8.35,-0.1,4629.23,1367170.1
2018-06-29,002601.SZ,龙佰集团,周期资源红利,7300,12.943,12.93,94389.0,6.9,-0.1,4629.23,1367170.1
2018-06-29,600795.SH,国电电力,基础设施红利,26100,2.623,2.62,68382.0,5.0,-0.1,4629.23,1367170.1
2018-09-28,511880.SH,银华日利,现金管理,1800,107.716,113.001,203402.5,15.03,4.91,16059.45,1353244.95
2018-09-28,000895.SZ,双汇发展,消费红利,2600,21.679,26.15,67990.0,5.02,20.63,16059.45,1353244.95
2018-09-28,601288.SH,农业银行,金融红利,23800,3.443,3.89,92582.0,6.84,12.97,16059.45,1353244.95
2018-09-28,601818.SH,光大银行,金融红利,17300,3.914,3.91,67643.0,5.0,-0.1,16059.45,1353244.95
2018-09-28,601006.SH,大秦铁路,防御红利,16600,8.218,8.23,136618.0,10.1,0.14,16059.45,1353244.95
2018-09-28,601328.SH,交通银行,金融红利,11900,5.746,5.84,69496.0,5.14,1.64,16059.45,1353244.95
2018-09-28,600741.SH,华域汽车,消费红利,2800,23.744,22.5,63000.0,4.66,-5.24,16059.45,1353244.95
2018-09-28,000625.SZ,长安汽车,消费红利,18700,10.817,7.28,136136.0,10.06,-32.7,16059.45,1353244.95
2018-09-28,000338.SZ,潍柴动力,消费红利,7900,8.559,8.55,67545.0,4.99,-0.1,16059.45,1353244.95
2018-09-28,600900.SH,长江电力,基础设施红利,4400,15.085,16.38,72072.0,5.33,8.58,16059.45,1353244.95
2018-09-28,600028.SH,中国石化,周期资源红利,17600,6.496,7.12,125312.0,9.26,9.6,16059.45,1353244.95
2018-09-28,002601.SZ,龙佰集团,周期资源红利,7300,12.943,13.75,100375.0,7.42,6.24,16059.45,1353244.95
2018-09-28,000157.SZ,中联重科,防御红利,36100,3.744,3.74,135014.0,9.98,-0.1,16059.45,1353244.95
2018-12-28,511880.SH,银华日利,现金管理,500,107.716,113.707,56853.3,4.53,5.56,3620.31,1255798.6
2018-12-28,600066.SH,宇通客车,消费红利,5300,11.862,11.85,62805.0,5.0,-0.1,3620.31,1255798.6
2018-12-28,000651.SZ,格力电器,消费红利,2100,35.726,35.69,74949.0,5.97,-0.1,3620.31,1255798.6
2018-12-28,601818.SH,光大银行,金融红利,17300,3.914,3.7,64010.0,5.1,-5.47,3620.31,1255798.6
2018-12-28,601006.SH,大秦铁路,防御红利,16600,8.218,8.23,136618.0,10.88,0.14,3620.31,1255798.6
2018-12-28,600741.SH,华域汽车,消费红利,6800,20.611,18.4,125120.0,9.96,-10.73,3620.31,1255798.6
2018-12-28,000625.SZ,长安汽车,消费红利,28600,9.356,6.59,188474.0,15.01,-29.56,3620.31,1255798.6
2018-12-28,000338.SZ,潍柴动力,消费红利,16300,8.12,7.7,125510.0,9.99,-5.17,3620.31,1255798.6
2018-12-28,600028.SH,中国石化,周期资源红利,17600,6.496,5.05,88880.0,7.08,-22.27,3620.31,1255798.6
2018-12-28,000157.SZ,中联重科,防御红利,36100,3.744,3.56,128516.0,10.23,-4.91,3620.31,1255798.6
2018-12-28,601998.SH,中信银行,金融红利,11500,5.455,5.45,62675.0,4.99,-0.1,3620.31,1255798.6
2018-12-28,601169.SH,北京银行,金融红利,11200,5.616,5.61,62832.0,5.0,-0.1,3620.31,1255798.6
2018-12-28,601009.SH,南京银行,金融红利,11600,6.466,6.46,74936.0,5.97,-0.1,3620.31,1255798.6
2019-03-29,511880.SH,银华日利,现金管理,3300,113.556,114.485,377798.88,25.15,0.82,21320.22,1502173.1
2019-03-29,000895.SZ,双汇发展,消费红利,2900,25.876,25.85,74965.0,4.99,-0.1,21320.22,1502173.1
2019-03-29,601288.SH,农业银行,金融红利,20100,3.734,3.73,74973.0,4.99,-0.1,21320.22,1502173.1
2019-03-29,600377.SH,宁沪高速,基础设施红利,7600,9.91,9.9,75240.0,5.01,-0.1,21320.22,1502173.1
2019-03-29,601006.SH,大秦铁路,防御红利,16600,8.218,8.34,138444.0,9.22,1.48,21320.22,1502173.1
2019-03-29,601328.SH,交通银行,金融红利,12000,6.246,6.24,74880.0,4.98,-0.1,21320.22,1502173.1
2019-03-29,600741.SH,华域汽车,消费红利,3700,20.611,20.38,75406.0,5.02,-1.12,21320.22,1502173.1
2019-03-29,000625.SZ,长安汽车,消费红利,18200,9.356,8.28,150696.0,10.03,-11.5,21320.22,1502173.1
2019-03-29,600900.SH,长江电力,基础设施红利,4400,16.887,16.87,74228.0,4.94,-0.1,21320.22,1502173.1
2019-03-29,600028.SH,中国石化,周期资源红利,17600,6.496,5.74,101024.0,6.73,-11.64,21320.22,1502173.1
2019-03-29,002601.SZ,龙佰集团,周期资源红利,5800,16.136,16.12,93496.0,6.22,-0.1,21320.22,1502173.1
2019-03-29,000157.SZ,中联重科,防御红利,16900,3.744,4.48,75712.0,5.04,19.67,21320.22,1502173.1
2019-03-29,600019.SH,宝钢股份,周期资源红利,13000,7.237,7.23,93990.0,6.26,-0.1,21320.22,1502173.1
2019-06-28,511880.SH,银华日利,现金管理,2700,113.556,115.189,311009.24,20.61,1.44,3621.96,1509050.21
2019-06-28,000895.SZ,双汇发展,消费红利,6000,25.379,24.89,149340.0,9.9,-1.93,3621.96,1509050.21
2019-06-28,600660.SH,福耀玻璃,消费红利,3300,22.753,22.73,75009.0,4.97,-0.1,3621.96,1509050.21
2019-06-28,601288.SH,农业银行,金融红利,20100,3.734,3.6,72360.0,4.8,-3.58,3621.96,1509050.21
2019-06-28,600377.SH,宁沪高速,基础设施红利,7600,9.91,10.74,81624.0,5.41,8.38,3621.96,1509050.21
2019-06-28,601006.SH,大秦铁路,防御红利,16600,8.218,8.09,134294.0,8.9,-1.56,3621.96,1509050.21
2019-06-28,601328.SH,交通银行,金融红利,12000,6.246,6.12,73440.0,4.87,-2.02,3621.96,1509050.21
2019-06-28,600023.SH,浙能电力,基础设施红利,17000,4.424,4.42,75140.0,4.98,-0.1,3621.96,1509050.21
2019-06-28,600741.SH,华域汽车,消费红利,3700,20.611,21.6,79920.0,5.3,4.8,3621.96,1509050.21
2019-06-28,000625.SZ,长安汽车,消费红利,34100,8.088,6.63,226083.0,14.98,-18.03,3621.96,1509050.21
2019-06-28,600028.SH,中国石化,周期资源红利,17600,6.496,5.47,96272.0,6.38,-15.8,3621.96,1509050.21
2019-06-28,601169.SH,北京银行,金融红利,12700,5.916,5.91,75057.0,4.97,-0.1,3621.96,1509050.21
