date,ts_code,name,action,price,shares,amount,commission,reason,category
2015-03-27,511880.SH,银华日利,buy,101.269,9700,982310.72,982.31,闲置现金扫入,现金管理
2015-06-26,511880.SH,银华日利,sell,101.977,400,40790.8,81.58,释放现金用于调仓,现金管理
2015-06-26,600887.SH,伊利股份,buy,17.638,2800,49385.34,49.39,新买入，评分57(👀 观察等待)，股息率4.31%，目标权重5.0%,消费红利
2015-06-26,511880.SH,银华日利,sell,101.977,1500,152965.48,305.93,释放现金用于调仓,现金管理
2015-06-26,000895.SZ,双汇发展,buy,20.14,7400,149036.89,149.04,新买入，评分81(🔥 大胆攒股)，股息率6.70%，目标权重15.0%,消费红利
2015-06-26,511880.SH,银华日利,sell,101.977,400,40790.8,81.58,释放现金用于调仓,现金管理
2015-06-26,600000.SH,浦发银行,buy,15.866,3100,49184.13,49.18,新买入，评分53(👀 观察等待)，股息率4.54%，目标权重5.0%,金融红利
2015-06-26,511880.SH,银华日利,sell,101.977,1000,101976.99,203.95,释放现金用于调仓,现金管理
2015-06-26,600660.SH,福耀玻璃,buy,13.604,7400,100666.57,100.67,新买入，评分69(✅ 积极布局)，股息率5.24%，目标权重10.0%,消费红利
2015-06-26,511880.SH,银华日利,sell,101.977,500,50988.49,101.98,释放现金用于调仓,现金管理
2015-06-26,600066.SH,宇通客车,buy,18.518,2700,49999.95,50.0,新买入，评分65(👀 观察等待)，股息率5.14%，目标权重5.0%,消费红利
2015-09-25,511880.SH,银华日利,sell,102.627,1000,102627.11,205.25,释放现金用于调仓,现金管理
2015-09-25,601398.SH,工商银行,buy,4.454,22100,98443.34,98.44,新买入，评分65(✅ 积极布局)，股息率5.45%，目标权重10.2%,金融红利
2015-09-25,511880.SH,银华日利,sell,102.627,300,30788.13,61.58,释放现金用于调仓,现金管理
2015-09-25,600066.SH,宇通客车,buy,18.078,1800,32540.51,32.54,加仓，评分69(✅ 积极布局)，股息率5.26%，权重5.0%→8.5%,消费红利
2015-09-25,511880.SH,银华日利,sell,102.627,900,92364.4,184.73,释放现金用于调仓,现金管理
2015-09-25,601288.SH,农业银行,buy,3.113,31700,98685.59,98.69,新买入，评分71(✅ 积极布局)，股息率5.56%，目标权重10.2%,金融红利
2015-09-25,511880.SH,银华日利,sell,102.627,1500,153940.67,307.88,释放现金用于调仓,现金管理
2015-09-25,000651.SZ,格力电器,buy,16.106,9200,148176.03,148.18,新买入，评分85(🔥 大胆攒股)，股息率17.71%，目标权重15.3%,消费红利
2015-09-25,511880.SH,银华日利,sell,102.627,400,41050.85,82.1,释放现金用于调仓,现金管理
2015-09-25,600690.SH,海尔智家,buy,9.439,4300,40589.55,40.59,新买入，评分59(👀 观察等待)，股息率4.96%，目标权重4.2%,消费红利
2015-09-25,511880.SH,银华日利,sell,102.627,400,41050.85,82.1,释放现金用于调仓,现金管理
2015-09-25,600660.SH,福耀玻璃,buy,11.712,3100,36306.27,36.31,加仓，评分81(🔥 大胆攒股)，股息率6.09%，权重8.9%→12.7%,消费红利
2015-09-25,511880.SH,银华日利,sell,102.627,300,30788.13,61.58,释放现金用于调仓,现金管理
2015-09-25,600377.SH,宁沪高速,buy,8.058,5100,41096.06,41.1,新买入，评分57(👀 观察等待)，股息率4.48%，目标权重4.2%,基础设施红利
2015-09-25,511880.SH,银华日利,sell,102.627,500,51313.56,102.63,释放现金用于调仓,现金管理
2015-09-25,600011.SH,华能国际,buy,8.639,4700,40601.56,40.6,新买入，评分56(👀 观察等待)，股息率4.18%，目标权重4.2%,基础设施红利
2015-09-25,511880.SH,银华日利,sell,102.627,300,30788.13,61.58,释放现金用于调仓,现金管理
2015-09-25,601818.SH,光大银行,buy,4.154,9900,41126.08,41.13,新买入，评分52(👀 观察等待)，股息率4.26%，目标权重4.2%,金融红利
2015-12-25,601398.SH,工商银行,sell,4.645,7200,33446.52,66.89,减仓，评分64(👀 观察等待)，权重8.9%→6.0%,金融红利
2015-12-25,600000.SH,浦发银行,sell,19.301,3100,59832.11,119.66,清仓，评分39(⏸️ 暂缓)，低于观察阈值，当前权重5.2%,金融红利
2015-12-25,600066.SH,宇通客车,sell,22.468,1900,42688.27,85.38,减仓，评分56(👀 观察等待)，权重8.8%→5.0%,消费红利
2015-12-25,601288.SH,农业银行,sell,3.267,10500,34300.67,68.6,减仓，评分64(👀 观察等待)，权重9.0%→6.0%,金融红利
2015-12-25,600660.SH,福耀玻璃,sell,15.694,6800,106721.17,213.44,减仓，评分58(👀 观察等待)，权重14.3%→5.0%,消费红利
2015-12-25,601818.SH,光大银行,sell,4.336,9900,42923.03,85.85,清仓，评分46(⏸️ 暂缓)，低于观察阈值，当前权重3.7%,金融红利
2015-12-25,601006.SH,大秦铁路,buy,9.029,6300,56882.83,56.88,新买入，评分64(👀 观察等待)，股息率5.06%，目标权重5.0%,防御红利
2015-12-25,601633.SH,长城汽车,buy,12.152,14200,172560.39,172.56,新买入，评分81(🔥 大胆攒股)，股息率6.26%，目标权重15.0%,消费红利
2015-12-25,511880.SH,银华日利,buy,103.512,700,72458.34,72.46,闲置现金扫入,现金管理
2016-03-25,000651.SZ,格力电器,sell,19.201,2200,42241.72,84.48,减仓，评分85(🔥 大胆攒股)，权重17.5%→13.3%,消费红利
2016-03-25,600377.SH,宁沪高速,sell,8.482,5100,43255.7,86.51,清仓，评分51(👀 观察等待)，低于观察阈值，当前权重4.3%,基础设施红利
2016-03-25,000895.SZ,双汇发展,sell,20.1,1800,36179.78,72.36,减仓，评分81(🔥 大胆攒股)，权重14.7%→11.0%,消费红利
2016-03-25,600011.SH,华能国际,sell,7.772,4700,36529.43,73.06,清仓，评分58(👀 观察等待)，低于观察阈值，当前权重3.6%,基础设施红利
2016-03-25,601398.SH,工商银行,buy,4.284,5900,25277.25,25.28,加仓，评分71(✅ 积极布局)，股息率5.67%，权重6.3%→8.8%,金融红利
2016-03-25,600887.SH,伊利股份,buy,14.184,2400,34042.01,34.04,加仓，评分70(✅ 积极布局)，股息率5.36%，权重3.9%→7.4%,消费红利
2016-03-25,601006.SH,大秦铁路,buy,6.827,10000,68268.2,68.27,加仓，评分81(🔥 大胆攒股)，股息率6.69%，权重4.2%→11.0%,防御红利
2016-03-25,601288.SH,农业银行,buy,3.163,7000,22142.12,22.14,加仓，评分65(✅ 积极布局)，股息率5.47%，权重6.6%→8.8%,金融红利
2016-03-25,511880.SH,银华日利,sell,103.965,300,31189.36,62.38,释放现金用于调仓,现金管理
2016-03-25,600690.SH,海尔智家,buy,8.508,6200,52752.7,52.75,加仓，评分66(✅ 积极布局)，股息率5.50%，权重3.6%→8.8%,消费红利
2016-03-25,511880.SH,银华日利,sell,103.965,400,41585.81,83.17,释放现金用于调仓,现金管理
2016-03-25,601328.SH,交通银行,buy,5.516,6700,36953.92,36.95,新买入，评分54(👀 观察等待)，股息率4.66%，目标权重3.7%,金融红利
2016-03-25,511880.SH,银华日利,sell,103.965,300,31189.36,62.38,释放现金用于调仓,现金管理
