date,ts_code,name,category,shares,cost_price,current_price,market_value,weight,profit_pct,cash,total_value
2015-03-27,511880.SH,银华日利,现金管理,9700,101.269,101.168,981329.39,98.33,-0.1,16706.97,998036.36
2015-06-26,511880.SH,银华日利,现金管理,5900,101.269,102.079,602266.49,59.93,0.8,4773.35,1004914.84
2015-06-26,600887.SH,伊利股份,消费红利,2800,17.638,17.62,49336.0,4.91,-0.1,4773.35,1004914.84
2015-06-26,600066.SH,宇通客车,消费红利,2700,18.518,18.5,49950.0,4.97,-0.1,4773.35,1004914.84
2015-06-26,600000.SH,浦发银行,金融红利,3100,15.866,15.85,49135.0,4.89,-0.1,4773.35,1004914.84
2015-06-26,000895.SZ,双汇发展,消费红利,7400,20.14,20.12,148888.0,14.82,-0.1,4773.35,1004914.84
2015-06-26,600660.SH,福耀玻璃,消费红利,7400,13.604,13.59,100566.0,10.01,-0.1,4773.35,1004914.84
2015-09-25,511880.SH,银华日利,现金管理,200,101.269,102.73,20545.97,2.12,1.44,2521.59,967870.56
2015-09-25,600887.SH,伊利股份,消费红利,2800,17.638,15.4,43120.0,4.46,-12.69,2521.59,967870.56
2015-09-25,600066.SH,宇通客车,消费红利,4300,18.355,18.06,77658.0,8.02,-1.61,2521.59,967870.56
2015-09-25,600000.SH,浦发银行,金融红利,3100,15.866,15.59,48329.0,4.99,-1.74,2521.59,967870.56
2015-09-25,000895.SZ,双汇发展,消费红利,7400,20.14,17.99,133126.0,13.75,-10.68,2521.59,967870.56
2015-09-25,600660.SH,福耀玻璃,消费红利,10100,13.098,11.7,118170.0,12.21,-10.67,2521.59,967870.56
2015-09-25,600377.SH,宁沪高速,基础设施红利,4800,8.058,8.05,38640.0,3.99,-0.1,2521.59,967870.56
2015-09-25,601818.SH,光大银行,金融红利,9400,4.154,4.15,39010.0,4.03,-0.1,2521.59,967870.56
2015-09-25,000651.SZ,格力电器,消费红利,8800,16.106,16.09,141592.0,14.63,-0.1,2521.59,967870.56
2015-09-25,601288.SH,农业银行,金融红利,30300,3.113,3.11,94233.0,9.74,-0.1,2521.59,967870.56
2015-09-25,600690.SH,海尔智家,消费红利,4100,9.439,9.43,38663.0,3.99,-0.1,2521.59,967870.56
2015-09-25,600011.SH,华能国际,基础设施红利,4500,8.639,8.63,38835.0,4.01,-0.1,2521.59,967870.56
2015-09-25,601398.SH,工商银行,金融红利,21200,4.454,4.45,94340.0,9.75,-0.1,2521.59,967870.56
2015-09-25,601006.SH,大秦铁路,基础设施红利,4300,9.099,9.09,39087.0,4.04,-0.1,2521.59,967870.56
2015-12-25,511880.SH,银华日利,现金管理,1300,103.167,103.409,134431.07,11.75,0.23,15439.77,1143638.84
2015-12-25,600887.SH,伊利股份,消费红利,2800,17.638,17.1,47880.0,4.19,-3.05,15439.77,1143638.84
2015-12-25,600066.SH,宇通客车,消费红利,2600,18.355,22.49,58474.0,5.11,22.53,15439.77,1143638.84
2015-12-25,000895.SZ,双汇发展,消费红利,7400,20.14,21.02,155548.0,13.6,4.37,15439.77,1143638.84
2015-12-25,600660.SH,福耀玻璃,消费红利,3700,13.098,15.71,58127.0,5.08,19.94,15439.77,1143638.84
2015-12-25,600377.SH,宁沪高速,基础设施红利,4800,8.058,8.85,42480.0,3.71,9.83,15439.77,1143638.84
2015-12-25,000651.SZ,格力电器,消费红利,8800,16.106,23.0,202400.0,17.7,42.8,15439.77,1143638.84
2015-12-25,601288.SH,农业银行,金融红利,21100,3.113,3.27,68997.0,6.03,5.04,15439.77,1143638.84
2015-12-25,600690.SH,海尔智家,消费红利,4100,9.439,9.92,40672.0,3.56,5.09,15439.77,1143638.84
2015-12-25,600011.SH,华能国际,基础设施红利,4500,8.639,8.98,40410.0,3.53,3.95,15439.77,1143638.84
2015-12-25,601398.SH,工商银行,金融红利,14800,4.454,4.65,68820.0,6.02,4.39,15439.77,1143638.84
2015-12-25,601006.SH,大秦铁路,基础设施红利,4300,9.099,9.02,38786.0,3.39,-0.87,15439.77,1143638.84
2015-12-25,601633.SH,长城汽车,消费红利,14100,12.152,12.14,171174.0,14.97,-0.1,15439.77,1143638.84
2016-03-25,511880.SH,银华日利,现金管理,400,103.167,104.069,41627.43,4.12,0.87,10392.88,1011145.31
2016-03-25,600887.SH,伊利股份,消费红利,2800,17.638,14.17,39676.0,3.92,-19.66,10392.88,1011145.31
2016-03-25,600066.SH,宇通客车,消费红利,1500,18.355,19.74,29610.0,2.93,7.55,10392.88,1011145.31
2016-03-25,000895.SZ,双汇发展,消费红利,4300,20.14,20.12,86516.0,8.56,-0.1,10392.88,1011145.31
2016-03-25,600660.SH,福耀玻璃,消费红利,2000,13.098,14.78,29560.0,2.92,12.84,10392.88,1011145.31
2016-03-25,600377.SH,宁沪高速,基础设施红利,4800,8.058,8.49,40752.0,4.03,5.36,10392.88,1011145.31
2016-03-25,601818.SH,光大银行,金融红利,7600,3.704,3.7,28120.0,2.78,-0.1,10392.88,1011145.31
2016-03-25,000651.SZ,格力电器,消费红利,5400,16.106,19.22,103788.0,10.26,19.33,10392.88,1011145.31
2016-03-25,601288.SH,农业银行,金融红利,21100,3.113,3.16,66676.0,6.59,1.51,10392.88,1011145.31
2016-03-25,600690.SH,海尔智家,消费红利,8000,8.986,8.5,68000.0,6.73,-5.4,10392.88,1011145.31
2016-03-25,600011.SH,华能国际,基础设施红利,4500,8.639,7.78,35010.0,3.46,-9.94,10392.88,1011145.31
2016-03-25,601398.SH,工商银行,金融红利,14800,4.454,4.28,63344.0,6.26,-3.92,10392.88,1011145.31
2016-03-25,601006.SH,大秦铁路,基础设施红利,12500,7.608,6.82,85250.0,8.43,-10.36,10392.88,1011145.31
2016-03-25,601633.SH,长城汽车,消费红利,9400,12.152,9.1,85540.0,8.46,-25.12,10392.88,1011145.31
2016-03-25,600023.SH,浙能电力,基础设施红利,5100,5.566,5.56,28356.0,2.8,-0.1,10392.88,1011145.31
2016-03-25,600886.SH,国投电力,基础设施红利,4200,6.747,6.74,28308.0,2.8,-0.1,10392.88,1011145.31
2016-03-25,601328.SH,交通银行,金融红利,5100,5.516,5.51,28101.0,2.78,-0.1,10392.88,1011145.31
2016-03-25,601088.SH,中国神华,周期资源红利,2000,14.014,14.0,28000.0,2.77,-0.1,10392.88,1011145.31
2016-03-25,600795.SH,国电电力,基础设施红利,9200,3.093,3.09,28428.0,2.81,-0.1,10392.88,1011145.31
2016-03-25,600027.SH,华电国际,基础设施红利,5000,5.596,5.59,27950.0,2.76,-0.1,10392.88,1011145.31
2016-03-25,000786.SZ,北新建材,防御红利,3000,9.389,9.38,28140.0,2.78,-0.1,10392.88,1011145.31
2016-06-24,511880.SH,银华日利,现金管理,100,103.167,104.71,10471.01,1.04,1.5,5731.55,1009233.55
2016-06-24,600066.SH,宇通客车,消费红利,3900,19.201,19.71,76869.0,7.62,2.65,5731.55,1009233.55
2016-06-24,000895.SZ,双汇发展,消费红利,2600,20.14,20.85,54210.0,5.37,3.52,5731.55,1009233.55
2016-06-24,600660.SH,福耀玻璃,消费红利,3800,13.418,13.76,52288.0,5.18,2.55,5731.55,1009233.55
2016-06-24,600377.SH,宁沪高速,基础设施红利,4800,8.058,8.11,38928.0,3.86,0.64,5731.55,1009233.55
2016-06-24,601818.SH,光大银行,金融红利,7600,3.704,3.64,27664.0,2.74,-1.72,5731.55,1009233.55
2016-06-24,000651.SZ,格力电器,消费红利,5400,16.106,19.22,103788.0,10.28,19.33,5731.55,1009233.55
2016-06-24,601288.SH,农业银行,金融红利,10000,3.113,3.17,31700.0,3.14,1.83,5731.55,1009233.55
2016-06-24,600690.SH,海尔智家,消费红利,3700,8.986,8.63,31931.0,3.16,-3.96,5731.55,1009233.55
2016-06-24,600011.SH,华能国际,基础设施红利,4500,8.639,7.31,32895.0,3.26,-15.38,5731.55,1009233.55
2016-06-24,601398.SH,工商银行,金融红利,14800,4.454,4.4,65120.0,6.45,-1.22,5731.55,1009233.55
2016-06-24,601006.SH,大秦铁路,基础设施红利,12500,7.608,6.31,78875.0,7.82,-17.07,5731.55,1009233.55
2016-06-24,601633.SH,长城汽车,消费红利,6300,12.152,8.4,52920.0,5.24,-30.88,5731.55,1009233.55
2016-06-24,600023.SH,浙能电力,基础设施红利,10400,5.3,5.04,52416.0,5.19,-4.91,5731.55,1009233.55
2016-06-24,600886.SH,国投电力,基础设施红利,4200,6.747,6.5,27300.0,2.71,-3.66,5731.55,1009233.55
2016-06-24,601328.SH,交通银行,金融红利,5100,5.516,5.53,28203.0,2.79,0.26,5731.55,1009233.55
2016-06-24,601088.SH,中国神华,周期资源红利,2000,14.014,13.7,27400.0,2.71,-2.24,5731.55,1009233.55
2016-06-24,600795.SH,国电电力,基础设施红利,9200,3.093,2.89,26588.0,2.63,-6.57,5731.55,1009233.55
2016-06-24,600027.SH,华电国际,基础设施红利,10500,5.271,4.97,52185.0,5.17,-5.7,5731.55,1009233.55
2016-06-24,600999.SH,招商证券,金融红利,1600,15.816,15.8,25280.0,2.5,-0.1,5731.55,1009233.55
2016-06-24,601877.SH,正泰电器,防御红利,1400,18.398,18.38,25732.0,2.55,-0.1,5731.55,1009233.55
2016-06-24,600741.SH,华域汽车,消费红利,3700,13.814,13.8,51060.0,5.06,-0.1,5731.55,1009233.55
2016-06-24,000333.SZ,美的集团,消费红利,1300,22.853,22.83,29679.0,2.94,-0.1,5731.55,1009233.55
2016-09-30,600066.SH,宇通客车,消费红利,6300,20.298,22.06,138978.0,12.27,8.68,356.68,1132743.68
2016-09-30,000895.SZ,双汇发展,消费红利,2600,20.14,23.59,61334.0,5.41,17.13,356.68,1132743.68
2016-09-30,600660.SH,福耀玻璃,消费红利,3800,13.418,16.89,64182.0,5.67,25.88,356.68,1132743.68
2016-09-30,600377.SH,宁沪高速,基础设施红利,4800,8.058,8.81,42288.0,3.73,9.33,356.68,1132743.68
2016-09-30,601818.SH,光大银行,金融红利,14800,3.748,3.79,56092.0,4.95,1.13,356.68,1132743.68
2016-09-30,000651.SZ,格力电器,消费红利,5400,16.106,22.22,119988.0,10.59,37.96,356.68,1132743.68
2016-09-30,601288.SH,农业银行,金融红利,17900,3.122,3.13,56027.0,4.95,0.26,356.68,1132743.68
2016-09-30,600011.SH,华能国际,基础设施红利,19900,7.407,7.04,140096.0,12.37,-4.95,356.68,1132743.68
2016-09-30,601398.SH,工商银行,金融红利,14800,4.454,4.43,65564.0,5.79,-0.55,356.68,1132743.68
2016-09-30,601006.SH,大秦铁路,基础设施红利,21400,7.084,6.34,135676.0,11.98,-10.5,356.68,1132743.68
2016-09-30,600023.SH,浙能电力,基础设施红利,10400,5.3,5.24,54496.0,4.81,-1.14,356.68,1132743.68
2016-09-30,600027.SH,华电国际,基础设施红利,18900,5.13,4.95,93555.0,8.26,-3.51,356.68,1132743.68
2016-09-30,600741.SH,华域汽车,消费红利,3700,13.814,15.75,58275.0,5.14,14.02,356.68,1132743.68
2016-09-30,000776.SZ,广发证券,金融红利,2800,16.386,16.37,45836.0,4.05,-0.1,356.68,1132743.68
2016-12-30,511880.SH,银华日利,现金管理,1000,106.16,106.054,106054.34,9.23,-0.1,16089.87,1148538.21
2016-12-30,600066.SH,宇通客车,消费红利,8800,20.103,19.59,172392.0,15.01,-2.55,16089.87,1148538.21
2016-12-30,000895.SZ,双汇发展,消费红利,5400,20.561,20.93,113022.0,9.84,1.8,16089.87,1148538.21
2016-12-30,000651.SZ,格力电器,消费红利,5400,16.106,24.62,132948.0,11.58,52.86,16089.87,1148538.21
2016-12-30,601288.SH,农业银行,金融红利,17900,3.122,3.1,55490.0,4.83,-0.7,16089.87,1148538.21
2016-12-30,600011.SH,华能国际,基础设施红利,16400,7.407,7.05,115620.0,10.07,-4.82,16089.87,1148538.21
2016-12-30,601398.SH,工商银行,金融红利,14800,4.454,4.41,65268.0,5.68,-1.0,16089.87,1148538.21
2016-12-30,601006.SH,大秦铁路,基础设施红利,16300,7.084,7.08,115404.0,10.05,-0.05,16089.87,1148538.21
2016-12-30,600023.SH,浙能电力,基础设施红利,10400,5.3,5.43,56472.0,4.92,2.45,16089.87,1148538.21
2016-12-30,600027.SH,华电国际,基础设施红利,18900,5.13,4.95,93555.0,8.15,-3.51,16089.87,1148538.21
2016-12-30,600741.SH,华域汽车,消费红利,3700,13.814,15.95,59015.0,5.14,15.46,16089.87,1148538.21
2016-12-30,000776.SZ,广发证券,金融红利,2800,16.386,16.86,47208.0,4.11,2.89,16089.87,1148538.21
2017-03-31,511880.SH,银华日利,现金管理,3000,106.701,106.865,320594.28,25.74,0.15,19951.52,1245550.81
2017-03-31,600066.SH,宇通客车,消费红利,8800,20.103,21.48,189024.0,15.18,6.85,19951.52,1245550.81
2017-03-31,000895.SZ,双汇发展,消费红利,5400,20.561,22.55,121770.0,9.78,9.68,19951.52,1245550.81
2017-03-31,601288.SH,农业银行,金融红利,17900,3.122,3.34,59786.0,4.8,6.98,19951.52,1245550.81
2017-03-31,600011.SH,华能国际,基础设施红利,16400,7.407,7.17,117588.0,9.44,-3.2,19951.52,1245550.81
2017-03-31,601006.SH,大秦铁路,基础设施红利,16300,7.084,7.57,123391.0,9.91,6.87,19951.52,1245550.81
2017-03-31,600023.SH,浙能电力,基础设施红利,10400,5.3,5.7,59280.0,4.76,7.54,19951.52,1245550.81
2017-03-31,600027.SH,华电国际,基础设施红利,24700,5.11,5.04,124488.0,9.99,-1.37,19951.52,1245550.81
2017-03-31,600999.SH,招商证券,金融红利,3800,16.286,16.27,61826.0,4.96,-0.1,19951.52,1245550.81
2017-03-31,000776.SZ,广发证券,金融红利,2800,16.386,17.09,47852.0,3.84,4.29,19951.52,1245550.81
2017-06-30,511880.SH,银华日利,现金管理,6700,107.379,107.821,722403.24,55.63,0.41,18984.89,1298569.13
2017-06-30,600066.SH,宇通客车,消费红利,3000,20.103,21.97,65910.0,5.08,9.29,18984.89,1298569.13
2017-06-30,000895.SZ,双汇发展,消费红利,8200,21.658,23.75,194750.0,15.0,9.66,18984.89,1298569.13
2017-06-30,600027.SH,华电国际,基础设施红利,24700,5.11,4.83,119301.0,9.19,-5.48,18984.89,1298569.13
2017-06-30,000776.SZ,广发证券,金融红利,2800,16.386,17.25,48300.0,3.72,5.27,18984.89,1298569.13
2017-06-30,300498.SZ,温氏股份,防御红利,5500,23.463,23.44,128920.0,9.93,-0.1,18984.89,1298569.13
2017-09-29,511880.SH,银华日利,现金管理,5900,107.379,108.919,642621.48,49.07,1.43,6462.28,1309545.76
2017-09-29,000895.SZ,双汇发展,消费红利,8200,21.658,24.9,204180.0,15.59,14.97,6462.28,1309545.76
2017-09-29,600741.SH,华域汽车,消费红利,2900,22.573,22.55,65395.0,4.99,-0.1,6462.28,1309545.76
2017-09-29,300498.SZ,温氏股份,防御红利,9100,22.699,21.51,195741.0,14.95,-5.24,6462.28,1309545.76
2017-09-29,000625.SZ,长安汽车,消费红利,4600,14.184,14.17,65182.0,4.98,-0.1,6462.28,1309545.76
2017-09-29,600900.SH,长江电力,基础设施红利,4300,15.085,15.07,64801.0,4.95,-0.1,6462.28,1309545.76
2017-09-29,000338.SZ,潍柴动力,消费红利,8700,7.497,7.49,65163.0,4.98,-0.1,6462.28,1309545.76
2017-12-29,511880.SH,银华日利,现金管理,6100,107.466,109.902,670400.28,48.81,2.27,17474.29,1373467.58
2017-12-29,000895.SZ,双汇发展,消费红利,8200,21.658,26.5,217300.0,15.82,22.36,17474.29,1373467.58
2017-12-29,600377.SH,宁沪高速,基础设施红利,6900,9.86,9.85,67965.0,4.95,-0.1,17474.29,1373467.58
2017-12-29,600011.SH,华能国际,基础设施红利,11100,6.176,6.17,68487.0,4.99,-0.1,17474.29,1373467.58
2017-12-29,600023.SH,浙能电力,基础设施红利,12800,5.335,5.33,68224.0,4.97,-0.1,17474.29,1373467.58
2017-12-29,300498.SZ,温氏股份,防御红利,5800,22.699,23.9,138620.0,10.09,5.29,17474.29,1373467.58
2017-12-29,000625.SZ,长安汽车,消费红利,4600,14.184,12.6,57960.0,4.22,-11.17,17474.29,1373467.58
2017-12-29,600900.SH,长江电力,基础设施红利,4300,15.085,15.59,67037.0,4.88,3.35,17474.29,1373467.58
2018-03-30,511880.SH,银华日利,现金管理,3500,107.466,111.003,388511.6,28.6,3.29,4300.73,1358229.33
2018-03-30,600066.SH,宇通客车,消费红利,3000,22.382,22.36,67080.0,4.94,-0.1,4300.73,1358229.33
2018-03-30,000895.SZ,双汇发展,消费红利,8200,21.658,25.6,209920.0,15.46,18.2,4300.73,1358229.33
2018-03-30,600377.SH,宁沪高速,基础设施红利,6900,9.86,9.66,66654.0,4.91,-2.03,4300.73,1358229.33
2018-03-30,600011.SH,华能国际,基础设施红利,11100,6.176,6.87,76257.0,5.61,11.23,4300.73,1358229.33
2018-03-30,600023.SH,浙能电力,基础设施红利,12800,5.335,5.53,70784.0,5.21,3.65,4300.73,1358229.33
2018-03-30,300498.SZ,温氏股份,防御红利,9700,21.968,20.86,202342.0,14.9,-5.04,4300.73,1358229.33
2018-03-30,000625.SZ,长安汽车,消费红利,12100,12.354,11.22,135762.0,10.0,-9.18,4300.73,1358229.33
2018-03-30,600900.SH,长江电力,基础设施红利,4300,15.085,16.02,68886.0,5.07,6.2,4300.73,1358229.33
2018-03-30,000338.SZ,潍柴动力,消费红利,8200,8.268,8.26,67732.0,4.99,-0.1,4300.73,1358229.33
2018-06-29,511880.SH,银华日利,现金管理,600,107.466,112.052,67231.37,5.02,4.27,6268.48,1339858.85
2018-06-29,600066.SH,宇通客车,消费红利,6900,20.589,19.19,132411.0,9.88,-6.79,6268.48,1339858.85
2018-06-29,000895.SZ,双汇发展,消费红利,2600,21.658,26.41,68666.0,5.12,21.94,6268.48,1339858.85
2018-06-29,600377.SH,宁沪高速,基础设施红利,6900,9.86,9.08,62652.0,4.68,-7.91,6268.48,1339858.85
2018-06-29,601288.SH,农业银行,金融红利,23100,3.443,3.44,79464.0,5.93,-0.1,6268.48,1339858.85
2018-06-29,601006.SH,大秦铁路,基础设施红利,16100,8.218,8.21,132181.0,9.87,-0.1,6268.48,1339858.85
2018-06-29,600023.SH,浙能电力,基础设施红利,12800,5.335,4.66,59648.0,4.45,-12.66,6268.48,1339858.85
2018-06-29,601328.SH,交通银行,金融红利,11500,5.746,5.74,66010.0,4.93,-0.1,6268.48,1339858.85
2018-06-29,600795.SH,国电电力,基础设施红利,25300,2.623,2.62,66286.0,4.95,-0.1,6268.48,1339858.85
2018-06-29,600741.SH,华域汽车,消费红利,2800,23.744,23.72,66416.0,4.96,-0.1,6268.48,1339858.85
2018-06-29,000625.SZ,长安汽车,消费红利,22100,10.84,9.0,198900.0,14.84,-16.98,6268.48,1339858.85
2018-06-29,600900.SH,长江电力,基础设施红利,4300,15.085,16.14,69402.0,5.18,6.99,6268.48,1339858.85
2018-06-29,600028.SH,中国石化,周期资源红利,17100,6.496,6.49,110979.0,8.28,-0.1,6268.48,1339858.85
2018-06-29,002601.SZ,龙佰集团,周期资源红利,7100,12.943,12.93,91803.0,6.85,-0.1,6268.48,1339858.85
2018-06-29,600019.SH,宝钢股份,周期资源红利,7900,7.798,7.79,61541.0,4.59,-0.1,6268.48,1339858.85
2018-09-28,511880.SH,银华日利,现金管理,700,108.273,113.001,79100.97,5.95,4.37,16886.34,1328885.31
2018-09-28,000895.SZ,双汇发展,消费红利,2600,21.658,26.15,67990.0,5.12,20.74,16886.34,1328885.31
2018-09-28,600377.SH,宁沪高速,基础设施红利,6900,9.86,9.08,62652.0,4.71,-7.91,16886.34,1328885.31
2018-09-28,601818.SH,光大银行,金融红利,16900,3.914,3.91,66079.0,4.97,-0.1,16886.34,1328885.31
2018-09-28,601288.SH,农业银行,金融红利,23100,3.443,3.89,89859.0,6.76,12.97,16886.34,1328885.31
2018-09-28,601006.SH,大秦铁路,基础设施红利,16100,8.218,8.23,132503.0,9.97,0.14,16886.34,1328885.31
2018-09-28,601328.SH,交通银行,金融红利,11500,5.746,5.84,67160.0,5.05,1.64,16886.34,1328885.31
2018-09-28,600741.SH,华域汽车,消费红利,2800,23.744,22.5,63000.0,4.74,-5.24,16886.34,1328885.31
2018-09-28,000625.SZ,长安汽车,消费红利,18300,10.84,7.28,133224.0,10.03,-32.84,16886.34,1328885.31
2018-09-28,600900.SH,长江电力,基础设施红利,4300,15.085,16.38,70434.0,5.3,8.58,16886.34,1328885.31
2018-09-28,000338.SZ,潍柴动力,消费红利,7700,8.559,8.55,65835.0,4.95,-0.1,16886.34,1328885.31
2018-09-28,600028.SH,中国石化,周期资源红利,17100,6.496,7.12,121752.0,9.16,9.6,16886.34,1328885.31
2018-09-28,002601.SZ,龙佰集团,周期资源红利,7100,12.943,13.75,97625.0,7.35,6.24,16886.34,1328885.31
2018-09-28,600019.SH,宝钢股份,周期资源红利,7900,7.798,7.85,62015.0,4.67,0.67,16886.34,1328885.31
2018-09-28,000157.SZ,中联重科,防御红利,35500,3.744,3.74,132770.0,9.99,-0.1,16886.34,1328885.31
2018-12-28,511880.SH,银华日利,现金管理,700,108.273,113.707,79594.61,6.48,5.02,2321.74,1228111.35
2018-12-28,600066.SH,宇通客车,消费红利,3400,11.862,11.85,40290.0,3.28,-0.1,2321.74,1228111.35
2018-12-28,000895.SZ,双汇发展,消费红利,2600,21.658,23.59,61334.0,4.99,8.92,2321.74,1228111.35
2018-12-28,600377.SH,宁沪高速,基础设施红利,4200,9.86,9.8,41160.0,3.35,-0.61,2321.74,1228111.35
2018-12-28,601818.SH,光大银行,金融红利,16900,3.914,3.7,62530.0,5.09,-5.47,2321.74,1228111.35
2018-12-28,000651.SZ,格力电器,消费红利,1300,35.726,35.69,46397.0,3.78,-0.1,2321.74,1228111.35
2018-12-28,601288.SH,农业银行,金融红利,11500,3.443,3.6,41400.0,3.37,4.55,2321.74,1228111.35
2018-12-28,601398.SH,工商银行,金融红利,7700,5.295,5.29,40733.0,3.32,-0.1,2321.74,1228111.35
2018-12-28,601006.SH,大秦铁路,基础设施红利,10000,8.218,8.23,82300.0,6.7,0.14,2321.74,1228111.35
2018-12-28,601328.SH,交通银行,金融红利,7200,5.746,5.79,41688.0,3.39,0.77,2321.74,1228111.35
2018-12-28,600741.SH,华域汽车,消费红利,4400,21.807,18.4,80960.0,6.59,-15.62,2321.74,1228111.35
2018-12-28,000625.SZ,长安汽车,消费红利,18300,10.84,6.59,120597.0,9.82,-39.21,2321.74,1228111.35
2018-12-28,600900.SH,长江电力,基础设施红利,2600,15.085,15.88,41288.0,3.36,5.27,2321.74,1228111.35
