date,ts_code,name,category,shares,cost_price,current_price,market_value,weight,profit_pct,cash,total_value
2023-06-30,601229.SH,上海银行,弱周期红利,11100,5.756,5.75,63825.0,6.39,-0.1,319928.9,998641.9
2023-06-30,600016.SH,民生银行,弱周期红利,11400,3.754,3.75,42750.0,4.28,-0.1,319928.9,998641.9
2023-06-30,601009.SH,南京银行,弱周期红利,8000,8.008,8.0,64000.0,6.41,-0.1,319928.9,998641.9
2023-06-30,600039.SH,四川路桥,弱周期红利,6500,9.82,9.81,63765.0,6.39,-0.1,319928.9,998641.9
2023-06-30,000333.SZ,美的集团,消费成长红利,2000,58.979,58.92,117840.0,11.8,-0.1,319928.9,998641.9
2023-06-30,601919.SH,中远海控,周期资源红利,7000,9.409,9.4,65800.0,6.59,-0.1,319928.9,998641.9
2023-06-30,601166.SH,兴业银行,弱周期红利,4100,15.666,15.65,64165.0,6.43,-0.1,319928.9,998641.9
2023-06-30,600585.SH,海螺水泥,周期资源红利,2800,23.764,23.74,66472.0,6.66,-0.1,319928.9,998641.9
2023-06-30,600015.SH,华夏银行,弱周期红利,11800,5.415,5.41,63838.0,6.39,-0.1,319928.9,998641.9
2023-06-30,601216.SH,君正集团,周期资源红利,10800,4.104,4.1,44280.0,4.43,-0.1,319928.9,998641.9
2023-06-30,000877.SZ,天山股份,周期资源红利,2700,8.148,8.14,21978.0,2.2,-0.1,319928.9,998641.9
2023-09-29,601009.SH,南京银行,弱周期红利,2800,8.008,8.05,22540.0,2.25,0.52,464667.05,1003074.05
2023-09-29,600039.SH,四川路桥,弱周期红利,2600,9.82,8.67,22542.0,2.25,-11.71,464667.05,1003074.05
2023-09-29,000333.SZ,美的集团,消费成长红利,3200,57.688,55.48,177536.0,17.7,-3.83,464667.05,1003074.05
2023-09-29,601919.SH,中远海控,周期资源红利,2700,9.409,9.81,26487.0,2.64,4.26,464667.05,1003074.05
2023-09-29,601166.SH,兴业银行,弱周期红利,1400,15.666,16.29,22806.0,2.27,3.99,464667.05,1003074.05
2023-09-29,600585.SH,海螺水泥,周期资源红利,1100,23.764,26.03,28633.0,2.85,9.54,464667.05,1003074.05
2023-09-29,600015.SH,华夏银行,弱周期红利,3900,5.415,5.72,22308.0,2.22,5.62,464667.05,1003074.05
2023-09-29,601088.SH,中国神华,周期资源红利,800,31.231,31.2,24960.0,2.49,-0.1,464667.05,1003074.05
2023-09-29,601006.SH,大秦铁路,弱周期红利,3000,7.297,7.29,21870.0,2.18,-0.1,464667.05,1003074.05
2023-09-29,600089.SH,特变电工,周期资源红利,1700,14.835,14.82,25194.0,2.51,-0.1,464667.05,1003074.05
2023-09-29,601225.SH,陕西煤业,周期资源红利,1400,18.478,18.46,25844.0,2.58,-0.1,464667.05,1003074.05
2023-09-29,603185.SH,弘元绿能,周期资源红利,600,41.922,41.88,25128.0,2.51,-0.1,464667.05,1003074.05
2023-09-29,601398.SH,工商银行,弱周期红利,4700,4.685,4.68,21996.0,2.19,-0.1,464667.05,1003074.05
2023-09-29,601169.SH,北京银行,弱周期红利,4700,4.635,4.63,21761.0,2.17,-0.1,464667.05,1003074.05
2023-09-29,600741.SH,华域汽车,消费成长红利,2600,18.789,18.77,48802.0,4.87,-0.1,464667.05,1003074.05
2023-12-29,600039.SH,四川路桥,弱周期红利,2600,9.82,7.49,19474.0,1.99,-23.73,410410.86,981054.86
2023-12-29,000333.SZ,美的集团,消费成长红利,2200,57.688,54.63,120186.0,12.25,-5.3,410410.86,981054.86
2023-12-29,601919.SH,中远海控,周期资源红利,2700,9.409,9.58,25866.0,2.64,1.81,410410.86,981054.86
2023-12-29,600585.SH,海螺水泥,周期资源红利,1100,23.764,22.56,24816.0,2.53,-5.07,410410.86,981054.86
2023-12-29,601088.SH,中国神华,周期资源红利,800,31.231,31.35,25080.0,2.56,0.38,410410.86,981054.86
2023-12-29,600089.SH,特变电工,周期资源红利,1700,14.835,13.8,23460.0,2.39,-6.98,410410.86,981054.86
2023-12-29,601225.SH,陕西煤业,周期资源红利,1400,18.478,20.89,29246.0,2.98,13.05,410410.86,981054.86
2023-12-29,603185.SH,弘元绿能,周期资源红利,600,41.922,33.28,19968.0,2.04,-20.61,410410.86,981054.86
2023-12-29,600741.SH,华域汽车,消费成长红利,4800,17.646,16.28,78144.0,7.97,-7.74,410410.86,981054.86
2023-12-29,601601.SH,中国太保,弱周期红利,2400,23.804,23.78,57072.0,5.82,-0.1,410410.86,981054.86
2023-12-29,002027.SZ,分众传媒,消费成长红利,5100,6.326,6.32,32232.0,3.29,-0.1,410410.86,981054.86
2023-12-29,601318.SH,中国平安,弱周期红利,1400,40.34,40.3,56420.0,5.75,-0.1,410410.86,981054.86
2023-12-29,600132.SH,重庆啤酒,消费成长红利,400,66.516,66.45,26580.0,2.71,-0.1,410410.86,981054.86
