date,total_value,cum_dividend,price_value
2023-06-01,1000000.0,0.0,1000000.0
2023-06-02,1000000.0,0.0,1000000.0
2023-06-05,1000000.0,0.0,1000000.0
2023-06-06,1000000.0,0.0,1000000.0
2023-06-07,1000000.0,0.0,1000000.0
2023-06-08,1000000.0,0.0,1000000.0
2023-06-09,1000000.0,0.0,1000000.0
2023-06-12,1000000.0,0.0,1000000.0
2023-06-13,1000000.0,0.0,1000000.0
2023-06-14,1000000.0,0.0,1000000.0
2023-06-15,1000000.0,0.0,1000000.0
2023-06-16,1000000.0,0.0,1000000.0
2023-06-19,1000000.0,0.0,1000000.0
2023-06-20,1000000.0,0.0,1000000.0
2023-06-21,1000000.0,0.0,1000000.0
2023-06-26,1000000.0,0.0,1000000.0
2023-06-27,1000000.0,0.0,1000000.0
2023-06-28,1000000.0,0.0,1000000.0
2023-06-29,1000000.0,0.0,1000000.0
2023-06-30,998641.9,0.0,998641.9
2023-07-03,1005814.9,0.0,1005814.9
2023-07-04,1005539.9,0.0,1005539.9
2023-07-05,1005269.9,0.0,1005269.9
2023-07-06,1001865.9,0.0,1001865.9
2023-07-07,1001972.9,0.0,1001972.9
2023-07-10,999637.9,0.0,999637.9
2023-07-11,999787.9,0.0,999787.9
2023-07-12,996928.9,0.0,996928.9
2023-07-13,1004361.9,0.0,1004361.9
2023-07-14,1005109.9,0.0,1005109.9
2023-07-17,1002562.9,0.0,1002562.9
2023-07-18,1002657.9,0.0,1002657.9
2023-07-19,1009586.9,0.0,1009586.9
2023-07-20,1007711.9,0.0,1007711.9
2023-07-21,1007851.9,0.0,1007851.9
2023-07-24,1006021.9,0.0,1006021.9
2023-07-25,1017917.9,0.0,1017917.9
2023-07-26,1018868.9,0.0,1018868.9
2023-07-27,1019156.9,0.0,1019156.9
2023-07-28,1035634.9,0.0,1035634.9
2023-07-31,1041358.9,0.0,1041358.9
2023-08-01,1036188.9,0.0,1036188.9
2023-08-02,1031342.9,0.0,1031342.9
2023-08-03,1035160.9,0.0,1035160.9
2023-08-04,1034456.9,0.0,1034456.9
2023-08-07,1028602.9,0.0,1028602.9
2023-08-08,1024316.9,0.0,1024316.9
2023-08-09,1026609.9,0.0,1026609.9
2023-08-10,1025276.9,0.0,1025276.9
2023-08-11,1011171.9,0.0,1011171.9
2023-08-14,1008667.9,0.0,1008667.9
2023-08-15,1012111.9,0.0,1012111.9
2023-08-16,1011922.9,0.0,1011922.9
2023-08-17,1010525.9,0.0,1010525.9
2023-08-18,1009099.9,0.0,1009099.9
2023-08-21,1001752.9,0.0,1001752.9
2023-08-22,1007070.9,0.0,1007070.9
2023-08-23,1003798.9,0.0,1003798.9
2023-08-24,1003941.9,0.0,1003941.9
2023-08-25,1007850.9,0.0,1007850.9
2023-08-28,1018341.9,0.0,1018341.9
2023-08-29,1012350.9,0.0,1012350.9
2023-08-30,1009215.9,0.0,1009215.9
2023-08-31,1000018.9,0.0,1000018.9
2023-09-01,1007650.9,0.0,1007650.9
2023-09-04,1011267.9,0.0,1011267.9
2023-09-05,1003083.9,0.0,1003083.9
2023-09-06,1001038.9,0.0,1001038.9
2023-09-07,996040.9,0.0,996040.9
2023-09-08,994967.9,0.0,994967.9
2023-09-11,997505.9,0.0,997505.9
2023-09-12,998608.9,0.0,998608.9
2023-09-13,998664.9,0.0,998664.9
2023-09-14,1003277.9,0.0,1003277.9
2023-09-15,1000920.9,0.0,1000920.9
2023-09-18,999380.9,0.0,999380.9
2023-09-19,1004730.9,0.0,1004730.9
2023-09-20,1009331.9,0.0,1009331.9
2023-09-21,1005477.9,0.0,1005477.9
2023-09-22,1010829.9,0.0,1010829.9
2023-09-25,1010770.9,0.0,1010770.9
2023-09-26,1007713.9,0.0,1007713.9
2023-09-27,1005545.9,0.0,1005545.9
2023-09-28,1004923.9,0.0,1004923.9
2023-10-09,1004008.05,0.0,1004008.05
2023-10-10,996952.05,0.0,996952.05
2023-10-11,993959.05,0.0,993959.05
2023-10-12,1000738.05,0.0,1000738.05
2023-10-13,998751.05,0.0,998751.05
2023-10-16,998444.05,0.0,998444.05
2023-10-17,1001036.05,0.0,1001036.05
2023-10-18,998608.05,0.0,998608.05
2023-10-19,986692.05,0.0,986692.05
2023-10-20,982400.05,0.0,982400.05
2023-10-23,979365.05,0.0,979365.05
2023-10-24,979376.05,0.0,979376.05
2023-10-25,980167.05,0.0,980167.05
2023-10-26,978112.05,0.0,978112.05
2023-10-27,983567.05,0.0,983567.05
2023-10-30,982902.05,0.0,982902.05
2023-10-31,978511.05,0.0,978511.05
2023-11-01,978060.05,0.0,978060.05
2023-11-02,978808.05,0.0,978808.05
2023-11-03,977903.05,0.0,977903.05
2023-11-06,978441.05,0.0,978441.05
2023-11-07,978024.05,0.0,978024.05
2023-11-08,976339.05,0.0,976339.05
2023-11-09,977900.05,0.0,977900.05
2023-11-10,977225.05,0.0,977225.05
2023-11-13,971394.05,0.0,971394.05
2023-11-14,971314.05,0.0,971314.05
2023-11-15,975142.05,0.0,975142.05
2023-11-16,974461.05,0.0,974461.05
2023-11-17,974294.05,0.0,974294.05
2023-11-20,976071.05,0.0,976071.05
2023-11-21,976705.05,0.0,976705.05
2023-11-22,974220.05,0.0,974220.05
2023-11-23,978557.05,0.0,978557.05
2023-11-24,977636.05,0.0,977636.05
2023-11-27,974809.05,0.0,974809.05
2023-11-28,976472.05,0.0,976472.05
2023-11-29,973879.05,0.0,973879.05
2023-11-30,972609.05,0.0,972609.05
2023-12-01,968582.05,0.0,968582.05
2023-12-04,966930.05,0.0,966930.05
2023-12-05,959084.05,0.0,959084.05
2023-12-06,957662.05,0.0,957662.05
2023-12-07,959902.05,0.0,959902.05
2023-12-08,960472.05,0.0,960472.05
2023-12-11,964963.05,0.0,964963.05
2023-12-12,967174.05,0.0,967174.05
2023-12-13,962205.05,0.0,962205.05
2023-12-14,962063.05,0.0,962063.05
2023-12-15,958138.05,0.0,958138.05
2023-12-18,961687.05,0.0,961687.05
2023-12-19,960495.05,0.0,960495.05
2023-12-20,958874.05,0.0,958874.05
2023-12-21,963707.05,0.0,963707.05
2023-12-22,968793.05,0.0,968793.05
2023-12-25,968380.05,0.0,968380.05
2023-12-26,968072.05,0.0,968072.05
2023-12-27,972106.05,0.0,972106.05
2023-12-28,976210.05,0.0,976210.05
2023-12-29,981054.86,1707.0,979347.86
2024-01-02,978419.86,1707.0,976712.86
2024-01-03,980033.86,1707.0,978326.86
2024-01-04,980333.86,1707.0,978626.86
2024-01-05,981509.86,1707.0,979802.86
2024-01-08,978636.86,1707.0,976929.86
2024-01-09,979258.86,1707.0,977551.86
2024-01-10,975743.86,1707.0,974036.86
2024-01-11,976856.86,1707.0,975149.86
2024-01-12,976996.86,1707.0,975289.86
2024-01-15,980629.86,1707.0,978922.86
2024-01-16,987562.86,1707.0,985855.86
2024-01-17,977640.86,1707.0,975933.86
2024-01-18,984047.86,1707.0,982340.86
2024-01-19,978626.86,1707.0,976919.86
2024-01-22,968040.86,1707.0,966333.86
2024-01-23,972856.86,1707.0,971149.86
2024-01-24,984549.86,1707.0,982842.86
2024-01-25,995402.86,1707.0,993695.86
2024-01-26,998906.86,1707.0,997199.86
2024-01-29,1001113.86,1707.0,999406.86
2024-01-30,993044.86,1707.0,991337.86
2024-01-31,991848.86,1707.0,990141.86
2024-02-01,989468.86,1707.0,987761.86
2024-02-02,985925.86,1707.0,984218.86
2024-02-05,990700.86,1707.0,988993.86
2024-02-06,1002737.86,1707.0,1001030.86
2024-02-07,1011825.86,1707.0,1010118.86
2024-02-08,1013017.86,1707.0,1011310.86
2024-02-19,1022060.86,1707.0,1020353.86
2024-02-20,1024533.86,1707.0,1022826.86
2024-02-21,1031423.86,1707.0,1029716.86
2024-02-22,1036173.86,1707.0,1034466.86
2024-02-23,1033739.86,1707.0,1032032.86
2024-02-26,1025924.86,1707.0,1024217.86
2024-02-27,1030622.86,1707.0,1028915.86
2024-02-28,1025027.86,1707.0,1023320.86
2024-02-29,1030849.86,1707.0,1029142.86
2024-03-01,1033981.86,1707.0,1032274.86
2024-03-04,1034692.86,1707.0,1032985.86
2024-03-05,1038721.86,1707.0,1037014.86
2024-03-06,1036621.86,1707.0,1034914.86
2024-03-07,1040116.86,1707.0,1038409.86
2024-03-08,1039534.86,1707.0,1037827.86
2024-03-11,1039486.86,1707.0,1037779.86
2024-03-12,1035371.86,1707.0,1033664.86
2024-03-13,1026710.86,1707.0,1025003.86
2024-03-14,1025754.86,1707.0,1024047.86
2024-03-15,1024317.86,1707.0,1022610.86
2024-03-18,1023791.86,1707.0,1022084.86
2024-03-19,1019976.86,1707.0,1018269.86
2024-03-20,1019385.86,1707.0,1017678.86
2024-03-21,1015617.86,1707.0,1013910.86
2024-03-22,1013768.86,1707.0,1012061.86
2024-03-25,1013117.86,1707.0,1011410.86
2024-03-26,1012535.86,1707.0,1010828.86
2024-03-27,1011342.86,1707.0,1009635.86
2024-03-28,1013043.86,1707.0,1011336.86
2024-03-29,1014990.62,1707.0,1013283.62
2024-04-01,1029149.62,1707.0,1027442.62
2024-04-02,1031027.62,1707.0,1029320.62
2024-04-03,1032499.62,1707.0,1030792.62
2024-04-08,1025668.62,1707.0,1023961.62
2024-04-09,1024804.62,1707.0,1023097.62
2024-04-10,1022266.62,1707.0,1020559.62
2024-04-11,1027077.62,1707.0,1025370.62
2024-04-12,1017631.62,1707.0,1015924.62
2024-04-15,1036142.62,1707.0,1034435.62
2024-04-16,1035089.62,1707.0,1033382.62
2024-04-17,1041174.62,1707.0,1039467.62
2024-04-18,1048627.62,1707.0,1046920.62
2024-04-19,1045745.62,1707.0,1044038.62
2024-04-22,1041940.62,1707.0,1040233.62
2024-04-23,1032190.62,1707.0,1030483.62
2024-04-24,1034701.62,1707.0,1032994.62
2024-04-25,1037636.62,1707.0,1035929.62
2024-04-26,1040810.62,1707.0,1039103.62
2024-04-29,1044114.62,1707.0,1042407.62
2024-04-30,1041455.62,1707.0,1039748.62
2024-05-06,1054959.62,1707.0,1053252.62
2024-05-07,1057229.62,1707.0,1055522.62
2024-05-08,1054552.62,1707.0,1052845.62
2024-05-09,1063233.62,1707.0,1061526.62
2024-05-10,1069552.62,1707.0,1067845.62
2024-05-13,1071823.62,1707.0,1070116.62
2024-05-14,1068239.62,1707.0,1066532.62
2024-05-15,1064118.62,1707.0,1062411.62
2024-05-16,1066145.62,1707.0,1064438.62
2024-05-17,1070695.62,1707.0,1068988.62
2024-05-20,1076380.62,1707.0,1074673.62
2024-05-21,1073929.62,1707.0,1072222.62
2024-05-22,1072693.62,1707.0,1070986.62
2024-05-23,1068961.62,1707.0,1067254.62
2024-05-24,1063813.62,1707.0,1062106.62
2024-05-27,1072586.62,1707.0,1070879.62
2024-05-28,1069671.62,1707.0,1067964.62
2024-05-29,1067565.62,1707.0,1065858.62
2024-05-30,1060353.62,1707.0,1058646.62
2024-05-31,1060220.62,1707.0,1058513.62
2024-06-03,1066052.62,1707.0,1064345.62
2024-06-04,1068907.62,1707.0,1067200.62
2024-06-05,1064762.62,1707.0,1063055.62
2024-06-06,1066467.62,1707.0,1064760.62
2024-06-07,1065907.62,1707.0,1064200.62
2024-06-11,1055040.62,1707.0,1053333.62
2024-06-12,1058743.62,1707.0,1057036.62
2024-06-13,1051140.62,1707.0,1049433.62
2024-06-14,1058335.62,1707.0,1056628.62
2024-06-17,1053497.62,1707.0,1051790.62
2024-06-18,1055620.62,1707.0,1053913.62
2024-06-19,1048284.62,1707.0,1046577.62
2024-06-20,1047884.62,1707.0,1046177.62
2024-06-21,1046479.62,1707.0,1044772.62
2024-06-24,1042998.62,1707.0,1041291.62
2024-06-25,1042378.62,1707.0,1040671.62
2024-06-26,1037551.62,1707.0,1035844.62
2024-06-27,1033922.62,1707.0,1032215.62
2024-06-28,1049261.72,17721.0,1031540.72
2024-07-01,1052908.72,17721.0,1035187.72
2024-07-02,1049426.72,17721.0,1031705.72
2024-07-03,1048915.72,17721.0,1031194.72
2024-07-04,1047005.72,17721.0,1029284.72
2024-07-05,1043949.72,17721.0,1026228.72
2024-07-08,1042374.72,17721.0,1024653.72
2024-07-09,1046402.72,17721.0,1028681.72
2024-07-10,1045421.72,17721.0,1027700.72
2024-07-11,1044999.72,17721.0,1027278.72
2024-07-12,1043637.72,17721.0,1025916.72
2024-07-15,1045780.72,17721.0,1028059.72
2024-07-16,1043857.72,17721.0,1026136.72
2024-07-17,1048920.72,17721.0,1031199.72
2024-07-18,1052042.72,17721.0,1034321.72
2024-07-19,1051784.72,17721.0,1034063.72
2024-07-22,1049556.72,17721.0,1031835.72
2024-07-23,1039165.72,17721.0,1021444.72
2024-07-24,1033635.72,17721.0,1015914.72
2024-07-25,1034742.72,17721.0,1017021.72
2024-07-26,1037794.72,17721.0,1020073.72
2024-07-29,1037348.72,17721.0,1019627.72
2024-07-30,1032649.72,17721.0,1014928.72
2024-07-31,1045535.72,17721.0,1027814.72
2024-08-01,1042346.72,17721.0,1024625.72
2024-08-02,1038081.72,17721.0,1020360.72
2024-08-05,1036997.72,17721.0,1019276.72
2024-08-06,1030197.72,17721.0,1012476.72
2024-08-07,1029372.72,17721.0,1011651.72
2024-08-08,1031967.72,17721.0,1014246.72
2024-08-09,1030082.72,17721.0,1012361.72
2024-08-12,1031314.72,17721.0,1013593.72
2024-08-13,1031138.72,17721.0,1013417.72
2024-08-14,1028233.72,17721.0,1010512.72
2024-08-15,1029407.72,17721.0,1011686.72
2024-08-16,1028900.72,17721.0,1011179.72
2024-08-19,1032036.72,17721.0,1014315.72
2024-08-20,1029306.72,17721.0,1011585.72
2024-08-21,1026484.72,17721.0,1008763.72
2024-08-22,1026128.72,17721.0,1008407.72
2024-08-23,1033094.72,17721.0,1015373.72
2024-08-26,1033874.72,17721.0,1016153.72
2024-08-27,1033679.72,17721.0,1015958.72
2024-08-28,1029866.72,17721.0,1012145.72
2024-08-29,1027476.72,17721.0,1009755.72
2024-08-30,1039503.72,17721.0,1021782.72
2024-09-02,1036873.72,17721.0,1019152.72
2024-09-03,1038684.72,17721.0,1020963.72
2024-09-04,1037018.72,17721.0,1019297.72
2024-09-05,1040126.72,17721.0,1022405.72
2024-09-06,1040044.72,17721.0,1022323.72
2024-09-09,1031045.72,17721.0,1013324.72
2024-09-10,1032067.72,17721.0,1014346.72
2024-09-11,1032893.72,17721.0,1015172.72
2024-09-12,1029603.72,17721.0,1011882.72
2024-09-13,1031180.72,17721.0,1013459.72
2024-09-18,1037126.72,17721.0,1019405.72
2024-09-19,1040632.72,17721.0,1022911.72
2024-09-20,1041053.72,17721.0,1023332.72
2024-09-23,1044682.72,17721.0,1026961.72
2024-09-24,1059520.72,17721.0,1041799.72
2024-09-25,1061674.72,17721.0,1043953.72
2024-09-26,1085882.72,17721.0,1068161.72
2024-09-27,1105353.46,25725.2,1079628.26
2024-09-30,1138226.46,25725.2,1112501.26
2024-10-08,1156461.46,25725.2,1130736.26
2024-10-09,1117268.46,25725.2,1091543.26
2024-10-10,1133055.46,25725.2,1107330.26
2024-10-11,1122317.46,25725.2,1096592.26
2024-10-14,1130589.46,25725.2,1104864.26
2024-10-15,1119049.46,25725.2,1093324.26
2024-10-16,1119696.46,25725.2,1093971.26
2024-10-17,1115433.46,25725.2,1089708.26
2024-10-18,1119356.46,25725.2,1093631.26
2024-10-21,1115495.46,25725.2,1089770.26
2024-10-22,1123246.46,25725.2,1097521.26
2024-10-23,1126559.46,25725.2,1100834.26
2024-10-24,1122368.46,25725.2,1096643.26
2024-10-25,1121043.46,25725.2,1095318.26
2024-10-28,1123034.46,25725.2,1097309.26
2024-10-29,1119256.46,25725.2,1093531.26
2024-10-30,1114327.46,25725.2,1088602.26
2024-10-31,1109085.46,25725.2,1083360.26
2024-11-01,1110498.46,25725.2,1084773.26
2024-11-04,1115307.46,25725.2,1089582.26
2024-11-05,1124789.46,25725.2,1099064.26
2024-11-06,1119239.46,25725.2,1093514.26
2024-11-07,1135608.46,25725.2,1109883.26
2024-11-08,1130665.46,25725.2,1104940.26
2024-11-11,1126285.46,25725.2,1100560.26
2024-11-12,1122694.46,25725.2,1096969.26
2024-11-13,1125919.46,25725.2,1100194.26
2024-11-14,1121421.46,25725.2,1095696.26
2024-11-15,1115866.46,25725.2,1090141.26
2024-11-18,1112737.46,25725.2,1087012.26
2024-11-19,1112388.46,25725.2,1086663.26
2024-11-20,1112393.46,25725.2,1086668.26
2024-11-21,1111224.46,25725.2,1085499.26
2024-11-22,1097693.46,25725.2,1071968.26
2024-11-25,1098385.46,25725.2,1072660.26
2024-11-26,1099154.46,25725.2,1073429.26
2024-11-27,1103847.46,25725.2,1078122.26
2024-11-28,1099494.46,25725.2,1073769.26
2024-11-29,1102736.46,25725.2,1077011.26
2024-12-02,1107170.46,25725.2,1081445.26
2024-12-03,1108764.46,25725.2,1083039.26
2024-12-04,1109699.46,25725.2,1083974.26
2024-12-05,1109113.46,25725.2,1083388.26
2024-12-06,1112990.46,25725.2,1087265.26
2024-12-09,1111852.46,25725.2,1086127.26
2024-12-10,1115131.46,25725.2,1089406.26
2024-12-11,1116899.46,25725.2,1091174.26
2024-12-12,1120456.46,25725.2,1094731.26
2024-12-13,1109878.46,25725.2,1084153.26
2024-12-16,1108445.46,25725.2,1082720.26
2024-12-17,1109395.46,25725.2,1083670.26
2024-12-18,1111077.46,25725.2,1085352.26
2024-12-19,1109777.46,25725.2,1084052.26
2024-12-20,1107666.46,25725.2,1081941.26
2024-12-23,1107801.46,25725.2,1082076.26
2024-12-24,1114619.46,25725.2,1088894.26
2024-12-25,1113752.46,25725.2,1088027.26
2024-12-26,1113248.46,25725.2,1087523.26
2024-12-27,1113475.83,28131.4,1085344.43
2024-12-30,1114744.83,28131.4,1086613.43
2024-12-31,1111420.83,28131.4,1083289.43
2025-01-02,1105144.83,28131.4,1077013.43
2025-01-03,1102879.83,28131.4,1074748.43
2025-01-06,1102329.83,28131.4,1074198.43
2025-01-07,1102426.83,28131.4,1074295.43
2025-01-08,1105553.83,28131.4,1077422.43
2025-01-09,1102045.83,28131.4,1073914.43
2025-01-10,1093944.83,28131.4,1065813.43
2025-01-13,1089577.83,28131.4,1061446.43
2025-01-14,1095384.83,28131.4,1067253.43
2025-01-15,1093705.83,28131.4,1065574.43
2025-01-16,1093788.83,28131.4,1065657.43
2025-01-17,1095503.83,28131.4,1067372.43
2025-01-20,1094670.83,28131.4,1066539.43
2025-01-21,1092756.83,28131.4,1064625.43
2025-01-22,1086563.83,28131.4,1058432.43
2025-01-23,1090857.83,28131.4,1062726.43
2025-01-24,1093804.83,28131.4,1065673.43
2025-01-27,1097171.83,28131.4,1069040.43
2025-02-05,1090122.83,28131.4,1061991.43
2025-02-06,1090906.83,28131.4,1062775.43
2025-02-07,1095435.83,28131.4,1067304.43
2025-02-10,1094734.83,28131.4,1066603.43
2025-02-11,1093401.83,28131.4,1065270.43
2025-02-12,1094407.83,28131.4,1066276.43
2025-02-13,1094548.83,28131.4,1066417.43
2025-02-14,1098048.83,28131.4,1069917.43
2025-02-17,1096843.83,28131.4,1068712.43
2025-02-18,1093574.83,28131.4,1065443.43
2025-02-19,1093403.83,28131.4,1065272.43
2025-02-20,1091891.83,28131.4,1063760.43
2025-02-21,1091881.83,28131.4,1063750.43
2025-02-24,1096745.83,28131.4,1068614.43
2025-02-25,1091459.83,28131.4,1063328.43
2025-02-26,1095866.83,28131.4,1067735.43
