date,ts_code,name,action,price,shares,amount,commission,reason,category
2023-06-30,601229.SH,上海银行,buy,5.756,11100,63888.82,63.89,新买入，评分84(🔥 大胆攒股)，股息率6.96%，目标权重6.4%,弱周期红利
2023-06-30,600016.SH,民生银行,buy,3.754,11400,42792.75,42.79,新买入，评分78(✅ 积极布局)，股息率5.71%，目标权重4.3%,弱周期红利
2023-06-30,601009.SH,南京银行,buy,8.008,8000,64064.0,64.06,新买入，评分82(🔥 大胆攒股)，股息率6.67%，目标权重6.4%,弱周期红利
2023-06-30,600039.SH,四川路桥,buy,9.82,6500,63828.76,63.83,新买入，评分88(🔥 大胆攒股)，股息率9.28%，目标权重6.4%,弱周期红利
2023-06-30,000333.SZ,美的集团,buy,58.979,2000,117957.84,117.96,新买入，评分73(✅ 积极布局)，股息率4.24%，目标权重12.0%,消费成长红利
2023-06-30,601919.SH,中远海控,buy,9.409,7000,65865.8,65.87,新买入，评分88(🔥 大胆攒股)，股息率14.79%，目标权重6.7%,周期资源红利
2023-06-30,601166.SH,兴业银行,buy,15.666,4100,64229.17,64.23,新买入，评分88(🔥 大胆攒股)，股息率7.59%，目标权重6.4%,弱周期红利
2023-06-30,600585.SH,海螺水泥,buy,23.764,2800,66538.47,66.54,新买入，评分84(🔥 大胆攒股)，股息率6.23%，目标权重6.7%,周期资源红利
2023-06-30,600015.SH,华夏银行,buy,5.415,11800,63901.84,63.9,新买入，评分88(🔥 大胆攒股)，股息率7.08%，目标权重6.4%,弱周期红利
2023-06-30,601216.SH,君正集团,buy,4.104,10800,44324.28,44.32,新买入，评分72(✅ 积极布局)，股息率4.39%，目标权重4.4%,周期资源红利
2023-06-30,000877.SZ,天山股份,buy,8.148,2700,21999.98,22.0,新买入，评分50(👀 观察等待)，股息率3.32%，目标权重2.2%,周期资源红利
2023-09-29,601229.SH,上海银行,sell,6.164,11100,68418.51,136.84,清仓，评分81(🔥 大胆攒股)，低于观察阈值，当前权重6.8%,弱周期红利
2023-09-29,600016.SH,民生银行,sell,3.836,11400,43732.22,87.46,清仓，评分77(✅ 积极布局)，低于观察阈值，当前权重4.4%,弱周期红利
