date,ts_code,name,category,shares,cost_price,current_price,market_value,weight,profit_pct,cash,total_value
2015-03-27,511880.SH,银华日利,现金管理,9700,101.269,101.168,981329.39,98.33,-0.1,16706.97,998036.36
2015-06-26,511880.SH,银华日利,现金管理,5900,101.269,102.079,602266.49,59.93,0.8,4773.35,1004914.84
2015-06-26,600887.SH,伊利股份,周期龙头红利,2800,17.638,17.62,49336.0,4.91,-0.1,4773.35,1004914.84
2015-06-26,000895.SZ,双汇发展,周期龙头红利,7400,20.14,20.12,148888.0,14.82,-0.1,4773.35,1004914.84
2015-06-26,600066.SH,宇通客车,周期龙头红利,2700,18.518,18.5,49950.0,4.97,-0.1,4773.35,1004914.84
2015-06-26,600660.SH,福耀玻璃,周期龙头红利,7400,13.604,13.59,100566.0,10.01,-0.1,4773.35,1004914.84
2015-06-26,600000.SH,浦发银行,周期龙头红利,3100,15.866,15.85,49135.0,4.89,-0.1,4773.35,1004914.84
2015-09-25,511880.SH,银华日利,现金管理,600,101.269,102.73,61637.91,6.37,1.44,3790.69,967898.6
2015-09-25,600887.SH,伊利股份,周期龙头红利,2800,17.638,15.4,43120.0,4.46,-12.69,3790.69,967898.6
2015-09-25,000895.SZ,双汇发展,周期龙头红利,5400,20.14,17.99,97146.0,10.04,-10.68,3790.69,967898.6
2015-09-25,600066.SH,宇通客车,周期龙头红利,2700,18.518,18.06,48762.0,5.04,-2.48,3790.69,967898.6
2015-09-25,600660.SH,福耀玻璃,周期龙头红利,7400,13.604,11.7,86580.0,8.95,-13.99,3790.69,967898.6
2015-09-25,600000.SH,浦发银行,周期龙头红利,3100,15.866,15.59,48329.0,4.99,-1.74,3790.69,967898.6
2015-09-25,601398.SH,工商银行,周期龙头红利,17300,4.454,4.45,76985.0,7.95,-0.1,3790.69,967898.6
2015-09-25,601939.SH,建设银行,周期龙头红利,14500,5.295,5.29,76705.0,7.92,-0.1,3790.69,967898.6
2015-09-25,000651.SZ,格力电器,周期龙头红利,5900,16.106,16.09,94931.0,9.81,-0.1,3790.69,967898.6
2015-09-25,601088.SH,中国神华,周期龙头红利,2100,14.925,14.91,31311.0,3.23,-0.1,3790.69,967898.6
2015-09-25,601988.SH,中国银行,周期龙头红利,8300,3.834,3.83,31789.0,3.28,-0.1,3790.69,967898.6
2015-09-25,600011.SH,华能国际,周期龙头红利,3700,8.639,8.63,31931.0,3.3,-0.1,3790.69,967898.6
2015-09-25,600377.SH,宁沪高速,周期龙头红利,3900,8.058,8.05,31395.0,3.24,-0.1,3790.69,967898.6
2015-09-25,601288.SH,农业银行,周期龙头红利,24700,3.113,3.11,76817.0,7.94,-0.1,3790.69,967898.6
2015-09-25,600104.SH,上汽集团,周期龙头红利,5800,16.346,16.33,94714.0,9.79,-0.1,3790.69,967898.6
2015-09-25,601818.SH,光大银行,周期龙头红利,7700,4.154,4.15,31955.0,3.3,-0.1,3790.69,967898.6
2015-12-25,511880.SH,银华日利,现金管理,600,101.269,103.409,62045.11,5.45,2.11,7596.59,1138752.7
2015-12-25,600887.SH,伊利股份,周期龙头红利,2800,17.638,17.1,47880.0,4.2,-3.05,7596.59,1138752.7
2015-12-25,000895.SZ,双汇发展,周期龙头红利,6800,20.326,21.02,142936.0,12.55,3.42,7596.59,1138752.7
2015-12-25,600066.SH,宇通客车,周期龙头红利,2700,18.518,22.49,60723.0,5.33,21.45,7596.59,1138752.7
2015-12-25,600660.SH,福耀玻璃,周期龙头红利,3100,13.604,15.71,48701.0,4.28,15.48,7596.59,1138752.7
2015-12-25,601398.SH,工商银行,周期龙头红利,17300,4.454,4.65,80445.0,7.06,4.39,7596.59,1138752.7
2015-12-25,601939.SH,建设银行,周期龙头红利,8200,5.295,5.9,48380.0,4.25,11.42,7596.59,1138752.7
2015-12-25,000651.SZ,格力电器,周期龙头红利,5900,16.106,23.0,135700.0,11.92,42.8,7596.59,1138752.7
2015-12-25,601088.SH,中国神华,周期龙头红利,2100,14.925,15.11,31731.0,2.79,1.24,7596.59,1138752.7
2015-12-25,601988.SH,中国银行,周期龙头红利,8300,3.834,4.06,33698.0,2.96,5.9,7596.59,1138752.7
2015-12-25,600011.SH,华能国际,周期龙头红利,3700,8.639,8.98,33226.0,2.92,3.95,7596.59,1138752.7
2015-12-25,600377.SH,宁沪高速,周期龙头红利,3900,8.058,8.85,34515.0,3.03,9.83,7596.59,1138752.7
2015-12-25,601288.SH,农业银行,周期龙头红利,24700,3.113,3.27,80769.0,7.09,5.04,7596.59,1138752.7
2015-12-25,600104.SH,上汽集团,周期龙头红利,4500,16.346,21.85,98325.0,8.63,33.67,7596.59,1138752.7
2015-12-25,601633.SH,长城汽车,周期龙头红利,11900,12.152,12.14,144466.0,12.69,-0.1,7596.59,1138752.7
2015-12-25,600690.SH,海尔智家,周期龙头红利,4800,9.93,9.92,47616.0,4.18,-0.1,7596.59,1138752.7
2016-03-25,511880.SH,银华日利,现金管理,1700,103.148,104.069,176916.6,17.57,0.89,15482.6,1007199.19
2016-03-25,600887.SH,伊利股份,周期龙头红利,2800,17.638,14.17,39676.0,3.94,-19.66,15482.6,1007199.19
2016-03-25,000895.SZ,双汇发展,周期龙头红利,3800,20.326,20.12,76456.0,7.59,-1.01,15482.6,1007199.19
2016-03-25,600660.SH,福耀玻璃,周期龙头红利,1700,13.604,14.78,25126.0,2.49,8.65,15482.6,1007199.19
2016-03-25,601398.SH,工商银行,周期龙头红利,17300,4.454,4.28,74044.0,7.35,-3.92,15482.6,1007199.19
2016-03-25,601939.SH,建设银行,周期龙头红利,12300,5.145,4.84,59532.0,5.91,-5.93,15482.6,1007199.19
2016-03-25,000651.SZ,格力电器,周期龙头红利,3900,16.106,19.22,74958.0,7.44,19.33,15482.6,1007199.19
2016-03-25,601088.SH,中国神华,周期龙头红利,2100,14.925,14.0,29400.0,2.92,-6.2,15482.6,1007199.19
2016-03-25,601988.SH,中国银行,周期龙头红利,8300,3.834,3.36,27888.0,2.77,-12.36,15482.6,1007199.19
2016-03-25,601288.SH,农业银行,周期龙头红利,24700,3.113,3.16,78052.0,7.75,1.51,15482.6,1007199.19
2016-03-25,600104.SH,上汽集团,周期龙头红利,4500,16.346,19.87,89415.0,8.88,21.56,15482.6,1007199.19
2016-03-25,601818.SH,光大银行,周期龙头红利,6700,3.704,3.7,24790.0,2.46,-0.1,15482.6,1007199.19
2016-03-25,601633.SH,长城汽车,周期龙头红利,8300,12.152,9.1,75530.0,7.5,-25.12,15482.6,1007199.19
2016-03-25,600690.SH,海尔智家,周期龙头红利,4800,9.93,8.5,40800.0,4.05,-14.4,15482.6,1007199.19
2016-03-25,601006.SH,大秦铁路,周期龙头红利,10900,6.827,6.82,74338.0,7.38,-0.1,15482.6,1007199.19
2016-03-25,601328.SH,交通银行,周期龙头红利,4500,5.516,5.51,24795.0,2.46,-0.1,15482.6,1007199.19
2016-06-24,511880.SH,银华日利,现金管理,2100,103.465,104.71,219891.14,21.69,1.2,15762.39,1013859.53
2016-06-24,000895.SZ,双汇发展,周期龙头红利,2200,20.326,20.85,45870.0,4.52,2.58,15762.39,1013859.53
2016-06-24,600066.SH,宇通客车,周期龙头红利,3400,19.73,19.71,67014.0,6.61,-0.1,15762.39,1013859.53
2016-06-24,600660.SH,福耀玻璃,周期龙头红利,3200,13.683,13.76,44032.0,4.34,0.56,15762.39,1013859.53
2016-06-24,601398.SH,工商银行,周期龙头红利,12300,4.454,4.4,54120.0,5.34,-1.22,15762.39,1013859.53
2016-06-24,601939.SH,建设银行,周期龙头红利,12300,5.145,4.96,61008.0,6.02,-3.6,15762.39,1013859.53
2016-06-24,000651.SZ,格力电器,周期龙头红利,3900,16.106,19.22,74958.0,7.39,19.33,15762.39,1013859.53
2016-06-24,601988.SH,中国银行,周期龙头红利,16900,3.493,3.16,53404.0,5.27,-9.52,15762.39,1013859.53
2016-06-24,600104.SH,上汽集团,周期龙头红利,2300,16.346,20.05,46115.0,4.55,22.66,15762.39,1013859.53
2016-06-24,601633.SH,长城汽车,周期龙头红利,5400,12.152,8.4,45360.0,4.47,-30.88,15762.39,1013859.53
2016-06-24,600690.SH,海尔智家,周期龙头红利,4800,9.93,8.63,41424.0,4.09,-13.09,15762.39,1013859.53
2016-06-24,601006.SH,大秦铁路,周期龙头红利,10900,6.827,6.31,68779.0,6.78,-7.57,15762.39,1013859.53
2016-06-24,600741.SH,华域汽车,周期龙头红利,3200,13.814,13.8,44160.0,4.36,-0.1,15762.39,1013859.53
2016-06-24,600027.SH,华电国际,周期龙头红利,8900,4.975,4.97,44233.0,4.36,-0.1,15762.39,1013859.53
2016-06-24,000333.SZ,美的集团,周期龙头红利,1900,22.853,22.83,43377.0,4.28,-0.1,15762.39,1013859.53
2016-06-24,600023.SH,浙能电力,周期龙头红利,8800,5.045,5.04,44352.0,4.37,-0.1,15762.39,1013859.53
2016-09-30,511880.SH,银华日利,现金管理,900,103.465,105.463,94916.8,8.48,1.93,1576.8,1118782.6
2016-09-30,600066.SH,宇通客车,周期龙头红利,4700,20.38,22.06,103682.0,9.27,8.24,1576.8,1118782.6
2016-09-30,600660.SH,福耀玻璃,周期龙头红利,3200,13.683,16.89,54048.0,4.83,23.43,1576.8,1118782.6
2016-09-30,601398.SH,工商银行,周期龙头红利,12300,4.454,4.43,54489.0,4.87,-0.55,1576.8,1118782.6
2016-09-30,601939.SH,建设银行,周期龙头红利,12300,5.145,5.18,63714.0,5.69,0.68,1576.8,1118782.6
2016-09-30,000651.SZ,格力电器,周期龙头红利,3900,16.106,22.22,86658.0,7.75,37.96,1576.8,1118782.6
2016-09-30,601988.SH,中国银行,周期龙头红利,16900,3.493,3.37,56953.0,5.09,-3.51,1576.8,1118782.6
2016-09-30,600011.SH,华能国际,周期龙头红利,14900,7.047,7.04,104896.0,9.38,-0.1,1576.8,1118782.6
2016-09-30,601288.SH,农业银行,周期龙头红利,13400,3.133,3.13,41942.0,3.75,-0.1,1576.8,1118782.6
2016-09-30,600104.SH,上汽集团,周期龙头红利,2300,16.346,21.85,50255.0,4.49,33.67,1576.8,1118782.6
2016-09-30,601818.SH,光大银行,周期龙头红利,11000,3.794,3.79,41690.0,3.73,-0.1,1576.8,1118782.6
2016-09-30,601006.SH,大秦铁路,周期龙头红利,16500,6.664,6.34,104610.0,9.35,-4.86,1576.8,1118782.6
2016-09-30,600741.SH,华域汽车,周期龙头红利,3200,13.814,15.75,50400.0,4.5,14.02,1576.8,1118782.6
2016-09-30,600027.SH,华电国际,周期龙头红利,14100,4.968,4.95,69795.0,6.24,-0.35,1576.8,1118782.6
2016-09-30,000776.SZ,广发证券,周期龙头红利,2100,16.386,16.37,34377.0,3.07,-0.1,1576.8,1118782.6
2016-09-30,000876.SZ,新希望,周期龙头红利,13000,8.068,8.06,104780.0,9.37,-0.1,1576.8,1118782.6
2016-12-30,511880.SH,银华日利,现金管理,200,103.465,106.054,21210.87,1.85,2.5,5185.84,1144244.71
2016-12-30,000895.SZ,双汇发展,周期龙头红利,4100,20.951,20.93,85813.0,7.5,-0.1,5185.84,1144244.71
2016-12-30,600066.SH,宇通客车,周期龙头红利,6700,20.15,19.59,131253.0,11.47,-2.78,5185.84,1144244.71
2016-12-30,601398.SH,工商银行,周期龙头红利,12300,4.454,4.41,54243.0,4.74,-1.0,5185.84,1144244.71
2016-12-30,601939.SH,建设银行,周期龙头红利,12300,5.145,5.44,66912.0,5.85,5.73,5185.84,1144244.71
2016-12-30,000651.SZ,格力电器,周期龙头红利,3900,16.106,24.62,96018.0,8.39,52.86,5185.84,1144244.71
2016-12-30,601988.SH,中国银行,周期龙头红利,16900,3.493,3.44,58136.0,5.08,-1.5,5185.84,1144244.71
2016-12-30,600011.SH,华能国际,周期龙头红利,14900,7.047,7.05,105045.0,9.18,0.04,5185.84,1144244.71
2016-12-30,601288.SH,农业银行,周期龙头红利,13400,3.133,3.1,41540.0,3.63,-1.06,5185.84,1144244.71
2016-12-30,600104.SH,上汽集团,周期龙头红利,3700,19.043,23.45,86765.0,7.58,23.14,5185.84,1144244.71
2016-12-30,601006.SH,大秦铁路,周期龙头红利,12400,6.664,7.08,87792.0,7.67,6.25,5185.84,1144244.71
2016-12-30,600741.SH,华域汽车,周期龙头红利,3200,13.814,15.95,51040.0,4.46,15.46,5185.84,1144244.71
2016-12-30,600027.SH,华电国际,周期龙头红利,14100,4.968,4.95,69795.0,6.1,-0.35,5185.84,1144244.71
2016-12-30,600023.SH,浙能电力,周期龙头红利,8000,5.435,5.43,43440.0,3.8,-0.1,5185.84,1144244.71
2016-12-30,000776.SZ,广发证券,周期龙头红利,2100,16.386,16.86,35406.0,3.09,2.89,5185.84,1144244.71
2016-12-30,000876.SZ,新希望,周期龙头红利,13000,8.068,8.05,104650.0,9.15,-0.22,5185.84,1144244.71
2017-03-31,511880.SH,银华日利,现金管理,1200,106.387,106.865,128237.71,10.39,0.45,14082.74,1234794.45
2017-03-31,000895.SZ,双汇发展,周期龙头红利,5200,21.294,22.55,117260.0,9.5,5.9,14082.74,1234794.45
2017-03-31,600066.SH,宇通客车,周期龙头红利,8200,20.397,21.48,176136.0,14.26,5.31,14082.74,1234794.45
2017-03-31,000651.SZ,格力电器,周期龙头红利,1900,16.106,31.7,60230.0,4.88,96.82,14082.74,1234794.45
2017-03-31,600011.SH,华能国际,周期龙头红利,14900,7.047,7.17,106833.0,8.65,1.74,14082.74,1234794.45
2017-03-31,601288.SH,农业银行,周期龙头红利,13400,3.133,3.34,44756.0,3.62,6.6,14082.74,1234794.45
2017-03-31,600104.SH,上汽集团,周期龙头红利,2400,19.043,25.38,60912.0,4.93,33.28,14082.74,1234794.45
2017-03-31,601006.SH,大秦铁路,周期龙头红利,12400,6.664,7.57,93868.0,7.6,13.6,14082.74,1234794.45
2017-03-31,600027.SH,华电国际,周期龙头红利,23200,4.998,5.04,116928.0,9.47,0.84,14082.74,1234794.45
2017-03-31,600023.SH,浙能电力,周期龙头红利,8000,5.435,5.7,45600.0,3.69,4.87,14082.74,1234794.45
2017-03-31,000776.SZ,广发证券,周期龙头红利,2100,16.386,17.09,35889.0,2.91,4.29,14082.74,1234794.45
2017-03-31,000876.SZ,新希望,周期龙头红利,21800,8.064,8.05,175490.0,14.21,-0.17,14082.74,1234794.45
2017-03-31,600999.SH,招商证券,周期龙头红利,3600,16.286,16.27,58572.0,4.74,-0.1,14082.74,1234794.45
2017-06-30,511880.SH,银华日利,现金管理,4400,107.509,107.821,474414.07,35.98,0.29,16185.84,1318417.91
2017-06-30,000895.SZ,双汇发展,周期龙头红利,8300,22.22,23.75,197125.0,14.95,6.88,16185.84,1318417.91
2017-06-30,600066.SH,宇通客车,周期龙头红利,3100,20.397,21.97,68107.0,5.17,7.71,16185.84,1318417.91
2017-06-30,600104.SH,上汽集团,周期龙头红利,2400,19.043,31.05,74520.0,5.65,63.05,16185.84,1318417.91
2017-06-30,600027.SH,华电国际,周期龙头红利,23200,4.998,4.83,112056.0,8.5,-3.36,16185.84,1318417.91
2017-06-30,000776.SZ,广发证券,周期龙头红利,3800,16.78,17.25,65550.0,4.97,2.8,16185.84,1318417.91
2017-06-30,000876.SZ,新希望,周期龙头红利,21800,8.064,8.22,179196.0,13.59,1.93,16185.84,1318417.91
2017-06-30,300498.SZ,温氏股份,周期龙头红利,5600,23.463,23.44,131264.0,9.96,-0.1,16185.84,1318417.91
2017-09-29,511880.SH,银华日利,现金管理,2300,107.509,108.919,250513.46,18.99,1.31,10965.87,1319094.32
2017-09-29,000895.SZ,双汇发展,周期龙头红利,8300,22.22,24.9,206670.0,15.67,12.06,10965.87,1319094.32
2017-09-29,000651.SZ,格力电器,周期龙头红利,1700,37.938,37.9,64430.0,4.88,-0.1,10965.87,1319094.32
2017-09-29,600104.SH,上汽集团,周期龙头红利,4300,23.982,30.19,129817.0,9.84,25.89,10965.87,1319094.32
2017-09-29,600741.SH,华域汽车,周期龙头红利,2900,22.573,22.55,65395.0,4.96,-0.1,10965.87,1319094.32
2017-09-29,000876.SZ,新希望,周期龙头红利,26800,7.936,7.37,197516.0,14.97,-7.13,10965.87,1319094.32
2017-09-29,300498.SZ,温氏股份,周期龙头红利,9200,22.707,21.51,197892.0,15.0,-5.27,10965.87,1319094.32
2017-09-29,000338.SZ,潍柴动力,周期龙头红利,8800,7.497,7.49,65912.0,5.0,-0.1,10965.87,1319094.32
2017-09-29,000625.SZ,长安汽车,周期龙头红利,4600,14.184,14.17,65182.0,4.94,-0.1,10965.87,1319094.32
2017-09-29,600900.SH,长江电力,周期龙头红利,4300,15.085,15.07,64801.0,4.91,-0.1,10965.87,1319094.32
2017-12-29,511880.SH,银华日利,现金管理,3800,108.497,109.902,417626.41,29.85,1.29,16003.25,1399213.66
2017-12-29,000895.SZ,双汇发展,周期龙头红利,8300,22.22,26.5,219950.0,15.72,19.26,16003.25,1399213.66
2017-12-29,600011.SH,华能国际,周期龙头红利,11300,6.176,6.17,69721.0,4.98,-0.1,16003.25,1399213.66
2017-12-29,600377.SH,宁沪高速,周期龙头红利,7100,9.86,9.85,69935.0,5.0,-0.1,16003.25,1399213.66
2017-12-29,600104.SH,上汽集团,周期龙头红利,2200,23.982,32.04,70488.0,5.04,33.6,16003.25,1399213.66
2017-12-29,600023.SH,浙能电力,周期龙头红利,13100,5.335,5.33,69823.0,4.99,-0.1,16003.25,1399213.66
2017-12-29,000876.SZ,新希望,周期龙头红利,26800,7.936,7.45,199660.0,14.27,-6.12,16003.25,1399213.66
2017-12-29,300498.SZ,温氏股份,周期龙头红利,5900,22.707,23.9,141010.0,10.08,5.25,16003.25,1399213.66
2017-12-29,000625.SZ,长安汽车,周期龙头红利,4600,14.184,12.6,57960.0,4.14,-11.17,16003.25,1399213.66
2017-12-29,600900.SH,长江电力,周期龙头红利,4300,15.085,15.59,67037.0,4.79,3.35,16003.25,1399213.66
2018-03-30,511880.SH,银华日利,现金管理,1100,108.497,111.003,122103.65,8.84,2.31,8730.42,1380944.07
2018-03-30,000895.SZ,双汇发展,周期龙头红利,8300,22.22,25.6,212480.0,15.39,15.21,8730.42,1380944.07
2018-03-30,600066.SH,宇通客车,周期龙头红利,3000,22.382,22.36,67080.0,4.86,-0.1,8730.42,1380944.07
2018-03-30,600011.SH,华能国际,周期龙头红利,11300,6.176,6.87,77631.0,5.62,11.23,8730.42,1380944.07
2018-03-30,600377.SH,宁沪高速,周期龙头红利,7100,9.86,9.66,68586.0,4.97,-2.03,8730.42,1380944.07
2018-03-30,600104.SH,上汽集团,周期龙头红利,2200,23.982,34.01,74822.0,5.42,41.82,8730.42,1380944.07
2018-03-30,600023.SH,浙能电力,周期龙头红利,13100,5.335,5.53,72443.0,5.25,3.65,8730.42,1380944.07
2018-03-30,000876.SZ,新希望,周期龙头红利,26800,7.936,7.28,195104.0,14.13,-8.27,8730.42,1380944.07
2018-03-30,300498.SZ,温氏股份,周期龙头红利,9900,21.969,20.86,206514.0,14.95,-5.05,8730.42,1380944.07
2018-03-30,000338.SZ,潍柴动力,周期龙头红利,8300,8.268,8.26,68558.0,4.96,-0.1,8730.42,1380944.07
2018-03-30,000625.SZ,长安汽车,周期龙头红利,12300,12.336,11.22,138006.0,9.99,-9.04,8730.42,1380944.07
2018-03-30,600900.SH,长江电力,周期龙头红利,4300,15.085,16.02,68886.0,4.99,6.2,8730.42,1380944.07
2018-06-29,511880.SH,银华日利,现金管理,1500,109.475,112.052,168078.41,12.57,2.35,21876.81,1337014.22
2018-06-29,600066.SH,宇通客车,周期龙头红利,4400,21.373,19.19,84436.0,6.32,-10.21,21876.81,1337014.22
2018-06-29,601988.SH,中国银行,周期龙头红利,11800,3.614,3.61,42598.0,3.19,-0.1,21876.81,1337014.22
2018-06-29,601288.SH,农业银行,周期龙头红利,14900,3.443,3.44,51256.0,3.83,-0.1,21876.81,1337014.22
2018-06-29,601006.SH,大秦铁路,周期龙头红利,10400,8.218,8.21,85384.0,6.39,-0.1,21876.81,1337014.22
2018-06-29,601328.SH,交通银行,周期龙头红利,7400,5.746,5.74,42476.0,3.18,-0.1,21876.81,1337014.22
2018-06-29,600741.SH,华域汽车,周期龙头红利,1800,23.744,23.72,42696.0,3.19,-0.1,21876.81,1337014.22
2018-06-29,600023.SH,浙能电力,周期龙头红利,13100,5.335,4.66,61046.0,4.57,-12.66,21876.81,1337014.22
2018-06-29,000876.SZ,新希望,周期龙头红利,20400,7.936,6.34,129336.0,9.67,-20.11,21876.81,1337014.22
2018-06-29,000625.SZ,长安汽车,周期龙头红利,12300,12.336,9.0,110700.0,8.28,-27.04,21876.81,1337014.22
2018-06-29,600900.SH,长江电力,周期龙头红利,4300,15.085,16.14,69402.0,5.19,6.99,21876.81,1337014.22
2018-06-29,600795.SH,国电电力,周期龙头红利,16300,2.623,2.62,42706.0,3.19,-0.1,21876.81,1337014.22
2018-06-29,600028.SH,中国石化,周期龙头红利,19800,6.496,6.49,128502.0,9.61,-0.1,21876.81,1337014.22
2018-06-29,002601.SZ,龙佰集团,周期龙头红利,9900,12.943,12.93,128007.0,9.57,-0.1,21876.81,1337014.22
2018-06-29,600019.SH,宝钢股份,周期龙头红利,11000,7.798,7.79,85690.0,6.41,-0.1,21876.81,1337014.22
2018-06-29,600026.SH,中远海能,周期龙头红利,10100,4.244,4.24,42824.0,3.2,-0.1,21876.81,1337014.22
2018-09-28,511880.SH,银华日利,现金管理,2500,110.931,113.001,282503.47,20.92,1.87,20532.87,1350549.33
2018-09-28,601088.SH,中国神华,周期龙头红利,2000,20.41,20.39,40780.0,3.02,-0.1,20532.87,1350549.33
2018-09-28,601988.SH,中国银行,周期龙头红利,11800,3.614,3.72,43896.0,3.25,2.94,20532.87,1350549.33
2018-09-28,601288.SH,农业银行,周期龙头红利,14900,3.443,3.89,57961.0,4.29,12.97,20532.87,1350549.33
2018-09-28,600104.SH,上汽集团,周期龙头红利,2400,33.313,33.28,79872.0,5.91,-0.1,20532.87,1350549.33
2018-09-28,601818.SH,光大银行,周期龙头红利,10400,3.914,3.91,40664.0,3.01,-0.1,20532.87,1350549.33
2018-09-28,601006.SH,大秦铁路,周期龙头红利,10400,8.218,8.23,85592.0,6.34,0.14,20532.87,1350549.33
2018-09-28,601328.SH,交通银行,周期龙头红利,7400,5.746,5.84,43216.0,3.2,1.64,20532.87,1350549.33
2018-09-28,600741.SH,华域汽车,周期龙头红利,1800,23.744,22.5,40500.0,3.0,-5.24,20532.87,1350549.33
