date,ts_code,name,action,price,shares,amount,commission,reason,category
2015-03-27,511880.SH,银华日利,buy,101.269,9700,982310.72,982.31,闲置现金扫入,现金管理
2015-06-26,511880.SH,银华日利,sell,101.977,400,40790.8,81.58,释放现金用于调仓,现金管理
2015-06-26,600887.SH,伊利股份,buy,17.638,2800,49385.34,49.39,新买入，评分57(👀 观察等待)，股息率4.31%，目标权重5.0%,周期龙头红利
2015-06-26,511880.SH,银华日利,sell,101.977,1500,152965.48,305.93,释放现金用于调仓,现金管理
2015-06-26,000895.SZ,双汇发展,buy,20.14,7400,149036.89,149.04,新买入，评分81(🔥 大胆攒股)，股息率6.70%，目标权重15.0%,周期龙头红利
2015-06-26,511880.SH,银华日利,sell,101.977,400,40790.8,81.58,释放现金用于调仓,现金管理
2015-06-26,600066.SH,宇通客车,buy,18.518,2700,49999.95,50.0,新买入，评分65(👀 观察等待)，股息率5.14%，目标权重5.0%,周期龙头红利
2015-06-26,511880.SH,银华日利,sell,101.977,1000,101976.99,203.95,释放现金用于调仓,现金管理
2015-06-26,600660.SH,福耀玻璃,buy,13.604,7400,100666.57,100.67,新买入，评分69(✅ 积极布局)，股息率5.24%，目标权重10.0%,周期龙头红利
2015-06-26,511880.SH,银华日利,sell,101.977,500,50988.49,101.98,释放现金用于调仓,现金管理
2015-06-26,600000.SH,浦发银行,buy,15.866,3100,49184.13,49.18,新买入，评分53(👀 观察等待)，股息率4.54%，目标权重5.0%,周期龙头红利
2015-09-25,000895.SZ,双汇发展,sell,17.972,2000,35944.02,71.89,减仓，评分85(🔥 大胆攒股)，权重13.7%→9.9%,周期龙头红利
2015-09-25,511880.SH,银华日利,sell,102.627,400,41050.85,82.1,释放现金用于调仓,现金管理
2015-09-25,601398.SH,工商银行,buy,4.454,17300,77061.98,77.06,新买入，评分65(✅ 积极布局)，股息率5.45%，目标权重7.9%,周期龙头红利
2015-09-25,511880.SH,银华日利,sell,102.627,800,82101.69,164.2,释放现金用于调仓,现金管理
2015-09-25,601939.SH,建设银行,buy,5.295,14500,76781.7,76.78,新买入，评分65(✅ 积极布局)，股息率5.41%，目标权重7.9%,周期龙头红利
2015-09-25,511880.SH,银华日利,sell,102.627,900,92364.4,184.73,释放现金用于调仓,现金管理
2015-09-25,000651.SZ,格力电器,buy,16.106,5900,95025.93,95.03,新买入，评分85(🔥 大胆攒股)，股息率17.71%，目标权重9.9%,周期龙头红利
2015-09-25,511880.SH,银华日利,sell,102.627,300,30788.13,61.58,释放现金用于调仓,现金管理
2015-09-25,601088.SH,中国神华,buy,14.925,2100,31342.31,31.34,新买入，评分63(👀 观察等待)，股息率4.71%，目标权重3.3%,周期龙头红利
2015-09-25,511880.SH,银华日利,sell,102.627,300,30788.13,61.58,释放现金用于调仓,现金管理
2015-09-25,601988.SH,中国银行,buy,3.834,8300,31820.79,31.82,新买入，评分58(👀 观察等待)，股息率4.71%，目标权重3.3%,周期龙头红利
2015-09-25,511880.SH,银华日利,sell,102.627,300,30788.13,61.58,释放现金用于调仓,现金管理
2015-09-25,600011.SH,华能国际,buy,8.639,3700,31962.93,31.96,新买入，评分56(👀 观察等待)，股息率4.18%，目标权重3.3%,周期龙头红利
2015-09-25,511880.SH,银华日利,sell,102.627,300,30788.13,61.58,释放现金用于调仓,现金管理
2015-09-25,600377.SH,宁沪高速,buy,8.058,3900,31426.4,31.43,新买入，评分57(👀 观察等待)，股息率4.48%，目标权重3.3%,周期龙头红利
2015-09-25,511880.SH,银华日利,sell,102.627,800,82101.69,164.2,释放现金用于调仓,现金管理
2015-09-25,601288.SH,农业银行,buy,3.113,24700,76893.82,76.89,新买入，评分71(✅ 积极布局)，股息率5.56%，目标权重7.9%,周期龙头红利
2015-09-25,511880.SH,银华日利,sell,102.627,900,92364.4,184.73,释放现金用于调仓,现金管理
2015-09-25,600104.SH,上汽集团,buy,16.346,5800,94808.71,94.81,新买入，评分85(🔥 大胆攒股)，股息率7.56%，目标权重9.9%,周期龙头红利
2015-09-25,511880.SH,银华日利,sell,102.627,300,30788.13,61.58,释放现金用于调仓,现金管理
2015-09-25,601818.SH,光大银行,buy,4.154,7700,31986.95,31.99,新买入，评分52(👀 观察等待)，股息率4.26%，目标权重3.3%,周期龙头红利
2015-12-25,601939.SH,建设银行,sell,5.894,6300,37132.83,74.27,减仓，评分58(👀 观察等待)，权重7.5%→4.2%,周期龙头红利
2015-12-25,600660.SH,福耀玻璃,sell,15.694,4300,67485.45,134.97,减仓，评分58(👀 观察等待)，权重10.2%→4.2%,周期龙头红利
2015-12-25,600104.SH,上汽集团,sell,21.828,1300,28376.6,56.75,减仓，评分76(✅ 积极布局)，权重11.1%→8.5%,周期龙头红利
2015-12-25,601818.SH,光大银行,sell,4.336,7700,33384.58,66.77,清仓，评分46(⏸️ 暂缓)，低于观察阈值，当前权重2.9%,周期龙头红利
2015-12-25,600000.SH,浦发银行,sell,19.301,3100,59832.11,119.66,清仓，评分39(⏸️ 暂缓)，低于观察阈值，当前权重5.3%,周期龙头红利
2015-12-25,000895.SZ,双汇发展,buy,21.041,1400,29457.43,29.46,加仓，评分81(🔥 大胆攒股)，股息率6.42%，权重10.0%→12.7%,周期龙头红利
2015-12-25,601633.SH,长城汽车,buy,12.152,11900,144610.47,144.61,新买入，评分81(🔥 大胆攒股)，股息率6.26%，目标权重12.7%,周期龙头红利
2015-12-25,600690.SH,海尔智家,buy,9.93,4800,47663.62,47.66,新买入，评分63(👀 观察等待)，股息率4.71%，目标权重4.2%,周期龙头红利
2016-03-25,000895.SZ,双汇发展,sell,20.1,3000,60299.64,120.6,减仓，评分81(🔥 大胆攒股)，权重13.6%→7.4%,周期龙头红利
2016-03-25,000651.SZ,格力电器,sell,19.201,2000,38401.56,76.8,减仓，评分85(🔥 大胆攒股)，权重11.2%→7.4%,周期龙头红利
2016-03-25,600066.SH,宇通客车,sell,19.72,2700,53244.7,106.49,清仓，评分59(👀 观察等待)，低于观察阈值，当前权重5.3%,周期龙头红利
2016-03-25,600011.SH,华能国际,sell,7.772,3700,28757.21,57.51,清仓，评分58(👀 观察等待)，低于观察阈值，当前权重2.9%,周期龙头红利
2016-03-25,601633.SH,长城汽车,sell,9.091,3600,32727.24,65.45,减仓，评分85(🔥 大胆攒股)，权重10.7%→7.4%,周期龙头红利
2016-03-25,600660.SH,福耀玻璃,sell,14.765,1400,20671.31,41.34,减仓，评分59(👀 观察等待)，权重4.5%→2.5%,周期龙头红利
2016-03-25,600377.SH,宁沪高速,sell,8.482,3900,33077.89,66.16,清仓，评分51(👀 观察等待)，低于观察阈值，当前权重3.3%,周期龙头红利
2016-03-25,601939.SH,建设银行,buy,4.845,4100,19863.84,19.86,加仓，评分72(✅ 积极布局)，股息率5.91%，权重3.9%→5.9%,周期龙头红利
2016-03-25,601006.SH,大秦铁路,buy,6.827,10900,74412.34,74.41,新买入，评分81(🔥 大胆攒股)，股息率6.69%，目标权重7.4%,周期龙头红利
