date,ts_code,name,category,shares,cost_price,current_price,market_value,weight,profit_pct,cash,total_value
2015-03-27,511880.SH,银华日利,现金管理,9700,101.269,101.168,981329.39,98.33,-0.1,16706.97,998036.36
2015-06-26,511880.SH,银华日利,现金管理,2500,101.269,102.079,255197.67,25.44,0.8,11115.31,1003195.97
2015-06-26,600000.SH,浦发银行,周期龙头红利,3100,15.866,15.85,49135.0,4.9,-0.1,11115.31,1003195.97
2015-06-26,000895.SZ,双汇发展,周期龙头红利,4900,20.14,20.12,98588.0,9.83,-0.1,11115.31,1003195.97
2015-06-26,600023.SH,浙能电力,周期龙头红利,5100,9.7,9.69,49419.0,4.93,-0.1,11115.31,1003195.97
2015-06-26,600066.SH,宇通客车,周期龙头红利,5400,18.518,18.5,99900.0,9.96,-0.1,11115.31,1003195.97
2015-06-26,600352.SH,浙江龙盛,周期龙头红利,3600,13.924,13.91,50076.0,4.99,-0.1,11115.31,1003195.97
2015-06-26,000333.SZ,美的集团,周期龙头红利,1400,34.444,34.41,48174.0,4.8,-0.1,11115.31,1003195.97
2015-06-26,002294.SZ,信立泰,周期龙头红利,1800,27.477,27.45,49410.0,4.93,-0.1,11115.31,1003195.97
2015-06-26,600027.SH,华电国际,周期龙头红利,4800,10.32,10.31,49488.0,4.93,-0.1,11115.31,1003195.97
2015-06-26,600177.SH,雅戈尔,周期龙头红利,2800,17.688,17.67,49476.0,4.93,-0.1,11115.31,1003195.97
2015-06-26,002304.SZ,洋河股份,周期龙头红利,700,65.866,65.8,46060.0,4.59,-0.1,11115.31,1003195.97
2015-06-26,600183.SH,生益科技,周期龙头红利,4800,10.32,10.31,49488.0,4.93,-0.1,11115.31,1003195.97
2015-06-26,002372.SZ,伟星新材,周期龙头红利,2700,18.158,18.14,48978.0,4.88,-0.1,11115.31,1003195.97
2015-06-26,002595.SZ,豪迈科技,周期龙头红利,2300,21.191,21.17,48691.0,4.85,-0.1,11115.31,1003195.97
2015-09-25,511880.SH,银华日利,现金管理,3700,101.776,102.73,380100.42,43.23,0.94,15612.41,879344.83
2015-09-25,600000.SH,浦发银行,周期龙头红利,1400,15.866,15.59,21826.0,2.48,-1.74,15612.41,879344.83
2015-09-25,000895.SZ,双汇发展,周期龙头红利,2300,20.14,17.99,41377.0,4.71,-10.68,15612.41,879344.83
2015-09-25,600066.SH,宇通客车,周期龙头红利,2300,18.518,18.06,41538.0,4.72,-2.48,15612.41,879344.83
2015-09-25,600352.SH,浙江龙盛,周期龙头红利,3600,13.924,9.64,34704.0,3.95,-30.77,15612.41,879344.83
2015-09-25,000333.SZ,美的集团,周期龙头红利,1400,34.444,25.1,35140.0,4.0,-27.13,15612.41,879344.83
2015-09-25,600177.SH,雅戈尔,周期龙头红利,2800,17.688,12.27,34356.0,3.91,-30.63,15612.41,879344.83
2015-09-25,600183.SH,生益科技,周期龙头红利,4800,10.32,7.39,35472.0,4.03,-28.39,15612.41,879344.83
2015-09-25,600015.SH,华夏银行,周期龙头红利,1900,10.33,10.32,19608.0,2.23,-0.1,15612.41,879344.83
2015-09-25,600104.SH,上汽集团,周期龙头红利,2500,16.346,16.33,40825.0,4.64,-0.1,15612.41,879344.83
2015-09-25,600036.SH,招商银行,周期龙头红利,1100,17.738,17.72,19492.0,2.22,-0.1,15612.41,879344.83
2015-09-25,600011.SH,华能国际,周期龙头红利,4700,8.639,8.63,40561.0,4.61,-0.1,15612.41,879344.83
2015-09-25,600377.SH,宁沪高速,周期龙头红利,5000,8.058,8.05,40250.0,4.58,-0.1,15612.41,879344.83
2015-09-25,000651.SZ,格力电器,周期龙头红利,2500,16.106,16.09,40225.0,4.57,-0.1,15612.41,879344.83
2015-09-25,000568.SZ,泸州老窖,周期龙头红利,900,20.921,20.9,18810.0,2.14,-0.1,15612.41,879344.83
2015-09-25,002142.SZ,宁波银行,周期龙头红利,1700,11.451,11.44,19448.0,2.21,-0.1,15612.41,879344.83
2015-12-25,511880.SH,银华日利,现金管理,3700,101.776,103.409,382611.49,38.04,1.6,8356.68,1005774.17
2015-12-25,600000.SH,浦发银行,周期龙头红利,1400,15.866,19.32,27048.0,2.69,21.77,8356.68,1005774.17
2015-12-25,000895.SZ,双汇发展,周期龙头红利,2300,20.14,21.02,48346.0,4.81,4.37,8356.68,1005774.17
2015-12-25,600066.SH,宇通客车,周期龙头红利,2300,18.518,22.49,51727.0,5.14,21.45,8356.68,1005774.17
2015-12-25,600352.SH,浙江龙盛,周期龙头红利,3600,13.924,12.33,44388.0,4.41,-11.45,8356.68,1005774.17
2015-12-25,002304.SZ,洋河股份,周期龙头红利,400,67.257,67.19,26876.0,2.67,-0.1,8356.68,1005774.17
2015-12-25,600183.SH,生益科技,周期龙头红利,4800,10.32,10.47,50256.0,5.0,1.45,8356.68,1005774.17
2015-12-25,002595.SZ,豪迈科技,周期龙头红利,1400,22.012,21.99,30786.0,3.06,-0.1,8356.68,1005774.17
2015-12-25,600104.SH,上汽集团,周期龙头红利,2500,16.346,21.85,54625.0,5.43,33.67,8356.68,1005774.17
2015-12-25,600011.SH,华能国际,周期龙头红利,7000,8.754,8.98,62860.0,6.25,2.58,8356.68,1005774.17
2015-12-25,600377.SH,宁沪高速,周期龙头红利,5000,8.058,8.85,44250.0,4.4,9.83,8356.68,1005774.17
2015-12-25,000651.SZ,格力电器,周期龙头红利,2500,16.106,23.0,57500.0,5.72,42.8,8356.68,1005774.17
2015-12-25,000568.SZ,泸州老窖,周期龙头红利,900,20.921,26.92,24228.0,2.41,28.68,8356.68,1005774.17
2015-12-25,600170.SH,上海建工,周期龙头红利,4200,7.317,7.31,30702.0,3.05,-0.1,8356.68,1005774.17
2015-12-25,002410.SZ,广联达,周期龙头红利,1700,18.478,18.46,31382.0,3.12,-0.1,8356.68,1005774.17
2015-12-25,000858.SZ,五粮液,周期龙头红利,1100,27.147,27.12,29832.0,2.97,-0.1,8356.68,1005774.17
2016-03-25,511880.SH,银华日利,现金管理,3100,101.776,104.069,322612.62,34.75,2.25,8168.41,928455.03
2016-03-25,600000.SH,浦发银行,周期龙头红利,1400,15.866,17.74,24836.0,2.67,11.81,8168.41,928455.03
2016-03-25,000895.SZ,双汇发展,周期龙头红利,2300,20.14,20.12,46276.0,4.98,-0.1,8168.41,928455.03
2016-03-25,600023.SH,浙能电力,周期龙头红利,7500,5.566,5.56,41700.0,4.49,-0.1,8168.41,928455.03
2016-03-25,600066.SH,宇通客车,周期龙头红利,2300,18.518,19.74,45402.0,4.89,6.6,8168.41,928455.03
2016-03-25,600352.SH,浙江龙盛,周期龙头红利,3600,13.924,10.24,36864.0,3.97,-26.46,8168.41,928455.03
2016-03-25,600027.SH,华电国际,周期龙头红利,7500,5.596,5.59,41925.0,4.52,-0.1,8168.41,928455.03
2016-03-25,600015.SH,华夏银行,周期龙头红利,2000,10.15,10.14,20280.0,2.18,-0.1,8168.41,928455.03
2016-03-25,600104.SH,上汽集团,周期龙头红利,2500,16.346,19.87,49675.0,5.35,21.56,8168.41,928455.03
2016-03-25,600036.SH,招商银行,周期龙头红利,1300,16.146,16.13,20969.0,2.26,-0.1,8168.41,928455.03
2016-03-25,600011.SH,华能国际,周期龙头红利,7000,8.754,7.78,54460.0,5.87,-11.12,8168.41,928455.03
2016-03-25,600377.SH,宁沪高速,周期龙头红利,5000,8.058,8.49,42450.0,4.57,5.36,8168.41,928455.03
2016-03-25,000651.SZ,格力电器,周期龙头红利,2500,16.106,19.22,48050.0,5.18,19.33,8168.41,928455.03
2016-03-25,600170.SH,上海建工,周期龙头红利,8500,6.112,4.93,41905.0,4.51,-19.34,8168.41,928455.03
2016-03-25,002568.SZ,百润股份,周期龙头红利,1600,25.445,25.42,40672.0,4.38,-0.1,8168.41,928455.03
2016-03-25,000786.SZ,北新建材,周期龙头红利,4500,9.389,9.38,42210.0,4.55,-0.1,8168.41,928455.03
2016-06-24,511880.SH,银华日利,现金管理,3300,101.96,104.71,345543.22,38.14,2.7,18676.55,906013.77
2016-06-24,000895.SZ,双汇发展,周期龙头红利,2300,20.14,20.85,47955.0,5.29,3.52,18676.55,906013.77
2016-06-24,600023.SH,浙能电力,周期龙头红利,7500,5.566,5.04,37800.0,4.17,-9.44,18676.55,906013.77
2016-06-24,600066.SH,宇通客车,周期龙头红利,2300,18.518,19.71,45333.0,5.0,6.43,18676.55,906013.77
2016-06-24,000333.SZ,美的集团,周期龙头红利,1300,22.853,22.83,29679.0,3.28,-0.1,18676.55,906013.77
2016-06-24,600027.SH,华电国际,周期龙头红利,7500,5.596,4.97,37275.0,4.11,-11.18,18676.55,906013.77
2016-06-24,600177.SH,雅戈尔,周期龙头红利,2300,13.554,13.54,31142.0,3.44,-0.1,18676.55,906013.77
2016-06-24,600104.SH,上汽集团,周期龙头红利,1600,16.346,20.05,32080.0,3.54,22.66,18676.55,906013.77
2016-06-24,600011.SH,华能国际,周期龙头红利,4400,8.754,7.31,32164.0,3.55,-16.49,18676.55,906013.77
2016-06-24,600377.SH,宁沪高速,周期龙头红利,5000,8.058,8.11,40550.0,4.48,0.64,18676.55,906013.77
2016-06-24,000651.SZ,格力电器,周期龙头红利,2500,16.106,19.22,48050.0,5.3,19.33,18676.55,906013.77
2016-06-24,600170.SH,上海建工,周期龙头红利,8500,6.112,3.7,31450.0,3.47,-39.46,18676.55,906013.77
2016-06-24,002568.SZ,百润股份,周期龙头红利,1600,25.445,21.03,33648.0,3.71,-17.35,18676.55,906013.77
2016-06-24,600008.SH,首创环保,周期龙头红利,8200,3.874,3.87,31734.0,3.5,-0.1,18676.55,906013.77
2016-06-24,300146.SZ,汤臣倍健,周期龙头红利,2400,13.193,13.18,31632.0,3.49,-0.1,18676.55,906013.77
2016-06-24,600048.SH,保利发展,周期龙头红利,3700,8.468,8.46,31302.0,3.45,-0.1,18676.55,906013.77
2016-09-30,511880.SH,银华日利,现金管理,4400,102.862,105.463,464037.68,48.32,2.53,18592.02,960257.7
2016-09-30,000895.SZ,双汇发展,周期龙头红利,1200,20.14,23.59,28308.0,2.95,17.13,18592.02,960257.7
2016-09-30,600023.SH,浙能电力,周期龙头红利,7500,5.566,5.24,39300.0,4.09,-5.85,18592.02,960257.7
2016-09-30,600066.SH,宇通客车,周期龙头红利,1300,18.518,22.06,28678.0,2.99,19.12,18592.02,960257.7
2016-09-30,600027.SH,华电国际,周期龙头红利,7500,5.596,4.95,37125.0,3.87,-11.54,18592.02,960257.7
2016-09-30,600177.SH,雅戈尔,周期龙头红利,2300,13.554,14.21,32683.0,3.4,4.84,18592.02,960257.7
2016-09-30,600104.SH,上汽集团,周期龙头红利,1600,16.346,21.85,34960.0,3.64,33.67,18592.02,960257.7
2016-09-30,600011.SH,华能国际,周期龙头红利,4400,8.754,7.04,30976.0,3.23,-19.58,18592.02,960257.7
2016-09-30,600377.SH,宁沪高速,周期龙头红利,5000,8.058,8.81,44050.0,4.59,9.33,18592.02,960257.7
2016-09-30,002568.SZ,百润股份,周期龙头红利,1600,25.445,21.13,33808.0,3.52,-16.96,18592.02,960257.7
2016-09-30,300146.SZ,汤臣倍健,周期龙头红利,2400,13.193,12.64,30336.0,3.16,-4.19,18592.02,960257.7
2016-09-30,000776.SZ,广发证券,周期龙头红利,1700,16.386,16.37,27829.0,2.9,-0.1,18592.02,960257.7
2016-09-30,000625.SZ,长安汽车,周期龙头红利,1700,15.886,15.87,26979.0,2.81,-0.1,18592.02,960257.7
2016-09-30,000539.SZ,粤电力Ａ,周期龙头红利,5400,5.155,5.15,27810.0,2.9,-0.1,18592.02,960257.7
2016-09-30,000876.SZ,新希望,周期龙头红利,3500,8.068,8.06,28210.0,2.94,-0.1,18592.02,960257.7
2016-09-30,300433.SZ,蓝思科技,周期龙头红利,1100,24.184,24.16,26576.0,2.77,-0.1,18592.02,960257.7
2016-12-30,511880.SH,银华日利,现金管理,4700,103.073,106.054,498455.38,51.98,2.89,10653.5,958939.88
2016-12-30,000895.SZ,双汇发展,周期龙头红利,1200,20.14,20.93,25116.0,2.62,3.92,10653.5,958939.88
2016-12-30,600023.SH,浙能电力,周期龙头红利,7500,5.566,5.43,40725.0,4.25,-2.44,10653.5,958939.88
2016-12-30,600066.SH,宇通客车,周期龙头红利,1300,18.518,19.59,25467.0,2.66,5.79,10653.5,958939.88
2016-12-30,600027.SH,华电国际,周期龙头红利,7500,5.596,4.95,37125.0,3.87,-11.54,10653.5,958939.88
2016-12-30,600177.SH,雅戈尔,周期龙头红利,2300,13.554,13.98,32154.0,3.35,3.15,10653.5,958939.88
2016-12-30,600104.SH,上汽集团,周期龙头红利,1600,16.346,23.45,37520.0,3.91,43.46,10653.5,958939.88
2016-12-30,600011.SH,华能国际,周期龙头红利,4400,8.754,7.05,31020.0,3.23,-19.46,10653.5,958939.88
2016-12-30,300146.SZ,汤臣倍健,周期龙头红利,2400,13.193,11.94,28656.0,2.99,-9.5,10653.5,958939.88
2016-12-30,600048.SH,保利发展,周期龙头红利,3000,9.139,9.13,27390.0,2.86,-0.1,10653.5,958939.88
2016-12-30,000776.SZ,广发证券,周期龙头红利,1700,16.386,16.86,28662.0,2.99,2.89,10653.5,958939.88
2016-12-30,000625.SZ,长安汽车,周期龙头红利,1700,15.886,14.94,25398.0,2.65,-5.95,10653.5,958939.88
2016-12-30,000539.SZ,粤电力Ａ,周期龙头红利,5400,5.155,5.32,28728.0,3.0,3.2,10653.5,958939.88
2016-12-30,000876.SZ,新希望,周期龙头红利,3500,8.068,8.05,28175.0,2.94,-0.22,10653.5,958939.88
2016-12-30,002736.SZ,国信证券,周期龙头红利,1700,15.566,15.55,26435.0,2.76,-0.1,10653.5,958939.88
2016-12-30,001696.SZ,宗申动力,周期龙头红利,2900,9.409,9.4,27260.0,2.84,-0.1,10653.5,958939.88
2017-03-31,511880.SH,银华日利,现金管理,4700,103.073,106.865,502264.37,51.69,3.68,8667.9,971727.28
2017-03-31,000895.SZ,双汇发展,周期龙头红利,1200,20.14,22.55,27060.0,2.78,11.97,8667.9,971727.28
2017-03-31,600023.SH,浙能电力,周期龙头红利,7500,5.566,5.7,42750.0,4.4,2.42,8667.9,971727.28
2017-03-31,600066.SH,宇通客车,周期龙头红利,1300,18.518,21.48,27924.0,2.87,15.99,8667.9,971727.28
2017-03-31,600027.SH,华电国际,周期龙头红利,7500,5.596,5.04,37800.0,3.89,-9.93,8667.9,971727.28
2017-03-31,600177.SH,雅戈尔,周期龙头红利,2300,13.554,13.93,32039.0,3.3,2.78,8667.9,971727.28
2017-03-31,600104.SH,上汽集团,周期龙头红利,1600,16.346,25.38,40608.0,4.18,55.26,8667.9,971727.28
2017-03-31,600011.SH,华能国际,周期龙头红利,4400,8.754,7.17,31548.0,3.25,-18.09,8667.9,971727.28
2017-03-31,300146.SZ,汤臣倍健,周期龙头红利,2400,13.193,11.03,26472.0,2.72,-16.4,8667.9,971727.28
2017-03-31,000776.SZ,广发证券,周期龙头红利,1700,16.386,17.09,29053.0,2.99,4.29,8667.9,971727.28
2017-03-31,000625.SZ,长安汽车,周期龙头红利,1700,15.886,15.78,26826.0,2.76,-0.67,8667.9,971727.28
2017-03-31,000539.SZ,粤电力Ａ,周期龙头红利,5400,5.155,5.6,30240.0,3.11,8.63,8667.9,971727.28
2017-03-31,000876.SZ,新希望,周期龙头红利,3500,8.068,8.05,28175.0,2.9,-0.22,8667.9,971727.28
2017-03-31,002736.SZ,国信证券,周期龙头红利,1700,15.566,14.58,24786.0,2.55,-6.33,8667.9,971727.28
2017-03-31,001696.SZ,宗申动力,周期龙头红利,2900,9.409,8.65,25085.0,2.58,-8.07,8667.9,971727.28
2017-03-31,600369.SH,西南证券,周期龙头红利,4900,6.216,6.21,30429.0,3.13,-0.1,8667.9,971727.28
2017-06-30,511880.SH,银华日利,现金管理,4700,103.073,107.821,506760.48,51.56,4.61,4650.79,982816.27
2017-06-30,000895.SZ,双汇发展,周期龙头红利,1200,20.14,23.75,28500.0,2.9,17.92,4650.79,982816.27
