date,ts_code,name,action,price,shares,amount,commission,reason,category
2015-03-27,511880.SH,银华日利,buy,101.269,9700,982310.72,982.31,闲置现金扫入,现金管理
2015-06-26,511880.SH,银华日利,sell,101.977,400,40790.8,81.58,释放现金用于调仓,现金管理
2015-06-26,600000.SH,浦发银行,buy,15.866,3100,49184.13,49.18,新买入，评分60(👀 观察等待)，股息率4.54%，目标权重5.0%,周期龙头红利
2015-06-26,511880.SH,银华日利,sell,101.977,1000,101976.99,203.95,释放现金用于调仓,现金管理
2015-06-26,000895.SZ,双汇发展,buy,20.14,4900,98686.59,98.69,新买入，评分70(✅ 积极布局)，股息率6.70%，目标权重10.0%,周期龙头红利
2015-06-26,511880.SH,银华日利,sell,101.977,400,40790.8,81.58,释放现金用于调仓,现金管理
2015-06-26,600023.SH,浙能电力,buy,9.7,5100,49468.42,49.47,新买入，评分55(👀 观察等待)，股息率2.45%，目标权重5.0%,周期龙头红利
2015-06-26,511880.SH,银华日利,sell,101.977,1000,101976.99,203.95,释放现金用于调仓,现金管理
2015-06-26,600066.SH,宇通客车,buy,18.518,5400,99999.9,100.0,新买入，评分70(✅ 积极布局)，股息率5.14%，目标权重10.0%,周期龙头红利
2015-06-26,511880.SH,银华日利,sell,101.977,500,50988.49,101.98,释放现金用于调仓,现金管理
2015-06-26,600352.SH,浙江龙盛,buy,13.924,3600,50126.08,50.13,新买入，评分63(👀 观察等待)，股息率3.41%，目标权重5.0%,周期龙头红利
2015-06-26,511880.SH,银华日利,sell,101.977,500,50988.49,101.98,释放现金用于调仓,现金管理
2015-06-26,000333.SZ,美的集团,buy,34.444,1400,48222.17,48.22,新买入，评分58(👀 观察等待)，股息率2.76%，目标权重5.0%,周期龙头红利
2015-06-26,511880.SH,银华日利,sell,101.977,500,50988.49,101.98,释放现金用于调仓,现金管理
2015-06-26,002294.SZ,信立泰,buy,27.477,1800,49459.41,49.46,新买入，评分54(👀 观察等待)，股息率2.42%，目标权重5.0%,周期龙头红利
2015-06-26,511880.SH,银华日利,sell,101.977,500,50988.49,101.98,释放现金用于调仓,现金管理
2015-06-26,600027.SH,华电国际,buy,10.32,4800,49537.49,49.54,新买入，评分55(👀 观察等待)，股息率2.49%，目标权重5.0%,周期龙头红利
2015-06-26,511880.SH,银华日利,sell,101.977,400,40790.8,81.58,释放现金用于调仓,现金管理
2015-06-26,600177.SH,雅戈尔,buy,17.688,2800,49525.48,49.53,新买入，评分57(👀 观察等待)，股息率2.69%，目标权重5.0%,周期龙头红利
2015-06-26,511880.SH,银华日利,sell,101.977,500,50988.49,101.98,释放现金用于调仓,现金管理
2015-06-26,002304.SZ,洋河股份,buy,65.866,700,46106.06,46.11,新买入，评分59(👀 观察等待)，股息率2.89%，目标权重5.0%,周期龙头红利
2015-06-26,511880.SH,银华日利,sell,101.977,500,50988.49,101.98,释放现金用于调仓,现金管理
2015-06-26,600183.SH,生益科技,buy,10.32,4800,49537.49,49.54,新买入，评分53(👀 观察等待)，股息率2.30%，目标权重5.0%,周期龙头红利
2015-06-26,511880.SH,银华日利,sell,101.977,500,50988.49,101.98,释放现金用于调仓,现金管理
2015-06-26,002372.SZ,伟星新材,buy,18.158,2700,49026.98,49.03,新买入，评分61(👀 观察等待)，股息率3.14%，目标权重5.0%,周期龙头红利
2015-06-26,511880.SH,银华日利,sell,101.977,500,50988.49,101.98,释放现金用于调仓,现金管理
2015-06-26,002595.SZ,豪迈科技,buy,21.191,2300,48739.69,48.74,新买入，评分52(👀 观察等待)，股息率2.24%，目标权重5.0%,周期龙头红利
2015-09-25,600000.SH,浦发银行,sell,15.574,1700,26476.5,52.95,减仓，评分61(👀 观察等待)，权重5.5%→2.3%,周期龙头红利
2015-09-25,000895.SZ,双汇发展,sell,17.972,2600,46727.23,93.45,减仓，评分70(✅ 积极布局)，权重10.0%→4.7%,周期龙头红利
2015-09-25,600023.SH,浙能电力,sell,7.273,5100,37090.87,74.18,清仓，评分62(👀 观察等待)，低于观察阈值，当前权重4.2%,周期龙头红利
2015-09-25,600066.SH,宇通客车,sell,18.042,3100,55930.01,111.86,减仓，评分70(✅ 积极布局)，权重11.1%→4.7%,周期龙头红利
2015-09-25,002294.SZ,信立泰,sell,25.574,1800,46033.92,92.07,清仓，评分56(👀 观察等待)，低于观察阈值，当前权重5.2%,周期龙头红利
2015-09-25,600027.SH,华电国际,sell,7.023,4800,33710.26,67.42,清仓，评分64(👀 观察等待)，低于观察阈值，当前权重3.8%,周期龙头红利
2015-09-25,002304.SZ,洋河股份,sell,53.926,700,37748.21,75.5,清仓，评分63(👀 观察等待)，低于观察阈值，当前权重4.3%,周期龙头红利
2015-09-25,002372.SZ,伟星新材,sell,15.275,2700,41241.72,82.48,清仓，评分65(👀 观察等待)，低于观察阈值，当前权重4.7%,周期龙头红利
2015-09-25,002595.SZ,豪迈科技,sell,18.911,2300,43495.46,86.99,清仓，评分55(👀 观察等待)，低于观察阈值，当前权重4.9%,周期龙头红利
2015-09-25,600015.SH,华夏银行,buy,10.33,1900,19627.61,19.63,新买入，评分55(👀 观察等待)，股息率4.00%，目标权重2.3%,周期龙头红利
2015-09-25,600104.SH,上汽集团,buy,16.346,2500,40865.82,40.87,新买入，评分70(✅ 积极布局)，股息率7.56%，目标权重4.7%,周期龙头红利
2015-09-25,600036.SH,招商银行,buy,17.738,1100,19511.49,19.51,新买入，评分51(👀 观察等待)，股息率3.59%，目标权重2.3%,周期龙头红利
2015-09-25,600011.SH,华能国际,buy,8.639,4700,40601.56,40.6,新买入，评分68(✅ 积极布局)，股息率4.18%，目标权重4.7%,周期龙头红利
2015-09-25,600377.SH,宁沪高速,buy,8.058,5000,40290.25,40.29,新买入，评分70(✅ 积极布局)，股息率4.48%，目标权重4.7%,周期龙头红利
2015-09-25,000651.SZ,格力电器,buy,16.106,2500,40265.22,40.27,新买入，评分70(✅ 积极布局)，股息率17.71%，目标权重4.7%,周期龙头红利
2015-09-25,000568.SZ,泸州老窖,buy,20.921,900,18828.81,18.83,新买入，评分64(👀 观察等待)，股息率3.64%，目标权重2.3%,周期龙头红利
2015-09-25,002142.SZ,宁波银行,buy,11.451,1700,19467.45,19.47,新买入，评分52(👀 观察等待)，股息率3.74%，目标权重2.3%,周期龙头红利
2015-09-25,511880.SH,银华日利,buy,102.833,1200,123399.09,123.4,闲置现金扫入,现金管理
2015-12-25,600015.SH,华夏银行,sell,11.958,1900,22720.26,45.44,清仓，评分50(🚫 回避)，低于观察阈值，当前权重2.3%,周期龙头红利
2015-12-25,600036.SH,招商银行,sell,18.312,1100,20142.84,40.29,清仓，评分50(🚫 回避)，低于观察阈值，当前权重2.0%,周期龙头红利
2015-12-25,000333.SZ,美的集团,sell,32.118,1400,44964.99,89.93,清仓，评分60(👀 观察等待)，低于观察阈值，当前权重4.5%,周期龙头红利
