date,ts_code,name,category,shares,cost_price,current_price,market_value,weight,profit_pct,cash,total_value
2016-03-25,000830.SZ,鲁西化工,周期资源红利,9200,5.425,5.42,49864.0,4.99,-0.1,521860.15,999045.15
2016-03-25,600481.SH,双良节能,周期资源红利,11800,6.336,6.33,74694.0,7.48,-0.1,521860.15,999045.15
2016-03-25,600664.SH,哈药股份,消费成长红利,17800,10.06,10.05,178890.0,17.91,-0.1,521860.15,999045.15
2016-03-25,600507.SH,方大特钢,周期资源红利,15100,4.955,4.95,74745.0,7.48,-0.1,521860.15,999045.15
2016-03-25,000012.SZ,南玻Ａ,弱周期红利,4600,10.711,10.7,49220.0,4.93,-0.1,521860.15,999045.15
2016-03-25,000726.SZ,鲁泰Ａ,弱周期红利,4600,10.831,10.82,49772.0,4.98,-0.1,521860.15,999045.15
2016-06-24,000830.SZ,鲁西化工,周期资源红利,14400,5.042,4.36,62784.0,6.63,-13.53,255052.13,947127.13
2016-06-24,600664.SH,哈药股份,消费成长红利,17800,10.06,8.19,145782.0,15.39,-18.59,255052.13,947127.13
2016-06-24,600507.SH,方大特钢,周期资源红利,15100,4.955,4.59,69309.0,7.32,-7.37,255052.13,947127.13
2016-06-24,000726.SZ,鲁泰Ａ,弱周期红利,4600,10.831,11.08,50968.0,5.38,2.3,255052.13,947127.13
2016-06-24,601000.SH,唐山港,周期资源红利,11100,3.794,3.79,42069.0,4.44,-0.1,255052.13,947127.13
2016-06-24,601515.SH,衢州东峰,消费成长红利,3700,11.161,11.15,41255.0,4.36,-0.1,255052.13,947127.13
2016-06-24,002419.SZ,天虹股份,消费成长红利,3500,11.632,11.62,40670.0,4.29,-0.1,255052.13,947127.13
2016-06-24,000525.SZ,红太阳,周期资源红利,1600,12.763,12.75,20400.0,2.15,-0.1,255052.13,947127.13
2016-06-24,600859.SH,王府井,消费成长红利,3300,14.955,14.94,49302.0,5.21,-0.1,255052.13,947127.13
2016-06-24,000600.SZ,建投能源,弱周期红利,13200,8.589,8.58,113256.0,11.96,-0.1,255052.13,947127.13
2016-06-24,600236.SH,桂冠电力,弱周期红利,8400,6.707,6.7,56280.0,5.94,-0.1,255052.13,947127.13
2016-09-30,000830.SZ,鲁西化工,周期资源红利,14400,5.042,4.99,71856.0,7.03,-1.04,351599.55,1022441.55
2016-09-30,600664.SH,哈药股份,消费成长红利,20000,9.965,9.19,183800.0,17.98,-7.78,351599.55,1022441.55
2016-09-30,000726.SZ,鲁泰Ａ,弱周期红利,4600,10.831,11.38,52348.0,5.12,5.07,351599.55,1022441.55
2016-09-30,601000.SH,唐山港,周期资源红利,11100,3.794,3.82,42402.0,4.15,0.69,351599.55,1022441.55
2016-09-30,600859.SH,王府井,消费成长红利,3300,14.955,16.28,53724.0,5.25,8.86,351599.55,1022441.55
2016-09-30,000600.SZ,建投能源,弱周期红利,6800,8.589,9.12,62016.0,6.07,6.19,351599.55,1022441.55
2016-09-30,600236.SH,桂冠电力,弱周期红利,8400,6.707,6.79,57036.0,5.58,1.24,351599.55,1022441.55
2016-09-30,600894.SH,广日股份,弱周期红利,4100,14.655,14.64,60024.0,5.87,-0.1,351599.55,1022441.55
2016-09-30,002498.SZ,汉缆股份,周期资源红利,20100,4.364,4.36,87636.0,8.57,-0.1,351599.55,1022441.55
2016-12-30,000830.SZ,鲁西化工,周期资源红利,6100,5.042,5.59,34099.0,3.36,10.86,433704.06,1014596.06
2016-12-30,600664.SH,哈药股份,消费成长红利,20000,9.965,8.58,171600.0,16.91,-13.9,433704.06,1014596.06
2016-12-30,601000.SH,唐山港,周期资源红利,16800,3.869,4.01,67368.0,6.64,3.66,433704.06,1014596.06
2016-12-30,600859.SH,王府井,消费成长红利,3300,14.955,16.28,53724.0,5.3,8.86,433704.06,1014596.06
2016-12-30,000600.SZ,建投能源,弱周期红利,6800,8.589,8.88,60384.0,5.95,3.39,433704.06,1014596.06
2016-12-30,600236.SH,桂冠电力,弱周期红利,8400,6.707,6.1,51240.0,5.05,-9.05,433704.06,1014596.06
2016-12-30,600894.SH,广日股份,弱周期红利,4100,14.655,13.67,56047.0,5.52,-6.72,433704.06,1014596.06
2016-12-30,002498.SZ,汉缆股份,周期资源红利,20100,4.364,4.3,86430.0,8.52,-1.47,433704.06,1014596.06
2017-03-31,000830.SZ,鲁西化工,周期资源红利,6100,5.042,5.62,34282.0,3.42,11.46,258322.82,1002516.82
2017-03-31,600664.SH,哈药股份,消费成长红利,23700,9.599,7.61,180357.0,17.99,-20.72,258322.82,1002516.82
2017-03-31,601000.SH,唐山港,周期资源红利,16800,3.869,4.4,73920.0,7.37,13.74,258322.82,1002516.82
2017-03-31,600859.SH,王府井,消费成长红利,3300,14.955,16.28,53724.0,5.36,8.86,258322.82,1002516.82
2017-03-31,000600.SZ,建投能源,弱周期红利,6800,8.589,8.97,60996.0,6.08,4.44,258322.82,1002516.82
2017-03-31,600236.SH,桂冠电力,弱周期红利,8400,6.707,6.6,55440.0,5.53,-1.59,258322.82,1002516.82
2017-03-31,600894.SH,广日股份,弱周期红利,8900,14.018,13.46,119794.0,11.95,-3.98,258322.82,1002516.82
2017-03-31,002498.SZ,汉缆股份,周期资源红利,25500,4.32,4.15,105825.0,10.56,-3.93,258322.82,1002516.82
2017-03-31,000543.SZ,皖能电力,弱周期红利,8600,6.967,6.96,59856.0,5.97,-0.1,258322.82,1002516.82
2017-06-30,000830.SZ,鲁西化工,周期资源红利,6100,5.042,6.9,42090.0,4.3,36.84,265270.81,979267.81
2017-06-30,600664.SH,哈药股份,消费成长红利,30400,8.765,5.81,176624.0,18.04,-33.71,265270.81,979267.81
2017-06-30,600236.SH,桂冠电力,弱周期红利,17500,6.186,5.7,99750.0,10.19,-7.86,265270.81,979267.81
2017-06-30,000488.SZ,ST晨鸣,弱周期红利,3200,12.913,12.9,41280.0,4.22,-0.1,265270.81,979267.81
2017-06-30,600325.SH,华发股份,弱周期红利,14900,8.358,8.35,124415.0,12.7,-0.1,265270.81,979267.81
2017-06-30,600312.SH,平高电气,周期资源红利,4200,13.754,13.74,57708.0,5.89,-0.1,265270.81,979267.81
2017-06-30,000550.SZ,江铃汽车,消费成长红利,2300,20.721,20.7,47610.0,4.86,-0.1,265270.81,979267.81
2017-06-30,603328.SH,依顿电子,弱周期红利,8800,14.164,14.15,124520.0,12.72,-0.1,265270.81,979267.81
2017-09-29,600664.SH,哈药股份,消费成长红利,30400,8.765,5.81,176624.0,17.05,-33.71,438884.54,1036039.54
2017-09-29,600325.SH,华发股份,弱周期红利,20200,8.18,7.67,154934.0,14.95,-6.23,438884.54,1036039.54
2017-09-29,600312.SH,平高电气,周期资源红利,10500,12.595,11.81,124005.0,11.97,-6.23,438884.54,1036039.54
2017-09-29,603328.SH,依顿电子,弱周期红利,8800,14.164,16.09,141592.0,13.67,13.6,438884.54,1036039.54
2017-12-29,600664.SH,哈药股份,消费成长红利,30400,8.765,5.81,176624.0,17.75,-33.71,258593.5,994995.5
2017-12-29,000726.SZ,鲁泰Ａ,弱周期红利,4400,10.961,10.95,48180.0,4.84,-0.1,258593.5,994995.5
2017-12-29,000600.SZ,建投能源,弱周期红利,7500,7.718,7.71,57825.0,5.81,-0.1,258593.5,994995.5
2017-12-29,600325.SH,华发股份,弱周期红利,20200,8.18,7.36,148672.0,14.94,-10.02,258593.5,994995.5
2017-12-29,600312.SH,平高电气,周期资源红利,17900,11.522,9.99,178821.0,17.97,-13.3,258593.5,994995.5
2017-12-29,603328.SH,依顿电子,弱周期红利,8800,14.164,14.35,126280.0,12.69,1.31,258593.5,994995.5
2018-03-30,600664.SH,哈药股份,消费成长红利,30400,8.765,5.21,158384.0,16.77,-40.56,200423.74,944311.74
2018-03-30,000726.SZ,鲁泰Ａ,弱周期红利,4400,10.961,10.44,45936.0,4.86,-4.75,200423.74,944311.74
2018-03-30,000600.SZ,建投能源,弱周期红利,7500,7.718,7.22,54150.0,5.73,-6.45,200423.74,944311.74
2018-03-30,600894.SH,广日股份,弱周期红利,3400,8.809,8.8,29920.0,3.17,-0.1,200423.74,944311.74
2018-03-30,600325.SH,华发股份,弱周期红利,11800,8.18,7.66,90388.0,9.57,-6.35,200423.74,944311.74
2018-03-30,600312.SH,平高电气,周期资源红利,17900,11.522,9.06,162174.0,17.17,-21.37,200423.74,944311.74
2018-03-30,603328.SH,依顿电子,弱周期红利,7200,14.164,12.6,90720.0,9.61,-11.04,200423.74,944311.74
2018-03-30,000718.SZ,苏宁环球,弱周期红利,7300,4.074,4.07,29711.0,3.15,-0.1,200423.74,944311.74
2018-03-30,000541.SZ,佛山照明,消费成长红利,5400,8.669,8.66,46764.0,4.95,-0.1,200423.74,944311.74
2018-03-30,600578.SH,京能电力,弱周期红利,10300,3.473,3.47,35741.0,3.78,-0.1,200423.74,944311.74
2018-06-29,600664.SH,哈药股份,消费成长红利,17100,8.765,3.97,67887.0,8.37,-54.71,219100.06,811194.06
2018-06-29,600507.SH,方大特钢,周期资源红利,4200,10.701,10.69,44898.0,5.53,-0.1,219100.06,811194.06
2018-06-29,600236.SH,桂冠电力,弱周期红利,7400,5.716,5.71,42254.0,5.21,-0.1,219100.06,811194.06
2018-06-29,600325.SH,华发股份,弱周期红利,4600,8.18,7.73,35558.0,4.38,-5.5,219100.06,811194.06
2018-06-29,600312.SH,平高电气,周期资源红利,8000,11.522,5.64,45120.0,5.56,-51.05,219100.06,811194.06
2018-06-29,000550.SZ,江铃汽车,消费成长红利,1800,12.122,12.11,21798.0,2.69,-0.1,219100.06,811194.06
2018-06-29,603328.SH,依顿电子,弱周期红利,3300,14.164,10.85,35805.0,4.41,-23.4,219100.06,811194.06
2018-06-29,600578.SH,京能电力,弱周期红利,10300,3.473,3.12,32136.0,3.96,-10.18,219100.06,811194.06
2018-06-29,002242.SZ,九阳股份,消费成长红利,3800,17.708,17.69,67222.0,8.29,-0.1,219100.06,811194.06
2018-06-29,603025.SH,大豪科技,弱周期红利,1200,19.359,19.34,23208.0,2.86,-0.1,219100.06,811194.06
2018-06-29,002503.SZ,,弱周期红利,6700,3.503,3.5,23450.0,2.89,-0.1,219100.06,811194.06
2018-06-29,600761.SH,安徽合力,弱周期红利,3100,9.089,9.08,28148.0,3.47,-0.1,219100.06,811194.06
2018-06-29,000536.SZ,华映科技,弱周期红利,12800,2.753,2.75,35200.0,4.34,-0.1,219100.06,811194.06
2018-06-29,603766.SH,隆鑫通用,消费成长红利,8200,5.435,5.43,44526.0,5.49,-0.1,219100.06,811194.06
2018-06-29,002110.SZ,三钢闽光,周期资源红利,2800,16.046,16.03,44884.0,5.53,-0.1,219100.06,811194.06
2018-09-28,600664.SH,哈药股份,消费成长红利,11000,8.765,3.9,42900.0,5.32,-55.51,309693.61,806447.61
2018-09-28,600507.SH,方大特钢,周期资源红利,4200,10.701,10.86,45612.0,5.66,1.49,309693.61,806447.61
2018-09-28,600236.SH,桂冠电力,弱周期红利,4200,5.716,6.09,25578.0,3.17,6.55,309693.61,806447.61
2018-09-28,000488.SZ,ST晨鸣,弱周期红利,4900,6.446,6.44,31556.0,3.91,-0.1,309693.61,806447.61
2018-09-28,000550.SZ,江铃汽车,消费成长红利,3700,11.742,11.37,42069.0,5.22,-3.17,309693.61,806447.61
2018-09-28,603328.SH,依顿电子,弱周期红利,3300,14.164,9.47,31251.0,3.88,-33.14,309693.61,806447.61
2018-09-28,002242.SZ,九阳股份,消费成长红利,2700,17.708,16.28,43956.0,5.45,-8.06,309693.61,806447.61
2018-09-28,603025.SH,大豪科技,弱周期红利,1200,19.359,13.84,16608.0,2.06,-28.51,309693.61,806447.61
