date,ts_code,name,action,price,shares,amount,commission,reason,category
2016-03-25,000830.SZ,鲁西化工,buy,5.425,9200,49913.86,49.91,新买入，评分72(✅ 积极布局)，股息率5.26%，目标权重5.0%,周期资源红利
2016-03-25,600481.SH,双良节能,buy,6.336,11800,74768.69,74.77,新买入，评分81(🔥 大胆攒股)，股息率6.00%，目标权重7.5%,周期资源红利
2016-03-25,600664.SH,哈药股份,buy,10.06,17800,179068.89,179.07,新买入，评分88(🔥 大胆攒股)，股息率9.95%，目标权重18.0%,消费成长红利
2016-03-25,600507.SH,方大特钢,buy,4.955,15100,74819.74,74.82,新买入，评分88(🔥 大胆攒股)，股息率15.35%，目标权重7.5%,周期资源红利
2016-03-25,000012.SZ,南玻Ａ,buy,10.711,4600,49269.22,49.27,新买入，评分60(👀 观察等待)，股息率4.44%，目标权重5.0%,弱周期红利
2016-03-25,000726.SZ,鲁泰Ａ,buy,10.831,4600,49821.77,49.82,新买入，评分60(👀 观察等待)，股息率4.39%，目标权重5.0%,弱周期红利
2016-06-24,600481.SH,双良节能,sell,5.544,11800,65424.51,130.85,清仓，评分36(⏸️ 暂缓)，低于观察阈值，当前权重6.9%,周期资源红利
2016-06-24,000012.SZ,南玻Ａ,sell,10.829,4600,49814.14,99.63,清仓，评分32(🚫 回避)，低于观察阈值，当前权重5.3%,弱周期红利
2016-06-24,601000.SH,唐山港,buy,3.794,11100,42111.07,42.11,新买入，评分77(✅ 积极布局)，股息率6.60%，目标权重4.4%,周期资源红利
2016-06-24,601515.SH,衢州东峰,buy,11.161,3700,41296.25,41.3,新买入，评分51(👀 观察等待)，股息率4.84%，目标权重4.4%,消费成长红利
2016-06-24,002419.SZ,天虹股份,buy,11.632,3500,40710.67,40.71,新买入，评分51(👀 观察等待)，股息率4.73%，目标权重4.4%,消费成长红利
2016-06-24,000830.SZ,鲁西化工,buy,4.364,5200,22694.67,22.69,加仓，评分84(🔥 大胆攒股)，股息率6.54%，权重4.2%→6.7%,周期资源红利
2016-06-24,000525.SZ,红太阳,buy,12.763,1600,20420.4,20.42,新买入，评分51(👀 观察等待)，股息率3.92%，目标权重2.2%,周期资源红利
2016-06-24,600859.SH,王府井,buy,14.955,3300,49351.3,49.35,新买入，评分64(👀 观察等待)，股息率5.89%，目标权重5.3%,消费成长红利
2016-06-24,000600.SZ,建投能源,buy,8.589,13200,113369.26,113.37,新买入，评分66(✅ 积极布局)，股息率5.24%，目标权重12.0%,弱周期红利
2016-06-24,600236.SH,桂冠电力,buy,6.707,8400,56336.28,56.34,新买入，评分58(👀 观察等待)，股息率4.48%，目标权重6.0%,弱周期红利
2016-09-30,601515.SH,衢州东峰,sell,12.248,3700,45316.64,90.63,清仓，评分40(⏸️ 暂缓)，低于观察阈值，当前权重4.4%,消费成长红利
2016-09-30,002419.SZ,天虹股份,sell,12.278,3500,42971.98,85.94,清仓，评分45(⏸️ 暂缓)，低于观察阈值，当前权重4.2%,消费成长红利
2016-09-30,000525.SZ,红太阳,sell,15.974,1600,25558.42,51.12,清仓，评分39(⏸️ 暂缓)，低于观察阈值，当前权重2.5%,周期资源红利
2016-09-30,000600.SZ,建投能源,sell,9.111,6400,58309.63,116.62,减仓，评分60(👀 观察等待)，权重11.8%→6.0%,弱周期红利
2016-09-30,600507.SH,方大特钢,sell,6.144,15100,92772.14,185.54,清仓，评分20(🚫 回避)，低于观察阈值，当前权重9.1%,周期资源红利
2016-09-30,600894.SH,广日股份,buy,14.655,4100,60084.02,60.08,新买入，评分59(👀 观察等待)，股息率5.12%，目标权重6.0%,弱周期红利
2016-09-30,600664.SH,哈药股份,buy,9.199,2200,20238.22,20.24,加仓，评分88(🔥 大胆攒股)，股息率10.88%，权重16.0%→18.0%,消费成长红利
2016-09-30,002498.SZ,汉缆股份,buy,4.364,20100,87723.64,87.72,新买入，评分88(🔥 大胆攒股)，股息率7.68%，目标权重8.6%,周期资源红利
2016-12-30,000830.SZ,鲁西化工,sell,5.584,8300,46350.6,92.7,减仓，评分63(👀 观察等待)，权重7.9%→3.3%,周期资源红利
2016-12-30,000726.SZ,鲁泰Ａ,sell,12.797,4600,58867.07,117.73,清仓，评分38(⏸️ 暂缓)，低于观察阈值，当前权重5.8%,弱周期红利
2016-12-30,601000.SH,唐山港,buy,4.014,5700,22879.86,22.88,加仓，评分72(✅ 积极布局)，股息率6.23%，权重4.4%→6.7%,周期资源红利
2017-03-31,600894.SH,广日股份,buy,13.473,4800,64672.61,64.67,加仓，评分66(✅ 积极布局)，股息率5.57%，权重5.5%→12.0%,弱周期红利
2017-03-31,600664.SH,哈药股份,buy,7.618,3700,28185.16,28.19,加仓，评分88(🔥 大胆攒股)，股息率13.14%，权重15.2%→18.0%,消费成长红利
2017-03-31,000543.SZ,皖能电力,buy,6.967,8600,59915.86,59.92,新买入，评分54(👀 观察等待)，股息率4.64%，目标权重6.0%,弱周期红利
2017-03-31,002498.SZ,汉缆股份,buy,4.154,5400,22432.41,22.43,加仓，评分88(🔥 大胆攒股)，股息率8.07%，权重8.3%→10.6%,周期资源红利
2017-06-30,601000.SH,唐山港,sell,5.215,16800,87608.3,175.22,清仓，评分23(🚫 回避)，低于观察阈值，当前权重8.9%,周期资源红利
2017-06-30,600894.SH,广日股份,sell,11.828,8900,105270.62,210.54,清仓，评分28(🚫 回避)，低于观察阈值，当前权重10.7%,弱周期红利
2017-06-30,600859.SH,王府井,sell,16.134,3300,53241.7,106.48,清仓，评分26(🚫 回避)，低于观察阈值，当前权重5.4%,消费成长红利
2017-06-30,000600.SZ,建投能源,sell,12.258,6800,83352.56,166.71,清仓，评分32(🚫 回避)，低于观察阈值，当前权重8.5%,弱周期红利
2017-06-30,000543.SZ,皖能电力,sell,5.824,8600,50087.86,100.18,清仓，评分21(🚫 回避)，低于观察阈值，当前权重5.1%,弱周期红利
2017-06-30,002498.SZ,汉缆股份,sell,3.656,25500,93236.67,186.47,清仓，评分23(🚫 回避)，低于观察阈值，当前权重9.5%,周期资源红利
2017-06-30,000488.SZ,ST晨鸣,buy,12.913,3200,41321.28,41.32,新买入，评分56(👀 观察等待)，股息率4.65%，目标权重4.3%,弱周期红利
2017-06-30,600325.SH,华发股份,buy,8.358,14900,124539.41,124.54,新买入，评分88(🔥 大胆攒股)，股息率9.58%，目标权重12.8%,弱周期红利
2017-06-30,600312.SH,平高电气,buy,13.754,4200,57765.71,57.77,新买入，评分58(👀 观察等待)，股息率4.37%，目标权重6.0%,周期资源红利
2017-06-30,000550.SZ,江铃汽车,buy,20.721,2300,47657.61,47.66,新买入，评分52(👀 观察等待)，股息率4.98%，目标权重5.0%,消费成长红利
2017-06-30,600236.SH,桂冠电力,buy,5.706,9100,51921.87,51.92,加仓，评分68(✅ 积极布局)，股息率5.26%，权重4.9%→10.2%,弱周期红利
2017-06-30,600664.SH,哈药股份,buy,5.816,6700,38965.93,38.97,加仓，评分85(🔥 大胆攒股)，股息率8.61%，权重14.0%→18.0%,消费成长红利
2017-06-30,603328.SH,依顿电子,buy,14.164,8800,124644.52,124.64,新买入，评分88(🔥 大胆攒股)，股息率7.07%，目标权重12.8%,弱周期红利
2017-09-29,000830.SZ,鲁西化工,sell,11.109,6100,67764.17,135.53,清仓，评分35(⏸️ 暂缓)，低于观察阈值，当前权重6.5%,周期资源红利
2017-09-29,000488.SZ,ST晨鸣,sell,19.59,3200,62689.25,125.38,清仓，评分33(🚫 回避)，低于观察阈值，当前权重6.1%,弱周期红利
2017-09-29,000550.SZ,江铃汽车,sell,20.669,2300,47539.41,95.08,清仓，评分27(🚫 回避)，低于观察阈值，当前权重4.6%,消费成长红利
2017-09-29,600236.SH,桂冠电力,sell,6.034,17500,105594.3,211.19,清仓，评分26(🚫 回避)，低于观察阈值，当前权重10.2%,弱周期红利
2017-09-29,600325.SH,华发股份,buy,7.678,5300,40691.65,40.69,加仓，评分88(🔥 大胆攒股)，股息率10.43%，权重11.0%→15.0%,弱周期红利
2017-09-29,600312.SH,平高电气,buy,11.822,6300,74477.4,74.48,加仓，评分68(✅ 积极布局)，股息率5.08%，权重4.8%→12.0%,周期资源红利
2017-12-29,000600.SZ,建投能源,buy,7.718,7500,57882.82,57.88,新买入，评分61(👀 观察等待)，股息率5.19%，目标权重5.9%,弱周期红利
2017-12-29,600312.SH,平高电气,buy,10.0,7400,73999.93,74.0,加仓，评分81(🔥 大胆攒股)，股息率6.01%，权重10.5%→18.0%,周期资源红利
2017-12-29,000726.SZ,鲁泰Ａ,buy,10.961,4400,48228.18,48.23,新买入，评分56(👀 观察等待)，股息率4.57%，目标权重4.9%,弱周期红利
2018-03-30,600325.SH,华发股份,sell,7.652,8400,64279.66,128.56,减仓，评分88(🔥 大胆攒股)，权重16.4%→9.5%,弱周期红利
2018-03-30,603328.SH,依顿电子,sell,12.587,1600,20139.84,40.28,减仓，评分88(🔥 大胆攒股)，权重11.7%→9.5%,弱周期红利
2018-03-30,000718.SZ,苏宁环球,buy,4.074,7300,29740.71,29.74,新买入，评分63(👀 观察等待)，股息率4.91%，目标权重3.2%,弱周期红利
2018-03-30,600894.SH,广日股份,buy,8.809,3400,29949.92,29.95,新买入，评分50(👀 观察等待)，股息率4.32%，目标权重3.2%,弱周期红利
2018-03-30,000541.SZ,佛山照明,buy,8.669,5400,46810.76,46.81,新买入，评分51(👀 观察等待)，股息率4.85%，目标权重5.0%,消费成长红利
2018-03-30,600578.SH,京能电力,buy,3.473,10300,35776.74,35.78,新买入，评分60(👀 观察等待)，股息率4.90%，目标权重3.8%,弱周期红利
2018-06-29,000718.SZ,苏宁环球,sell,3.666,7300,26764.21,53.53,清仓，评分32(🚫 回避)，低于观察阈值，当前权重3.3%,弱周期红利
2018-06-29,000600.SZ,建投能源,sell,5.564,7500,41733.23,83.47,清仓，评分23(🚫 回避)，低于观察阈值，当前权重5.1%,弱周期红利
2018-06-29,600312.SH,平高电气,sell,5.634,9900,55780.16,111.56,减仓，评分88(🔥 大胆攒股)，权重12.4%→5.5%,周期资源红利
2018-06-29,000541.SZ,佛山照明,sell,5.984,5400,32313.65,64.63,清仓，评分58(👀 观察等待)，低于观察阈值，当前权重4.0%,消费成长红利
2018-06-29,600894.SH,广日股份,sell,5.924,3400,20141.84,40.28,清仓，评分25(🚫 回避)，低于观察阈值，当前权重2.5%,弱周期红利
2018-06-29,600325.SH,华发股份,sell,7.722,7200,55600.34,111.2,减仓，评分88(🔥 大胆攒股)，权重11.2%→4.3%,弱周期红利
2018-06-29,000726.SZ,鲁泰Ａ,sell,10.779,4400,47428.52,94.86,清仓，评分61(👀 观察等待)，低于观察阈值，当前权重5.8%,弱周期红利
2018-06-29,600664.SH,哈药股份,sell,3.966,13300,52748.2,105.5,减仓，评分88(🔥 大胆攒股)，权重14.8%→8.3%,消费成长红利
2018-06-29,603328.SH,依顿电子,sell,10.839,3900,42272.68,84.55,减仓，评分88(🔥 大胆攒股)，权重9.6%→4.3%,弱周期红利
2018-06-29,002242.SZ,九阳股份,buy,17.708,3800,67289.22,67.29,新买入，评分80(🔥 大胆攒股)，股息率7.35%，目标权重8.3%,消费成长红利
2018-06-29,600236.SH,桂冠电力,buy,5.716,7400,42296.25,42.3,新买入，评分81(🔥 大胆攒股)，股息率5.78%，目标权重5.2%,弱周期红利
2018-06-29,603025.SH,大豪科技,buy,19.359,1200,23231.21,23.23,新买入，评分68(✅ 积极布局)，股息率5.17%，目标权重2.9%,弱周期红利
2018-06-29,002503.SZ,,buy,3.503,6700,23473.45,23.47,新买入，评分80(✅ 积极布局)，股息率5.71%，目标权重2.9%,弱周期红利
2018-06-29,600761.SH,安徽合力,buy,9.089,3100,28176.15,28.18,新买入，评分70(✅ 积极布局)，股息率5.51%，目标权重3.5%,弱周期红利
