date,ts_code,name,category,shares,cost_price,current_price,market_value,weight,profit_pct,cash,total_value
2015-03-27,511880.SH,银华日利,现金管理,9700,101.269,101.168,981329.39,98.33,-0.1,16706.97,998036.36
2015-06-26,511880.SH,银华日利,现金管理,9700,101.269,102.079,990166.95,98.34,0.8,16706.97,1006873.92
2015-09-25,511880.SH,银华日利,现金管理,8300,101.269,102.73,852657.71,84.22,1.44,9113.05,1012453.76
2015-09-25,600352.SH,浙江龙盛,周期龙头红利,5200,9.65,9.64,50128.0,4.95,-0.1,9113.05,1012453.76
2015-09-25,600816.SH,建元信托,周期龙头红利,3400,14.865,14.85,50490.0,4.99,-0.1,9113.05,1012453.76
2015-09-25,000830.SZ,鲁西化工,周期龙头红利,8500,5.896,5.89,50065.0,4.94,-0.1,9113.05,1012453.76
2015-12-25,511880.SH,银华日利,现金管理,9500,101.552,103.409,982380.86,92.76,1.83,16460.55,1059106.42
2015-12-25,000830.SZ,鲁西化工,周期龙头红利,8500,5.896,7.09,60265.0,5.69,20.25,16460.55,1059106.42
2016-03-25,511880.SH,银华日利,现金管理,7500,101.552,104.069,780514.4,74.33,2.48,9461.35,1050129.74
2016-03-25,600352.SH,浙江龙盛,周期龙头红利,5100,10.25,10.24,52224.0,4.97,-0.1,9461.35,1050129.74
2016-03-25,600816.SH,建元信托,周期龙头红利,3100,16.456,16.44,50964.0,4.85,-0.1,9461.35,1050129.74
2016-03-25,000830.SZ,鲁西化工,周期龙头红利,19300,5.633,5.42,104606.0,9.96,-3.77,9461.35,1050129.74
2016-03-25,600863.SH,华能蒙电,周期龙头红利,15400,3.403,3.4,52360.0,4.99,-0.1,9461.35,1050129.74
2016-06-24,511880.SH,银华日利,现金管理,2900,101.552,104.71,303659.19,29.89,3.11,2337.45,1016000.65
2016-06-24,000830.SZ,鲁西化工,周期龙头红利,35000,5.064,4.36,152600.0,15.02,-13.9,2337.45,1016000.65
2016-06-24,600863.SH,华能蒙电,周期龙头红利,34000,3.179,2.99,101660.0,10.01,-5.94,2337.45,1016000.65
2016-06-24,600578.SH,京能电力,周期龙头红利,12000,4.244,4.24,50880.0,5.01,-0.1,2337.45,1016000.65
2016-06-24,600177.SH,雅戈尔,周期龙头红利,7500,13.554,13.54,101550.0,10.0,-0.1,2337.45,1016000.65
2016-06-24,002568.SZ,百润股份,周期龙头红利,2400,21.051,21.03,50472.0,4.97,-0.1,2337.45,1016000.65
2016-06-24,002372.SZ,伟星新材,周期龙头红利,3500,14.414,14.4,50400.0,4.96,-0.1,2337.45,1016000.65
2016-06-24,300146.SZ,汤臣倍健,周期龙头红利,3800,13.193,13.18,50084.0,4.93,-0.1,2337.45,1016000.65
2016-06-24,601000.SH,唐山港,周期龙头红利,40200,3.794,3.79,152358.0,15.0,-0.1,2337.45,1016000.65
2016-09-30,511880.SH,银华日利,现金管理,4500,102.98,105.463,474583.99,44.76,2.41,11750.36,1060178.35
2016-09-30,000830.SZ,鲁西化工,周期龙头红利,21300,5.064,4.99,106287.0,10.03,-1.46,11750.36,1060178.35
2016-09-30,600578.SH,京能电力,周期龙头红利,12000,4.244,4.21,50520.0,4.77,-0.81,11750.36,1060178.35
2016-09-30,600177.SH,雅戈尔,周期龙头红利,7500,13.554,14.21,106575.0,10.05,4.84,11750.36,1060178.35
2016-09-30,002568.SZ,百润股份,周期龙头红利,2400,21.051,21.13,50712.0,4.78,0.38,11750.36,1060178.35
2016-09-30,300146.SZ,汤臣倍健,周期龙头红利,3800,13.193,12.64,48032.0,4.53,-4.19,11750.36,1060178.35
2016-09-30,601000.SH,唐山港,周期龙头红利,27800,3.794,3.82,106196.0,10.02,0.69,11750.36,1060178.35
2016-09-30,601991.SH,大唐发电,周期龙头红利,13800,3.844,3.84,52992.0,5.0,-0.1,11750.36,1060178.35
2016-09-30,000539.SZ,粤电力Ａ,周期龙头红利,10200,5.155,5.15,52530.0,4.95,-0.1,11750.36,1060178.35
2016-12-30,511880.SH,银华日利,现金管理,6100,103.814,106.054,646931.45,60.19,2.16,13032.75,1074863.2
2016-12-30,000830.SZ,鲁西化工,周期龙头红利,9700,5.064,5.59,54223.0,5.04,10.39,13032.75,1074863.2
2016-12-30,600578.SH,京能电力,周期龙头红利,12000,4.244,4.2,50400.0,4.69,-1.04,13032.75,1074863.2
2016-12-30,600177.SH,雅戈尔,周期龙头红利,7500,13.554,13.98,104850.0,9.75,3.15,13032.75,1074863.2
2016-12-30,002568.SZ,百润股份,周期龙头红利,2400,21.051,20.24,48576.0,4.52,-3.85,13032.75,1074863.2
2016-12-30,300146.SZ,汤臣倍健,周期龙头红利,3800,13.193,11.94,45372.0,4.22,-9.5,13032.75,1074863.2
2016-12-30,601000.SH,唐山港,周期龙头红利,27800,3.794,4.01,111478.0,10.37,5.7,13032.75,1074863.2
2017-03-31,511880.SH,银华日利,现金管理,6100,103.814,106.865,651875.04,59.7,2.94,11612.1,1091878.14
2017-03-31,600816.SH,建元信托,周期龙头红利,4800,11.351,11.34,54432.0,4.99,-0.1,11612.1,1091878.14
2017-03-31,000830.SZ,鲁西化工,周期龙头红利,9700,5.064,5.62,54514.0,4.99,10.99,11612.1,1091878.14
2017-03-31,600177.SH,雅戈尔,周期龙头红利,7500,13.554,13.93,104475.0,9.57,2.78,11612.1,1091878.14
2017-03-31,002568.SZ,百润股份,周期龙头红利,2400,21.051,21.14,50736.0,4.65,0.42,11612.1,1091878.14
2017-03-31,300146.SZ,汤臣倍健,周期龙头红利,3800,13.193,11.03,41914.0,3.84,-16.4,11612.1,1091878.14
2017-03-31,601000.SH,唐山港,周期龙头红利,27800,3.794,4.4,122320.0,11.2,15.98,11612.1,1091878.14
2017-06-30,511880.SH,银华日利,现金管理,2900,103.814,107.821,312682.0,27.95,3.86,4794.7,1118724.7
2017-06-30,600578.SH,京能电力,周期龙头红利,13000,4.294,4.29,55770.0,4.99,-0.1,4794.7,1118724.7
2017-06-30,600177.SH,雅戈尔,周期龙头红利,7500,13.554,10.12,75900.0,6.78,-25.33,4794.7,1118724.7
2017-06-30,002568.SZ,百润股份,周期龙头红利,6700,18.218,16.62,111354.0,9.95,-8.77,4794.7,1118724.7
2017-06-30,600369.SH,西南证券,周期龙头红利,9900,5.616,5.61,55539.0,4.96,-0.1,4794.7,1118724.7
2017-06-30,001696.SZ,宗申动力,周期龙头红利,7400,7.578,7.57,56018.0,5.01,-0.1,4794.7,1118724.7
2017-06-30,603766.SH,隆鑫通用,周期龙头红利,23000,7.287,7.28,167440.0,14.97,-0.1,4794.7,1118724.7
2017-06-30,600873.SH,梅花生物,周期龙头红利,9800,5.676,5.67,55566.0,4.97,-0.1,4794.7,1118724.7
2017-06-30,600398.SH,海澜之家,周期龙头红利,5900,9.499,9.49,55991.0,5.0,-0.1,4794.7,1118724.7
2017-06-30,600704.SH,物产中大,周期龙头红利,23000,7.297,7.29,167670.0,14.99,-0.1,4794.7,1118724.7
