ts_code,trade_date,close
000922.CSI,20260604,5681.5155
000922.CSI,20260603,5706.4679
000922.CSI,20260602,5708.5511
000922.CSI,20260601,5726.102
000922.CSI,20260529,5578.6947
000922.CSI,20260528,5513.8769
000922.CSI,20260527,5527.1603
000922.CSI,20260526,5577.2612
000922.CSI,20260525,5572.2261
000922.CSI,20260522,5545.1377
000922.CSI,20260521,5554.6741
000922.CSI,20260520,5643.5763
000922.CSI,20260519,5662.3624
000922.CSI,20260518,5654.2014
000922.CSI,20260515,5680.3708
000922.CSI,20260514,5694.3058
000922.CSI,20260513,5748.0787
000922.CSI,20260512,5774.7235
000922.CSI,20260511,5783.4605
000922.CSI,20260508,5767.6711
000922.CSI,20260507,5787.1972
000922.CSI,20260506,5881.8356
000922.CSI,20260430,5865.0714
000922.CSI,20260429,5884.2729
000922.CSI,20260428,5828.8751
000922.CSI,20260427,5763.8706
000922.CSI,20260424,5776.3372
000922.CSI,20260423,5781.3231
000922.CSI,20260422,5752.3753
000922.CSI,20260421,5752.8395
000922.CSI,20260420,5702.5138
000922.CSI,20260417,5695.3235
000922.CSI,20260416,5734.5086
000922.CSI,20260415,5720.5908
000922.CSI,20260414,5700.236
000922.CSI,20260413,5688.0892
000922.CSI,20260410,5692.53
000922.CSI,20260409,5680.3388
000922.CSI,20260408,5723.6461
000922.CSI,20260407,5677.9813
000922.CSI,20260403,5649.4273
000922.CSI,20260402,5744.6375
000922.CSI,20260401,5731.251
000922.CSI,20260331,5727.8494
000922.CSI,20260330,5795.5141
000922.CSI,20260327,5742.4535
000922.CSI,20260326,5729.3351
000922.CSI,20260325,5726.7812
000922.CSI,20260324,5712.7877
000922.CSI,20260323,5626.1198
000922.CSI,20260320,5772.6458
000922.CSI,20260319,5799.1901
000922.CSI,20260318,5833.4001
000922.CSI,20260317,5868.4806
000922.CSI,20260316,5912.3653
000922.CSI,20260313,5954.4609
000922.CSI,20260312,5976.5321
000922.CSI,20260311,5905.1798
000922.CSI,20260310,5820.4882
000922.CSI,20260309,5864.5076
000922.CSI,20260306,5860.5058
000922.CSI,20260305,5849.5206
000922.CSI,20260304,5856.1523
000922.CSI,20260303,5952.0941
000922.CSI,20260302,5905.2525
000922.CSI,20260227,5826.709
000922.CSI,20260226,5768.9179
000922.CSI,20260225,5785.569
000922.CSI,20260224,5754.4118
000922.CSI,20260213,5668.2221
000922.CSI,20260212,5751.6415
000922.CSI,20260211,5770.1328
000922.CSI,20260210,5730.0051
000922.CSI,20260209,5709.0636
000922.CSI,20260206,5671.1173
000922.CSI,20260205,5686.5133
000922.CSI,20260204,5712.025
000922.CSI,20260203,5563.8039
000922.CSI,20260202,5521.8717
000922.CSI,20260130,5700.0072
000922.CSI,20260129,5757.6384
000922.CSI,20260128,5687.3191
000922.CSI,20260127,5599.9241
000922.CSI,20260126,5648.09
000922.CSI,20260123,5611.477
000922.CSI,20260122,5618.1484
000922.CSI,20260121,5577.5405
000922.CSI,20260120,5611.8413
000922.CSI,20260119,5538.8923
000922.CSI,20260116,5493.3899
000922.CSI,20260115,5541.7041
000922.CSI,20260114,5552.3081
000922.CSI,20260113,5591.9684
000922.CSI,20260112,5611.1655
000922.CSI,20260109,5592.677
000922.CSI,20260108,5574.5975
000922.CSI,20260107,5592.9103
000922.CSI,20260106,5591.0408
000922.CSI,20260105,5525.1164
000922.CSI,20251231,5503.9812
000922.CSI,20251230,5499.2122
000922.CSI,20251229,5501.7422
000922.CSI,20251226,5513.7509
000922.CSI,20251225,5486.4444
000922.CSI,20251224,5472.2364
000922.CSI,20251223,5459.1338
000922.CSI,20251222,5458.2256
000922.CSI,20251219,5483.3469
000922.CSI,20251218,5473.7057
000922.CSI,20251217,5429.6808
000922.CSI,20251216,5414.3168
000922.CSI,20251215,5457.0324
000922.CSI,20251212,5426.7244
000922.CSI,20251211,5435.6228
000922.CSI,20251210,5481.5776
000922.CSI,20251209,5476.8405
000922.CSI,20251208,5527.4237
000922.CSI,20251205,5557.9653
000922.CSI,20251204,5552.9572
000922.CSI,20251203,5573.9
000922.CSI,20251202,5584.8627
000922.CSI,20251201,5591.822
000922.CSI,20251128,5545.8415
000922.CSI,20251127,5539.999
000922.CSI,20251126,5530.7929
000922.CSI,20251125,5554.2173
000922.CSI,20251124,5527.1668
000922.CSI,20251121,5554.5184
000922.CSI,20251120,5656.0404
000922.CSI,20251119,5668.6614
000922.CSI,20251118,5659.7759
000922.CSI,20251117,5739.3217
000922.CSI,20251114,5767.5602
000922.CSI,20251113,5801.9877
000922.CSI,20251112,5786.4201
000922.CSI,20251111,5782.5897
000922.CSI,20251110,5795.3924
000922.CSI,20251107,5752.944
000922.CSI,20251106,5745.9004
000922.CSI,20251105,5723.3919
000922.CSI,20251104,5699.4485
000922.CSI,20251103,5678.4308
000922.CSI,20251031,5627.6697
000922.CSI,20251030,5630.5531
000922.CSI,20251029,5653.7533
000922.CSI,20251028,5651.6502
000922.CSI,20251027,5681.4978
000922.CSI,20251024,5655.0767
000922.CSI,20251023,5691.9018
000922.CSI,20251022,5645.9038
000922.CSI,20251021,5640.3589
000922.CSI,20251020,5637.9361
000922.CSI,20251017,5596.3198
000922.CSI,20251016,5639.6007
000922.CSI,20251015,5620.1955
000922.CSI,20251014,5596.2901
000922.CSI,20251013,5534.3194
000922.CSI,20251010,5559.0517
000922.CSI,20251009,5502.3826
000922.CSI,20250930,5461.0845
000922.CSI,20250929,5474.3919
000922.CSI,20250926,5455.0131
000922.CSI,20250925,5440.5069
000922.CSI,20250924,5467.0362
000922.CSI,20250923,5454.0584
000922.CSI,20250922,5434.0415
000922.CSI,20250919,5468.7315
000922.CSI,20250918,5424.126
000922.CSI,20250917,5522.2891
000922.CSI,20250916,5508.9665
000922.CSI,20250915,5511.138
000922.CSI,20250912,5529.9497
000922.CSI,20250911,5559.8135
000922.CSI,20250910,5537.7853
000922.CSI,20250909,5565.0272
000922.CSI,20250908,5552.5865
000922.CSI,20250905,5510.0368
000922.CSI,20250904,5493.0759
000922.CSI,20250903,5495.4712
000922.CSI,20250902,5542.1747
000922.CSI,20250901,5524.751
000922.CSI,20250829,5538.0382
000922.CSI,20250828,5544.1885
000922.CSI,20250827,5532.4293
000922.CSI,20250826,5634.0366
000922.CSI,20250825,5640.4806
000922.CSI,20250822,5599.4007
000922.CSI,20250821,5609.1951
000922.CSI,20250820,5579.2691
000922.CSI,20250819,5537.4535
000922.CSI,20250818,5542.7569
000922.CSI,20250815,5553.4158
000922.CSI,20250814,5540.1311
000922.CSI,20250813,5593.7015
000922.CSI,20250812,5623.0435
000922.CSI,20250811,5591.6955
000922.CSI,20250808,5615.6102
000922.CSI,20250807,5612.6762
000922.CSI,20250806,5603.2021
000922.CSI,20250805,5567.8825
000922.CSI,20250804,5510.342
000922.CSI,20250801,5484.5934
000922.CSI,20250731,5484.7119
000922.CSI,20250730,5581.4768
000922.CSI,20250729,5570.4572
000922.CSI,20250728,5572.5303
000922.CSI,20250725,5633.8343
000922.CSI,20250724,5670.7501
000922.CSI,20250723,5647.0878
000922.CSI,20250722,5667.6115
