ts_code,ann_date,f_ann_date,end_date,total_liab,money_cap,total_assets
001203.SZ,20140504,20140504,20111231,4783047989.21,199835101.62,6846872263.9
002665.SZ,20120326,20120326,20111231,575319768.49,80400124.84,1073636977.11
002678.SZ,20120511,20120511,20111231,445254117.07,277209477.99,1375094710.08
002681.SZ,20120515,20120515,20111231,233913604.74,170032835.33,647527864.1
002690.SZ,20120709,20120709,20111231,119430772.34,226771441.08,518216184.96
002698.SZ,20120824,20120824,20111231,499082121.59,211163569.69,1132825328.48
002699.SZ,20120824,20120824,20111231,41629227.23,26182160.58,216154746.61
002701.SZ,20120912,20120912,20111231,1779561180.0,249837517.0,2778113670.0
002707.SZ,20140102,20140102,20111231,214417134.28,162333201.66,355998583.41
002714.SZ,20140109,20140109,20111231,759839429.0,90711822.51,1488633359.06
002727.SZ,20140610,20140610,20111231,679514828.16,386533992.15,1308314286.12
002739.SZ,20150106,20150106,20111231,699835579.32,338519688.21,1911726048.37
002761.SZ,20140425,20140425,20111231,263145330.6,165889832.48,486696510.39
002773.SZ,20140520,20140520,20111231,359583800.0,340244100.0,1295975600.0
002791.SZ,20140425,20140425,20111231,280454633.05,172050234.97,812945887.8
002812.SZ,20140609,20140609,20111231,471650596.45,132765788.88,949460996.44
002815.SZ,20140519,20140519,20111231,533991337.25,82723876.87,977109741.35
002818.SZ,20140429,20140429,20111231,1113158909.45,351205627.77,2015707489.35
002821.SZ,20140507,20140507,20111231,258146500.0,175420900.0,800410200.0
002831.SZ,20140919,20140919,20111231,1187238576.43,242749650.36,1955332446.2
002837.SZ,20141024,20141024,20111231,32690985.34,6296783.75,47729971.27
002841.SZ,20141114,20141114,20111231,236165726.21,98289666.07,346525667.34
002850.SZ,20141212,20141212,20111231,261686989.16,10193507.59,477911503.3
002851.SZ,20120221,20120221,20111231,334361243.95,243613506.64,731014403.08
002865.SZ,20140627,20140627,20111231,356338397.3,55188113.26,578009203.04
002867.SZ,20141219,20141219,20111231,607153457.98,371294617.78,1358861975.62
002916.SZ,20120427,20120427,20111231,1682946873.06,201130361.32,2606385019.64
002941.SZ,20130108,20130108,20111231,1121615847.58,464265823.95,1353912102.78
002948.SZ,20120425,20120425,20111231,70067472000.0,,77025677000.0
002958.SZ,20150910,20150910,20111231,82537576765.15,,85751374425.46
003816.SZ,20150123,20150123,20111231,90139325110.71,12346330345.89,113369012773.31
300287.SZ,20120322,20120322,20111231,208444003.98,115903962.82,386650948.6
300291.SZ,20120328,20120328,20111231,210027844.68,94745353.5,424792573.85
300308.SZ,20120316,20120316,20111231,86562596.01,37328881.09,293465181.46
300315.SZ,20120420,20120420,20111231,14883853.6,100847718.63,238744756.66
300316.SZ,20120510,20120510,20111231,465868150.56,129924709.61,1002605341.48
300339.SZ,20120629,20120629,20111231,129352234.0,149348362.22,382421689.08
300346.SZ,20120720,20120720,20111231,86981769.92,135647057.24,364545741.45
300347.SZ,20120730,20120730,20111231,40732203.74,85725541.2,186758342.96
300357.SZ,20131231,20131231,20111231,19579989.76,42000058.77,147187676.43
300363.SZ,20140103,20140103,20111231,328303122.01,122671666.44,574315984.56
300373.SZ,20140106,20140106,20111231,115453713.59,52686477.48,333000021.55
300376.SZ,20140107,20140107,20111231,208398947.24,137408245.37,691961327.22
300383.SZ,20140110,20140110,20111231,32401700.59,72208716.41,235583030.89
300390.SZ,20140715,20140715,20111231,83604327.48,43771667.46,220347002.35
300394.SZ,20141218,20141218,20111231,12715100.0,11251600.0,163595400.0
300395.SZ,20140820,20140820,20111231,119022367.74,64424572.03,332915188.11
300408.SZ,20141114,20141114,20111231,437794956.6,88532950.98,1479043054.83
300413.SZ,20150106,20150106,20111231,385857418.97,669662219.7,971835444.34
300418.SZ,20150106,20150106,20111231,128485391.83,383210476.5,649065167.89
300432.SZ,20141231,20141231,20111231,166102350.69,23785195.56,288471545.96
300433.SZ,20141226,20141226,20111231,5152444524.54,621769478.77,6940183067.21
300438.SZ,20141231,20141231,20111231,209033800.0,95375600.0,504979400.0
300442.SZ,20150403,20150403,20111231,169186971.5,64848017.15,426054236.83
300450.SZ,20141231,20141231,20111231,83414647.84,70053199.74,246552861.09
300458.SZ,20140630,20140630,20111231,34371251.81,85103437.5,152038294.22
300459.SZ,20140627,20140627,20111231,293862897.22,116547169.07,585503576.1
300463.SZ,20140425,20140425,20111231,193390035.45,105406809.16,505159301.38
300474.SZ,20140603,20140603,20111231,19894970.37,30588064.37,126886425.24
300476.SZ,20140418,20140418,20111231,545728549.92,88862920.38,911822807.81
300482.SZ,20140604,20140604,20111231,117520400.0,31495500.0,262127000.0
300487.SZ,20140627,20140627,20111231,49192183.62,68291267.97,279666937.7
300496.SZ,20140506,20140506,20111231,30038781.42,80654253.57,147477883.73
300502.SZ,20140625,20140625,20111231,103580412.97,106838758.03,283622881.12
300529.SZ,20140430,20140430,20111231,30675618.35,175281737.13,246241237.42
300558.SZ,20140627,20140627,20111231,162832415.32,19674191.23,215112320.8
300567.SZ,20141031,20141031,20111231,10089090.11,33695378.05,65159882.79
300570.SZ,20140613,20140613,20111231,33187601.93,20796486.16,165744898.7
300573.SZ,20150206,20150206,20111231,20882499.15,96555062.47,267883516.92
300623.SZ,20140829,20140829,20111231,72789880.63,80545419.14,304189657.02
300682.SZ,20141205,20141205,20111231,105746100.0,37034300.0,188171300.0
600023.SH,20130410,20130410,20111231,40620996130.83,6390643637.55,75517405855.21
600602.SH,20120323,20120323,20111231,354153151.02,1076552841.1,2778753457.33
600606.SH,20120321,20120321,20111231,3511646662.75,776416391.31,5623835516.91
600611.SH,20120329,20120329,20111231,4296115516.16,2184938155.49,9756424143.07
600612.SH,20120426,20120426,20111231,4772637192.19,1116106583.77,7276590004.3
600614.SH,20120418,20120418,20111231,1367654543.93,248530618.52,2368520288.52
600617.SH,20120214,20120214,20111231,77699774.52,3992326.27,17933562.81
600618.SH,20120323,20120323,20111231,3259820201.32,513913060.98,6007929351.75
600623.SH,20120330,20120330,20111231,5991725180.3,481979144.97,8925040582.51
600628.SH,20120417,20120417,20111231,3465964274.17,737068636.65,5568253348.21
600633.SH,20120406,20120406,20111231,491260042.19,560342921.21,1617152817.25
600635.SH,20120418,20120418,20111231,5416944119.62,637859552.39,9918609148.23
600637.SH,20120410,20120410,20111231,448271518.95,1545493122.83,3116215007.07
600639.SH,20120323,20120323,20111231,4330785659.71,322742963.2,8796285677.23
600640.SH,20120421,20120421,20111231,45393579.43,820448571.92,1070597758.14
600642.SH,20120327,20120327,20111231,10687308225.56,4841602770.41,35252534260.47
600643.SH,20120330,20120330,20111231,548854681.79,431493069.64,1911672343.27
600645.SH,20120218,20120218,20111231,578701465.58,586841245.66,847555062.54
600648.SH,20120428,20120428,20111231,18757745092.62,6287681655.29,24004391954.12
600649.SH,20120330,20120330,20111231,14023824134.55,1802611336.91,27475661878.37
600651.SH,20120315,20120315,20111231,792998820.59,308487388.15,2069870143.66
600654.SH,20120317,20120317,20111231,805928146.98,321562002.1,2152169257.37
600655.SH,20120328,20120328,20111231,6918464223.62,1513499013.68,12258936931.14
600657.SH,20120317,20120317,20111231,8355306600.44,2291690877.97,15080515137.13
600660.SH,20120425,20120425,20111231,5980522838.0,845083167.0,12212187855.0
600908.SH,20140630,20140630,20111231,55569037611.56,,59941426913.48
600917.SH,20140820,20140820,20111231,2566597088.34,2048876295.07,5206924784.49
600959.SH,20141226,20141226,20111231,3641329300.0,1065915200.0,11483981500.0
600977.SH,20140616,20140616,20111231,2838288199.04,1694049619.96,5608186152.06
601016.SH,20140820,20140820,20111231,7386811752.0,786271961.0,10491391339.0
601021.SH,20141211,20141211,20111231,3393804025.0,721684276.0,4842441826.0
601068.SH,20150113,20150113,20111231,11163678952.0,2584709745.0,14134601318.0
601163.SH,20140627,20140627,20111231,4684529017.33,442664826.6,7314397841.32
601212.SH,20140516,20140516,20111231,18213510337.26,4770499705.55,29764067155.38
601226.SH,20141114,20141114,20111231,2524832871.58,737071905.57,3628350619.51
601228.SH,20141219,20141219,20111231,5346374600.0,430045900.0,12351760700.0
601231.SH,20120324,20120324,20111231,4142231410.67,1274505277.06,6202265861.46
601326.SH,20120907,20120907,20111231,14360362500.0,5719182000.0,23770148700.0
601512.SH,20140504,20140504,20111231,14454067147.31,2255064663.12,19309877608.63
601515.SH,20120407,20120407,20111231,638528911.69,176946213.74,1859477081.71
601608.SH,20120616,20120616,20111231,9408245943.85,1669920500.45,12926771962.94
601611.SH,20140523,20140523,20111231,20605672201.48,2215830617.49,23079195330.58
601615.SH,20120430,20120430,20111231,6651242850.5,1286714192.23,9783589969.05
601658.SH,20150901,20150901,20111231,4018601000000.0,,4107880000000.0
601689.SH,20141120,20141120,20111231,766571274.24,103633174.08,1619480885.61
601811.SH,20140505,20140505,20111231,2889458900.0,1897547700.0,7778979500.0
601828.SH,20140425,20140425,20111231,17510936195.78,3623878120.58,23570668342.83
601858.SH,20140627,20140627,20111231,546790272.47,866662428.63,1670691189.97
601860.SH,20120308,20120308,20111231,55582060382.09,,59303191988.22
601865.SH,20120706,20120706,20111231,1233267637.87,198392574.02,2714458992.1
601929.SH,20120406,20120406,20111231,2078208189.53,283733616.54,3958522171.34
601966.SH,20141209,20141209,20111231,7204669515.0,1032980857.0,9623251030.0
601969.SH,20141114,20141114,20111231,1362794673.76,1574547419.48,4709918061.53
603000.SH,20120405,20120405,20111231,181879373.46,684331131.49,868449432.41
603005.SH,20140109,20140109,20111231,78799318.19,248848828.68,597976583.51
603019.SH,20141016,20141016,20111231,937512620.74,347548546.23,1437977148.96
603025.SH,20141226,20141226,20111231,74550544.58,137647299.88,748182433.01
603026.SH,20140814,20140814,20111231,1108376793.84,207277665.14,1855345984.17
603056.SH,20120711,20120711,20111231,960863569.72,231132789.2,1708827141.19
603077.SH,20120709,20120709,20111231,2341297099.76,358186091.26,3682190986.25
603087.SH,20140218,20140218,20111231,,,295690000.0
603160.SH,20140506,20140506,20111231,15364208.24,74352573.09,107382062.17
603169.SH,20140916,20140916,20111231,1401416913.8,299119037.77,2066539339.57
603185.SH,20120405,20120405,20111231,222074345.82,58730431.0,447510023.45
603188.SH,20140820,20140820,20111231,937473329.25,164212682.47,1676699091.78
603198.SH,20140528,20140528,20111231,1229477025.76,886297654.25,2922017352.04
603218.SH,20141114,20141114,20111231,586172295.24,178832883.96,1096614171.57
603225.SH,20130903,20130903,20111231,1300408006.69,361725567.66,3390479589.88
603228.SH,20141121,20141121,20111231,777066619.93,95943126.2,1058627666.16
603288.SH,20140115,20140115,20111231,1566060128.29,1444188989.01,4651631541.62
603298.SH,20141011,20141011,20111231,1154786830.49,479488298.42,2358860583.81
603317.SH,20140515,20140515,20111231,144301079.41,281171110.74,425222412.62
603338.SH,20150109,20150109,20111231,114211318.84,59004802.67,255772829.57
603345.SH,20140620,20140620,20111231,454403103.14,115733660.35,853384456.3
603355.SH,20140422,20140422,20111231,1383534820.98,553316084.68,2134929244.26
603369.SH,20140611,20140611,20111231,1003777294.57,533463716.38,2289275757.21
603377.SH,20140527,20140527,20111231,448397604.18,159042813.06,748062610.1
603444.SH,20140606,20140606,20111231,113016715.85,344076190.69,428123740.43
603515.SH,20140505,20140505,20111231,1004182532.81,335133081.46,1553000605.97
603517.SH,20140926,20140926,20111231,233947097.09,327273408.92,731563552.15
603528.SH,20140429,20140429,20111231,372125830.15,88387982.08,520968505.92
603555.SH,20140107,20140107,20111231,1003905101.65,264883103.85,1921574808.5
603556.SH,20140505,20140505,20111231,475519836.53,496649648.62,1025871371.89
603567.SH,20141226,20141226,20111231,516702163.84,52325802.93,1439790252.67
603568.SH,20141114,20141114,20111231,1486914990.94,59421339.35,2053436639.03
603589.SH,20140514,20140514,20111231,1196950036.19,434604258.97,2442508924.77
603606.SH,20140916,20140916,20111231,676937979.05,183628314.03,1098172442.96
603638.SH,20141121,20141121,20111231,191327393.49,29884778.41,371917995.63
603658.SH,20140610,20140610,20111231,39358147.89,16888345.11,196320393.52
603688.SH,20141016,20141016,20111231,55216156.0,169972573.69,664658890.34
603698.SH,20150107,20150107,20111231,570132246.56,322182093.53,1183823575.24
