ts_code,ann_date,end_date,total_liab,money_cap,total_assets
001227.SZ,20211207,20201231,334887262479.43,,362319221720.36
600927.SH,20211109,20201231,37579148862.16,,45377194307.14
601728.SH,20210730,20201231,348921000000.0,33092000000.0,715103000000.0
688351.SH,20210630,20201231,50643257.24,445742111.51,629215901.67
688290.SH,20210630,20201231,208577314.8,131891015.81,452406639.56
688115.SH,20210630,20201231,117948016.23,130000249.37,309875278.43
301028.SZ,20210630,20201231,349294006.39,259947844.44,885525428.92
688252.SH,20210629,20201231,132227967.39,514736490.48,678629515.8
688322.SH,20210629,20201231,198438144.99,1671055694.07,2638326141.89
605365.SH,20210629,20201231,2226581601.84,781979345.14,4053695305.82
688501.SH,20210629,20201231,602966126.26,155417705.38,1112494737.56
688125.SH,20210629,20201231,139963167.1,231892716.54,670143439.29
301027.SZ,20210628,20201231,834159546.87,645430238.44,1267422979.81
688485.SH,20210628,20201231,209296951.75,228938739.62,847723180.34
688793.SH,20210625,20201231,242331780.84,139290230.04,476199455.46
301026.SZ,20210625,20201231,230397807.51,55696648.21,791877751.62
688170.SH,20210625,20201231,327394768.81,193837747.97,814771802.61
301025.SZ,20210624,20201231,124951397.31,314299652.43,636900441.5
600175.SH,20210624,20201231,3751943641.99,78552431.81,5199650044.45
688799.SH,20210623,20201231,258071288.86,79019059.41,921121087.27
301023.SZ,20210623,20201231,63842878.98,37760652.96,326705203.23
688038.SH,20210623,20201231,520907630.5,90576338.41,1024864498.06
688305.SH,20210622,20201231,133475940.69,140797328.53,681836569.9
605020.SH,20210622,20201231,1110270982.33,234408412.13,2444422830.64
688151.SH,20210621,20201231,1153008092.74,606532246.36,2311077088.64
301039.SZ,20210621,20201231,9376460825.65,4537414308.21,19825159603.64
688789.SH,20210621,20201231,272875446.37,422415220.93,1026291241.41
688087.SH,20210618,20201231,369273490.81,88521127.63,1336077693.73
001210.SZ,20210617,20201231,568649199.0,396286178.3,1117094892.68
688193.SH,20210617,20201231,95753758.52,171975712.91,310786278.5
301020.SZ,20210616,20201231,220927419.87,128630303.71,613246330.79
605162.SH,20210616,20201231,352564241.88,188121171.27,946447946.85
605287.SH,20210616,20201231,5979240807.6,858008419.51,6659413353.42
688150.SH,20210616,20201231,112945966.75,65097747.6,809631358.66
688267.SH,20210616,20201231,524831705.18,51924924.32,1250411785.98
301022.SZ,20210616,20201231,401234061.35,77771178.28,749580747.08
301021.SZ,20210616,20201231,207896758.98,198751405.76,801052827.5
688226.SH,20210616,20201231,546568954.8,81848223.35,1184233506.24
301018.SZ,20210615,20201231,1662752398.82,337761262.57,2554339847.57
301019.SZ,20210615,20201231,89796251.17,94157353.87,453703653.79
688239.SH,20210615,20201231,875513422.36,66472474.48,1428337014.72
688499.SH,20210610,20201231,2414695481.61,405044810.84,3463441185.91
688161.SH,20210610,20201231,710440679.27,1601376190.58,3174596918.79
301016.SZ,20210610,20201231,216003211.76,148198331.4,616307638.72
