ts_code,ann_date,end_date,total_liab,money_cap,total_assets
688709.SH,20240119,20230930,1107277319.97,272478339.63,2306111698.27
688235.SH,20231114,20230930,12878455000.0,17910776000.0,40191661000.0
688981.SH,20231110,20230930,116100910000.0,61466337000.0,335687685000.0
688347.SH,20231110,20230930,18969709224.22,36104331029.31,70339994008.2
000732.SZ,20231101,20230930,209471010943.3,1340179439.58,213745291763.08
002203.SZ,20231031,20230930,25289049628.87,6193637750.79,39702514580.72
002152.SZ,20231031,20230930,8867851856.44,9325257637.94,22774398989.95
002602.SZ,20231031,20230930,8835480249.56,2945013312.95,35522012368.56
000800.SZ,20231031,20230930,50213379755.1,32504404968.14,74338437400.22
601555.SH,20231031,20230930,115231684986.25,27220712411.26,155233530825.32
002926.SZ,20231031,20230930,66472155158.98,20461333893.0,89215717263.11
002292.SZ,20231031,20230930,1598262187.66,465312430.75,5026644516.07
002044.SZ,20231031,20230930,10099618263.67,1451125379.41,18539735767.19
601236.SH,20231031,20230930,17048938898.99,5204517758.64,40204363140.2
002004.SZ,20231031,20230930,13611603933.92,3982678887.21,30375904765.21
000039.SZ,20231031,20230930,91835853000.0,18420182000.0,156591030000.0
002010.SZ,20231031,20230930,22545901120.33,5183603997.31,41860183062.67
600039.SH,20231031,20230930,180847099627.26,20995064127.56,230839713941.28
002756.SZ,20231031,20230930,2391737701.26,9228008324.8,15430855556.67
600332.SH,20231031,20230930,37977384691.7,19873967228.77,74353330761.96
002812.SZ,20231031,20230930,18501038770.12,5447927881.72,47224313448.84
002573.SZ,20231031,20230930,15755354683.41,867698444.7,23582878493.02
002581.SZ,20231031,20230930,282678914.86,318052214.39,2799066092.19
603816.SH,20231031,20230930,8111239798.08,5275195744.69,17670292150.8
600361.SH,20231031,20230930,9762563192.1,4164251756.61,19654144963.29
601016.SH,20231031,20230930,24380612186.38,1593859432.39,41594666072.92
688385.SH,20231031,20230930,2336203019.82,737280105.98,8133854762.98
600398.SH,20231031,20230930,15264264856.2,9835088383.27,30452783070.82
002181.SZ,20231031,20230930,1050776764.44,282447757.28,5515106191.97
002558.SZ,20231031,20230930,1535377512.44,1867097719.85,14257534430.17
600153.SH,20231031,20230930,701925847695.45,96207286468.26,931177303599.67
600369.SH,20231031,20230930,62274627037.12,11764311953.84,87590534063.77
600642.SH,20231031,20230930,50802648595.65,12197709936.6,91041619160.47
000750.SZ,20231031,20230930,45142872163.65,19967924350.94,64694687553.59
002821.SZ,20231031,20230930,2292382441.4,7099550910.47,19764226099.24
000009.SZ,20231031,20230930,29962565922.47,8625867333.36,50278681050.2
600177.SH,20231031,20230930,43252959287.95,13429140558.23,81228036155.96
600027.SH,20231031,20230930,136718368000.0,7276125000.0,221377523000.0
002294.SZ,20231031,20230930,1484420255.19,1781160946.97,9429693282.72
601216.SH,20231031,20230930,13577822056.5,5693131265.09,40802831350.07
000783.SZ,20231031,20230930,125595833519.59,39941656811.86,159712726331.93
002315.SZ,20231031,20230930,1092371102.85,1939189146.94,3473424200.77
688363.SH,20231031,20230930,1375381922.01,1127091845.15,8349563535.99
688122.SH,20231031,20230930,5075517547.77,877104216.96,11620984898.86
000060.SZ,20231031,20230930,28773343071.11,5304939660.41,45419816626.47
603638.SH,20231031,20230930,2557140205.91,590644670.38,5819574976.77
600516.SH,20231031,20230930,3426125575.93,6124782349.9,21849081722.69
002625.SZ,20231031,20230930,753639929.1,5598268856.37,9438156121.79
603056.SH,20231031,20230930,9636524915.48,2386776185.1,17034988587.75
603228.SH,20231031,20230930,8126777725.19,2343406379.1,16874420839.93
000861.SZ,20231031,20230930,5155894715.31,151330390.6,8404311029.67
600271.SH,20231031,20230930,5754447026.1,6314838544.82,23359532507.41
600755.SH,20231031,20230930,95793703437.47,14521235318.93,135395597487.47
603565.SH,20231031,20230930,13593933211.52,5634345590.05,23827826123.65
000958.SZ,20231031,20230930,18037302298.07,2419719259.98,46580787261.68
002572.SZ,20231031,20230930,6717653582.42,2490286265.05,13054831534.12
600918.SH,20231031,20230930,159817208157.8,58574849226.49,202170409923.04
688223.SH,20231031,20230930,91126308940.5,21784020328.09,124330068848.76
600170.SH,20231031,20230930,310579807406.74,77667573320.99,363596716361.58
002432.SZ,20231031,20230930,2255409352.08,1467702153.91,22246455354.91
600482.SH,20231031,20230930,50059224715.93,24468714466.51,96728339384.43
600325.SH,20231031,20230930,325102798505.04,53719673662.56,445989053176.06
002002.SZ,20231031,20230930,8976590820.59,35409936.27,18478598297.02
600208.SH,20231031,20230930,80347804574.48,6848794480.66,125163270639.6
600487.SH,20231031,20230930,33335420926.61,8777699863.75,59876521112.3
002308.SZ,20231031,20230930,297137286.34,1007890122.94,2298067219.09
600754.SH,20231031,20230930,32333684266.79,10464729203.74,49925364988.66
001696.SZ,20231031,20230930,4378150044.16,1178837620.86,9659957935.15
001965.SZ,20231031,20230930,49394037761.53,7142622447.44,119024271211.57
688281.SH,20231031,20230930,546153104.59,964611160.46,4748668218.36
002831.SZ,20231031,20230930,10212627239.09,3715930664.17,21305709350.91
601021.SH,20231031,20230930,29396140693.0,13136178697.0,45637311694.0
600816.SH,20231031,20230930,8886618957.54,3169776728.46,22484428936.33
688375.SH,20231031,20230930,3108735608.36,2216668905.53,8950501496.46
601872.SH,20231031,20230930,24721992114.97,4836767186.48,61488447944.27
600166.SH,20231031,20230930,38344083588.89,10014148233.41,52608145028.77
002589.SZ,20231031,20230930,11731512783.32,5527494506.54,17427544905.61
601717.SH,20231031,20230930,27493156205.95,3900441385.91,48486114012.54
688472.SH,20231031,20230930,43746342650.67,18794954164.54,64893878075.63
603885.SH,20231031,20230930,34732894189.4,1176655365.93,44261857203.53
000539.SZ,20231031,20230930,120725989807.0,14944306195.0,150804454709.0
601698.SH,20231031,20230930,3868822157.59,5912009070.82,23417336970.23
002414.SZ,20231031,20230930,1790492713.63,1243831652.9,8781007435.54
601865.SH,20231031,20230930,19136773391.8,7586383860.46,41206564896.16
600085.SH,20231031,20230930,9594453591.08,12851844501.89,29512237252.72
000887.SZ,20231031,20230930,10666255308.29,1756746288.19,22484412477.58
601866.SH,20231031,20230930,91797046946.77,9870073422.02,120804437790.04
002325.SZ,20231031,20230930,5264576715.11,59990100.05,8112905769.38
601100.SH,20231031,20230930,4048072953.92,7923283765.34,17716336985.94
603087.SH,20231031,20230930,934593898.55,2093406319.02,10825037574.61
601156.SH,20231031,20230930,12404614866.54,8193958427.67,28432631307.17
002318.SZ,20231031,20230930,4342159178.28,2594811945.69,11458208126.95
601198.SH,20231031,20230930,69620678903.42,11548148103.2,96313121469.35
000403.SZ,20231031,20230930,1115349619.22,782081504.22,8244609207.18
000893.SZ,20231031,20230930,2068997040.18,755631398.96,14516319314.18
002512.SZ,20231031,20230930,3107458175.32,179600554.42,4589553792.53
601162.SH,20231031,20230930,73758491659.01,18486654226.49,98512162417.26
002739.SZ,20231031,20230930,18145190122.31,4198630957.5,26359867242.16
002865.SZ,20231031,20230930,14311484209.67,3127257537.05,19811310312.17
002217.SZ,20231031,20230930,14397793520.16,1189583713.92,17585967434.97
002946.SZ,20231031,20230930,6560664682.74,529264929.44,9309028118.86
002957.SZ,20231031,20230930,2986096360.35,1028477688.87,6130567286.63
