ts_code,end_date,total_liab,money_cap,total_assets
001267.SZ,20031231,613404021.16,1215979.66,389100039.61
600355.SH,20031231,121614287.44,395020052.04,892667527.41
600406.SH,20031231,216321764.41,536774073.11,822528471.92
000903.SZ,20031231,728546280.95,241747822.49,1667289997.91
000155.SZ,20031231,389964737.3,323758703.0,1884814138.81
600423.SH,20031231,307318570.25,310170790.41,912410267.72
600112.SH,20031231,185557190.08,45621278.37,469166085.72
600280.SH,20031231,936419254.44,197799615.5,1469298764.04
600879.SH,20031231,759199740.54,284005446.13,1760758742.45
600656.SH,20031231,985494456.1,162945638.23,1504554995.21
600098.SH,20031231,2927625314.24,3123159949.28,10143085665.89
600152.SH,20031231,657702250.26,110731504.82,1486999725.72
600768.SH,20031231,299248022.1,22712707.43,438852538.11
600171.SH,20031231,314864266.84,903217966.3,2056867912.87
000525.SZ,20031231,323233633.23,166780340.48,898601630.71
000513.SZ,20031231,954695688.79,424072106.29,2129252680.52
600477.SH,20031231,823487468.56,296891316.5,1290872099.35
600191.SH,20031231,647639203.24,362826331.33,2023979906.33
600470.SH,20031231,376846061.42,88118652.85,641780002.83
600299.SH,20031231,1621281332.7,313741099.17,2546156952.17
600320.SH,20031231,5141012796.0,283252722.0,7271169675.0
600825.SH,20031231,983079500.28,64710547.8,1370518362.53
600510.SH,20031231,239880294.66,409561734.63,1213234743.74
000811.SZ,20031231,546817189.76,49387983.06,972142733.09
000572.SZ,20031231,655319489.78,18439094.43,720875713.11
600831.SH,20031231,128024949.05,44869512.3,313851841.41
000815.SZ,20031231,1716229242.81,370241847.68,2382520645.37
000778.SZ,20031231,3642346660.47,884055135.58,6869866428.43
000910.SZ,20031231,879715398.58,246378961.86,1974875948.98
600707.SH,20031231,879521365.76,287479128.63,2852051406.18
000935.SZ,20031231,444696490.49,61016346.79,1069742447.53
600139.SH,20031231,221195672.93,18718276.24,320498691.5
600338.SH,20031231,414882683.96,39751190.01,436448943.48
600359.SH,20031231,1062284205.64,298623024.64,2184517789.79
000008.SZ,20031231,29895211.5,2140027.22,60455170.6
600527.SH,20031231,22150508.51,148993926.69,289415675.32
600069.SH,20031231,712252438.34,95212238.56,1138420995.85
000639.SZ,20031231,115834152.47,54701304.7,222264233.28
600565.SH,20031231,288368260.6,264347500.67,709552950.9
600458.SH,20031231,132923350.81,45710092.06,494453786.04
600580.SH,20031231,217194394.56,215166187.39,703173920.2
600428.SH,20031231,190944403.88,235439132.98,1647975783.7
600830.SH,20031231,249356051.94,231269647.96,840712329.09
000721.SZ,20031231,616276114.34,177628295.9,925289602.55
