ts_code,end_date,total_liab,money_cap,total_assets
000016.SZ,20090930,8793300959.25,4033814149.0,12835775228.26
002023.SZ,20090930,264992193.21,115219715.37,825322352.25
301372.SZ,20090930,33677307.84,14117655.04,101485456.03
001267.SZ,20090930,652119413.04,374616.73,201403698.7
600016.SH,20090930,1342525000000.0,,1402936000000.0
601788.SH,20090930,37905347934.5,48675072928.45,59529783431.14
000675.SZ,20090930,881128360.1,2447936.24,122268026.89
000047.SZ,20090930,1206646814.23,22274.03,182426678.4
000689.SZ,20090930,665254055.12,87780.12,22926553.03
002142.SZ,20090930,135078248514.63,,144466981441.09
601009.SH,20090930,134714109688.87,,146566434578.92
601169.SH,20090930,465234887000.0,,501679776000.0
601988.SH,20090930,7818002000000.0,,8342336000000.0
600015.SH,20090930,794512434969.83,,823631673943.56
600036.SH,20090930,1929396000000.0,,2016901000000.0
000660.SZ,20090930,1086101625.38,2004936.91,74960782.38
000556.SZ,20090930,137191411.66,,540941.53
601998.SH,20090930,1325433000000.0,,1428861000000.0
601077.SH,20090930,193356117700.0,,202606753600.0
000728.SZ,20090930,13300749279.81,15381267463.03,18606434262.79
600369.SH,20090930,9363599649.53,9908495630.03,13601830669.72
000686.SZ,20090930,13871051620.93,12762325137.86,16622103260.9
600109.SH,20090930,8253344864.59,9247021107.22,10691529335.68
000783.SZ,20090930,21612074673.08,18638284212.79,27034709933.71
000562.SZ,20090930,19152162899.85,16427326066.16,25250861103.79
600837.SH,20090930,58682509045.08,76491141126.29,100875666221.16
601099.SH,20090930,3638017452.94,3953429894.41,5318200005.26
601688.SH,20090930,72954663096.83,68606911831.18,85983141033.22
601939.SH,20090930,8816947000000.0,,9353972000000.0
603569.SH,20090930,303928105.5,69038783.56,599127882.39
603693.SH,20090930,1000000.0,,201000000.0
601236.SH,20090930,4799042400.0,,8245787200.0
601318.SH,20090930,775669000000.0,107677000000.0,873205000000.0
601628.SH,20090930,978450000000.0,58291000000.0,1128245000000.0
600064.SH,20090930,8446613214.06,680919008.93,14204754301.81
600102.SH,20090930,10590907983.71,733232097.47,16241160964.41
600113.SH,20090930,367601905.86,210331649.26,793738433.66
600160.SH,20090930,2493301303.69,551280001.42,4475852022.05
600116.SH,20090930,1198730472.07,318736469.37,1791689533.79
300022.SZ,20090930,529506932.93,77724124.7,677165671.57
002301.SZ,20090930,159817734.48,90403814.69,494713205.52
002300.SZ,20090930,750257666.5,126780727.31,1081378649.0
600470.SH,20090930,960392824.98,357923765.33,2094811068.49
600519.SH,20090930,2522260598.27,7895280562.8,16737940329.3
600714.SH,20090930,310313195.74,459088.7,368070239.35
600809.SH,20090930,620098118.95,766460476.78,2422823446.17
600425.SH,20090930,1326888941.75,246554202.58,2888299678.19
601888.SH,20090930,1654840675.25,3458997926.68,5609246326.07
300015.SZ,20090930,205376899.39,89308220.8,543038786.4
300009.SZ,20090930,65799930.79,347687903.09,552513769.31
300025.SZ,20090930,37083601.66,4693064.31,106813427.07
300031.SZ,20090930,60641527.02,28469018.95,228234717.2
000760.SZ,20090930,461453739.7,101180050.53,650771866.48
600074.SH,20090930,2533345284.14,101681331.14,3528164551.16
600586.SH,20090930,3707919581.45,1292174789.56,6123227536.5
600680.SH,20090930,635383879.87,378420739.96,2052442438.57
300055.SZ,20090930,221530467.2,100552562.99,349478081.82
600890.SH,20090930,113818302.03,32723331.45,388227815.95
000683.SZ,20090930,3589428948.94,727769114.67,5947704063.73
000949.SZ,20090930,2564121216.03,590306938.77,3939658402.88
002317.SZ,20090930,123878981.14,47585475.81,345859895.24
300019.SZ,20090930,57892906.76,10873111.3,156517244.73
300011.SZ,20090930,96098147.87,17248789.8,242754043.61
002227.SZ,20090930,44962396.49,317111364.7,617286844.62
002197.SZ,20090930,267583131.8,120305794.37,689957531.57
600488.SH,20090930,969754811.39,132151447.96,2506755138.84
002256.SZ,20090930,78389515.03,322274922.72,475736046.54
002086.SZ,20090930,494864060.09,224450942.44,1583508294.25
000950.SZ,20090930,1671355938.31,1385159342.6,3947974115.26
000627.SZ,20090930,652580147.78,153031470.72,2203471901.16
002056.SZ,20090930,303643230.7,1069142289.49,2673200925.16
000889.SZ,20090930,829415949.12,166948632.01,1488399010.16
600760.SH,20090930,570541401.22,95939487.55,1036176714.46
600717.SH,20090930,8444668949.59,2287100835.23,21153169869.58
600675.SH,20090930,8662309063.68,3076380903.8,12549841896.07
600862.SH,20090930,2116233361.05,496368154.41,2413903694.15
002211.SZ,20090930,379655602.38,144496856.13,1344716684.12
600803.SH,20090930,746760068.0,183540499.56,1156431526.12
000099.SZ,20090930,888658807.47,220583867.94,2387840874.53
000600.SZ,20090930,6269096472.94,301111900.07,10389655952.77
000807.SZ,20090930,4370071389.56,1511126107.15,8711689653.77
000526.SZ,20090930,43979449.08,24309026.97,186194724.07
000407.SZ,20090930,1147430766.45,387969090.85,2194141593.52
600881.SH,20090930,10378879193.44,2218321581.66,18135275939.19
000623.SZ,20090930,611289789.93,917780759.58,6740662444.24
002140.SZ,20090930,1827389137.42,762191771.39,2477216824.3
002199.SZ,20090930,203622656.42,68714189.38,445103612.86
000976.SZ,20090930,961012075.74,246814312.68,1635574390.92
002048.SZ,20090930,1934023481.35,317012949.65,3527733537.16
002124.SZ,20090930,439727575.92,99059888.78,868976479.55
600751.SH,20090930,860186883.72,17166878.8,489346907.07
002154.SZ,20090930,457355888.91,85543833.06,1188139053.7
000801.SZ,20090930,393149998.52,39143510.7,556822677.62
000522.SZ,20090930,1935439428.38,237299706.02,2858429357.2
000909.SZ,20090930,2643125748.93,481331004.92,3280024959.32
002071.SZ,20090930,218878310.62,143262322.63,535685608.68
000595.SZ,20090930,450419981.47,22276706.36,892313162.18
000301.SZ,20090930,1560651366.25,436643652.9,4028879496.82
000573.SZ,20090930,1143763640.48,158651269.15,2517605164.13
600623.SH,20090930,6719050323.47,1502459851.83,8952700658.75
600707.SH,20090930,690272231.03,323882630.03,1994429277.28
000632.SZ,20090930,2638341656.02,378946373.13,3278135333.11
600176.SH,20090930,11624297098.09,2294028817.59,14963791647.01
600141.SH,20090930,2547337307.99,204947434.46,3787879530.93
600195.SH,20090930,1010591632.58,40010204.24,2384330107.42
000639.SZ,20090930,108899795.21,53786442.09,246169561.59
000045.SZ,20090930,237991244.45,98853285.24,713575504.17
600593.SH,20090930,338391987.85,74611051.72,639856982.6
600546.SH,20090930,1096491172.7,185360566.72,1741795349.96
600458.SH,20090930,1035556756.85,100536606.7,1544209554.17
600361.SH,20090930,3644459850.94,2304150630.18,5420260395.06
600730.SH,20090930,441869365.45,169061142.72,1252870720.66
600565.SH,20090930,2762508348.91,744009113.57,3992393697.92
000756.SZ,20090930,891124440.88,250414828.51,2497348881.18
