ts_code,ann_date,f_ann_date,end_date,total_liab,money_cap,total_assets
000002.SZ,20150331,20150331,20141231,392515138495.68,62715253375.94,508408755415.65
000006.SZ,20150401,20150401,20141231,7538751702.75,1362612219.21,11753217519.19
000001.SZ,20150313,20150313,20141231,2055510000000.0,,2186459000000.0
000008.SZ,20150210,20150210,20141231,75677281.52,182688891.71,674028043.8
000009.SZ,20150429,20150429,20141231,9261367292.35,1988595915.17,14725495570.64
000012.SZ,20150331,20150331,20141231,6599760155.0,158139050.0,15116808305.0
000028.SZ,20150321,20150321,20141231,7977726104.25,867562115.54,12828941540.9
000021.SZ,20150330,20150330,20141231,9389764714.7,8207917309.7,14439081514.54
000027.SZ,20150327,20150327,20141231,18086802548.27,3919739650.77,38441387696.52
000025.SZ,20150410,20150410,20141231,603994417.71,80045669.65,806324777.8
000032.SZ,20150317,20150317,20141231,390461819.31,333442345.81,1424272124.09
000034.SZ,20150330,20150330,20141231,296031430.39,29203413.68,461668045.26
000030.SZ,20150429,20150429,20141231,2508871951.07,563710459.13,7271114435.0
000039.SZ,20150325,20150325,20141231,60494066000.0,3667387000.0,87776181000.0
000031.SZ,20150418,20150418,20141231,35646435465.79,7290599093.25,46311473255.99
000049.SZ,20150303,20150303,20141231,3757120777.29,1152845917.22,4675603417.17
000046.SZ,20150404,20150404,20141231,58374057829.63,11473676835.21,70889108573.14
000050.SZ,20150206,20150206,20141231,7131382946.0,833571561.0,15692498583.0
000060.SZ,20150402,20150402,20141231,7687861877.49,867733418.88,14215785394.62
000061.SZ,20150430,20150430,20141231,7648954013.32,1029626274.91,13805158178.31
000062.SZ,20150314,20150314,20141231,1666716191.15,705317107.81,4046140047.55
000066.SZ,20150418,20150418,20141231,31210262653.53,3348587888.67,39715144725.2
000063.SZ,20150326,20150326,20141231,79921692000.0,18115874000.0,106214196000.0
000069.SZ,20150321,20150321,20141231,62627667269.05,14313647448.52,94875367925.37
000078.SZ,20150421,20150421,20141231,7849129815.37,1530337784.94,9631706545.91
000089.SZ,20150430,20150430,20141231,4774766609.99,1935285616.37,12697555048.16
000088.SZ,20150418,20150418,20141231,1284766755.95,1300405432.18,6825954146.11
000090.SZ,20150421,20150421,20141231,7330598485.21,2135349607.65,11027294623.55
000099.SZ,20150317,20150317,20141231,1731268159.87,329509681.04,4454437637.45
000100.SZ,20150303,20150303,20141231,66016391000.0,15790991000.0,92876886000.0
000155.SZ,20150430,20150430,20141231,2227263176.25,191064753.03,1349948717.01
000156.SZ,20150331,20150331,20141231,3351120421.16,889950004.12,5558177257.29
000157.SZ,20150328,20150328,20141231,52510047091.41,16894349723.42,93757955793.25
000166.SZ,20150430,20150430,20141231,116793063083.35,59705062185.97,139452499466.75
000158.SZ,20150206,20150206,20141231,3079382615.87,275198603.36,5553163381.02
000301.SZ,20150414,20150414,20141231,858995150.25,377997052.72,3986897644.87
000333.SZ,20150331,20150331,20141231,74560632920.0,6203282810.0,120292088160.0
000338.SZ,20150331,20150331,20141231,79557339005.47,24434414214.89,120411751686.07
