ts_code,end_date,c_fr_sale_sg,c_pay_acq_const_fiolta
000001.SZ,20070930,,636772000.0
000002.SZ,20070930,30331500017.04,72553826.03
000004.SZ,20070930,63095259.45,1472034.97
000005.SZ,20070930,182812553.75,157465.5
000006.SZ,20070930,1407295747.62,988967.45
000007.SZ,20070930,174116854.92,6130943.02
000008.SZ,20070930,6826642.0,7999.0
000009.SZ,20070930,1421635787.51,47236846.08
000010.SZ,20070930,75460100.9,8238056.82
000011.SZ,20070930,295307092.95,6946940.28
000012.SZ,20070930,3324339364.0,981754971.0
000014.SZ,20070930,57234389.34,1173405.15
000016.SZ,20070930,9937522984.23,132720196.14
000017.SZ,20070930,133430772.1,190319.71
000018.SZ,20070930,130841601.0,923787.0
000018.SZ,20070930,130841601.0,923787.0
000019.SZ,20070930,131845456.36,62701423.09
000020.SZ,20070930,166961254.61,3516695.39
000021.SZ,20070930,8846962924.46,103183738.79
000023.SZ,20070930,428820402.78,9230711.26
000024.SZ,20070930,2707988779.0,908502286.0
000025.SZ,20070930,954815880.14,352418.0
000026.SZ,20070930,646779092.74,15036185.35
000027.SZ,20070930,6643850759.73,204419650.98
000028.SZ,20070930,5139351239.05,57603104.98
000029.SZ,20070930,471069340.56,9379421.74
000030.SZ,20070930,,
000031.SZ,20070930,452117801.45,82929217.35
000032.SZ,20070930,1844942247.13,32969475.37
000033.SZ,20070930,49425463.85,4187297.91
000034.SZ,20070930,281679183.1,345117.0
000035.SZ,20070930,1569466.88,44189.01
000036.SZ,20070930,5993275027.4,368894251.88
000037.SZ,20070930,3635911458.74,179212102.12
000038.SZ,20070930,1781578.7,18036.27
000039.SZ,20070930,31471935982.83,1255445701.05
000040.SZ,20070930,417096293.91,24158215.3
000042.SZ,20070930,1150216559.85,34837632.47
000045.SZ,20070930,332423576.87,17553672.22
000046.SZ,20070930,3334945016.33,3169627.03
000047.SZ,20070930,,
000048.SZ,20070930,587980934.83,6807397.54
000049.SZ,20070930,561626183.48,37217641.56
000050.SZ,20070930,1216970907.88,1502984264.01
000055.SZ,20070930,516533855.71,8049852.55
000056.SZ,20070930,46410473.01,863470.89
000058.SZ,20070930,907113047.87,19422378.33
000059.SZ,20070930,2983173175.24,77770884.11
000060.SZ,20070930,6951442175.88,252590760.39
000061.SZ,20070930,938040745.05,250424874.32
000062.SZ,20070930,1384596065.87,28085900.97
000063.SZ,20070930,21017891000.0,1282634000.0
000065.SZ,20070930,588120150.4,703187.67
000066.SZ,20070930,3354267903.64,23635699.35
000068.SZ,20070930,1175165465.71,59042222.88
000069.SZ,20070930,953231543.07,1455143018.91
000070.SZ,20070930,365864496.89,18410603.02
000078.SZ,20070930,1797916951.25,83536385.95
000088.SZ,20070930,587824427.23,126717359.94
000089.SZ,20070930,840974049.61,117289646.83
000090.SZ,20070930,2145307523.07,3895921.82
000096.SZ,20070930,1683226878.33,5659169.13
000099.SZ,20070930,344503542.65,132344577.04
000100.SZ,20070930,31207472795.0,223994844.0
000150.SZ,20070930,51373246.62,559316.02
000151.SZ,20070930,399257749.66,22343190.23
000153.SZ,20070930,603816719.79,20208079.63
000155.SZ,20070930,1612680777.11,186439673.25
000156.SZ,20070930,302188035.0,207280.0
000157.SZ,20070930,6741244179.65,204395082.52
000158.SZ,20070930,2330550008.1,114884375.1
000159.SZ,20070930,634127741.47,78526555.54
000301.SZ,20070930,2519551824.67,54221629.05
000338.SZ,20070930,12638573549.39,1035938822.49
000400.SZ,20070930,1088506184.18,21771191.92
