ts_code,end_date,c_fr_sale_sg,c_pay_acq_const_fiolta
000001.SZ,20081231,,838003000.0
000002.SZ,20081231,42783256973.54,215283734.68
000008.SZ,20081231,10823113.0,2007450.0
000012.SZ,20081231,4266066586.0,2683565467.0
000019.SZ,20081231,186109629.53,82463140.7
000024.SZ,20081231,6195335331.0,83837658.0
000025.SZ,20081231,813219898.65,803362.89
000026.SZ,20081231,1214962317.46,173444783.0
000028.SZ,20081231,9482544445.66,84982286.53
000039.SZ,20081231,60226974000.0,2382564000.0
000045.SZ,20081231,385500544.44,33801257.73
000046.SZ,20081231,1358906603.29,11093495.03
000055.SZ,20081231,744701450.42,26550796.69
000059.SZ,20081231,4036331163.97,4546780278.97
000062.SZ,20081231,1837126936.46,13778684.05
000063.SZ,20081231,45008874000.0,1911923000.0
000063.SZ,20081231,45008874000.0,1911923000.0
000065.SZ,20081231,918983466.02,2103561.38
000068.SZ,20081231,2241700182.32,19026111.53
000069.SZ,20081231,3514522154.74,2007343003.1
000100.SZ,20081231,41580458000.0,1077499000.0
000151.SZ,20081231,711334626.21,8174124.95
000155.SZ,20081231,2993136785.9,319716047.76
000158.SZ,20081231,2856010473.83,325381042.94
000301.SZ,20081231,516983334.31,425990652.16
000400.SZ,20081231,2620161622.16,29632557.15
000402.SZ,20081231,3153438302.6,326869828.69
000404.SZ,20081231,1976401974.49,57836974.74
000407.SZ,20081231,2122333162.69,136982847.06
000413.SZ,20081231,242397579.47,425686.0
000418.SZ,20081231,3128001360.68,149009319.76
000419.SZ,20081231,2097499883.98,347826802.45
000421.SZ,20081231,1889337448.63,190639628.0
000422.SZ,20081231,7814529797.13,1659186473.97
000425.SZ,20081231,3270585572.83,132873124.0
000429.SZ,20081231,946922111.78,1235736831.84
000430.SZ,20081231,87852566.09,11274236.48
000502.SZ,20081231,495351155.44,6349345.6
000507.SZ,20081231,1087992151.16,11129371.06
000511.SZ,20081231,395268547.62,64519.0
000514.SZ,20081231,314385633.84,795682.03
000520.SZ,20081231,2197469156.25,886192970.6
000521.SZ,20081231,2563796923.98,138521923.42
000527.SZ,20081231,29386030757.82,2027854631.76
000528.SZ,20081231,6953102837.93,486611752.58
000529.SZ,20081231,185044898.2,
000536.SZ,20081231,152230563.62,1577207.97
000537.SZ,20081231,1047273309.46,492766.0
000540.SZ,20081231,848046103.51,9567025.91
000543.SZ,20081231,3455692985.69,1431637344.23
000544.SZ,20081231,224322675.25,28418648.77
000546.SZ,20081231,141399551.11,684648.0
000550.SZ,20081231,9766172643.0,615870891.0
000551.SZ,20081231,1807735435.02,115352089.72
000558.SZ,20081231,649923334.36,4587007.75
000559.SZ,20081231,5534171220.62,453243353.91
000563.SZ,20081231,316336886.64,5596147.82
000565.SZ,20081231,183882799.41,162835263.42
000567.SZ,20081231,86652983.68,3834414.68
000571.SZ,20081231,634829035.96,258491895.1
000578.SZ,20081231,5642717649.79,3454007511.84
000585.SZ,20081231,579259085.28,19548483.8
000590.SZ,20081231,193147916.26,13994636.88
000591.SZ,20081231,3277901242.66,15460553.23
000592.SZ,20081231,300745004.09,62931442.63
000593.SZ,20081231,298290459.02,28687073.51
000595.SZ,20081231,561366648.12,25509441.16
000596.SZ,20081231,1549138274.46,92551233.48
000597.SZ,20081231,4940382999.85,359269059.13
000600.SZ,20081231,5132393592.27,373803606.79
000612.SZ,20081231,7023934246.77,95196947.13
000616.SZ,20081231,975653662.84,9028231.7
000617.SZ,20081231,1364687531.55,95402352.19
000619.SZ,20081231,5097056076.38,74460911.3
000627.SZ,20081231,1075309408.75,361744851.47
000628.SZ,20081231,948034572.63,24640827.72
000630.SZ,20081231,43908659438.34,1310597703.85
000631.SZ,20081231,,
000633.SZ,20081231,124435995.48,3509561.08
000635.SZ,20081231,1670127161.63,308029269.83
000637.SZ,20081231,4245635802.01,49058331.16
000638.SZ,20081231,654887714.82,4454847.04
000639.SZ,20081231,118290783.88,624964.0
000650.SZ,20081231,826977609.56,12054310.3
000657.SZ,20081231,591568976.54,20474875.18
000661.SZ,20081231,780167381.32,22477390.9
000666.SZ,20081231,4919970757.02,291289279.34
000679.SZ,20081231,2750650865.76,36812432.86
000680.SZ,20081231,6700773064.95,411368825.02
000681.SZ,20081231,14527077.23,2293426.0
000682.SZ,20081231,838459870.92,9949407.22
000686.SZ,20081231,,67716514.36
000688.SZ,20081231,,2534209.0
000690.SZ,20081231,1497215049.95,979279317.45
000695.SZ,20081231,576531553.67,52202705.49
000702.SZ,20081231,1605175715.4,26628565.95
000703.SZ,20081231,274817940.64,16867239.58
