ts_code,ann_date,f_ann_date,end_date,n_cashflow_act,c_pay_acq_const_fiolta
000001.SZ,20131023,20131023,20130930,100823000000.0,448000000.0
000001.SZ,20130823,20130823,20130630,28800000000.0,231000000.0
000001.SZ,20130424,20130424,20130331,14119000000.0,49000000.0
000001.SZ,20130308,20130308,20121231,185838461000.0,1422012000.0
000001.SZ,20121026,20121026,20120930,82782114000.0,328143000.0
000001.SZ,20120816,20120816,20120630,144029780000.0,195653000.0
000001.SZ,20120426,20120426,20120331,76827816000.0,45447000.0
000001.SZ,20120309,20120309,20111231,-14439373000.0,849801000.0
000001.SZ,20111026,20111026,20110930,17861633000.0,350971000.0
000001.SZ,20110818,20110818,20110630,31573899000.0,95378000.0
000001.SZ,20110427,20110427,20110331,21346550000.0,30673000.0
000001.SZ,20110225,20110225,20101231,21746295000.0,837901000.0
000001.SZ,20101028,20101028,20100930,10579792000.0,589407000.0
000001.SZ,20100825,20100825,20100630,-3033438000.0,
000001.SZ,20100429,20100429,20100331,8609637000.0,104051000.0
000001.SZ,20100312,20100312,20091231,32193611000.0,985252000.0
000001.SZ,20091029,20091029,20090930,-257833000.0,685877000.0
000001.SZ,20090821,20090821,20090630,3844868000.0,252431000.0
000001.SZ,20090424,20090424,20090331,2706389000.0,84932000.0
000001.SZ,20090320,20090320,20081231,24342611000.0,838003000.0
000001.SZ,20081024,20081024,20080930,39545668000.0,477701000.0
000001.SZ,20080821,20080821,20080630,9286973000.0,98633000.0
000001.SZ,20080424,20080424,20080331,3826091000.0,48682000.0
000001.SZ,20080320,20080320,20071231,17051576000.0,372198000.0
000001.SZ,20071023,20071023,20070930,20584238000.0,636772000.0
000001.SZ,20070816,20070816,20070630,13170709000.0,97045000.0
000001.SZ,20070426,20070426,20070331,3719363531.0,746270777.0
000001.SZ,20070322,20070322,20061231,7410385467.0,249983343.0
000001.SZ,20061026,20061026,20060930,6253524904.0,63568691.0
000001.SZ,20060818,20060818,20060630,2731155320.0,97693239.0
000001.SZ,20060426,20060426,20060331,13663330688.0,36254981.0
000001.SZ,20070322,20060401,20051231,-4285584486.0,872695516.0
000002.SZ,20131030,20131030,20130930,-12060759405.31,83849882.8
000002.SZ,20130807,20130807,20130630,-9792399309.57,48492874.35
000002.SZ,20130423,20130423,20130331,-2383260770.37,24458619.7
000002.SZ,20130228,20130228,20121231,3725958472.52,150667636.63
000002.SZ,20121024,20121024,20120930,-3490551173.49,112265654.26
000002.SZ,20120807,20120807,20120630,2819195756.85,79461650.86
000002.SZ,20120424,20120424,20120331,1280120650.55,39047319.5
000002.SZ,20120313,20120313,20111231,3389424571.92,261560892.0
000002.SZ,20111025,20111025,20110930,-1495378788.53,166354599.62
000002.SZ,20110809,20110809,20110630,3825848847.41,124039945.57
000002.SZ,20110420,20110420,20110331,-1975209083.64,67885198.37
000002.SZ,20110308,20110308,20101231,2237255451.45,261938551.22
000002.SZ,20101025,20101025,20100930,-1207363590.0,56160939.8
000002.SZ,20100810,20100810,20100630,-9514421178.97,40828008.14
000002.SZ,20100427,20100427,20100331,-6800224121.57,22032730.53
000002.SZ,20100302,20100302,20091231,9253351319.55,806062156.74
000002.SZ,20091026,20091026,20090930,11241209259.63,84475241.2
000002.SZ,20090804,20090804,20090630,9821584634.72,19369517.23
000002.SZ,20090427,20090427,20090331,3684640137.2,14017126.2
000002.SZ,20090310,20090310,20081231,-34151830.4,215283734.68
000002.SZ,20081028,20081028,20080930,-1989140049.57,184358957.77
000002.SZ,20080805,20080805,20080630,-1488888722.76,228756900.07
000002.SZ,20080425,20080425,20080331,-1419962635.15,36772073.36
000002.SZ,20080321,20080321,20071231,-10437715815.8,257897785.32
000002.SZ,20071030,20071030,20070930,-5909449130.45,72553826.03
000002.SZ,20070828,20070828,20070630,-2978922683.9,41617007.94
000002.SZ,20070430,20070430,20070331,-3237626139.27,8166190.46
000002.SZ,20080321,20070320,20061231,-3024121481.87,136018238.71
000002.SZ,20071030,20061031,20060930,-4303268849.01,89909988.16
000002.SZ,20070828,20060801,20060630,-3198738756.07,44438585.66
000002.SZ,20070430,20060425,20060331,-1722876262.04,9682269.81
000002.SZ,20060321,20060321,20051231,843439134.65,47439552.2
000006.SZ,20131025,20131025,20130930,-892338094.32,1050168.8
000006.SZ,20130815,20130815,20130630,114947938.96,985124.8
000006.SZ,20130425,20130425,20130331,177001644.28,74402.0
000006.SZ,20130330,20130330,20121231,2181610271.52,1435381.23
000006.SZ,20121020,20121020,20120930,1535706763.88,900338.98
000006.SZ,20120811,20120811,20120630,715265916.2,251590.98
000006.SZ,20120419,20120419,20120331,91181063.76,55264.98
000006.SZ,20120418,20120418,20111231,1198565275.4,2425178.87
000006.SZ,20111029,20111029,20110930,1002632271.11,1276951.9
000006.SZ,20110803,20110803,20110630,780629244.56,725537.87
000006.SZ,20110422,20110422,20110331,307048589.16,296525.0
000006.SZ,20110331,20110331,20101231,1086823122.18,9080448.01
000006.SZ,20101030,20101030,20100930,201096831.37,5613000.27
000006.SZ,20100807,20100807,20100630,119126139.33,4249968.67
000006.SZ,20100421,20100421,20100331,-54828769.44,2478366.0
000006.SZ,20100317,20100317,20091231,369028706.28,5923927.0
000006.SZ,20091031,20091031,20090930,489434348.01,4937122.0
000006.SZ,20090812,20090812,20090630,203561975.38,4258403.0
000006.SZ,20090425,20090425,20090331,-121707618.53,17094.0
000006.SZ,20090425,20090425,20081231,-1364121666.06,14763929.98
000006.SZ,20081015,20081015,20080930,-1329831768.77,14074109.98
000006.SZ,20080802,20080802,20080630,-1213543332.62,13641781.98
000006.SZ,20080422,20080422,20080331,-289247886.32,10150126.0
000006.SZ,20080329,20080329,20071231,-804871334.73,6059961.15
000006.SZ,20071030,20071030,20070930,-20509955.61,988967.45
000006.SZ,20070816,20070816,20070630,-342266209.77,363771.43
000006.SZ,20070421,20070421,20070331,-201664398.45,425202.52
000006.SZ,20080329,20070324,20061231,-489168972.61,4501786.9
000006.SZ,20071030,20061024,20060930,350681600.77,770196529.31
000006.SZ,20070816,20060819,20060630,674424540.08,129018202.4
000006.SZ,20070421,20060422,20060331,313600229.42,128620021.13
000006.SZ,20060401,20060401,20051231,274666946.66,44988551.4
000008.SZ,20131026,20131026,20130930,42773429.46,10804965.54
000008.SZ,20130815,20130815,20130630,24327626.66,3182167.14
000008.SZ,20130427,20130427,20130331,6584936.29,
000008.SZ,20130329,20130329,20121231,86665538.2,7957734.62
000008.SZ,20121027,20121027,20120930,-1433965.26,920.0
000008.SZ,20120807,20120807,20120630,1316939.72,
000008.SZ,20120427,20120427,20120331,2056454.68,
000008.SZ,20120303,20120303,20111231,-1030070.92,91336.22
000008.SZ,20111026,20111026,20110930,-5026126.88,80938.57
000008.SZ,20110730,20110730,20110630,-5061799.37,72649.57
000008.SZ,20110423,20110423,20110331,-5159277.54,
000008.SZ,20110225,20110225,20101231,-421069.14,326999.64
000008.SZ,20101025,20101025,20100930,-2305497.61,24045.0
000008.SZ,20100819,20100819,20100630,-1965843.97,16796.0
000008.SZ,20100423,20100423,20100331,474607.63,16796.0
000008.SZ,20100327,20100327,20091231,3702076.48,6999.0
000008.SZ,20091022,20091022,20090930,-1031035.5,6999.0
000008.SZ,20090807,20090807,20090630,-1062061.17,6999.0
000008.SZ,20090418,20090418,20090331,-1224888.06,
000008.SZ,20090307,20090307,20081231,704289.39,2007450.0
000008.SZ,20081023,20081023,20080930,-3851769.96,7450.0
000008.SZ,20080808,20080808,20080630,-5365284.67,7450.0
000008.SZ,20080428,20080428,20080331,-4627641.43,7450.0
000008.SZ,20080321,20080321,20071231,7405637.57,454127.0
000008.SZ,20071026,20071026,20070930,-69317.03,7999.0
000008.SZ,20070727,20070727,20070630,196750.1,
000008.SZ,20070420,20070420,20070331,26660.0,
000008.SZ,20080321,20070329,20061231,5535813.91,3247.86
000008.SZ,20071026,20061027,20060930,2650447.76,3247.86
000008.SZ,20070727,20060728,20060630,4340486.82,
000008.SZ,20070420,20060421,20060331,-2601317.07,
000008.SZ,20060225,20060225,20051231,14499856.43,23617559.6
000009.SZ,20131029,20131029,20130930,-378017827.09,416644464.16
000009.SZ,20130828,20130828,20130630,-106338732.49,305590803.46
000009.SZ,20130427,20130427,20130331,-79363753.45,109978025.9
000009.SZ,20130427,20130427,20121231,350725776.37,639371649.33
000009.SZ,20121027,20121027,20120930,292462089.05,427916291.82
000009.SZ,20120829,20120829,20120630,116503790.3,272367991.42
000009.SZ,20120426,20120426,20120331,-112847032.43,165916170.11
000009.SZ,20120426,20120426,20111231,-828162002.35,465624254.61
000009.SZ,20111027,20111027,20110930,-659834349.69,346518049.09
000009.SZ,20110826,20110826,20110630,-255845303.01,132383863.83
000009.SZ,20110427,20110427,20110331,-237991051.4,63723376.68
000009.SZ,20110323,20110323,20101231,-586348316.97,210268126.57
000009.SZ,20101030,20101030,20100930,-627577883.74,148071420.92
000009.SZ,20100817,20100817,20100630,-159954371.04,46818978.97
000009.SZ,20100430,20100430,20100331,295716820.75,18539520.41
000009.SZ,20100327,20100327,20091231,635257941.52,283234680.02
000009.SZ,20091031,20091031,20090930,734135049.79,86941372.1
000009.SZ,20090828,20090828,20090630,680145866.08,47700811.71
000009.SZ,20090425,20090425,20090331,412076708.96,26078364.56
000009.SZ,20090425,20090425,20081231,418099471.08,151462653.32
000009.SZ,20081025,20081025,20080930,159027791.36,66816321.85
000009.SZ,20080807,20080807,20080630,255299666.35,32089007.65
000009.SZ,20080425,20080425,20080331,162389934.27,15541735.27
000009.SZ,20080308,20080308,20071231,-97865845.75,78616290.91
000009.SZ,20071027,20071027,20070930,-153051548.47,47236846.08
000009.SZ,20070823,20070823,20070630,-229044434.14,45496749.15
000009.SZ,20070426,20070426,20070331,-158617017.1,31058900.47
000009.SZ,20080308,20070418,20061231,275397258.41,98967595.74
000009.SZ,20071027,20061026,20060930,60557913.4,41466304.27
000009.SZ,20070823,20060819,20060630,187964753.84,32931381.94
000009.SZ,20060429,20060429,20060331,1976879.54,13026433.95
000009.SZ,20060429,20060429,20051231,507688505.83,57735417.2
000012.SZ,20131022,20131022,20130930,1097503560.0,1523354361.0
000012.SZ,20130806,20130806,20130630,707258712.0,939098718.0
000012.SZ,20130425,20130425,20130331,289618073.0,452169132.0
000012.SZ,20130326,20130326,20121231,1725795529.0,1390762633.0
000012.SZ,20121030,20121030,20120930,1382917631.0,1061357422.0
000012.SZ,20120821,20120821,20120630,847912135.0,732552554.0
000012.SZ,20120424,20120424,20120331,257286802.0,399732877.0
000012.SZ,20120327,20120327,20111231,1688530164.0,2802018793.0
000012.SZ,20111026,20111026,20110930,1231616521.0,2461687679.0
000012.SZ,20110809,20110809,20110630,942700324.0,1589103709.0
000012.SZ,20110422,20110422,20110331,408163940.0,729545005.0
000012.SZ,20110322,20110322,20101231,2366313914.0,2016485886.0
000012.SZ,20101023,20101023,20100930,1549198125.0,1073151622.0
000012.SZ,20100722,20100722,20100630,935836780.0,736904427.0
000012.SZ,20100416,20100416,20100331,204265631.0,370451384.0
000012.SZ,20100330,20100330,20091231,1670237426.0,1166592457.0
000012.SZ,20091020,20091020,20090930,1053901801.0,978924242.0
000012.SZ,20090804,20090804,20090630,660353612.0,669513362.0
