ts_code,ann_date,f_ann_date,end_date,comp_type,report_type,end_type,n_cashflow_act,c_pay_acq_const_fiolta
000001.SZ,20131023,20131023,20130930,2,1,3,100823000000.0,448000000.0
000002.SZ,20131030,20131030,20130930,1,1,3,-12060759405.31,83849882.8
000006.SZ,20131025,20131025,20130930,1,1,3,-892338094.32,1050168.8
000008.SZ,20131026,20131026,20130930,1,1,3,42773429.46,10804965.54
000009.SZ,20131029,20131029,20130930,1,1,3,-378017827.09,416644464.16
000012.SZ,20131022,20131022,20130930,1,1,3,1097503560.0,1523354361.0
000021.SZ,20131031,20131031,20130930,1,1,3,385484764.06,231292320.13
000025.SZ,20131030,20131030,20130930,1,1,3,28206996.62,19369231.88
000027.SZ,20131025,20131025,20130930,1,1,3,1800572263.32,913544128.56
000028.SZ,20131024,20131024,20130930,1,1,3,244812738.44,73342076.03
000030.SZ,20131023,20131023,20130930,1,1,3,-232157487.79,122099738.39
000031.SZ,20131029,20131029,20130930,1,1,3,-680873843.17,80872322.46
000032.SZ,20131029,20131029,20130930,1,1,3,-35939991.28,1243821.2
000034.SZ,20131023,20131023,20130930,1,1,3,8846607.56,6662620.45
000039.SZ,20131030,20131030,20130930,1,1,3,-3142389000.0,1753128000.0
000046.SZ,20131026,20131026,20130930,1,1,3,-2462091576.49,281639142.74
000049.SZ,20131022,20131022,20130930,1,1,3,136826258.95,107697412.67
000050.SZ,20131028,20131028,20130930,1,1,3,423714938.0,129370981.0
000060.SZ,20131030,20131030,20130930,1,1,3,205869838.46,518101319.64
000061.SZ,20131026,20131026,20130930,1,1,3,60288848.14,948101999.1
000062.SZ,20131017,20131017,20130930,1,1,3,605803449.91,15332380.1
000063.SZ,20131023,20131023,20130930,1,1,3,-3980803000.0,1550271000.0
000066.SZ,20131031,20131031,20130930,1,1,3,-2395652249.82,905946005.12
000069.SZ,20131022,20131022,20130930,1,1,3,5628579123.38,2042816027.98
000078.SZ,20131029,20131029,20130930,1,1,3,-127633901.51,153934664.08
000088.SZ,20131026,20131026,20130930,1,1,3,109397268.59,27345244.34
000089.SZ,20131031,20131031,20130930,1,1,3,638875208.6,669516407.18
000090.SZ,20131022,20131022,20130930,1,1,3,29023164.86,28537485.17
000099.SZ,20131029,20131029,20130930,1,1,3,38400032.24,684727612.2
000100.SZ,20131025,20131025,20130930,1,1,3,4426626275.0,2971646371.0
000155.SZ,20131031,20131031,20130930,1,1,3,-85212161.09,58394183.12
000156.SZ,20131028,20131028,20130930,1,1,3,541754950.62,378653866.64
000157.SZ,20131031,20131031,20130930,1,1,3,8355200.64,907414683.74
