ts_code,ann_date,f_ann_date,end_date,n_cashflow_act,c_pay_acq_const_fiolta,comp_type,report_type,end_type
002263.SZ,20190628,20190628,20181231,258088209.87,35750219.85,,,
600610.SH,20190628,20190628,20181231,-7404421.46,,,,
688008.SH,20190628,20190628,20181231,969147001.68,17894430.06,,,
603236.SH,20190626,20190626,20181231,84305901.32,72419180.12,,,
603530.SH,20190625,20190625,20181231,166193415.47,15414335.14,,,
688006.SH,20190625,20190625,20181231,252831390.62,87864537.67,,,
688003.SH,20190624,20190624,20181231,98292112.32,47762761.2,,,
688002.SH,20190624,20190624,20181231,36248839.18,110338117.29,,,
688001.SH,20190619,20190619,20181231,184434299.1,165201125.02,,,
603687.SH,20190617,20190617,20181231,180899853.87,345751820.93,,,
300788.SZ,20190617,20190617,20181231,233294193.16,51818740.17,,,
603983.SH,20190617,20190617,20181231,516693624.94,11343846.34,,,
920505.BJ,20190612,20190612,20181231,18887501.58,7479796.38,,,
603256.SH,20190610,20190610,20181231,165916875.27,97822540.81,,,
601698.SH,20190610,20190610,20181231,2114401079.7,1116633151.95,,,
600968.SH,20190605,20190605,20181231,1605686804.04,679853177.15,,,
603867.SH,20190605,20190605,20181231,205758634.31,50789944.91,,,
300594.SZ,20190603,20190603,20181231,67062097.3,11239793.0,,,
002956.SZ,20190603,20190603,20181231,130421764.46,65324650.88,,,
300783.SZ,20190603,20190603,20181231,636500253.51,244205114.97,,,
300782.SZ,20190527,20190527,20181231,134282651.86,28765657.06,,,
603915.SH,20190527,20190527,20181231,272089742.96,128630693.8,,,
920001.BJ,20190525,20190525,20181231,59117132.23,697955.68,,,
300781.SZ,20190520,20190520,20181231,36723275.64,17186886.8,,,
603863.SH,20190513,20190513,20181231,139863792.22,14750003.57,,,
300780.SZ,20190513,20190513,20181231,107330343.52,57097849.43,,,
603217.SH,20190513,20190513,20181231,158799448.95,201201392.06,,,
920252.BJ,20190501,20190501,20181231,-2379503.92,49100.0,,,
920402.BJ,20190501,20220510,20181231,67481747.9,9359086.75,,,
920152.BJ,20190501,20211113,20181231,-26130618.46,6238686.0,,,
002715.SZ,20190430,20190430,20181231,34037464.14,34361269.79,,,
603363.SH,20190430,20190430,20181231,27261152.98,569159759.45,,,
002701.SZ,20190430,20190430,20181231,2077973215.0,321404198.0,,,
300776.SZ,20190430,20190430,20181231,92218392.41,2784439.94,,,
603668.SH,20190430,20190430,20181231,244011173.38,91307907.0,,,
603690.SH,20190430,20190430,20181231,-52829726.47,82225978.53,,,
000009.SZ,20190430,20190430,20181231,2722841990.04,1170887851.66,,,
002098.SZ,20190430,20210828,20181231,390427890.76,135545806.07,,,
002692.SZ,20190430,20190430,20181231,-52472681.52,27123383.21,,,
000663.SZ,20190430,20190430,20181231,-146960566.23,54252342.42,,,
600824.SH,20190430,20190430,20181231,195133013.01,12885338.67,,,
300266.SZ,20190430,20190430,20181231,-188201269.03,837294204.68,,,
002470.SZ,20190430,20190430,20181231,-1537598284.89,779219552.47,,,
002090.SZ,20190430,20190430,20181231,81577799.83,32857557.09,,,
000425.SZ,20190430,20190430,20181231,3308712700.53,1788653938.71,,,
600185.SH,20190430,20190430,20181231,-1216576403.09,303382450.01,,,
920185.BJ,20190430,20200507,20181231,177700619.88,808778321.29,,,
300413.SZ,20190430,20190430,20181231,-376920617.58,31972143.7,,,
600418.SH,20190430,20190430,20181231,-3453792693.06,817019300.06,,,
002501.SZ,20190430,20190430,20181231,-246078525.95,146112628.0,,,
000981.SZ,20190430,20190430,20181231,124204414.9,1198723522.52,,,
002212.SZ,20190430,20190430,20181231,496474029.23,180396883.44,,,
600653.SH,20190430,20190430,20181231,304981505.92,179791200.72,,,
002266.SZ,20190430,20190430,20181231,14868311.98,605240323.46,,,
603818.SH,20190430,20190430,20181231,312331427.6,195169541.04,,,
002605.SZ,20190430,20190430,20181231,243501645.36,74066075.75,,,
002086.SZ,20190430,20190430,20181231,-850450976.55,143139219.53,,,
000049.SZ,20190430,20190430,20181231,122168482.48,208872063.7,,,
600642.SH,20190430,20190430,20181231,2767981053.91,4303012300.92,,,
600960.SH,20190430,20190430,20181231,-66265282.52,339156187.33,,,
002809.SZ,20190430,20190430,20181231,-39719654.88,41389745.9,,,
920223.BJ,20190430,20220325,20181231,7449455.15,4039039.2,,,
002072.SZ,20190430,20190430,20181231,-6624518.84,1024371.54,,,
