ts_code,ann_date,end_date,n_cashflow_act,c_pay_acq_const_fiolta,f_ann_date,comp_type,report_type,end_type
603296.SH,20230720,20230331,963782710.53,432082555.58,,,,
688563.SH,20230630,20230331,-210858848.6,7739195.76,20230630,1,1,1
688582.SH,20230609,20230331,-867028.42,7375976.45,20230609,1,1,1
688629.SH,20230606,20230331,-70511970.11,19431824.93,20230606,1,1,1
688472.SH,20230523,20230331,-931210157.98,1602518847.0,,,,
688361.SH,20230518,20230331,39324282.92,25119204.59,20230518,1,1,1
688235.SH,20230513,20230331,-3577897000.0,910407000.0,20230513,1,1,1
688981.SH,20230512,20230331,5300145000.0,9140759000.0,,,,
688469.SH,20230509,20230331,217593606.06,2784205054.92,20230509,1,1,1
688249.SH,20230504,20230331,-406170449.04,528253865.52,20230504,1,1,1
600058.SH,20230429,20230331,-2564994731.54,3718405.32,20230429.0,1.0,1.0,1.0
600060.SH,20230429,20230331,1878118641.59,96905300.18,20230429.0,1.0,1.0,1.0
600338.SH,20230429,20230331,289815751.71,166369673.57,20230429.0,1.0,1.0,1.0
600126.SH,20230429,20230331,-289922818.99,188884942.41,20230429.0,1.0,1.0,1.0
002901.SZ,20230429,20230331,-101409485.52,72546033.21,20230429.0,1.0,1.0,1.0
600006.SH,20230429,20230331,-1279353273.16,25521640.21,20230429.0,1.0,1.0,1.0
600067.SH,20230429,20230331,-36775647.73,42419665.51,20230429.0,1.0,1.0,1.0
002867.SZ,20230429,20230331,691102918.85,36989455.76,20230429.0,1.0,1.0,1.0
300273.SZ,20230429,20230331,29717290.63,741619.44,20230429.0,1.0,1.0,1.0
600088.SH,20230429,20230331,-104250759.06,603917.89,20230429.0,1.0,1.0,1.0
300115.SZ,20230429,20230331,609105258.86,369829772.77,20230429.0,1.0,1.0,1.0
600038.SH,20230429,20230331,1953143959.08,45370743.94,20230429.0,1.0,1.0,1.0
002851.SZ,20230429,20230331,256869165.16,96242566.71,20230429.0,1.0,1.0,1.0
003022.SZ,20230429,20230331,98506299.75,403709675.2,20230429.0,1.0,1.0,1.0
002925.SZ,20230429,20230331,92776357.72,39176136.87,20230429.0,1.0,1.0,1.0
600056.SH,20230429,20230331,-1491826630.9,68716641.97,20230429.0,1.0,1.0,1.0
600886.SH,20230429,20230331,4779319136.58,3414235211.52,,,,
601800.SH,20230429,20230331,-25633637952.0,11379955188.0,,,,
600112.SH,20230429,20230331,-8298113.25,1418025.19,20230429.0,1.0,1.0,1.0
600098.SH,20230429,20230331,734127403.55,1072011182.48,20230429.0,1.0,1.0,1.0
688567.SH,20230429,20230331,-396086236.93,226660766.04,20230429,1,1,1
688728.SH,20230429,20230331,-18503461.0,574057303.0,20230429,1,1,1
688578.SH,20230429,20230331,-20544885.76,39601480.19,20230429,1,1,1
603877.SH,20230429,20230331,144811867.55,54366516.18,20230429,1,1,1
603983.SH,20230429,20230331,-45715441.84,34489461.89,20230429,1,1,1
688017.SH,20230429,20230331,10909960.44,11491602.7,20230429,1,1,1
688018.SH,20230429,20230331,33293442.75,14725259.64,20230429,1,1,1
688180.SH,20230429,20230331,-720250964.89,125640355.94,20230429,1,1,1
688183.SH,20230429,20230331,215475877.93,156570693.84,20230429,1,1,1
688185.SH,20230429,20230331,-345404000.0,215236000.0,20230429,1,1,1
688192.SH,20230429,20230331,-203213936.04,10513142.2,20230429,1,1,1
