ts_code,ann_date,f_ann_date,end_date,comp_type,report_type,end_type,net_profit,finan_exp,c_fr_sale_sg,recp_tax_rends,n_depos_incr_fi,n_incr_loans_cb,n_inc_borr_oth_fi,prem_fr_orig_contr,n_incr_insured_dep,n_reinsur_prem,n_incr_disp_tfa,ifc_cash_incr,n_incr_disp_faas,n_incr_loans_oth_bank,n_cap_incr_repur,c_fr_oth_operate_a,c_inf_fr_operate_a,c_paid_goods_s,c_paid_to_for_empl,c_paid_for_taxes,n_incr_clt_loan_adv,n_incr_dep_cbob,c_pay_claims_orig_inco,pay_handling_chrg,pay_comm_insur_plcy,oth_cash_pay_oper_act,st_cash_out_act,n_cashflow_act,oth_recp_ral_inv_act,c_disp_withdrwl_invest,c_recp_return_invest,n_recp_disp_fiolta,n_recp_disp_sobu,stot_inflows_inv_act,c_pay_acq_const_fiolta,c_paid_invest,n_disp_subs_oth_biz,oth_pay_ral_inv_act,n_incr_pledge_loan,stot_out_inv_act,n_cashflow_inv_act,c_recp_borrow,proc_issue_bonds,oth_cash_recp_ral_fnc_act,stot_cash_in_fnc_act,free_cashflow,c_prepay_amt_borr,c_pay_dist_dpcp_int_exp,incl_dvd_profit_paid_sc_ms,oth_cashpay_ral_fnc_act,stot_cashout_fnc_act,n_cash_flows_fnc_act,eff_fx_flu_cash,n_incr_cash_cash_equ,c_cash_equ_beg_period,c_cash_equ_end_period,c_recp_cap_contrib,incl_cash_rec_saims,uncon_invest_loss,prov_depr_assets,depr_fa_coga_dpba,amort_intang_assets,lt_amort_deferred_exp,decr_deferred_exp,incr_acc_exp,loss_disp_fiolta,loss_scr_fa,loss_fv_chg,invest_loss,decr_def_inc_tax_assets,incr_def_inc_tax_liab,decr_inventories,decr_oper_payable,incr_oper_payable,others,im_net_cashflow_oper_act,conv_debt_into_cap,conv_copbonds_due_within_1y,fa_fnc_leases,im_n_incr_cash_equ,net_dism_capital_add,net_cash_rece_sec,credit_impa_loss,use_right_asset_dep,oth_loss_asset,end_bal_cash,beg_bal_cash,end_bal_cash_equ,beg_bal_cash_equ,update_flag
002594.SZ,20250830,20250830,20250630,1,1,2,16038939000.0,589302000.0,402581644000.0,8717878000.0,,,,,,,,,,,,11435207000.0,422734729000.0,279759478000.0,64426198000.0,31494335000.0,,,,,,15221247000.0,390901258000.0,31833471000.0,17662221000.0,40997000.0,307446000.0,1372011000.0,66961000.0,19449636000.0,80524516000.0,1331702000.0,183492000.0,11905673000.0,,93945383000.0,-74495747000.0,24295394000.0,9999048000.0,,91516210000.0,-42725709163.8999,23761503000.0,474212000.0,250417000.0,7622756000.0,41858471000.0,49657739000.0,464775000.0,7460238000.0,102256542000.0,109716780000.0,40221768000.0,147000000.0,,1254303000.0,34126456000.0,2231747000.0,954320000.0,,,472998000.0,,-373458000.0,-1423825000.0,-2207606000.0,-421265000.0,-25987262000.0,14995007000.0,-10055058000.0,,31833471000.0,,,,7460238000.0,,,102848000.0,1359639000.0,,109716780000.0,102256542000.0,,,1.0
600900.SH,20250830,20250830,20250630,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,23991186511.61,,,,,,,6211555134.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600115.SH,20250830,20250830,20250630,1,1,2,-1592000000.0,2158000000.0,70974000000.0,2064000000.0,,,,,,,,,,,,6162000000.0,79200000000.0,45567000000.0,15174000000.0,1792000000.0,,,,,,4120000000.0,66653000000.0,12547000000.0,3976000000.0,86000000.0,2000000.0,88000000.0,,4152000000.0,7808000000.0,170000000.0,,,,7978000000.0,-3826000000.0,59046000000.0,,7000000.0,59553000000.0,,56471000000.0,1913000000.0,,10384000000.0,68768000000.0,-9215000000.0,21000000.0,-473000000.0,4072000000.0,3599000000.0,500000000.0,,,3000000.0,6077000000.0,116000000.0,409000000.0,,,-40000000.0,6000000.0,-35000000.0,-162000000.0,11000000.0,,-311000000.0,-1818000000.0,973000000.0,,12547000000.0,,,,-473000000.0,,,30000000.0,6726000000.0,,3599000000.0,4072000000.0,,,0.0
601238.SH,20250830,20250830,20250630,1,1,2,-3480217144.0,-403306014.0,51025987810.0,1342025164.0,1283788695.0,352897493.0,,,,,,368092341.0,,,,4958539431.0,59331330934.0,53214058009.0,5864629926.0,2379573481.0,-1322126818.0,-37736105.0,,69371857.0,,9932272762.0,70100043112.0,-10768712178.0,1151786034.0,29637152997.0,3524140476.0,45804051.0,224998034.0,34583881592.0,4380647597.0,33847385994.0,0.0,599731359.0,0.0,38827764950.0,-4243883358.0,19717895711.0,,327137205.0,20073612916.0,,16755054204.0,543169192.0,86530435.0,208462512.0,17506685908.0,2566927008.0,-67737051.0,-12513405579.0,47284203201.0,34770797622.0,28580000.0,28580000.0,,526397386.0,2081074812.0,2813569752.0,66896375.0,,,-14622436.0,4609342.0,-75037410.0,-2402703565.0,-430918768.0,45978102.0,-2126982635.0,-2069632795.0,-5720707847.0,,-10768712178.0,,,,-12513405579.0,,,-3811323.0,420701990.0,,34770797622.0,47284203201.0,0.0,0.0,0.0
600026.SH,20250830,20250830,20250630,1,1,2,2070883982.69,671027172.93,10869913082.9,174820423.78,,,,,,,,,,,,633543252.19,11678276758.87,5890485158.17,1673603626.94,476306869.54,,,,,,558268745.78,8598664400.43,3079612358.44,,7610473.2,275295582.0,227628699.15,,510534754.35,1822647016.16,157072878.96,,,,1979719895.12,-1469185140.77,4853997606.33,,27367768.0,4881365374.33,,3342650082.55,906936488.91,180795687.91,251176342.81,4500762914.27,380602460.06,-3174688.51,1987854989.22,5660994174.54,7648849163.76,,,,964817.17,1718418311.65,4992719.3,529741.69,,,-72989308.12,-1201993.79,,-630487533.24,1230393.75,88126879.04,197971174.45,-1145305667.08,-98846016.99,,3079612358.44,,,,1987854989.22,,,2487367.5,233450693.17,,7648849163.76,5660994174.54,,,0.0
600153.SH,20250830,20250830,20250630,1,1,2,553808693.35,2511867953.74,366923274992.32,2222062076.71,,,,,,,,,,,,38190785289.06,407336122358.09,328260638412.99,6227306224.42,10021639817.98,,,,,,44957437727.83,389467022183.22,17869100174.87,4694373889.6,4609455119.59,125612509.74,82074052.82,0.0,9511515571.75,1121871699.35,12112014201.21,1057759208.19,19238235789.44,,33529880898.19,-24018365326.44,113104577329.15,,6359392729.7,125803307848.31,-159004222.1756,81168367063.88,7002613875.32,198644909.63,20605431871.53,108776412810.73,17026895037.58,328210107.93,11205839993.94,85630473190.07,96836313184.01,6339337789.46,3841337789.46,,986246569.37,407815971.53,108077533.75,97488143.59,,,-37701521.58,1208374.17,2410325811.86,-915005206.63,-1224592290.6,-433380352.0,-38088884419.15,-40128072763.5,90516542436.19,,17869100174.87,,,,11205839993.94,,,639500344.61,276156254.88,,96836313184.01,85630473190.07,,,1.0
688008.SH,20250830,20250830,20250630,1,1,2,1112376100.89,7519957.2,2630974288.36,524987.97,,,,,,,,,,,,210323635.89,2841822912.22,1297705972.96,365613683.14,26268355.92,,,,,,93545880.87,1783133892.89,1058689019.33,,2057485209.54,18929277.74,,,2076414487.28,111947248.64,943889981.55,,,,1055837230.19,1020577257.09,,,,,598649802.6095,,443140336.47,,87489340.43,530629676.9,-530629676.9,-21846455.84,1526790143.68,6698931684.67,8225721828.35,,,,-30841217.57,42921361.39,13308037.35,14831050.17,,,,765561.61,8689871.9,-19981756.07,2767508.33,889317.88,-16739210.16,-193772001.85,16706719.1,,1058689019.33,,,,1526790143.68,,,19599.07,7689475.8,,8225721828.35,6698931684.67,,,1.0
000623.SZ,20250830,20250830,20250630,1,1,2,1278506152.11,32752232.15,1228640563.28,5305786.45,,,,,,,,,,,,66211785.1,1300158134.83,474222901.47,200030192.74,119022690.95,,,,,,353898156.7,1147173941.86,152984192.97,,807510698.48,523201763.49,102509.9,,1330814971.87,65249186.64,817707385.65,,,,882956572.29,447858399.58,800356890.22,,,800356890.22,386813934.1019,820261241.58,49603427.27,,121800804.68,991665473.53,-191308583.31,-54083.83,409479925.41,1105646454.39,1515126379.8,,,,10922706.7,75104731.83,19920899.37,2255607.2,,,-127663.44,324350.39,-106731128.67,-1217561633.58,30599819.17,-5137142.64,31347339.34,53896854.19,-61006470.91,,152984192.97,,,,409479925.41,,,7198641.85,12997482.95,,1515126379.8,1105646454.39,,,1.0
601186.SH,20250830,20250830,20250630,1,1,2,12561951000.0,5650458000.0,478085920000.0,768347000.0,,,,,,,,,,,,12606614000.0,490667281000.0,503390323000.0,39490957000.0,14788206000.0,585723000.0,,,,,11990156000.0,570124539000.0,-79457258000.0,245033000.0,2156294000.0,1796475000.0,1099487000.0,,5297289000.0,20460602000.0,9508017000.0,,1316584000.0,,31285203000.0,-25987914000.0,289615755000.0,9423284000.0,896696000.0,313548177000.0,,188125702000.0,10663526000.0,1739660000.0,13278360000.0,212067588000.0,101480589000.0,264465000.0,-3700118000.0,167371620000.0,163671502000.0,13612442000.0,3615442000.0,,756672000.0,10445352000.0,1058618000.0,131086000.0,,,-14391000.0,,193134000.0,103937000.0,-563632000.0,121916000.0,-6981284000.0,-13083744000.0,-38125019000.0,,-79457258000.0,,,,-3700118000.0,,,1649073000.0,1399120000.0,,161261319000.0,161550931000.0,2410183000.0,5820689000.0,0.0
601211.SH,20250830,20250830,20250630,4,1,2,16321106031.0,,,,,,,,,,,30646546118.0,,66368518.0,78508905451.0,12786704192.0,159141344052.0,,7818049982.0,7696564567.0,,,,9602856342.0,,14325667220.0,145822120258.0,13319223794.0,182041492554.0,59138399732.0,2074264860.0,53777364.0,,243307934510.0,621287679.0,63673751382.0,,34048239.0,,64329087300.0,178978847210.0,61873164533.0,46503195289.0,,118361171143.0,,119141694381.0,3314034215.0,,533324146.0,129060479079.0,-10699307936.0,92075868.0,181690838936.0,207654227562.0,389345066498.0,9984811321.0,,,,504735403.0,212394843.0,87394992.0,,,-14437699.0,,3279921444.0,-1286063034.0,,,,-114867902676.0,112131181199.0,,13319223794.0,,,,181690838936.0,3161478499.0,23680433179.0,1194038846.0,431640423.0,56428020.0,311718881584.0,139805841278.0,77626184914.0,67848386284.0,0.0
