ts_code,trade_date,total_mv,circ_mv
000683.SZ,20061009,196042.0,91823.1886
000729.SZ,20061009,924137.1376,404960.4443
600159.SH,20061009,135725.7191,46996.1011
000913.SZ,20061009,175064.896,68887.104
000921.SZ,20061009,264865.7523,51931.767
600270.SH,20061009,900048.8297,227317.86
600568.SH,20061009,50061.1734,29260.2341
600590.SH,20061009,181801.9597,90703.1538
600863.SH,20061009,523042.08,140941.9532
600122.SH,20061009,217694.4,114903.36
600200.SH,20061009,308731.5,208995.1875
002028.SZ,20061009,271996.0,89399.44
600307.SH,20061009,317990.4,115315.2
600345.SH,20061009,142164.0,54280.8
000409.SZ,20061009,44385.9043,19496.6068
000595.SZ,20061009,74806.1202,37148.5315
000680.SZ,20061009,306440.185,240260.85
000948.SZ,20061009,82041.5365,30940.6356
002050.SZ,20061009,92773.0,32019.0
600370.SH,20061009,118505.088,51740.4326
600392.SH,20061009,103032.0,45784.845
600399.SH,20061009,179400.0,55476.0
600439.SH,20061009,217451.52,78282.5472
600769.SH,20061009,127867.2252,46396.4873
600589.SH,20061009,141120.0,47628.0
600706.SH,20061009,41920.0517,23400.013
600714.SH,20061009,82864.6875,28726.425
600076.SH,20061009,75665.952,49083.84
600766.SH,20061009,57169.2813,22725.681
000157.SZ,20061009,600795.0,264349.8
600001.SH,20061009,1004486.7622,512030.3472
600981.SH,20061009,86923.2,32400.0
000155.SZ,20061009,228890.0,83569.2
000611.SZ,20061009,80775.1649,43638.9481
000662.SZ,20061009,127073.646,68617.1016
000726.SZ,20061009,308375.652,110455.6379
600128.SH,20061009,96333.1425,48331.9674
002061.SZ,20061009,211369.8,45904.0
600317.SH,20061009,209200.3893,102758.5919
600686.SH,20061009,216276.2113,106883.712
600793.SH,20061009,63917.1,27077.1774
600090.SH,20061009,166298.324,86572.9413
600112.SH,20061009,78880.3111,31240.3111
000597.SZ,20061009,125777.3392,61255.2839
000598.SZ,20061009,121593.2363,88659.9527
600167.SH,20061009,106400.0,39200.0
000883.SZ,20061009,85616.3085,50941.1052
000967.SZ,20061009,59501.9448,22902.75
600459.SH,20061009,115602.75,61332.0
000534.SZ,20061009,89033.7725,47140.4718
600033.SH,20061009,587401.2,214380.0
600100.SH,20061009,620581.2786,406924.7069
000910.SZ,20061009,289987.5,110352.0
000922.SZ,20061009,106839.73,48079.4
000923.SZ,20061009,83820.0,27940.0
000966.SZ,20061009,124737.8675,49111.8528
000969.SZ,20061009,331342.2112,171480.3104
600396.SH,20061009,194666.0,78438.51
600505.SH,20061009,101574.0,35550.9
600553.SH,20061009,133000.0,65170.0
600602.SH,20061009,335888.2463,150865.063
600630.SH,20061009,149551.2821,89465.376
600728.SH,20061009,76610.3062,29852.16
000017.SZ,20061009,136638.4059,21874.32
600567.SH,20061009,134744.0751,115658.3071
600649.SH,20061009,978001.0123,355119.9289
600845.SH,20061009,286895.0126,19350.672
600097.SH,20061009,56224.0959,22669.85
000590.SZ,20061009,65984.2381,27879.4789
600403.SH,20061009,85275.423,46963.8
600405.SH,20061009,90152.8704,42923.52
600591.SH,20061009,314716.5,113490.0003
600696.SH,20061009,100466.8373,43664.6884
600705.SH,20061009,183205.0519,100675.7136
000419.SZ,20061009,110043.6132,55976.6031
600021.SH,20061009,683251.685,138441.6
600114.SH,20061009,89734.5,44945.28
000585.SZ,20061009,283845.25,58337.5
000803.SZ,20061009,42151.1947,24779.1403
002037.SZ,20061009,97460.0,47133.6681
600446.SH,20061009,114624.96,39631.68
600838.SH,20061009,155141.3266,99041.653
600091.SH,20061009,141004.394,107133.272
600158.SH,20061009,402539.6934,120691.35
600172.SH,20061009,134000.0,72800.0
000800.SZ,20061009,512662.5,228739.0751
000610.SZ,20061009,72234.6949,30167.2912
600183.SH,20061009,718724.6019,290194.8412
000828.SZ,20061009,365909.9812,104620.0218
002009.SZ,20061009,103230.472,59637.2
600360.SH,20061009,338660.0,179375.0
600428.SH,20061009,465847.2,218689.38
600483.SH,20061009,69813.0583,34848.0
600601.SH,20061009,353242.7182,353242.7182
600768.SH,20061009,101915.3664,29389.5475
600827.SH,20061009,303871.3096,95284.953
000851.SZ,20061009,168675.0,75543.0
000863.SZ,20061009,35396.8884,10179.0005
600684.SH,20061009,91836.339,63852.3469
600712.SH,20061009,96785.568,42323.616
000593.SZ,20061009,79507.7687,33917.8238
600149.SH,20061009,136315.44,55393.2
600243.SH,20061009,94743.0,33275.0
000877.SZ,20061009,87785.4528,52063.4009
000893.SZ,20061009,89022.0,29936.1562
600734.SH,20061009,87538.0401,33050.3039
000993.SZ,20061009,112646.0,52246.0
600152.SH,20061009,105070.9236,51647.765
000915.SZ,20061009,62007.7162,36981.354
002034.SZ,20061009,57432.96,24957.8496
002054.SZ,20061009,126898.0,25758.4
600281.SH,20061009,134948.656,52113.6
600510.SH,20061009,173156.466,75176.4
600797.SH,20061009,347169.5724,216150.3254
600962.SH,20061009,110550.0,58792.5
600035.SH,20061009,450919.8076,135520.0
600115.SH,20061009,1440617.2,88800.0
000661.SZ,20061009,69471.7555,42215.9774
000672.SZ,20061009,43007.5086,19967.7717
600178.SH,20061009,235198.72,95225.247
600217.SH,20061009,129516.8,60587.52
002068.SZ,20061009,116857.0,36764.0
600295.SH,20061009,488136.0,90816.0
600419.SH,20061009,32304.48,16321.5
600467.SH,20061009,289476.0,114036.0
600496.SH,20061009,143750.0,46125.0
600660.SH,20061009,824228.8756,349159.8248
600847.SH,20061009,27839.24,15659.645
600898.SH,20061009,107740.0452,58372.5645
600970.SH,20061009,426384.0,184005.0
600425.SH,20061009,75820.275,33210.0
600518.SH,20061009,230265.0,116156.25
600538.SH,20061009,77622.048,49300.9292
600533.SH,20061009,345465.0,98265.6
600611.SH,20061009,451001.9002,128654.6841
600327.SH,20061009,186838.043,87325.2
600362.SH,20061009,2950043.9258,285931.4
600555.SH,20061009,251141.0,63204.3
600736.SH,20061009,219585.6,97078.176
600833.SH,20061009,73140.4525,27528.0981
000587.SZ,20061009,46799.3177,21040.4809
600809.SH,20061009,823421.701,193984.7841
600774.SH,20061009,77511.4714,38622.5108
600068.SH,20061009,314428.4,206788.4173
600071.SH,20061009,133222.0478,78966.2265
600203.SH,20061009,93523.9,35739.9
000848.SZ,20061009,175069.206,100384.9844
000920.SZ,20061009,153608.0,88109.84
600523.SH,20061009,225720.0,93366.0
600337.SH,20061009,170650.0224,92664.0
600369.SH,20061009,56072.3675,33231.335
600547.SH,20061009,411200.0,192750.0
600556.SH,20061009,95965.2399,71508.2619
600858.SH,20061009,198523.2339,127847.9276
600099.SH,20061009,69680.16,38282.112
000702.SZ,20061009,83189.9877,53007.3308
000049.SZ,20061009,85518.225,35770.8581
000545.SZ,20061009,40352.1262,24167.9912
000656.SZ,20061009,109518.329,51647.2781
000710.SZ,20061009,52768.8,21230.2787
600219.SH,20061009,466571.5906,374583.5906
600246.SH,20061009,182252.0,79041.9
002033.SZ,20061009,121571.4108,41310.0
600289.SH,20061009,361747.9936,166713.5936
600557.SH,20061009,127657.08,70086.24
600698.SH,20061009,321671.5726,101521.0232
600870.SH,20061009,226199.4162,115529.0736
600007.SH,20061009,588000.0,147000.0
000609.SZ,20061009,120923.0968,45847.6191
600967.SH,20061009,90480.0,46632.0
000568.SZ,20061009,1363067.4703,539386.3451
600837.SH,20061009,203857.2858,66532.9532
600851.SH,20061009,377808.7446,151777.5784
600879.SH,20061009,702187.5302,493856.5597
000666.SZ,20061009,224613.6,84568.5813
600135.SH,20061009,171684.0,63252.0
600228.SH,20061009,75291.84,40435.2
000758.SZ,20061009,434438.4,255763.652
600693.SH,20061009,113923.4995,68635.3695
000002.SZ,20061009,2937725.0757,2162499.8725
000036.SZ,20061009,374254.6081,255781.8788
000528.SZ,20061009,400642.8398,222875.2939
000633.SZ,20061009,106674.4653,46129.7332
002015.SZ,20061009,70749.92,36556.0
000040.SZ,20061009,137590.8557,107254.2401
600993.SH,20061009,147215.342,62143.2
000533.SZ,20061009,284961.6,100834.272
600062.SH,20061009,323749.5638,180082.0439
000670.SZ,20061009,81934.9451,46555.3088
600126.SH,20061009,234257.5125,81827.46
600398.SH,20061009,120696.0053,82298.5164
600488.SH,20061009,197178.9846,82175.067
600980.SH,20061009,76310.0,35522.305
000006.SZ,20061009,217328.0278,162269.1175
000050.SZ,20061009,234670.975,84856.9468
000546.SZ,20061009,52377.502,30974.279
600004.SH,20061009,684000.0,325584.0
000825.SZ,20061009,1755866.64,517374.0
000833.SZ,20061009,172838.934,67435.218
000902.SZ,20061009,95030.0,28730.0
600305.SH,20061009,133253.2,54496.0
000563.SZ,20061009,178489.6869,84923.5107
600119.SH,20061009,82625.4,35694.1728
600188.SH,20061009,3024816.0,221400.0
600250.SH,20061009,92611.9007,51676.2102
000977.SZ,20061009,131580.0,52900.0744
002006.SZ,20061009,60192.0,30472.2
002063.SZ,20061009,155285.48,31108.0
600283.SH,20061009,172053.99,51255.0
600418.SH,20061009,382029.9279,275189.1279
600455.SH,20061009,56337.116,22423.72
600540.SH,20061009,97560.0,42926.4
600210.SH,20061009,364930.9841,229849.7084
600866.SH,20061009,121416.8893,97827.7947
600759.SH,20061009,48384.058,16045.114
000022.SZ,20061009,866562.4531,126250.0028
000532.SZ,20061009,108238.4188,60706.1949
600131.SH,20061009,244500.7002,82408.7823
000886.SZ,20061009,238307.6203,83007.189
000968.SZ,20061009,167955.75,82874.1713
600366.SH,20061009,187742.5875,72103.7889
600842.SH,20061009,81279.1748,31753.0214
600961.SH,20061009,341538.8733,129438.0
600979.SH,20061009,85228.1761,42931.2
000525.SZ,20061009,204574.3547,126570.1404
000526.SZ,20061009,47231.7975,24412.5725
000606.SZ,20061009,69327.814,38562.4502
600161.SH,20061009,505176.0,220927.2
600267.SH,20061009,251147.52,84359.808
000830.SZ,20061009,350488.1649,122674.4272
000997.SZ,20061009,303485.0,111108.5536
600873.SH,20061009,44268.7706,27294.5545
000504.SZ,20061009,190371.6535,53007.8745
600037.SH,20061009,1002512.0676,524517.5794
600050.SH,20061009,5574704.8519,2188160.0
600086.SH,20061009,207493.9048,79297.7332
000408.SZ,20061009,38265.7275,18062.5913
000425.SZ,20061009,341224.8501,133727.7451
000522.SZ,20061009,175426.0797,93937.365
002057.SZ,20061009,73150.0,25080.0
600831.SH,20061009,208609.2042,104860.6049
600975.SH,20061009,67403.5747,31799.25
000055.SZ,20061009,202811.7,40604.9504
000518.SZ,20061009,239886.5997,162257.472
000561.SZ,20061009,88136.7939,53743.4705
600107.SH,20061009,146520.0,54212.4
000572.SZ,20061009,110537.9891,57813.2188
000691.SZ,20061009,77261.53,46668.4904
000927.SZ,20061009,625308.2158,127842.176
600303.SH,20061009,121662.0,86599.6875
600720.SH,20061009,113228.067,78861.8831
600532.SH,20061009,46800.0,28080.0
600820.SH,20061009,246500.6825,144455.2493
600171.SH,20061009,359568.3298,190459.0461
000792.SZ,20061009,1456809.9,637487.5765
000888.SZ,20061009,186504.084,97926.7675
600300.SH,20061009,252120.0,99320.0
600755.SH,20061009,251338.8409,181314.0889
600808.SH,20061009,1768752.2,220296.0
000418.SZ,20061009,135088.4208,33288.9
000959.SZ,20061009,677019.1957,127381.2786
000962.SZ,20061009,280843.2,148245.403
600226.SH,20061009,131127.59,61435.92
000819.SZ,20061009,230196.6008,72631.805
600199.SH,20061009,80041.4879,51883.0
600436.SH,20061009,285320.0,104345.6
600438.SH,20061009,311790.32,125166.0
600548.SH,20061009,972592.2,97138.8
600673.SH,20061009,97331.2466,47215.8774
600687.SH,20061009,56338.522,26244.8591
600744.SH,20061009,206377.92,112724.3038
000766.SZ,20061009,115397.1829,73161.0895
600357.SH,20061009,411880.1568,209244.0
600409.SH,20061009,178542.0,68356.08
600623.SH,20061009,557696.2617,24387.792
600677.SH,20061009,301383.2569,197211.265
600733.SH,20061009,100768.86,38556.0
600070.SH,20061009,50080.5706,30842.4744
000637.SZ,20061009,419064.7435,143281.5233
000975.SZ,20061009,197668.8,85478.4
600276.SH,20061009,729505.92,274560.0
600482.SH,20061009,152382.0,74373.6
600565.SH,20061009,106240.0,33465.6
600576.SH,20061009,109856.6889,33960.0
600624.SH,20061009,129433.1381,91274.9351
600668.SH,20061009,84300.5379,60892.8123
600710.SH,20061009,134309.9992,79941.3112
600741.SH,20061009,286960.8851,172623.36
601006.SH,20061009,8175356.99,763645.05
000096.SZ,20061009,208032.0,72848.5197
600079.SH,20061009,129695.2285,108256.799
000066.SZ,20061009,266842.053,139088.6112
000430.SZ,20061009,90331.2,36584.136
600081.SH,20061009,154898.64,38724.66
000663.SZ,20061009,90431.0849,42223.7218
002004.SZ,20061009,101640.0,33795.3
600812.SH,20061009,218058.4423,156018.6186
