ts_code,trade_date,total_mv,circ_mv,pe_ttm,pb
600083.SH,20230609,160540.0,159139.3415,183.1771,20.3643
301118.SZ,20230609,271581.82,134034.8065,18.6108,1.8865
300597.SZ,20230609,263847.789,245594.7784,114.5576,2.4558
002435.SZ,20230609,551248.4269,536338.6144,87.2038,1.2099
002161.SZ,20230609,384673.848,370998.8381,9221.4213,2.6777
688217.SH,20230609,226886.6496,152343.1328,51.4533,2.3955
601088.SH,20230609,58512791.2675,48566106.7775,8.4457,1.4087
603638.SH,20230609,1395517.108,1392472.8338,54.8202,4.7158
600860.SH,20230609,565583.4255,347094.415,1489.8377,5.3402
603317.SH,20230609,1552542.6497,1541479.3864,42.0106,4.2275
600765.SH,20230609,3599160.0251,3585684.9283,28.4648,3.4483
603282.SH,20230609,455657.1,114067.5,24.4115,4.0162
600729.SH,20230609,1227715.9643,1213425.3243,13.012,2.1805
300467.SZ,20230609,372677.7811,298199.0063,351.2816,6.4264
002529.SZ,20230609,370760.0,370760.0,,6.4201
300928.SZ,20230609,310800.0,166277.425,66.3355,2.4198
300773.SZ,20230609,1371234.28,1298172.8875,,3.8023
001301.SZ,20230609,1726202.217,431550.8865,14.7376,3.3405
301050.SZ,20230609,1058682.24,813370.9401,40.7657,4.3347
000829.SZ,20230609,996397.6257,995454.0383,61.5146,3.7735
688498.SH,20230609,1673441.385,349891.7153,188.8316,7.9436
920510.BJ,20230609,107896.73,51599.63,16.2221,2.7622
603261.SH,20230609,252155.0927,82799.3543,93.1718,2.9337
688211.SH,20230609,587764.4453,285907.5053,,1.6367
002726.SZ,20230609,908652.4885,906928.4935,124.2429,2.9053
600143.SH,20230609,2234702.8755,2164416.3905,11.9535,1.378
600569.SH,20230609,580229.12,580229.12,,0.8172
002585.SZ,20230609,1020993.5491,780062.9125,29.8722,1.0501
600809.SH,20230609,24911669.4132,24911669.4132,27.0639,9.5288
301228.SZ,20230609,187680.0,85808.8287,,2.1108
002700.SZ,20230609,191781.8035,143402.9052,23.6984,2.6622
688192.SH,20230609,1620769.0903,154075.1852,,10.3185
300945.SZ,20230609,306048.688,114466.3368,50.6244,3.7517
002110.SZ,20230609,1093403.0021,1093403.0021,,0.5154
002831.SZ,20230609,2209969.6884,1235837.6198,15.2569,2.1901
688575.SH,20230609,1079445.29,508640.2524,18.5402,4.2972
688186.SH,20230609,711276.8,711276.8,46.0161,2.1883
603226.SH,20230609,176679.4097,176679.4097,494.968,1.7916
300986.SZ,20230609,496596.799,212111.4443,28.5324,3.5454
000430.SZ,20230609,323449.3311,265059.3012,,2.9986
601238.SH,20230609,10829898.3275,7570799.6943,16.4154,0.9428
600929.SH,20230609,1085217.6406,783287.2581,13.0214,1.7909
300008.SZ,20230609,779341.139,645457.702,54.0026,4.246
600028.SH,20230609,81289764.384,64488289.3692,12.7415,1.0074
002348.SZ,20230609,392140.8,368036.2168,,7.0329
300331.SZ,20230609,581643.5206,450173.8416,,3.365
603389.SH,20230609,130850.496,130850.496,,2.7332
002825.SZ,20230609,302644.8245,226170.2596,8.6577,2.1649
605018.SH,20230609,473391.3744,93860.2984,63.8926,1.8052
002132.SZ,20230609,476525.1973,475689.8619,31.4141,1.2811
688020.SH,20230609,410517.339,410517.339,,2.6936
300659.SZ,20230609,550329.2865,373982.6406,,5.1344
600118.SH,20230609,3241202.719,3241202.719,113.0324,5.2103
300036.SZ,20230609,1079651.6578,948029.8832,,3.7552
000837.SZ,20230609,1047767.1102,807674.8814,38.3761,2.942
688699.SH,20230609,616361.984,293368.6784,,4.3668
300413.SZ,20230609,5958245.7958,3254114.3662,31.9918,3.0744
920855.BJ,20230609,48950.3331,11519.2951,11.7599,0.9729
002324.SZ,20230609,1383707.4071,911984.5582,49.2004,4.7967
300004.SZ,20230609,254876.6005,253581.0227,375.7651,1.4967
300756.SZ,20230609,269908.2864,175610.2325,6627.015,2.4519
300915.SZ,20230609,329220.0,90782.415,38.9088,2.2854
001318.SZ,20230609,387809.52,97000.4,35.8173,3.0157
300373.SZ,20230609,2271390.2465,2266901.4832,23.5253,3.0849
002303.SZ,20230609,502274.1687,312294.2956,38.1432,0.997
605117.SH,20230609,5325260.9609,1810595.5913,26.9757,13.1186
688162.SH,20230609,512455.375,176263.5857,38.1914,1.955
301276.SZ,20230609,271836.0,67959.0,15.2303,1.4388
920204.BJ,20230609,47095.5464,15843.1502,15.8299,1.0648
600595.SH,20230609,1116839.4557,1090440.5757,13.5274,0.9041
605189.SH,20230609,240368.575,80125.375,15.0717,1.4798
300213.SZ,20230609,423321.3361,392662.1907,72.0597,1.9271
002491.SZ,20230609,840086.2435,803508.2611,45.8135,3.5806
688234.SH,20230609,3369794.007,1205729.7713,,6.4532
600213.SH,20230609,292292.0,224840.0,,22.9818
301255.SZ,20230609,276284.0,69071.0,29.3903,2.6397
002766.SZ,20230609,473924.6877,430080.7681,355.4233,7.112
002115.SZ,20230609,520656.4351,451853.0018,37.3793,2.1696
688700.SH,20230609,1583813.12,961345.622,70.5849,17.146
002408.SZ,20230609,1899012.9904,1846290.9468,,1.4291
603208.SH,20230609,687023.7723,687023.7723,,4.772
688122.SH,20230609,3744851.7768,3744851.7768,34.8921,6.0325
920227.BJ,20230609,78467.1225,18009.4131,19.7082,2.1438
688681.SH,20230609,152504.19,95700.4005,1307.686,2.7176
002935.SZ,20230609,653412.6627,618387.5282,57.4402,4.4962
600496.SH,20230609,766908.4992,766908.4992,10.8418,0.951
300966.SZ,20230609,262139.898,134361.6209,84.1059,3.1372
920685.BJ,20230609,113662.7987,55373.8757,23.3346,2.2032
300504.SZ,20230609,530142.5816,415838.205,28.6859,2.3925
002223.SZ,20230609,3292134.2348,3090637.3115,17.8518,3.2978
002036.SZ,20230609,1028506.6435,1006424.7253,,2.8751
688207.SH,20230609,699227.4958,472450.9167,150.5713,2.9557
002401.SZ,20230609,978108.9928,967631.6803,52.6456,6.5049
688137.SH,20230609,379017.546,91702.6932,61.5343,1.7135
600644.SH,20230609,385494.8718,385494.8718,113.8697,2.1631
301160.SZ,20230609,249088.0011,138219.3771,16.8068,1.9782
600160.SH,20230609,3601461.2721,3601461.2721,15.6657,2.3043
002843.SZ,20230609,418689.624,414039.4785,27.5788,5.4564
603803.SH,20230609,389889.6502,378107.8902,159.0278,2.0476
600617.SH,20230609,562221.6034,397765.0524,803.424,1.4915
600382.SH,20230609,378688.2312,378688.2312,12.0284,1.0133
603725.SH,20230609,155040.76,155040.76,,2.9121
300689.SZ,20230609,264608.4,225437.3702,58.7716,3.9113
002046.SZ,20230609,571459.6753,566297.0042,22.4175,1.8017
000598.SZ,20230609,1642061.4766,1632716.9766,9.9908,1.083
300875.SZ,20230609,380769.7403,176012.5911,,2.854
300557.SZ,20230609,320742.5535,292271.616,107.0963,3.4443
300691.SZ,20230609,444002.3846,328629.6389,57.0054,2.7532
300563.SZ,20230609,253389.772,174616.5391,72.6735,2.6121
301357.SZ,20230609,327896.0,77745.1783,43.6819,2.8596
002725.SZ,20230609,254976.0,197044.3044,,2.5288
000010.SZ,20230609,238205.7657,117488.5871,,3.5123
