ts_code,total_mv,circ_mv
000951.SZ,2021950.1686,2021950.1686
300529.SZ,1553287.2599,995034.733
920098.BJ,265917.6066,180458.0957
301113.SZ,205842.0,124675.7081
001333.SZ,278784.0,95832.0
003005.SZ,444266.2867,243798.1555
688525.SH,5112789.4375,3864620.5575
300999.SZ,15549124.5252,1556311.8742
300329.SZ,429910.926,428618.4279
600249.SH,329450.0,329450.0
300707.SZ,284583.963,230975.1218
603826.SH,1117116.0,1117116.0
600397.SH,660303.2413,660303.2413
000428.SZ,332169.876,332169.876
603716.SH,423939.8896,423939.8896
600866.SH,1109863.7075,838853.9084
002146.SZ,678313.5608,610197.3308
300976.SZ,775390.5769,498276.9867
600648.SH,1361272.1302,1138908.4617
300549.SZ,244678.9,185435.3286
002259.SZ,288894.0545,288894.0545
688108.SH,728500.048,728500.048
300911.SZ,602792.2392,563339.3036
920879.BJ,366491.0965,291852.5404
688114.SH,2645710.6166,2631854.205
600967.SH,2707555.3152,2707555.3152
920403.BJ,221078.403,129053.5155
688765.SH,2660515.0,304964.0287
600039.SH,8799937.7327,8797600.0127
000031.SZ,1221599.3016,1221596.8398
000738.SZ,2567239.17,2567239.17
600888.SH,1090684.2325,1090684.2325
600340.SH,907983.1193,903258.3744
688489.SH,489180.2843,482959.0451
300444.SZ,806611.3409,627661.166
000709.SZ,2356863.609,2356474.0267
002391.SZ,369618.161,264084.7415
003028.SZ,415031.148,202303.549
001376.SZ,665539.6,308659.062
600356.SH,253324.2085,253324.2085
002349.SZ,619767.1563,608193.1383
300206.SZ,739650.4295,431772.3249
688150.SH,886972.4373,886972.4373
688717.SH,1075200.0,657537.2698
002470.SZ,581626.9103,581577.6468
600498.SH,3644112.1766,3412428.465
603334.SH,629247.5,136170.1588
300656.SZ,345159.2702,268055.0482
300477.SZ,308741.3819,285364.961
301161.SZ,376320.0,376320.0
300893.SZ,1152231.084,611126.874
300853.SZ,291834.5931,218969.4904
301516.SZ,447157.8957,111789.4743
688301.SH,2083039.4801,1974173.8802
603886.SH,318480.0,318480.0
001324.SZ,249918.0,147874.6696
605099.SH,1461557.6834,1457612.965
000019.SZ,799859.4663,288854.1865
605177.SH,209489.7143,205578.2343
002315.SZ,1316528.8564,839608.3332
603097.SH,442165.715,430240.0
600763.SH,1800338.6959,1800338.6959
603000.SH,2076487.8032,2076487.8032
603801.SH,397431.1339,397431.1339
300095.SZ,463359.4509,373615.9681
603060.SH,489611.7764,489611.7764
600422.SH,940920.866,940920.866
300691.SZ,444468.5614,364659.3742
300563.SZ,644514.4494,445853.6774
301357.SZ,1431522.4,357880.6
002725.SZ,439552.0,364027.7101
000010.SZ,405827.2591,293129.0608
603218.SH,1341601.9575,1338503.1975
301312.SZ,572336.0305,285990.7091
600036.SH,105418954.6122,86228987.7132
603790.SH,388460.8,388460.8
600853.SH,443131.873,442000.0867
002596.SZ,708057.1796,707406.0904
603658.SH,2041700.6961,2041700.6961
002912.SZ,506450.432,481150.4846
002227.SZ,313722.6112,311355.9458
300822.SZ,500015.601,463816.1694
601188.SH,449081.6508,449081.6508
300983.SZ,442713.6,303039.6753
301122.SZ,353534.4429,218752.7829
002010.SZ,1581025.6794,1577038.8096
601611.SH,3860721.6256,3860721.6256
600693.SH,1425677.9972,1424213.6097
002940.SZ,664896.1011,610667.9392
000039.SZ,4944941.193,2110390.3483
002508.SZ,1872868.9315,1850299.6418
603020.SH,376339.4941,376339.4941
300515.SZ,394225.622,386574.6029
688562.SH,911200.0,394139.56
301338.SZ,679151.2,377554.45
000911.SZ,299839.5437,299839.5437
601555.SH,4432082.9306,4432082.9306
002980.SZ,399257.6453,213730.002
600425.SH,681999.0755,585985.7866
002606.SZ,393848.6783,377764.4233
600266.SH,938236.0652,938236.0652
688750.SH,882450.0,444408.166
603655.SH,372908.0,372908.0
603267.SH,1129523.4001,1129523.4001
603008.SH,791460.4428,791460.4428
920118.BJ,117366.176,71257.9366
301359.SZ,229055.456,130364.0797
603153.SH,695944.158,229230.0
002555.SZ,4709854.0228,3404201.3668
300830.SZ,459770.2804,343152.2979
002811.SZ,407752.2866,374841.3141
301499.SZ,393335.0938,98333.7749
002667.SZ,351277.342,318951.628
002523.SZ,575156.1648,573086.3293
600272.SH,384259.7955,234080.0
600969.SH,366349.9792,366349.9792
300439.SZ,380091.308,289116.3984
600022.SH,1604827.4331,1604827.4331
688146.SH,2129823.5306,583217.6974
688698.SH,1787324.3106,1787324.3106
603363.SH,1239009.8292,760629.8292
300007.SZ,1554056.9078,1344518.2551
000595.SZ,647895.4723,647895.4723
300856.SZ,717336.186,688483.1138
603283.SH,1108017.0988,1108017.0988
001213.SZ,1804444.4443,1804444.4443
603381.SH,474987.1647,284559.6474
002340.SZ,3770159.3234,3748176.5841
002851.SZ,4360462.3687,3629514.5706
688330.SH,505400.0,505400.0
002927.SZ,434555.1745,429776.5589
301392.SZ,1410900.0,575589.5083
002014.SZ,728865.3205,719375.3312
300902.SZ,406694.1365,271243.3502
002741.SZ,957945.9586,878298.3349
603656.SH,407093.2948,407093.2948
600844.SH,309023.369,250110.1127
600033.SH,1147159.2,1147159.2
688398.SH,295856.2601,295856.2601
300498.SZ,11265098.6497,10094863.3421
601168.SH,6007543.0,6007543.0
301388.SZ,318407.1408,85024.2755
688133.SH,352881.7526,352881.7526
002648.SZ,5561634.0342,5558062.5827
688295.SH,2255400.0,2255400.0
920576.BJ,752844.5,740252.0891
603151.SH,310233.594,310233.594
002785.SZ,825802.1686,705095.8638
300209.SZ,550681.2227,290580.9942
600037.SH,1017389.6332,1017389.6332
688626.SH,758880.0,758880.0
920262.BJ,171403.1788,77339.8094
002247.SZ,239094.4838,180834.9288
688232.SH,788855.8388,788855.8388
601689.SH,11865941.3402,11865941.3402
300705.SZ,770327.2315,569478.602
002624.SZ,2859513.4275,2694078.5024
000987.SZ,3687592.3596,3685602.5029
002265.SZ,2685905.0582,1048052.265
603901.SH,683309.1178,668747.1938
001366.SZ,206795.16,71660.16
601608.SH,3054562.1425,3035228.8093
000886.SZ,727777.6288,719687.9569
601968.SH,668508.437,668508.437
000801.SZ,1735882.6884,1735882.6884
601021.SH,5128423.8034,5128423.8034
000665.SZ,624295.0728,624278.7592
688545.SH,1356480.0,274625.2692
002331.SZ,370165.0311,342010.3349
688318.SH,3279609.839,3279609.839
603869.SH,528210.6326,528210.6326
000807.SZ,9405100.4824,9405001.8903
603135.SH,598690.7141,240276.9554
600438.SH,9787325.9056,9787325.9056
603012.SH,361393.5,361393.5
002488.SZ,829200.7411,766429.9712
002345.SZ,1116860.4727,1090183.8003
300087.SZ,1074274.2056,1023203.5506
688620.SH,450408.0,266933.9795
688683.SH,467706.278,467706.278
600283.SH,504181.5833,489206.3029
600063.SH,1262154.9339,1262154.9339
002961.SZ,1240316.837,1240310.5662
002670.SZ,3250942.217,2727229.0651
920146.BJ,114336.9052,90745.7606
688076.SH,1221540.5819,1221540.5819
300519.SZ,247200.0,176284.5
300468.SZ,1674729.1119,1672030.0691
300123.SZ,812358.1278,795332.9603
920924.BJ,227468.58,136605.4266
300188.SZ,1241085.2356,1235349.35
603118.SH,897495.1028,897495.1028
300781.SZ,540957.7453,399240.6059
002999.SZ,231148.68,228570.3919
603021.SH,146536.2161,146536.2161
000936.SZ,726530.5673,726427.6163
605287.SH,359800.0,359800.0
002593.SZ,485530.2495,337544.8673
688589.SH,324954.1012,324954.1012
000032.SZ,2148467.0338,2056718.7864
600518.SH,2682805.9579,2681536.3245
603036.SH,412630.0681,412630.0681
600584.SH,6449050.1103,6449050.1103
688606.SH,512154.3233,512154.3233
688621.SH,770224.0,770224.0
600535.SH,2278273.7576,2278273.7576
920305.BJ,138994.9313,85155.9188
301275.SZ,2230694.4,178455.552
002779.SZ,2369136.0,2125662.8547
002962.SZ,422914.7604,303316.8073
603065.SH,350256.8902,164419.0084
300770.SZ,966719.1416,966719.1416
600925.SH,3155111.1112,735570.2524
688381.SH,579645.0,448601.6688
002564.SZ,627000.2682,627000.2682
688159.SH,465566.097,464664.117
600889.SH,550251.707,550251.707
000593.SZ,381583.3936,381426.0918
688183.SH,7802482.6215,7802482.6215
