ts_code,end_date,operate_profit,total_revenue
000615.SZ,20040930,21634161.92,1376047480.74
600228.SH,20040930,12428202.21,376066800.83
000958.SZ,20040930,38942172.46,479351999.08
000007.SZ,20040930,-35784000.18,90510952.58
000008.SZ,20040930,731244.19,8368040.31
000698.SZ,20040930,69362748.21,2300483115.81
600747.SH,20040930,92534807.01,591565476.99
600167.SH,20040930,7547935.67,56123144.9
600093.SH,20040930,12933421.0,222732642.75
000723.SZ,20040930,24107088.68,475116917.24
002030.SZ,20040930,21613285.71,114469166.09
001696.SZ,20040930,70510951.97,1158997168.77
000673.SZ,20040930,18614213.15,136185102.53
600632.SH,20040930,41294570.1,1155185782.87
000976.SZ,20040930,52982402.9,1452012396.94
600688.SH,20040930,3326166000.0,28126622000.0
600815.SH,20040930,78397057.66,2231332673.84
600333.SH,20040930,173642709.39,738503283.99
000514.SZ,20040930,13809971.03,62424455.17
600156.SH,20040930,-380142.65,584465509.27
000588.SZ,20040930,-81281292.37,7178729.56
000509.SZ,20040930,16458857.66,238581630.66
600062.SH,20040930,62630127.0,3490360858.0
000778.SZ,20040930,732136050.32,6301441768.11
600785.SH,20040930,44498269.75,1156813119.37
600980.SH,20040930,17482808.39,142297911.32
600370.SH,20040930,77879576.78,662968841.85
600765.SH,20040930,11835247.36,91651547.01
600330.SH,20040930,53771417.43,315401122.98
600589.SH,20040930,48677398.42,347776865.72
600976.SH,20040930,25352139.06,337416320.46
600561.SH,20040930,48726467.23,230261012.55
600132.SH,20040930,60033769.45,1021059212.17
600185.SH,20040930,13070138.19,517505428.17
600172.SH,20040930,61732233.6,389645861.17
600662.SH,20040930,137589944.96,844812092.92
000636.SZ,20040930,33505846.81,946314251.84
000813.SZ,20040930,-96709280.71,232887744.79
000727.SZ,20040930,10338808.27,272889668.96
000901.SZ,20040930,5116199.86,97192296.76
000029.SZ,20040930,-54688853.63,555673441.87
000401.SZ,20040930,115827047.46,1381816590.82
000915.SZ,20040930,18582501.13,160759811.74
002024.SZ,20040930,169470677.28,6603146536.01
002029.SZ,20040930,29554836.61,157894275.05
000430.SZ,20040930,16069580.34,85933800.16
000555.SZ,20040930,-5281828.09,4811873.49
600150.SH,20040930,51405217.28,860183048.74
000055.SZ,20040930,14659257.96,448708490.08
002035.SZ,20040930,26056753.63,509421167.36
000537.SZ,20040930,4114877.63,130473381.5
600178.SH,20040930,84539972.58,1983104999.38
600587.SH,20040930,19269038.8,215959092.73
600721.SH,20040930,-5914519.72,103643300.47
600107.SH,20040930,1602398.41,125048298.74
600743.SH,20040930,768991.32,214122420.26
002008.SZ,20040930,29334617.67,317848034.13
000793.SZ,20040930,44310202.02,366974356.26
600730.SH,20040930,29538860.24,2171787910.1
600622.SH,20040930,30803532.02,248700553.73
600446.SH,20040930,1524505.1,236113057.01
000999.SZ,20040930,103728175.22,1829177895.99
600449.SH,20040930,49165189.6,283310609.23
000668.SZ,20040930,63167426.35,1489342395.61
600511.SH,20040930,46947044.47,1322791218.05
600378.SH,20040930,8250699.48,186335218.67
000529.SZ,20040930,1201506.74,366618530.77
000563.SZ,20040930,-45721795.09,85015462.16
600105.SH,20040930,34470858.49,895703419.89
600886.SH,20040930,462168579.35,1675492643.0
600547.SH,20040930,65766234.39,530707845.76
600101.SH,20040930,85327153.5,411279855.07
600155.SH,20040930,61545359.31,1468102706.71
600613.SH,20040930,12441462.65,56030627.52
600612.SH,20040930,42490587.71,1730048627.08
600239.SH,20040930,-3740270.89,36430738.3
600225.SH,20040930,6838812.52,262977524.72
600674.SH,20040930,60399638.53,643613312.18
600677.SH,20040930,9493650.66,1931835823.72
000607.SZ,20040930,60469739.1,674828074.23
000713.SZ,20040930,19843078.14,343949175.3
000661.SZ,20040930,16758966.29,278655531.32
000616.SZ,20040930,81286753.69,1637769681.67
000751.SZ,20040930,95900058.28,1864336424.14
600678.SH,20040930,4722474.8,263247752.19
000817.SZ,20040930,639996619.71,1049708133.49
000732.SZ,20040930,2428309.95,586107553.57
000005.SZ,20040930,-29082064.92,57584186.21
000062.SZ,20040930,36842748.96,1141649714.05
000019.SZ,20040930,4938405.5,53108731.4
000911.SZ,20040930,125302893.46,1140311252.08
000858.SZ,20040930,1040620501.92,4578081987.81
000501.SZ,20040930,42580512.82,3012092011.12
000960.SZ,20040930,318335199.91,2179558327.63
000985.SZ,20040930,8081546.52,518397684.99
000953.SZ,20040930,20170616.87,309868790.2
000567.SZ,20040930,8532631.47,60703715.3
000989.SZ,20040930,70893800.25,732910739.94
000752.SZ,20040930,44360009.57,140729797.34
600198.SH,20040930,-5108085.7,1880891365.96
600640.SH,20040930,-16267633.0,364880295.0
000973.SZ,20040930,70239865.71,2139549392.52
000564.SZ,20040930,19531633.05,551180387.43
600192.SH,20040930,19122098.0,725961264.73
000982.SZ,20040930,32614103.61,327583893.22
000690.SZ,20040930,29595442.33,174387430.24
600887.SH,20040930,327531225.14,6849731445.47
000717.SZ,20040930,833482442.14,7285879253.32
000049.SZ,20040930,-5930949.74,21660633.08
600650.SH,20040930,159460862.0,1460297332.0
600097.SH,20040930,4767125.85,194613785.99
600426.SH,20040930,110772018.17,704265807.68
000818.SZ,20040930,10527974.42,1723959480.65
000830.SZ,20040930,96753476.31,2047006045.62
000815.SZ,20040930,49020882.58,575873766.87
600076.SH,20040930,-157809474.26,191463287.9
000885.SZ,20040930,-40171107.86,103521026.6
600190.SH,20040930,163320191.02,374029741.07
000971.SZ,20040930,19061248.49,179433159.12
000691.SZ,20040930,-29023796.13,33310462.32
600687.SH,20040930,9308446.86,152051512.97
600263.SH,20040930,30836248.17,1906543009.94
600321.SH,20040930,29451726.41,178621448.99
000034.SZ,20040930,-245397736.24,309619773.35
000597.SZ,20040930,17755605.82,1176302927.04
000045.SZ,20040930,28154336.53,304766561.47
000639.SZ,20040930,15868265.98,106136869.8
600866.SH,20040930,42058730.34,360311881.6
600985.SH,20040930,14853942.01,85387798.1
600162.SH,20040930,97256859.96,1618698046.31
600361.SH,20040930,74536903.82,3370373652.37
000860.SZ,20040930,58481880.3,1588424996.44
000913.SZ,20040930,124081243.35,2402376194.18
000738.SZ,20040930,-24715172.11,255702724.03
600526.SH,20040930,53923857.64,614964890.59
600988.SH,20040930,16390619.06,97976715.25
600628.SH,20040930,79102909.75,1000748163.0
600320.SH,20040930,390355421.0,5223289314.0
600992.SH,20040930,40034222.46,536148741.08
600991.SH,20040930,237628816.15,2833851299.54
600038.SH,20040930,16415257.8,335549292.13
600073.SH,20040930,9703022.18,501987698.7
600056.SH,20040930,12686693.91,1779550799.38
600570.SH,20040930,-602809.22,165401604.72
600117.SH,20040930,92267916.86,1456009333.09
600562.SH,20040930,17607855.75,282971364.01
600148.SH,20040930,16935437.17,215565620.3
600553.SH,20040930,23212517.95,561331750.83
600187.SH,20040930,-189731300.99,158740610.38
600196.SH,20040930,248557986.27,1976978521.05
600581.SH,20040930,432155670.99,5014758227.29
600610.SH,20040930,3577985.54,382445450.06
600216.SH,20040930,10344165.14,1038658249.72
600624.SH,20040930,18280602.96,231847094.05
600601.SH,20040930,123217681.44,4233267607.96
600179.SH,20040930,29868027.21,634042751.99
600256.SH,20040930,277282938.59,1785719571.83
600213.SH,20040930,12849992.04,621849660.39
600618.SH,20040930,116987994.4,3675518636.84
600645.SH,20040930,-11037690.45,225598676.03
000626.SZ,20040930,91912858.38,5972895654.06
000657.SZ,20040930,12542948.39,764787391.76
000590.SZ,20040930,-8397238.89,163921860.98
000678.SZ,20040930,2413339.95,160067026.9
000701.SZ,20040930,27134417.17,1711869645.91
000710.SZ,20040930,-990574.28,80844622.49
000659.SZ,20040930,162625160.16,1381875687.79
000594.SZ,20040930,53518156.37,175646350.85
000790.SZ,20040930,3343994.44,124319947.48
000728.SZ,20040930,87283880.0,976020364.0
000753.SZ,20040930,16062510.7,94105182.42
000833.SZ,20040930,33717161.26,593966449.62
000875.SZ,20040930,73018039.93,857002257.05
