ts_code,end_date,operate_profit,total_revenue
600061.SH,20070331,3285529.9,266624813.51
600177.SH,20070331,1388962414.07,1428266419.88
002139.SZ,20070331,722448.87,67688948.61
000717.SZ,20070331,141074587.63,3215604125.08
600162.SH,20070331,-8195859.66,801456.04
000985.SZ,20070331,-2969551.84,178507655.9
000965.SZ,20070331,-4902101.6,24534483.84
600135.SH,20070331,6335103.14,221232509.28
000662.SZ,20070331,19595761.7,119380116.97
002022.SZ,20070331,27174258.63,86839678.18
002020.SZ,20070331,584135.72,125901048.07
000571.SZ,20070331,22514129.26,160690753.98
600619.SH,20070331,33710575.4,1185158358.57
600689.SH,20070331,-17776019.4,321229106.85
600729.SH,20070331,37261090.96,1544779991.23
000967.SZ,20070331,6551937.37,282003120.46
000925.SZ,20070331,8655349.86,29014816.15
000586.SZ,20070331,-8360819.05,117518992.54
002012.SZ,20070331,-18289575.84,74768870.94
600330.SH,20070331,31687677.96,212909815.9
600477.SH,20070331,5341037.2,437100531.83
600495.SH,20070331,6832168.82,173243796.38
601002.SH,20070331,14411343.49,273544188.35
600695.SH,20070331,2791770.91,176932554.34
600518.SH,20070331,33412641.36,229376860.4
600555.SH,20070331,16084639.82,197924576.65
000737.SZ,20070331,47100801.93,709845111.52
000419.SZ,20070331,19047225.13,360815618.58
600139.SH,20070331,-2562191.29,4986108.79
600076.SH,20070331,-14042496.14,3974861.27
600234.SH,20070331,-2754894.01,41995985.72
600475.SH,20070331,47187911.55,633899296.54
600889.SH,20070331,5905673.44,182765576.92
600226.SH,20070331,19695307.68,480495870.67
000558.SZ,20070331,-2134256.97,19766056.64
000525.SZ,20070331,6186140.47,471438959.78
600593.SH,20070331,-13016286.13,10500189.56
600623.SH,20070331,13253270.6,1642728757.98
600106.SH,20070331,19289453.92,49505348.3
600985.SH,20070331,4866548.36,44948537.39
000890.SZ,20070331,8665004.88,480098086.44
000595.SZ,20070331,-18512265.44,128207684.5
600700.SH,20070331,-17625872.16,29671165.95
600832.SH,20070331,141829815.55,339496582.4
600340.SH,20070331,-5977438.01,47495712.5
600178.SH,20070331,24920886.75,428425254.8
600348.SH,20070331,223401507.19,2497976711.74
002111.SZ,20070331,9678039.15,65479895.55
000905.SZ,20070331,41501460.37,306590787.32
000862.SZ,20070331,2135588.22,68417370.66
000848.SZ,20070331,60018064.36,654067187.74
000979.SZ,20070331,-25667259.47,63648018.93
000966.SZ,20070331,21252246.78,1006451458.58
002119.SZ,20070331,9451307.74,140104951.2
600070.SH,20070331,22973851.31,111257539.89
600762.SH,20070331,102233.06,611670.0
600152.SH,20070331,9649374.33,485720351.35
600039.SH,20070331,14193041.58,335309219.53
002129.SZ,20070331,30390232.08,129750955.09
000993.SZ,20070331,3021427.87,56124339.5
600351.SH,20070331,13716768.63,211281813.2
600461.SH,20070331,9172179.58,40723160.08
600281.SH,20070331,21821019.03,734623070.4
000519.SZ,20070331,318134.6,53132262.43
600535.SH,20070331,17500625.31,639695561.32
000656.SZ,20070331,4363601.7,3049388.6
000592.SZ,20070331,-456600.87,74170.55
600361.SH,20070331,78505179.25,1968544625.33
002006.SZ,20070331,1882234.93,98710823.79
000807.SZ,20070331,115912796.91,1708005973.37
000502.SZ,20070331,7886419.19,57917430.21
600881.SH,20070331,100468089.49,664371018.0
000756.SZ,20070331,13833723.26,482371085.2
600253.SH,20070331,6874411.69,358893932.47
000548.SZ,20070331,254156510.93,308498221.14
600370.SH,20070331,25117982.39,348841215.24
000670.SZ,20070331,-23068870.2,202681927.22
000425.SZ,20070331,5945437.39,689184210.03
002134.SZ,20070331,13147057.89,83822546.84
000998.SZ,20070331,16646381.16,156280968.41
002013.SZ,20070331,3328740.36,47555114.28
000554.SZ,20070331,32133633.73,711250162.17
600502.SH,20070331,15686071.92,332588049.53
600372.SH,20070331,-87596484.33,964188254.62
600363.SH,20070331,16837618.89,414248515.72
000033.SZ,20070331,-1859763.14,16427420.37
000011.SZ,20070331,-6518944.23,63516477.63
600426.SH,20070331,95061380.46,563357346.82
002073.SZ,20070331,28438642.35,98231193.34
600323.SH,20070331,30995470.76,83021737.84
600097.SH,20070331,1459945.49,41898701.01
601975.SH,20070331,60835652.93,289550297.06
600545.SH,20070331,-17295658.69,81176276.54
600774.SH,20070331,-3523569.76,150202723.08
000002.SZ,20070331,829587980.15,4114138824.22
600493.SH,20070331,3809244.14,101975737.49
000726.SZ,20070331,109592935.04,790107973.28
000778.SZ,20070331,230826124.85,3127397876.58
002057.SZ,20070331,2067730.44,51816237.97
000852.SZ,20070331,37819446.26,223898732.27
000819.SZ,20070331,22973586.86,406739885.21
000731.SZ,20070331,79463210.1,473136712.43
600721.SH,20070331,-314388.37,9299291.78
002061.SZ,20070331,2339081.89,186572525.91
002087.SZ,20070331,21618542.06,354847856.31
000988.SZ,20070331,12316934.43,220888039.76
002001.SZ,20070331,1143246.95,373825395.18
600007.SH,20070331,102490834.0,212753002.0
000750.SZ,20070331,-13986224.51,46782970.83
600193.SH,20070331,60570359.24,2000000.0
600062.SH,20070331,73189204.92,1003079474.87
600028.SH,20070331,28166000000.0,278250000000.0
600834.SH,20070331,38266565.26,201598143.83
600313.SH,20070331,-8001128.28,59983918.8
600359.SH,20070331,-791151.76,121762822.95
600859.SH,20070331,118786842.01,2360918791.67
601007.SH,20070331,14271790.18,114905660.5
600367.SH,20070331,31524792.97,236942821.15
600605.SH,20070331,1034631.54,198217416.16
600171.SH,20070331,6994443.76,93703897.79
600696.SH,20070331,1671683.66,76142017.88
600681.SH,20070331,-8425501.8,2222454.41
000513.SZ,20070331,154054308.79,390844167.97
000050.SZ,20070331,16999719.88,353680370.72
600703.SH,20070331,-12652748.87,71205.82
600584.SH,20070331,19261614.72,442693901.75
000625.SZ,20070331,180595617.0,3749324394.0
600031.SH,20070331,474990178.19,1872422572.44
600069.SH,20070331,35425465.52,426711303.59
000617.SZ,20070331,26683664.56,221686890.62
000573.SZ,20070331,6947060.27,102704895.75
600084.SH,20070331,-84298969.76,87801276.48
600141.SH,20070331,8683045.26,319602465.68
600511.SH,20070331,54382652.54,840775944.95
600546.SH,20070331,5608950.76,421243258.93
600580.SH,20070331,18218160.24,277891184.46
600637.SH,20070331,6066477.93,906368879.58
601666.SH,20070331,345651617.08,2319223878.53
000623.SZ,20070331,379277628.13,204050021.64
000045.SZ,20070331,2364797.45,101630114.29
600830.SH,20070331,25335364.88,279976003.96
000913.SZ,20070331,40184600.06,1176898785.31
000099.SZ,20070331,12987484.62,103538737.24
600146.SH,20070331,-2436381.44,23118766.59
000603.SZ,20070331,1224871.94,4814504.8
600862.SH,20070331,3272377.5,107584356.45
600520.SH,20070331,1714550.79,63200545.28
600661.SH,20070331,3346059.65,110335648.24
000705.SZ,20070331,2328866.83,248845048.1
000738.SZ,20070331,3386359.74,82612854.64
000687.SZ,20070331,18651866.24,241477628.77
000563.SZ,20070331,5602304.15,17512285.24
000668.SZ,20070331,17647865.25,796495585.6
600745.SH,20070331,-2245834.26,167968.38
000909.SZ,20070331,2025717.62,133936587.09
000889.SZ,20070331,2111072.0,184920503.8
000950.SZ,20070331,46899999.54,210267028.75
002086.SZ,20070331,3032771.6,75578942.84
002135.SZ,20070331,19732269.8,437301048.92
002128.SZ,20070331,277915544.87,675636075.67
002136.SZ,20070331,8290897.09,76453248.91
002125.SZ,20070331,2506283.47,78019352.22
600222.SH,20070331,1871593.93,76385465.07
000681.SZ,20070331,-5780432.26,5435924.33
600647.SH,20070331,689968.79,13778712.44
000557.SZ,20070331,-3010728.24,8137483.12
600549.SH,20070331,47514593.48,824167049.61
600150.SH,20070331,117605486.68,698942183.07
600660.SH,20070331,174961773.0,1104766688.0
600780.SH,20070331,61762618.02,583760066.36
600587.SH,20070331,4396467.08,116204836.86
600687.SH,20070331,1209266.34,103513372.62
600861.SH,20070331,37360587.8,488735580.42
600537.SH,20070331,3263557.44,84071111.33
600525.SH,20070331,19157861.02,148939113.35
600354.SH,20070331,-6893945.2,163174932.47
600665.SH,20070331,-3094608.2,84166874.27
000504.SZ,20070331,1374122.54,38858968.54
002114.SZ,20070331,10914792.89,255188473.8
000404.SZ,20070331,3170396.61,570433220.54
000529.SZ,20070331,-14883559.41,49146869.62
002003.SZ,20070331,10846181.95,152130133.34
000553.SZ,20070331,7697288.37,349890768.59
000605.SZ,20070331,-5136847.24,5727904.58
600788.SH,20070331,-676179.07,1645.19
002063.SZ,20070331,8546073.06,25828477.22
600112.SH,20070331,6047665.66,74494367.31
600250.SH,20070331,4556980.83,1783197382.24
600589.SH,20070331,28095041.81,182471930.33
000793.SZ,20070331,40176125.1,160950248.54
600691.SH,20070331,-4623238.94,7501911.8
600814.SH,20070331,29648381.92,375676066.17
600734.SH,20070331,-12651978.49,77743199.64
600894.SH,20070331,15120678.98,1286586386.48
600857.SH,20070331,2760736.91,229945824.78
000026.SZ,20070331,14110545.57,179254274.88
600756.SH,20070331,-1012094.41,103224925.47
000534.SZ,20070331,70467827.3,335948012.5
000511.SZ,20070331,41858862.88,243255334.66
002015.SZ,20070331,11033768.75,135497186.72
000930.SZ,20070331,-241091594.86,1001209185.66
000996.SZ,20070331,2019521.84,43680980.73
000815.SZ,20070331,13634781.97,247337214.7
600728.SH,20070331,-3232181.4,45365861.74
002049.SZ,20070331,5359082.58,49377266.25
002008.SZ,20070331,18038930.14,224471278.35
002037.SZ,20070331,7884167.92,100325334.1
000669.SZ,20070331,2228737.92,17856298.08
000722.SZ,20070331,-27481739.15,107329625.87
000798.SZ,20070331,-1586420.65,38480635.8
000691.SZ,20070331,-7449108.58,53031471.4
000787.SZ,20070331,-2463427.16,5424292.29
000792.SZ,20070331,388975479.3,675937840.95
000876.SZ,20070331,76678615.34,878415271.41
000049.SZ,20070331,-4246239.49,125006363.65
002108.SZ,20070331,1957334.79,40538336.22
000922.SZ,20070331,-13015356.36,30093204.24
000952.SZ,20070331,7148007.89,121907113.69
000929.SZ,20070331,14900010.87,212173905.14
000959.SZ,20070331,203133844.72,6267134926.87
600098.SH,20070331,765605561.22,1274177265.22
600082.SH,20070331,4088034.7,79157288.65
600812.SH,20070331,20182966.13,898907607.14
600798.SH,20070331,56985894.74,243033658.56
600821.SH,20070331,2750406.05,434971334.17
600743.SH,20070331,-831324.27,36058129.85
600054.SH,20070331,2443201.9,97022359.71
600215.SH,20070331,-40913463.49,73486383.15
600208.SH,20070331,43924542.44,400756192.41
600306.SH,20070331,2922063.55,452193242.3
600273.SH,20070331,6470149.36,212381057.85
600298.SH,20070331,26972682.4,221978104.65
600199.SH,20070331,11389897.87,238426859.04
600378.SH,20070331,6006628.1,72428776.77
600446.SH,20070331,4180979.02,178994455.35
600969.SH,20070331,27444694.48,277684853.87
600505.SH,20070331,3092880.12,66450821.73
600483.SH,20070331,2520061.98,204177816.59
600500.SH,20070331,156218972.1,4073921242.78
600543.SH,20070331,3649155.64,98733267.61
000028.SZ,20070331,37283794.01,1489858763.91
600851.SH,20070331,-14198233.52,245148756.33
600560.SH,20070331,6602444.56,85015000.22
600657.SH,20070331,-22391360.98,195485553.61
600671.SH,20070331,2201324.59,68438766.38
600590.SH,20070331,9197905.39,166866808.02
000089.SZ,20070331,140214050.05,290181981.28
