ts_code,ann_date,f_ann_date,end_date,operate_profit
300866.SZ,20161001,20161001,20141231,18152057.88
300869.SZ,20160101,20160101,20141231,49453785.04
300888.SZ,20170428,20170428,20141231,151383597.14
300896.SZ,20170707,20170707,20141231,33074212.55
300972.SZ,20150807,20170428,20141231,29209633.74
301165.SZ,20150402,20150402,20141231,
301200.SZ,20150421,20150421,20141231,
301301.SZ,20150331,20150331,20141231,
600088.SH,20150428,20150428,20141231,64576951.19
600089.SH,20150414,20150414,20141231,1693165981.83
600094.SH,20150321,20150321,20141231,814252974.4
600095.SH,20150325,20150325,20141231,15157237.25
600096.SH,20150331,20150331,20141231,-2749808845.85
600098.SH,20150424,20150424,20141231,2146779100.13
600100.SH,20150428,20150428,20141231,1129416937.15
600104.SH,20150403,20150403,20141231,40333768506.3
600108.SH,20150424,20150424,20141231,200628077.84
600109.SH,20150316,20150316,20141231,1069160410.73
600111.SH,20150403,20150403,20141231,370010851.03
600112.SH,20150425,20150425,20141231,17926124.72
600115.SH,20150328,20150328,20141231,-400000000.0
600118.SH,20150320,20150320,20141231,410263086.63
600120.SH,20150403,20160315,20141231,900726672.06
600122.SH,20150327,20150327,20141231,528088557.76
600125.SH,20150319,20150319,20141231,416144149.0
600126.SH,20150418,20150418,20141231,-43294886.12
600129.SH,20150321,20150321,20141231,-260931571.54
600131.SH,20150404,20150404,20141231,132679884.49
600132.SH,20150410,20150410,20141231,28705746.09
600138.SH,20150418,20150418,20141231,631949615.15
600141.SH,20150310,20150310,20141231,566380918.49
600143.SH,20150421,20150421,20141231,450707610.11
600905.SH,20150812,20150812,20141231,
601156.SH,20150328,20150328,20141231,
601179.SH,20150402,20150402,20141231,786550481.7
601186.SH,20150331,20150331,20141231,14380590000.0
601187.SH,20180313,20180313,20141231,936556293.29
601198.SH,20150331,20150331,20141231,1266722174.93
601200.SH,20150430,20150430,20141231,294966804.57
601211.SH,20150610,20150610,20141231,9179616614.0
601212.SH,20161228,20161228,20141231,392592372.37
601216.SH,20150429,20150429,20141231,824379134.18
601225.SH,20150425,20150425,20141231,3585076313.48
601226.SH,20150409,20150409,20141231,424984124.09
601228.SH,20170309,20170309,20141231,1125375509.27
601229.SH,20160926,20160926,20141231,14068597000.0
601231.SH,20150327,20150327,20141231,798889651.38
601233.SH,20150414,20150414,20141231,100605172.62
601236.SH,20170714,20170714,20141231,643297600.0
601238.SH,20150326,20150326,20141231,2695883680.0
601258.SH,20150422,20150422,20141231,282952398.0
