ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,revenue,total_revenue,oper_cost,operate_profit,total_profit,n_income,basic_eps
600816.SH,20160118,20160118,20151231,1,2,2954767340.15,2954767340.15,,2305635038.88,2361435670.42,1722148466.81,1.0482
002359.SZ,20160125,20160125,20151231,1,1,661564256.45,661564256.45,505388626.41,10129156.62,11164612.92,11289868.39,0.0273
600722.SH,20160129,20160129,20151231,1,1,600026066.11,600026066.11,548221710.59,318935638.06,251846096.2,253494193.77,0.3593
600829.SH,20160130,20160130,20151231,1,1,8909315338.14,8909315338.14,7921418145.06,220095415.05,229380984.81,132542761.76,0.2396
600063.SH,20160129,20160129,20151231,1,1,3484643313.2,3484643313.2,2826648064.89,107178818.29,137919160.54,109231224.99,0.07
000583.SZ,20160127,20160127,20151231,1,1,,,,-62098346.11,-62098346.11,-62098346.11,-0.27
002192.SZ,20160122,20160122,20151231,1,1,232451228.88,232451228.88,151656546.16,11595281.55,19402434.59,15940089.67,0.06
000838.SZ,20160116,20160116,20151231,1,1,667877093.3,667877093.3,435264047.05,44488783.6,61157265.32,77515248.82,0.3913
000836.SZ,20160123,20160123,20151231,1,1,1607973181.04,1607973181.04,1499940996.9,-108142729.58,168144819.09,133241946.29,0.3585
600116.SH,20160126,20160126,20151231,1,1,1315752891.93,1315752891.93,935004567.91,195507470.11,223848135.04,181467486.23,0.64
688180.SH,20160130,20160130,20151231,1,1,2886792.42,2886792.42,132694.0,-64397526.01,-58740138.22,-57970315.88,-3.94
300351.SZ,20160128,20160128,20151231,1,1,511128439.46,511128439.46,281006665.19,127948215.19,131629860.64,112365719.45,0.3404
000667.SZ,20160116,20160116,20151231,1,1,4678805867.25,4678805867.25,3331564001.96,588228264.67,583893877.13,424806708.11,0.1673
002654.SZ,20160126,20160126,20151231,1,1,839010234.75,839010234.75,590021174.64,60186887.44,65674114.99,56662300.91,0.26
300301.SZ,20160127,20160127,20151231,1,1,1418532229.21,1418532229.21,1050479558.3,135276722.15,147009984.31,133099762.86,0.1536
000711.SZ,20160126,20160126,20151231,1,1,72088308.76,72088308.76,30878005.99,15443496.27,-5851073.55,-10005884.89,0.23
300298.SZ,20160130,20160130,20151231,1,1,645500737.1,645500737.1,220989338.15,138026949.22,161683054.61,143113598.84,0.5509
002099.SZ,20160122,20160122,20151231,1,1,2464495533.58,2464495533.58,1325173617.15,613166146.02,624241430.83,509496696.88,0.71
002572.SZ,20160128,20160128,20151231,1,1,3195738720.76,3195738720.76,1987755221.4,599981254.68,605781824.22,451890336.2,1.04
000627.SZ,20160130,20160130,20151231,1,1,541107136.94,541107136.94,517971757.59,332192780.9,334433476.51,250538477.4,0.18
002168.SZ,20160129,20160129,20151231,1,1,209370332.34,209370332.34,137875211.36,128793998.66,135297583.66,123224476.94,0.17
300401.SZ,20160126,20160126,20151231,1,1,151221057.4,151221057.4,95759030.59,6786489.77,11778192.78,12074699.33,0.07
000563.SZ,20160226,20160226,20151231,1,2,1150972386.44,1150972386.44,,607704369.59,608169639.01,453951218.69,0.3654
601788.SH,20160227,20160227,20151231,1,4,16571087246.74,16571087246.74,,9744771385.15,9846289439.29,7746855227.19,2.1354
002402.SZ,20160203,20160203,20151231,1,1,1110572016.89,1110572016.89,876449140.04,85907334.56,87907350.75,75188419.45,0.23
300054.SZ,20160223,20160223,20151231,1,1,1049836364.32,1049836364.32,694824168.14,207830748.26,218485589.03,186510985.97,0.36
002745.SZ,20160229,20160229,20151231,1,1,3881608744.46,3881608744.46,3066813783.53,270585428.02,301139620.03,257633872.94,0.58
601020.SH,20160225,20160225,20151231,1,1,598353200.33,598353200.33,255641982.94,171130163.86,191402488.45,159301181.66,0.35
601678.SH,20160226,20160407,20151231,1,1,4816142282.84,4816142282.84,3597088747.81,551222433.13,547659780.84,379194240.5,0.44
300014.SZ,20160229,20160229,20151231,1,1,1348932918.09,1348932918.09,972127062.12,134629297.2,180912226.92,166006810.74,0.38
300033.SZ,20160205,20160205,20151231,1,1,1441944901.94,1441944901.94,169284408.61,1088431129.99,1120061286.43,957222809.96,1.78
002349.SZ,20160202,20160202,20151231,1,1,780334010.0,780334010.0,479698069.73,92989332.32,96723969.63,81841950.23,0.2984
002301.SZ,20160220,20160220,20151231,1,1,1581896640.87,1581896640.87,1312347377.26,-4966923.46,4113632.05,19809763.07,0.05
002772.SZ,20160226,20160226,20151231,1,1,479520220.22,479520220.22,282059916.07,104422039.81,115007021.6,115007021.6,0.88
300437.SZ,20160219,20160219,20151231,1,1,398033574.94,398033574.94,304699043.78,39280414.18,44704602.56,39121553.86,0.6399
300453.SZ,20160225,20160225,20151231,1,1,311848211.72,311848211.72,203427481.65,52290034.17,60376122.96,51876399.02,0.73
603678.SH,20160229,20160229,20151231,1,1,1084322253.2,1084322253.2,777623308.76,178630057.72,185922977.8,152801318.07,0.94
300450.SZ,20160217,20160217,20151231,1,1,536110765.3,536110765.3,305325072.09,130545446.78,170256998.74,145560757.38,1.74
603968.SH,20160225,20160225,20151231,1,1,1242089005.49,1242089005.49,1012464178.46,102814580.76,117925499.85,103892892.33,0.57
002730.SZ,20160229,20160229,20151231,1,1,528292701.92,528292701.92,354492326.54,35937324.55,68214543.65,56247462.87,0.37
300443.SZ,20160224,20160224,20151231,1,1,661204133.66,661204133.66,434791747.45,183044279.03,190842666.24,145267746.87,2.77
002732.SZ,20160204,20160204,20151231,1,1,1032433862.0,1032433862.0,660541635.5,122841786.64,122195229.07,95876880.34,0.61
