ts_code,ann_date,end_date,operate_profit
688536.SH,20200901,20200630,120617877.02
300104.SZ,20200901,20200630,-297529234.54
002509.SZ,20200901,20200630,-215607369.46
000975.SZ,20200831,20200630,827435287.31
603737.SH,20200831,20200630,160025828.4
601212.SH,20200831,20200630,-410906162.11
000651.SZ,20200831,20200630,7581755754.57
002212.SZ,20200831,20200630,-248589836.32
601858.SH,20200831,20200630,115411608.62
603127.SH,20200831,20200630,84307594.93
688169.SH,20200831,20200630,542831341.0
000652.SZ,20200831,20200630,8785239.34
000792.SZ,20200831,20200630,1762630638.35
601058.SH,20200831,20200630,727496864.19
600900.SH,20200831,20200630,9746736925.32
002941.SZ,20200831,20200630,125427262.43
000969.SZ,20200831,20200630,149829432.43
600905.SH,20200831,20200630,2629722188.63
000425.SZ,20200831,20200630,2390361603.15
601868.SH,20200831,20200630,3185667114.79
002005.SZ,20200831,20200630,-157258534.39
002081.SZ,20200831,20200630,1171457431.14
600811.SH,20200831,20200630,353683229.02
603328.SH,20200831,20200630,149359067.88
000021.SZ,20200831,20200630,327221116.05
600600.SH,20200831,20200630,2575396302.0
000592.SZ,20200831,20200630,-133982.6
000625.SZ,20200831,20200630,2811726891.52
000917.SZ,20200831,20200630,-191882283.25
600803.SH,20200831,20200630,4382589270.92
000587.SZ,20200831,20200630,-1434484014.92
600776.SH,20200831,20200630,37686361.81
002867.SZ,20200831,20200630,428228841.55
601991.SH,20200831,20200630,3470181000.0
600759.SH,20200831,20200630,-182842709.59
601698.SH,20200831,20200630,293944249.95
002250.SZ,20200831,20200630,197436190.33
000564.SZ,20200831,20200630,-157579617.07
002120.SZ,20200831,20200630,886641588.91
600751.SH,20200831,20200630,1105723000.0
001289.SZ,20200831,20200630,4631077060.93
600745.SH,20200831,20200630,2108861556.82
600783.SH,20200831,20200630,24974600.05
600760.SH,20200831,20200630,1007133667.09
600487.SH,20200831,20200630,499351712.46
002408.SZ,20200831,20200630,607243278.26
000876.SZ,20200831,20200630,4112274025.33
000034.SZ,20200831,20200630,402848556.74
601019.SH,20200831,20200630,425321325.26
002466.SZ,20200831,20200630,-140595635.78
002371.SZ,20200831,20200630,250762167.97
002375.SZ,20200831,20200630,150894351.94
002422.SZ,20200831,20200630,280325582.0
603026.SH,20200831,20200630,-26811545.18
000616.SZ,20200831,20200630,-29951211.36
000156.SZ,20200831,20200630,316832504.88
002044.SZ,20200831,20200630,-1034051387.0
000680.SZ,20200831,20200630,69432714.49
603993.SH,20200831,20200630,350515893.83
002266.SZ,20200831,20200630,743764742.39
688009.SH,20200831,20200630,2241794217.22
002761.SZ,20200831,20200630,693424449.67
002254.SZ,20200831,20200630,145290252.87
002555.SZ,20200831,20200630,1998339298.26
000333.SZ,20200831,20200630,16375411000.0
002019.SZ,20200831,20200630,844761651.93
000939.SZ,20200831,20200630,-846109903.74
600496.SH,20200831,20200630,279085134.73
002635.SZ,20200831,20200630,-784864958.94
000301.SZ,20200831,20200630,870208.13
002607.SZ,20200831,20200630,-223903279.88
688122.SH,20200831,20200630,146159314.36
600567.SH,20200831,20200630,666281589.42
600522.SH,20200831,20200630,1379451251.18
600521.SH,20200831,20200630,741229165.14
600497.SH,20200831,20200630,477502495.52
600562.SH,20200831,20200630,222773995.74
600010.SH,20200831,20200630,350944726.98
600177.SH,20200831,20200630,3148664254.42
600151.SH,20200831,20200630,-135646900.14
600112.SH,20200831,20200630,-53477751.18
600028.SH,20200831,20200630,-27723000000.0
600428.SH,20200831,20200630,66491168.9
301301.SZ,20200831,20200630,
002572.SZ,20200831,20200630,440464735.49
601118.SH,20200829,20200630,-246190347.58
601326.SH,20200829,20200630,714513029.46
001965.SZ,20200829,20200630,-430358974.7
002707.SZ,20200829,20200630,-264540960.2
601088.SH,20200829,20200630,31271000000.0
002018.SZ,20200829,20200630,-39768689.08
601021.SH,20200829,20200630,-554353918.0
002024.SZ,20200829,20200630,-614697000.0
601111.SH,20200829,20200630,-13086430000.0
000900.SZ,20200829,20200630,212424624.72
000898.SZ,20200829,20200630,639000000.0
000977.SZ,20200829,20200630,468358469.9
601515.SH,20200829,20200630,309549351.77
601390.SH,20200829,20200630,15271893000.0
601360.SH,20200829,20200630,1352498000.0
000958.SZ,20200829,20200630,1907252703.61
002030.SZ,20200829,20200630,879632794.75
000959.SZ,20200829,20200630,755747925.92
601238.SH,20200829,20200630,2240231311.0
001872.SZ,20200829,20200630,2306315928.4
601233.SH,20200829,20200630,1032533602.07
600787.SH,20200829,20200630,119738484.13
000951.SZ,20200829,20200630,1266565016.14
000061.SZ,20200829,20200630,395633158.18
600654.SH,20200829,20200630,-127534080.0
600645.SH,20200829,20200630,107542211.21
601200.SH,20200829,20200630,455737646.62
002304.SZ,20200829,20200630,7190208616.86
002594.SZ,20200829,20200630,2948123000.0
002325.SZ,20200829,20200630,38817321.32
002506.SZ,20200829,20200630,-191020508.02
002411.SZ,20200829,20200630,197637231.81
600651.SH,20200829,20200630,656447150.54
002202.SZ,20200829,20200630,1440453732.98
600682.SH,20200829,20200630,597430107.51
600685.SH,20200829,20200630,2957453725.58
600837.SH,20200829,20200630,7822878277.05
600996.SH,20200829,20200630,-82006115.98
600978.SH,20200829,20200630,-604149225.24
600977.SH,20200829,20200630,-568176630.63
600917.SH,20200829,20200630,170739188.76
600880.SH,20200829,20200630,51011106.77
002078.SZ,20200829,20200630,1104093057.99
600859.SH,20200829,20200630,73865000.28
600850.SH,20200829,20200630,157933794.13
600827.SH,20200829,20200630,672363502.42
600687.SH,20200829,20200630,-184543974.49
601018.SH,20200829,20200630,2162121000.0
600754.SH,20200829,20200630,190842645.7
601186.SH,20200829,20200630,13312053000.0
000887.SZ,20200829,20200630,160114055.16
000536.SZ,20200829,20200630,-719361367.44
000623.SZ,20200829,20200630,1025523307.65
000538.SZ,20200829,20200630,2832648920.85
603355.SH,20200829,20200630,283301841.08
000596.SZ,20200829,20200630,1380775544.12
603699.SH,20200829,20200630,298792649.21
603688.SH,20200829,20200630,137325355.14
603658.SH,20200829,20200630,316497006.21
000572.SZ,20200829,20200630,-186673229.75
601618.SH,20200829,20200630,5322678000.0
000511.SZ,20200829,20200630,-6750663.64
603555.SH,20200829,20200630,-154418072.77
600718.SH,20200829,20200630,-10935413.0
000028.SZ,20200829,20200630,1014108219.18
600690.SH,20200829,20200630,4259827923.82
002624.SZ,20200829,20200630,1337577229.92
600739.SH,20200829,20200630,1105475051.61
600699.SH,20200829,20200630,-904598736.3
600732.SH,20200829,20200630,166005321.32
600601.SH,20200829,20200630,-69571260.86
600614.SH,20200829,20200630,-51011001.98
000627.SZ,20200829,20200630,548178387.29
000630.SZ,20200829,20200630,597515562.42
000997.SZ,20200829,20200630,266760699.44
601258.SH,20200829,20200630,71701539.0
