ts_code,ann_date,end_date,operate_profit
001221.SZ,20250711,20231231,383078476.59
603262.SH,20250704,20231231,184723298.63
301609.SZ,20250704,20231231,116640225.94
600930.SH,20250627,20231231,11398612508.0
301630.SZ,20250627,20231231,192504538.46
001388.SZ,20250612,20231231,134607611.27
301678.SZ,20250530,20231231,170654943.64
603400.SH,20250530,20231231,131437609.15
603049.SH,20250515,20231231,2686126560.07
301590.SZ,20250515,20231231,304188094.55
001390.SZ,20250509,20231231,121863868.7
603014.SH,20250425,20231231,526815583.32
301595.SZ,20250424,20231231,98174646.43
301636.SZ,20250417,20231231,136938003.86
001400.SZ,20250411,20231231,171810123.35
301560.SZ,20250403,20231231,85147114.94
603202.SH,20250403,20231231,992385643.65
301662.SZ,20250327,20231231,345284906.13
001335.SZ,20250321,20231231,104270588.18
603210.SH,20250320,20231231,186505607.36
301665.SZ,20250320,20231231,382901566.55
301658.SZ,20250314,20231231,388156976.63
301616.SZ,20250313,20231231,81383166.84
603257.SH,20250313,20231231,166722265.98
301629.SZ,20250307,20231231,97477578.93
301535.SZ,20250306,20231231,94504265.21
001382.SZ,20250228,20231231,218553576.52
603124.SH,20250228,20231231,164043099.18
301501.SZ,20250227,20231231,258859766.77
301479.SZ,20250221,20231231,132267283.28
301275.SZ,20250220,20231231,784953573.36
603271.SH,20250220,20231231,240503174.75
301557.SZ,20250214,20231231,100960949.07
603409.SH,20250213,20231231,170503136.98
301173.SZ,20250212,20231231,208063813.6
603120.SH,20250113,20231231,105080874.31
001395.SZ,20250108,20231231,111376070.53
001356.SZ,20250103,20231231,250047574.05
301602.SZ,20250102,20231231,128788998.72
603382.SH,20241231,20231231,165699519.64
301601.SZ,20241226,20231231,105052949.45
301458.SZ,20241220,20231231,104180854.07
301581.SZ,20241219,20231231,190814218.48
603072.SH,20241212,20231231,183311108.96
001391.SZ,20241211,20231231,1565145441.0
603194.SH,20241205,20231231,990118790.67
301598.SZ,20241205,20231231,107288738.93
301585.SZ,20241128,20231231,105863433.93
301617.SZ,20241120,20231231,208279520.46
301622.SZ,20241114,20231231,155317901.54
603395.SH,20241107,20231231,171659624.42
301631.SZ,20241031,20231231,308295223.07
301633.SZ,20241023,20231231,96094167.81
301628.SZ,20241017,20231231,100628831.52
603205.SH,20241017,20231231,134902475.3
688726.SH,20241010,20231231,457380215.16
301592.SZ,20241009,20231231,107608384.47
301626.SZ,20240927,20231231,172596174.37
301613.SZ,20240926,20231231,226847017.88
301556.SZ,20240920,20231231,128696833.35
301522.SZ,20240920,20231231,165080561.49
001279.SZ,20240913,20231231,103740580.84
301618.SZ,20240913,20231231,93413149.78
301551.SZ,20240905,20231231,284439653.31
688615.SH,20240905,20231231,322868252.85
603091.SH,20240829,20231231,278103553.35
301600.SZ,20240829,20231231,143373776.85
001277.SZ,20240821,20231231,204182294.46
301607.SZ,20240816,20231231,93271292.26
301586.SZ,20240809,20231231,115469699.28
603207.SH,20240807,20231231,236179914.5
301571.SZ,20240802,20231231,142976444.33
301611.SZ,20240726,20231231,87543802.75
603310.SH,20240726,20231231,585472132.26
688721.SH,20240718,20231231,95420559.19
301608.SZ,20240712,20231231,191517993.28
603391.SH,20240712,20231231,315624089.77
301606.SZ,20240705,20231231,437733494.78
301552.SZ,20240627,20231231,164639419.38
301603.SZ,20240621,20231231,190036371.82
603285.SH,20240618,20231231,219972189.38
603350.SH,20240614,20231231,169005999.36
603381.SH,20240606,20231231,413352062.09
301580.SZ,20240606,20231231,171231325.02
301565.SZ,20240531,20231231,233589178.8
300784.SZ,20240524,20231231,84295378.66
688692.SH,20240523,20231231,310677069.57
301392.SZ,20240516,20231231,87584997.53
000046.SZ,20240501,20231231,-9884259536.89
000540.SZ,20240501,20231231,-13209674546.77
600086.SH,20240501,20231231,-1703397575.91
300202.SZ,20240501,20231231,-162057651.2
603555.SH,20240501,20231231,-559307691.7
600466.SH,20240501,20231231,-15981434469.56
600393.SH,20240501,20231231,-2322610172.13
600978.SH,20240501,20231231,-1429467447.52
688443.SH,20240430,20231231,-801315880.79
002421.SZ,20240430,20231231,110083320.82
000980.SZ,20240430,20231231,-975676100.03
603818.SH,20240430,20231231,-334107378.8
603598.SH,20240430,20231231,64027953.12
603638.SH,20240430,20231231,329781873.34
002801.SZ,20240430,20231231,129309480.26
300518.SZ,20240430,20231231,-208028717.41
603612.SH,20240430,20231231,-890898901.09
603883.SH,20240430,20231231,1398129589.0
002780.SZ,20240430,20231231,30507510.28
000919.SZ,20240430,20231231,116997804.74
688133.SH,20240430,20231231,85549745.7
600751.SH,20240430,20231231,242376757.82
920970.BJ,20240430,20231231,-1868295.09
605288.SH,20240430,20231231,131465818.1
600886.SH,20240430,20231231,14048288438.01
002517.SZ,20240430,20231231,1697666869.01
600398.SH,20240430,20231231,3610681044.21
688075.SH,20240430,20231231,167484361.63
688265.SH,20240430,20231231,-29801202.47
000663.SZ,20240430,20231231,194451989.6
688227.SH,20240430,20231231,-18680619.58
688458.SH,20240430,20231231,19511833.69
000547.SZ,20240430,20231231,-2286393349.28
688349.SH,20240430,20231231,2376345000.0
688237.SH,20240430,20231231,25970110.61
600366.SH,20240430,20231231,-310291506.97
688596.SH,20240430,20231231,440403321.83
688071.SH,20240430,20231231,-23633700.2
002520.SZ,20240430,20231231,-670388815.39
600167.SH,20240430,20231231,1064891942.22
920057.BJ,20240430,20231231,39369389.54
002235.SZ,20240430,20231231,-101635662.7
002375.SZ,20240430,20231231,269514228.38
688533.SH,20240430,20231231,186168282.07
000955.SZ,20240430,20231231,-34766985.98
600287.SH,20240430,20231231,169036101.34
002756.SZ,20240430,20231231,4276828842.01
600623.SH,20240430,20231231,1620321057.42
000559.SZ,20240430,20231231,929909508.05
688017.SH,20240430,20231231,91583504.31
002097.SZ,20240430,20231231,27001345.64
603908.SH,20240430,20231231,137687094.25
603520.SH,20240430,20231231,49191356.28
603188.SH,20240430,20231231,-559768313.36
003016.SZ,20240430,20231231,134226825.31
603060.SH,20240430,20231231,381711831.47
603992.SH,20240430,20231231,379502588.41
002628.SZ,20240430,20231231,13873800.61
600418.SH,20240430,20231231,34779227.13
601118.SH,20240430,20231231,-1060447168.72
002929.SZ,20240430,20231231,473074913.77
000935.SZ,20240430,20231231,1136212999.79
002752.SZ,20240430,20231231,397830426.2
002875.SZ,20240430,20231231,-91096817.94
