ts_code,ann_date,end_date,operate_profit,f_ann_date,report_type,revenue,oper_cost,biz_tax_surchg,sell_exp,admin_exp,fin_exp,invest_income
000540.SZ,20260501,20251231,-2106577218.14,,,,,,,,,
002665.SZ,20260501,20251231,-459584252.38,,,,,,,,,
000587.SZ,20260501,20251231,-5860609.51,,,,,,,,,
000939.SZ,20260501,20251231,-440252708.16,,,,,,,,,
000961.SZ,20260501,20251231,-18642954211.89,,,,,,,,,
002280.SZ,20260501,20251231,-645278843.06,,,,,,,,,
002308.SZ,20260501,20251231,-215867290.12,,,,,,,,,
002505.SZ,20260501,20251231,-1611491771.35,,,,,,,,,
600277.SH,20260501,20251231,-1401007063.24,,,,,,,,,
600393.SH,20260501,20251231,-1010148544.58,,,,,,,,,
600804.SH,20260501,20251231,-755053862.67,,,,,,,,,
600328.SH,20260430,20251231,117079404.94,,,,,,,,,
002828.SZ,20260430,20251231,44228747.05,,,,,,,,,
603128.SH,20260430,20251231,639897650.72,,,,,,,,,
688573.SH,20260430,20251231,-473443310.89,,,,,,,,,
600844.SH,20260430,20251231,-208546082.82,,,,,,,,,
603358.SH,20260430,20251231,287608348.73,,,,,,,,,
605288.SH,20260430,20251231,77300403.15,,,,,,,,,
688776.SH,20260430,20251231,-115627320.45,,,,,,,,,
600779.SH,20260430,20251231,581811357.17,,,,,,,,,
688339.SH,20260430,20251231,-687389908.27,,,,,,,,,
603030.SH,20260430,20251231,-300844120.2,,,,,,,,,
688189.SH,20260430,20251231,-132578811.72,,,,,,,,,
688171.SH,20260430,20251231,25416750.0,,,,,,,,,
000981.SZ,20260430,20251231,1448441691.25,,,,,,,,,
600886.SH,20260430,20251231,16302616486.63,,,,,,,,,
600019.SH,20260430,20251231,13992724269.51,,,,,,,,,
603989.SH,20260430,20251231,301767238.73,,,,,,,,,
603880.SH,20260430,20251231,-92339281.42,,,,,,,,,
688484.SH,20260430,20251231,237021200.04,,,,,,,,,
920014.BJ,20260430,20251231,9278938.56,,,,,,,,,
688223.SH,20260430,20251231,-9201079174.19,,,,,,,,,
920263.BJ,20260430,20251231,69224.18,,,,,,,,,
600248.SH,20260430,20251231,683106358.75,,,,,,,,,
603707.SH,20260430,20251231,700868945.37,,,,,,,,,
600212.SH,20260430,20251231,22944505.77,,,,,,,,,
688239.SH,20260430,20251231,209680502.05,,,,,,,,,
603027.SH,20260430,20251231,412222320.68,,,,,,,,,
688348.SH,20260430,20251231,-149537697.99,,,,,,,,,
605287.SH,20260430,20251231,99255752.99,,,,,,,,,
002368.SZ,20260430,20251231,-795969808.52,,,,,,,,,
605008.SH,20260430,20251231,-24921778.12,,,,,,,,,
688212.SH,20260430,20251231,1172125.08,,,,,,,,,
603051.SH,20260430,20251231,-61794521.12,,,,,,,,,
600764.SH,20260430,20251231,143700582.82,,,,,,,,,
603800.SH,20260430,20251231,29217511.34,,,,,,,,,
603609.SH,20260430,20251231,140878923.72,,,,,,,,,
603876.SH,20260430,20251231,666009615.1,,,,,,,,,
688323.SH,20260430,20251231,-98410282.93,,,,,,,,,
688218.SH,20260430,20251231,-98766026.89,,,,,,,,,
920392.BJ,20260430,20251231,53197494.71,,,,,,,,,
603759.SH,20260430,20251231,209897220.82,,,,,,,,,
603222.SH,20260430,20251231,-207028771.62,,,,,,,,,
688567.SH,20260430,20251231,-626491116.74,,,,,,,,,
688625.SH,20260430,20251231,329329302.86,,,,,,,,,
688001.SH,20260430,20251231,80865631.8,,,,,,,,,
601006.SH,20260430,20251231,8648244339.0,,,,,,,,,
920895.BJ,20260430,20251231,-3760312.98,,,,,,,,,
688159.SH,20260430,20251231,21080763.54,,,,,,,,,
688133.SH,20260430,20251231,-74594633.92,,,,,,,,,
603212.SH,20260430,20251231,-320009885.69,,,,,,,,,
603215.SH,20260430,20251231,74845205.83,,,,,,,,,
