ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,end_type,basic_eps,diluted_eps,total_revenue,revenue,int_income,prem_earned,comm_income,n_commis_income,n_oth_income,n_oth_b_income,prem_income,out_prem,une_prem_reser,reins_income,n_sec_tb_income,n_sec_uw_income,n_asset_mg_income,oth_b_income,fv_value_chg_gain,invest_income,ass_invest_income,forex_gain,total_cogs,oper_cost,int_exp,comm_exp,biz_tax_surchg,sell_exp,admin_exp,fin_exp,assets_impair_loss,prem_refund,compens_payout,reser_insur_liab,div_payt,reins_exp,oper_exp,compens_payout_refu,insur_reser_refu,reins_cost_refund,other_bus_cost,operate_profit,non_oper_income,non_oper_exp,nca_disploss,total_profit,income_tax,n_income,n_income_attr_p,minority_gain,oth_compr_income,t_compr_income,compr_inc_attr_p,compr_inc_attr_m_s,ebit,ebitda,insurance_exp,undist_profit,distable_profit,rd_exp,fin_exp_int_exp,fin_exp_int_inc,transfer_surplus_rese,transfer_housing_imprest,transfer_oth,adj_lossgain,withdra_legal_surplus,withdra_legal_pubfund,withdra_biz_devfund,withdra_rese_fund,withdra_oth_ersu,workers_welfare,distr_profit_shrhder,prfshare_payable_dvd,comshare_payable_dvd,capit_comstock_div,continued_net_profit,update_flag
688981.SH,20251114,20251114.0,20250930,1.0,1.0,3.0,0.48,0.48,49510416000.0,49510416000.0,,,,,,,,,,,,,,,15721000.0,-170063000.0,-169428000.0,,45191031000.0,38048197000.0,,,220735000.0,248219000.0,2489894000.0,-555821000.0,-885231000.0,,,,,,,,,,,6189760000.0,9245000.0,15774000.0,,6183231000.0,412872000.0,5770359000.0,3818071000.0,1952288000.0,-2111734000.0,3658625000.0,2658218000.0,1000407000.0,6522999000.0,,,,,3822453000.0,1894016000.0,2307826000.0,,,,,,,,,,,,,,,5770359000.0,1.0
688235.SH,20251113,20251113.0,20250930,1.0,1.0,3.0,0.81,0.77,27595233000.0,27595233000.0,,,,,,,,,,,,,,,-17657000.0,74199000.0,-24896000.0,,26289627000.0,3721495000.0,,,90053000.0,7747123000.0,3300203000.0,117434000.0,-149739000.0,,,,,,,,,,,1544645000.0,404000.0,1830000.0,,1543219000.0,404623000.0,1138596000.0,1138596000.0,,-171941000.0,966655000.0,966655000.0,,1755356000.0,,,,,11159244000.0,243584000.0,89562000.0,,,,,,,,,,,,,,,1138596000.0,1.0
688347.SH,20251107,,20250930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-582039658.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600169.SH,20251101,,20250930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181131986.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000046.SZ,20251101,,20250930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3433974674.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600823.SH,20251101,,20250930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1771220727.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600170.SH,20251031,20251031.0,20250930,1.0,1.0,3.0,0.09,0.09,158078223852.7,158078223852.7,,,,,,,,,,,,,,,126496074.77,75193618.68,-103612317.26,,157038326407.27,143849510557.87,,,534173115.51,400124747.81,5444055971.75,1480338554.73,-121739348.41,,,,,,,,,,,1854209371.4,34749057.84,26939427.55,,1862019001.69,695606544.03,1166412457.66,1211112755.06,-44700297.4,-128586032.8,1037826424.86,1082526722.26,-44700297.4,3224646823.85,,,,,5512551979.79,1778416256.98,442748349.23,,,,,,,,,,,,,,,1166412457.66,1.0
688472.SH,20251031,20251031.0,20250930,1.0,1.0,3.0,0.27,0.27,31270481519.57,31270481519.57,,,,,,,,,,,,,,,19481157.93,-146417767.81,23481797.97,,31718947773.85,27901500869.02,,,115847604.5,819594066.16,1372497877.69,97960637.56,-766804147.2,,,,,,,,,,,1064479204.85,39716400.38,97424335.3,,1006771269.93,-4287290.96,1011058560.89,988933550.08,22125010.81,184121744.83,1195180305.72,1173055294.91,22125010.81,2091452940.77,,,,,497539309.09,437589452.21,197359408.14,,,,,,,,,,,,,,,1011058560.89,1.0
600754.SH,20251031,20251031.0,20250930,1.0,1.0,3.0,0.7,0.7,10241106635.76,10241106635.76,,,,,,,,,,,,,,,-39735649.87,194665935.43,67943850.76,,9174761587.14,6324516455.6,,,106826495.79,723454908.34,1524527208.94,479895494.81,-3359397.07,,,,,,,,,,,1223324732.14,16367425.55,42356819.6,,1197335338.09,398016203.12,799319134.97,746060648.19,53258486.78,87846832.63,887165967.6,841574784.28,45591183.32,1566469259.92,,,,,20525414.28,287723841.63,75506266.77,,,,,,,,,,,,,,,799319134.97,1.0
688220.SH,20251031,20251031.0,20250930,1.0,1.0,3.0,-0.81,-0.81,2880390411.07,2880390411.07,,,,,,,,,,,,,,,39190706.3,11426182.12,,,3323011922.42,2149448823.63,,,2984593.43,18624956.54,111361258.54,-37569503.4,-77555150.74,,,,,,,,,,,-284039905.73,423583.78,15.3,,-283616337.25,43798683.0,-327415020.25,-327415020.25,,-8525447.84,-335940468.09,-335940468.09,,-294702338.88,,,,,1004647581.4,3726297.03,-50846536.52,,,,,,,,,,,,,,,-327415020.25,1.0
000776.SZ,20251031,20251031.0,20250930,1.0,4.0,3.0,1.34,1.34,26164357851.05,26164357851.05,9002798864.92,,,13636356390.83,10765253152.54,35678409.53,,,,,6979195660.47,515508722.59,5660565268.41,107959118.19,4292329421.52,5856875719.15,846739101.53,56445114.3,11939443258.96,,7312331265.9,,159882893.3,,11847498462.46,,,,,,,,11939443258.96,,,,72280708.66,14224914592.09,210722.48,30012870.13,,14195112444.44,2317546865.63,11877565578.81,10934273133.44,943292445.37,-298034506.65,11579531072.16,10638210966.34,941320105.82,,,,,,,,,,,,,,,,,,,,,,,11877565578.81,1.0
600906.SH,20251031,20251031.0,20250930,1.0,4.0,3.0,0.2,0.2,2071821336.43,2071821336.43,520911915.45,,,1178450443.54,687943802.93,-380158.93,,,,,750646363.0,235938495.11,184751392.72,72318502.74,-19813675.69,705739545.57,,-339739.35,1227999306.11,,388183487.16,,16496250.71,,1135660553.42,,,,,,,,1227999306.11,,,,72698661.67,843822030.32,98980.13,420589.32,,843500421.13,179409548.88,664090872.25,663942426.81,148445.44,-1985671.23,662105201.02,661956755.58,148445.44,,,,,,,,,,,,,,,,,,,,,,,664090872.25,1.0
601668.SH,20251031,20251031.0,20250930,1.0,1.0,3.0,0.92,0.92,1558219881000.0,1558219881000.0,,,,,,,,,,,,,,,2137000.0,2301285000.0,2659291000.0,,1499964268000.0,1422341202000.0,,,3940501000.0,5892815000.0,22286473000.0,13556556000.0,-1782124000.0,,,,,,,,,,,61258178000.0,656432000.0,374430000.0,,61540180000.0,12198626000.0,49341554000.0,38182402000.0,11159152000.0,1446013000.0,50787567000.0,39042042000.0,11745525000.0,74120862000.0,,,,,23978992000.0,15190064000.0,2801918000.0,,,,,,,,,,,,,,,49341554000.0,1.0
600884.SH,20251031,20251031.0,20250930,1.0,1.0,3.0,0.132,0.132,14809097467.19,14809097467.19,,,,,,,,,,,,,,,-17460000.0,-20996857.08,-23672457.08,,14474295489.31,12346401482.77,,,107226531.17,213491411.13,383257697.06,421370053.05,-161744495.24,,,,,,,,,,,448507602.51,4319350.92,7739736.09,,445087217.34,116987388.64,328099828.7,283597167.78,44502660.92,66125689.92,394225518.62,349683661.11,44541857.51,1066180873.99,,,,,859031155.17,413095823.99,27339017.9,,,,,,,,,,,,,,,328099828.7,1.0
600887.SH,20251031,20251031.0,20250930,1.0,1.0,3.0,1.65,1.65,90563616525.12,90340548118.19,223068406.93,,,,,,,,,,,,,,106287335.49,174455056.36,116323298.72,,79267452283.98,58429607227.03,,,496701387.87,16552963553.94,3474093858.11,-758761889.33,-364587696.03,,,,,,,,,,,12316850731.07,48476689.27,484891970.96,,11880435449.38,1460379990.17,10420055459.21,10426102617.04,-6047157.83,736934093.93,11156989553.14,11062850301.57,94139251.57,,,,,,627680048.05,835299952.62,1658930036.99,,,,,,,,,,,,,,,10420055459.21,0.0
