ts_code,trade_date,close,pre_close,pct_chg
000300.SH,20150105,3641.541,3533.705,3.0516
000300.SH,20150106,3641.059,3641.541,-0.0132
000300.SH,20150107,3643.79,3641.059,0.075
000300.SH,20150108,3559.259,3643.79,-2.3199
000300.SH,20150109,3546.723,3559.259,-0.3522
000300.SH,20150112,3513.576,3546.723,-0.9346
000300.SH,20150113,3514.04,3513.576,0.0132
000300.SH,20150114,3502.423,3514.04,-0.3306
000300.SH,20150115,3604.121,3502.423,2.9036
000300.SH,20150116,3635.146,3604.121,0.8608
000300.SH,20150119,3355.155,3635.146,-7.7023
000300.SH,20150120,3396.222,3355.155,1.224
000300.SH,20150121,3548.885,3396.222,4.4951
000300.SH,20150122,3567.613,3548.885,0.5277
000300.SH,20150123,3571.732,3567.613,0.1155
000300.SH,20150126,3607.985,3571.732,1.015
000300.SH,20150127,3574.931,3607.985,-0.9161
000300.SH,20150128,3525.323,3574.931,-1.3877
000300.SH,20150129,3481.798,3525.323,-1.2346
000300.SH,20150130,3434.39,3481.798,-1.3616
000300.SH,20150202,3353.96,3434.39,-2.3419
000300.SH,20150203,3437.445,3353.96,2.4891
000300.SH,20150204,3401.768,3437.445,-1.0379
000300.SH,20150205,3366.946,3401.768,-1.0236
000300.SH,20150206,3312.42,3366.946,-1.6194
000300.SH,20150209,3345.921,3312.42,1.0114
000300.SH,20150210,3406.943,3345.921,1.8238
000300.SH,20150211,3434.124,3406.943,0.7978
000300.SH,20150212,3442.874,3434.124,0.2548
000300.SH,20150213,3469.828,3442.874,0.7829
000300.SH,20150216,3499.483,3469.828,0.8547
000300.SH,20150217,3522.322,3499.483,0.6526
000300.SH,20150225,3478.729,3522.322,-1.2376
000300.SH,20150226,3566.295,3478.729,2.5172
000300.SH,20150227,3572.843,3566.295,0.1836
000300.SH,20150302,3601.265,3572.843,0.7955
000300.SH,20150303,3507.9,3601.265,-2.5926
000300.SH,20150304,3530.822,3507.9,0.6534
000300.SH,20150305,3496.344,3530.822,-0.9765
000300.SH,20150306,3478.52,3496.344,-0.5098
000300.SH,20150309,3537.75,3478.52,1.7027
000300.SH,20150310,3520.611,3537.75,-0.4845
000300.SH,20150311,3524.653,3520.611,0.1148
000300.SH,20150312,3592.844,3524.653,1.9347
000300.SH,20150313,3617.657,3592.844,0.6906
000300.SH,20150316,3705.671,3617.657,2.4329
000300.SH,20150317,3757.122,3705.671,1.3884
000300.SH,20150318,3846.055,3757.122,2.3671
000300.SH,20150319,3839.739,3846.055,-0.1642
000300.SH,20150320,3892.574,3839.739,1.376
000300.SH,20150323,3972.061,3892.574,2.042
000300.SH,20150324,3973.046,3972.061,0.0248
000300.SH,20150325,3940.412,3973.046,-0.8214
000300.SH,20150326,3949.999,3940.412,0.2433
000300.SH,20150327,3971.697,3949.999,0.5493
000300.SH,20150330,4088.178,3971.697,2.9328
000300.SH,20150331,4051.204,4088.178,-0.9044
000300.SH,20150401,4123.895,4051.204,1.7943
000300.SH,20150402,4124.776,4123.895,0.0214
000300.SH,20150403,4170.538,4124.776,1.1094
000300.SH,20150407,4260.044,4170.538,2.1461
000300.SH,20150408,4295.803,4260.044,0.8394
000300.SH,20150409,4262.138,4295.803,-0.7837
000300.SH,20150410,4344.416,4262.138,1.9304
000300.SH,20150413,4421.073,4344.416,1.7645
000300.SH,20150414,4438.184,4421.073,0.387
000300.SH,20150415,4380.513,4438.184,-1.2994
000300.SH,20150416,4513.546,4380.513,3.0369
000300.SH,20150417,4596.136,4513.546,1.8298
000300.SH,20150420,4521.919,4596.136,-1.6148
000300.SH,20150421,4619.164,4521.919,2.1505
000300.SH,20150422,4739.814,4619.164,2.6119
000300.SH,20150423,4740.892,4739.814,0.0227
000300.SH,20150424,4702.641,4740.892,-0.8068
000300.SH,20150427,4807.592,4702.641,2.2317
000300.SH,20150428,4741.861,4807.592,-1.3672
000300.SH,20150429,4774.326,4741.861,0.6846
000300.SH,20150430,4749.886,4774.326,-0.5119
000300.SH,20150504,4787.741,4749.886,0.797
000300.SH,20150505,4596.837,4787.741,-3.9874
000300.SH,20150506,4553.327,4596.837,-0.9465
000300.SH,20150507,4470.089,4553.327,-1.8281
000300.SH,20150508,4558.404,4470.089,1.9757
000300.SH,20150511,4690.532,4558.404,2.8986
000300.SH,20150512,4747.421,4690.532,1.2128
000300.SH,20150513,4718.436,4747.421,-0.6105
000300.SH,20150514,4700.778,4718.436,-0.3742
000300.SH,20150515,4617.47,4700.778,-1.7722
000300.SH,20150518,4575.14,4617.47,-0.9167
000300.SH,20150519,4731.222,4575.14,3.4115
000300.SH,20150520,4754.919,4731.222,0.5009
000300.SH,20150521,4840.976,4754.919,1.8099
000300.SH,20150522,4951.335,4840.976,2.2797
000300.SH,20150525,5099.495,4951.335,2.9923
000300.SH,20150526,5198.918,5099.495,1.9497
000300.SH,20150527,5181.434,5198.918,-0.3363
000300.SH,20150528,4834.007,5181.434,-6.7052
000300.SH,20150529,4840.829,4834.007,0.1411
000300.SH,20150601,5076.179,4840.829,4.8618
000300.SH,20150602,5161.87,5076.179,1.6881
000300.SH,20150603,5143.59,5161.87,-0.3541
