ts_code,trade_date,close,pct_chg
932368.CSI,20260605,4992.2449,-0.1943
932368.CSI,20260604,5001.9641,-1.7107
932368.CSI,20260603,5089.0244,-0.1175
932368.CSI,20260602,5095.0099,0.388
932368.CSI,20260601,5075.3171,0.4931
932368.CSI,20260529,5050.4134,0.437
932368.CSI,20260528,5028.44,-0.7946
932368.CSI,20260527,5068.7141,-1.2132
932368.CSI,20260526,5130.9634,0.9468
932368.CSI,20260525,5082.8389,-0.6259
932368.CSI,20260522,5114.853,-0.2923
932368.CSI,20260521,5129.8464,-1.973
932368.CSI,20260520,5233.0955,-1.0015
932368.CSI,20260519,5286.0329,0.7762
932368.CSI,20260518,5245.3185,-0.644
932368.CSI,20260515,5279.3177,-1.046
932368.CSI,20260514,5335.1243,-0.911
932368.CSI,20260513,5384.1759,0.221
932368.CSI,20260512,5372.3028,-0.6717
932368.CSI,20260511,5408.6333,0.3903
932368.CSI,20260508,5387.6079,-0.2362
932368.CSI,20260507,5400.3661,-0.9415
932368.CSI,20260506,5451.6954,-0.1866
932368.CSI,20260430,5461.8892,-0.7172
932368.CSI,20260429,5501.3471,1.6942
932368.CSI,20260428,5409.6934,0.4682
932368.CSI,20260427,5384.4832,0.0186
932368.CSI,20260424,5383.4816,-0.3249
932368.CSI,20260423,5401.0285,0.0287
932368.CSI,20260422,5399.4787,-0.2978
932368.CSI,20260421,5415.6073,0.1351
932368.CSI,20260420,5408.3024,-0.314
932368.CSI,20260417,5425.3402,-0.7869
932368.CSI,20260416,5468.3681,0.5897
932368.CSI,20260415,5436.3081,-0.4542
932368.CSI,20260414,5461.1098,0.2061
932368.CSI,20260413,5449.8751,-0.2391
932368.CSI,20260410,5462.9365,0.481
932368.CSI,20260409,5436.7867,-0.3895
932368.CSI,20260408,5458.0474,1.5167
932368.CSI,20260407,5376.5046,0.3535
932368.CSI,20260403,5357.5639,-1.0134
932368.CSI,20260402,5412.4116,-0.4245
932368.CSI,20260401,5435.4836,0.5438
932368.CSI,20260331,5406.0832,-0.904
932368.CSI,20260330,5455.4015,0.0988
932368.CSI,20260327,5450.0195,0.4834
932368.CSI,20260326,5423.8025,-0.7577
932368.CSI,20260325,5465.2139,0.6862
932368.CSI,20260324,5427.9661,1.1308
932368.CSI,20260323,5367.2705,-3.0746
932368.CSI,20260320,5537.5277,-0.7275
932368.CSI,20260319,5578.1112,-1.2391
932368.CSI,20260318,5648.0982,-0.6113
932368.CSI,20260317,5682.8393,-0.8157
932368.CSI,20260316,5729.5738,-1.205
932368.CSI,20260313,5799.455,-1.1729
932368.CSI,20260312,5868.2854,0.8725
932368.CSI,20260311,5817.5271,1.3081
932368.CSI,20260310,5742.4105,-0.7752
932368.CSI,20260309,5787.2734,0.6516
932368.CSI,20260306,5749.8099,0.6102
932368.CSI,20260305,5714.9373,0.7397
932368.CSI,20260304,5672.9758,-0.7017
932368.CSI,20260303,5713.0616,-0.3896
932368.CSI,20260302,5735.405,1.9772
932368.CSI,20260227,5624.2019,0.8084
932368.CSI,20260226,5579.1006,-0.0076
932368.CSI,20260225,5579.5248,0.888
932368.CSI,20260224,5530.4121,2.8661
932368.CSI,20260213,5376.3219,-1.6731
932368.CSI,20260212,5467.8056,-0.1815
932368.CSI,20260211,5477.749,0.8363
932368.CSI,20260210,5432.3162,-0.1771
932368.CSI,20260209,5441.9543,0.9589
932368.CSI,20260206,5390.2664,-0.1343
932368.CSI,20260205,5397.5169,-1.2222
932368.CSI,20260204,5464.2997,1.7308
932368.CSI,20260203,5371.3321,1.5059
932368.CSI,20260202,5291.6438,-3.943
932368.CSI,20260130,5508.8582,-2.5184
932368.CSI,20260129,5651.1787,1.6812
932368.CSI,20260128,5557.741,2.2844
932368.CSI,20260127,5433.6139,-0.5436
932368.CSI,20260126,5463.3106,1.0095
932368.CSI,20260123,5408.7121,0.2223
932368.CSI,20260122,5396.713,0.9522
932368.CSI,20260121,5345.8107,0.3092
932368.CSI,20260120,5329.3322,1.0107
932368.CSI,20260119,5276.0064,1.4936
932368.CSI,20260116,5198.3612,-0.7698
932368.CSI,20260115,5238.6899,0.2093
932368.CSI,20260114,5227.7504,-0.2288
932368.CSI,20260113,5239.7388,0.645
932368.CSI,20260112,5206.158,0.0584
932368.CSI,20260109,5203.1192,0.4697
932368.CSI,20260108,5178.7941,-0.467
