ts_code,trade_date,close,pct_chg
H00300.CSI,20260605,7140.2038,-1.7535
H00300.CSI,20260604,7267.6447,-0.6807
H00300.CSI,20260603,7317.4559,0.4959
H00300.CSI,20260602,7281.3493,1.4536
H00300.CSI,20260601,7177.0223,-0.9751
H00300.CSI,20260529,7247.6968,-0.4255
H00300.CSI,20260528,7278.6698,0.1321
H00300.CSI,20260527,7269.0694,-0.7723
H00300.CSI,20260526,7325.6442,0.5425
H00300.CSI,20260525,7286.1171,1.5805
H00300.CSI,20260522,7172.7519,1.3031
H00300.CSI,20260521,7080.4846,-1.3916
H00300.CSI,20260520,7180.4075,-0.0308
H00300.CSI,20260519,7182.6181,0.4075
H00300.CSI,20260518,7153.466,-0.5345
H00300.CSI,20260515,7191.9059,-1.1087
H00300.CSI,20260514,7272.5355,-1.6744
H00300.CSI,20260513,7396.3818,1.0582
H00300.CSI,20260512,7318.9323,-0.0728
H00300.CSI,20260511,7324.2672,1.6448
H00300.CSI,20260508,7205.7449,-0.5796
H00300.CSI,20260507,7247.7501,0.4801
H00300.CSI,20260506,7213.1175,1.4517
H00300.CSI,20260430,7109.905,-0.0536
H00300.CSI,20260429,7113.7181,1.1011
H00300.CSI,20260428,7036.2401,-0.2629
H00300.CSI,20260427,7054.7855,0.0331
H00300.CSI,20260424,7052.4521,-0.3513
H00300.CSI,20260423,7077.3119,-0.2771
H00300.CSI,20260422,7096.9776,0.7341
H00300.CSI,20260421,7045.2592,0.2267
H00300.CSI,20260420,7029.3208,0.6084
H00300.CSI,20260417,6986.8114,-0.163
H00300.CSI,20260416,6998.2187,1.0962
H00300.CSI,20260415,6922.3337,-0.3364
H00300.CSI,20260414,6945.7004,1.1866
H00300.CSI,20260413,6864.2523,0.2068
H00300.CSI,20260410,6850.0853,1.545
H00300.CSI,20260409,6745.8648,-0.6383
H00300.CSI,20260408,6789.1985,3.4892
H00300.CSI,20260407,6560.2996,-0.0024
H00300.CSI,20260403,6560.4548,-0.8512
H00300.CSI,20260402,6616.7777,-1.0418
H00300.CSI,20260401,6686.4373,1.7082
H00300.CSI,20260331,6574.1353,-0.9328
H00300.CSI,20260330,6636.0359,-0.2359
H00300.CSI,20260327,6651.7247,0.5591
H00300.CSI,20260326,6614.7394,-1.3208
H00300.CSI,20260325,6703.277,1.4022
H00300.CSI,20260324,6610.5852,1.284
H00300.CSI,20260323,6526.7841,-3.263
H00300.CSI,20260320,6746.935,-0.3542
H00300.CSI,20260319,6770.9166,-1.6118
H00300.CSI,20260318,6881.8355,0.4505
H00300.CSI,20260317,6850.9697,-0.7304
H00300.CSI,20260316,6901.3755,0.0518
H00300.CSI,20260313,6897.8017,-0.393
H00300.CSI,20260312,6925.0141,-0.36
H00300.CSI,20260311,6950.0336,0.6362
H00300.CSI,20260310,6906.0987,1.2848
H00300.CSI,20260309,6818.4921,-0.9652
H00300.CSI,20260306,6884.9476,0.2744
H00300.CSI,20260305,6866.1087,0.9792
H00300.CSI,20260304,6799.5298,-1.1442
H00300.CSI,20260303,6878.2287,-1.539
H00300.CSI,20260302,6985.7368,0.3826
H00300.CSI,20260227,6959.1127,-0.3433
H00300.CSI,20260226,6983.0852,-0.1903
H00300.CSI,20260225,6996.3986,0.6021
H00300.CSI,20260224,6954.5288,1.0115
H00300.CSI,20260213,6884.8904,-1.2538
H00300.CSI,20260212,6972.3068,0.1354
H00300.CSI,20260211,6962.8819,-0.2198
H00300.CSI,20260210,6978.2189,0.1123
H00300.CSI,20260209,6970.3893,1.6364
H00300.CSI,20260206,6858.1631,-0.5352
H00300.CSI,20260205,6895.0657,-0.5939
H00300.CSI,20260204,6936.2634,0.8286
H00300.CSI,20260203,6879.2652,1.1752
H00300.CSI,20260202,6799.3621,-2.1324
H00300.CSI,20260130,6947.5141,-0.9946
H00300.CSI,20260129,7017.3076,0.7617
H00300.CSI,20260128,6964.2584,0.2614
H00300.CSI,20260127,6946.1029,-0.027
H00300.CSI,20260126,6947.9807,0.095
H00300.CSI,20260123,6941.3863,-0.4252
H00300.CSI,20260122,6971.027,0.0135
H00300.CSI,20260121,6970.0826,0.0888
H00300.CSI,20260120,6963.8977,-0.329
H00300.CSI,20260119,6986.8862,0.0546
H00300.CSI,20260116,6983.0746,-0.3585
H00300.CSI,20260115,7008.2002,0.2028
H00300.CSI,20260114,6994.0165,-0.3826
H00300.CSI,20260113,7020.8809,-0.6018
H00300.CSI,20260112,7063.3914,0.6567
H00300.CSI,20260109,7017.3105,0.4544
H00300.CSI,20260108,6985.5652,-0.8159
H00300.CSI,20260107,7043.0316,-0.2923
H00300.CSI,20260106,7063.6812,1.5462
H00300.CSI,20260105,6956.1222,1.897
H00300.CSI,20251231,6826.6195,-0.4588
H00300.CSI,20251230,6858.0877,0.2567
H00300.CSI,20251229,6840.5273,-0.3832
H00300.CSI,20251226,6866.8442,0.3167
H00300.CSI,20251225,6845.1635,0.1998
H00300.CSI,20251224,6831.5114,0.2899
H00300.CSI,20251223,6811.767,0.2008
H00300.CSI,20251222,6798.1152,0.951
H00300.CSI,20251219,6734.0711,0.3988
H00300.CSI,20251218,6707.3237,-0.57
H00300.CSI,20251217,6745.7774,1.8477
H00300.CSI,20251216,6623.3943,-1.1964
H00300.CSI,20251215,6703.5962,-0.5989
H00300.CSI,20251212,6743.989,0.6459
H00300.CSI,20251211,6700.7122,-0.8504
H00300.CSI,20251210,6758.1848,-0.1391
H00300.CSI,20251209,6767.5982,-0.5077
H00300.CSI,20251208,6802.1327,0.8118
H00300.CSI,20251205,6747.3569,0.8351
H00300.CSI,20251204,6691.4735,0.3427
H00300.CSI,20251203,6668.6216,-0.5113
H00300.CSI,20251202,6702.8931,-0.484
H00300.CSI,20251201,6735.494,1.1007
H00300.CSI,20251128,6662.1649,0.2521
H00300.CSI,20251127,6645.4112,-0.0492
H00300.CSI,20251126,6648.6826,0.6075
H00300.CSI,20251125,6608.5368,0.9544
H00300.CSI,20251124,6546.0604,-0.1218
H00300.CSI,20251121,6554.0422,-2.435
H00300.CSI,20251120,6717.6157,-0.494
H00300.CSI,20251119,6750.9622,0.44
H00300.CSI,20251118,6721.389,-0.6318
H00300.CSI,20251117,6764.1238,-0.649
H00300.CSI,20251114,6808.3127,-1.5716
H00300.CSI,20251113,6917.0223,1.2089
H00300.CSI,20251112,6834.3991,-0.1283
H00300.CSI,20251111,6843.1784,-0.9134
H00300.CSI,20251110,6906.2611,0.3605
H00300.CSI,20251107,6881.4555,-0.3072
H00300.CSI,20251106,6902.6619,1.4295
H00300.CSI,20251105,6805.3796,0.1869
H00300.CSI,20251104,6792.6823,-0.7441
H00300.CSI,20251103,6843.6027,0.2809
H00300.CSI,20251031,6824.4323,-1.4702
H00300.CSI,20251030,6926.2597,-0.7978
H00300.CSI,20251029,6981.9638,1.1947
H00300.CSI,20251028,6899.5336,-0.4972
H00300.CSI,20251027,6934.0117,1.1923
H00300.CSI,20251024,6852.3139,1.2576
H00300.CSI,20251023,6767.2094,0.3015
H00300.CSI,20251022,6746.8663,-0.3287
H00300.CSI,20251021,6769.1149,1.5354
H00300.CSI,20251020,6666.7545,0.5388
H00300.CSI,20251017,6631.0259,-2.237
H00300.CSI,20251016,6782.7547,0.288
H00300.CSI,20251015,6763.2795,1.5011
H00300.CSI,20251014,6663.2584,-1.1954
H00300.CSI,20251013,6743.8713,-0.4878
H00300.CSI,20251010,6776.9267,-1.9615
H00300.CSI,20251009,6912.5142,1.4823
H00300.CSI,20250930,6811.5474,0.4696
H00300.CSI,20250929,6779.7126,1.5396
H00300.CSI,20250926,6676.9151,-0.9349
H00300.CSI,20250925,6739.9291,0.6061
H00300.CSI,20250924,6699.323,1.035
H00300.CSI,20250923,6630.6952,-0.0625
H00300.CSI,20250922,6634.8407,0.4595
H00300.CSI,20250919,6604.4899,0.0857
H00300.CSI,20250918,6598.8354,-1.1596
H00300.CSI,20250917,6676.254,0.6244
H00300.CSI,20250916,6634.8274,-0.1941
