con_code,weight
001396.SZ,0.0
603334.SH,0.0
603406.SH,0.0
603376.SH,0.0
603370.SH,0.0
603262.SH,0.0
603248.SH,0.0
301575.SZ,0.0
601026.SH,0.0
301449.SZ,0.0
301668.SZ,0.0
001285.SZ,0.0
603092.SH,0.0
603175.SH,0.0
603418.SH,0.0
301632.SZ,0.0
301687.SZ,0.0
001369.SZ,0.0
301584.SZ,0.0
301563.SZ,0.0
001233.SZ,0.0
000786.SZ,0.25
000999.SZ,0.29
002236.SZ,0.34
600522.SH,0.34
601006.SH,0.35
000975.SZ,0.38
601298.SH,0.42
688036.SH,0.45
600219.SH,0.49
600023.SH,0.53
002001.SZ,0.59
000895.SZ,0.62
000876.SZ,0.62
002027.SZ,0.7
600741.SH,0.78
000807.SZ,0.83
600585.SH,0.91
002648.SZ,0.97
600989.SH,0.99
000301.SZ,1.07
000792.SZ,1.11
600406.SH,1.12
600482.SH,1.14
600415.SH,1.16
000568.SZ,1.27
600887.SH,1.33
600031.SH,1.37
000708.SZ,1.51
601225.SH,1.73
600690.SH,1.79
601816.SH,1.84
002415.SZ,1.86
002352.SZ,1.9
000338.SZ,1.94
600050.SH,1.94
601877.SH,1.96
601633.SH,2.25
600019.SH,2.29
000100.SZ,2.4
601600.SH,2.48
301638.SZ,0.0
000333.SZ,4.37
002714.SZ,2.75
603993.SH,2.64
301656.SZ,0.02
601899.SH,4.46
601857.SH,10.39
001280.SZ,0.01
601919.SH,2.95
600930.SH,0.02
001386.SZ,0.0
600938.SH,9.45
601728.SH,5.14
600104.SH,5.77
000651.SZ,5.69
