ts_code,ann_date,end_date,symbol,mkv,amount,stk_mkv_ratio,stk_float_ratio
562080.SH,20260422,20260331,301683.SZ,74617.76,952.0,0.01,0.01
562080.SH,20260422,20260331,301638.SZ,55983.42,2322.0,0.01,0.0
562080.SH,20260422,20260331,301682.SZ,49664.13,501.0,0.01,0.0
562080.SH,20260422,20260331,301696.SZ,53234.76,2157.0,0.01,0.01
562080.SH,20260422,20260331,000333.SZ,28310580.0,370800.0,4.69,0.01
562080.SH,20260422,20260331,002714.SZ,13459817.0,322700.0,2.23,0.01
562080.SH,20260422,20260331,601633.SH,13652934.0,661800.0,2.26,0.01
562080.SH,20260422,20260331,601857.SH,59847365.74,4909546.0,9.91,0.0
562080.SH,20260422,20260331,001280.SZ,173029.23,2277.0,0.03,0.0
562080.SH,20260422,20260331,601919.SH,17076831.97,1137697.0,2.83,0.01
562080.SH,20260422,20260331,600938.SH,50492760.0,1262319.0,8.36,0.04
562080.SH,20260422,20260331,600941.SH,55307963.0,589700.0,9.16,0.07
562080.SH,20260422,20260331,601728.SH,31978233.0,5639900.0,5.3,0.01
562080.SH,20260422,20260331,600104.SH,36898110.0,2529000.0,6.11,0.02
562080.SH,20260422,20260331,000651.SZ,35743682.0,945100.0,5.92,0.02
562080.SH,20260331,20251231,001396.SZ,2441.91,69.0,0.0,0.0
562080.SH,20260331,20251231,603334.SH,2888.16,88.0,0.0,0.0
562080.SH,20260331,20251231,603406.SH,2891.52,72.0,0.0,0.0
562080.SH,20260331,20251231,603376.SH,2909.31,111.0,0.0,0.0
562080.SH,20260331,20251231,603370.SH,3800.7,82.0,0.0,0.0
562080.SH,20260331,20251231,603262.SH,4130.7,147.0,0.0,0.0
562080.SH,20260331,20251231,603248.SH,4238.0,260.0,0.0,0.0
562080.SH,20260331,20251231,301575.SZ,6243.3,126.0,0.0,0.0
562080.SH,20260331,20251231,601026.SH,6440.28,451.0,0.0,0.0
562080.SH,20260331,20251231,301449.SZ,7305.76,112.0,0.0,0.0
562080.SH,20260331,20251231,301668.SZ,7392.0,165.0,0.0,0.0
562080.SH,20260331,20251231,001285.SZ,7682.96,137.0,0.0,0.0
562080.SH,20260331,20251231,603092.SH,8126.36,146.0,0.0,0.0
