index_code,con_code,trade_date,weight
932366.CSI,601857.SH,20250331,10.472
932366.CSI,600938.SH,20250331,10.063
932366.CSI,600941.SH,20250331,9.825
932366.CSI,300750.SZ,20250331,7.027
932366.CSI,000333.SZ,20250331,6.539
932366.CSI,601088.SH,20250331,6.311
932366.CSI,600900.SH,20250331,6.022
932366.CSI,000858.SZ,20250331,4.164
932366.CSI,601919.SH,20250331,3.127
932366.CSI,601225.SH,20250331,2.832
932366.CSI,601633.SH,20250331,1.871
932366.CSI,601600.SH,20250331,1.823
932366.CSI,002714.SZ,20250331,1.769
932366.CSI,601816.SH,20250331,1.765
932366.CSI,601898.SH,20250331,1.653
932366.CSI,002352.SZ,20250331,1.583
932366.CSI,003816.SZ,20250331,1.529
932366.CSI,600690.SH,20250331,1.447
932366.CSI,600887.SH,20250331,1.411
932366.CSI,000725.SZ,20250331,1.34
932366.CSI,603993.SH,20250331,1.197
932366.CSI,000338.SZ,20250331,1.19
932366.CSI,000063.SZ,20250331,1.026
932366.CSI,600482.SH,20250331,0.907
932366.CSI,600406.SH,20250331,0.836
932366.CSI,600031.SH,20250331,0.819
932366.CSI,000708.SZ,20250331,0.753
932366.CSI,002311.SZ,20250331,0.727
932366.CSI,600018.SH,20250331,0.707
932366.CSI,600585.SH,20250331,0.688
932366.CSI,601877.SH,20250331,0.676
932366.CSI,000792.SZ,20250331,0.652
932366.CSI,002027.SZ,20250331,0.638
932366.CSI,000895.SZ,20250331,0.581
932366.CSI,600023.SH,20250331,0.578
932366.CSI,000807.SZ,20250331,0.526
932366.CSI,601888.SH,20250331,0.474
932366.CSI,688009.SH,20250331,0.472
932366.CSI,000983.SZ,20250331,0.461
932366.CSI,002001.SZ,20250331,0.447
932366.CSI,600489.SH,20250331,0.417
932366.CSI,000538.SZ,20250331,0.402
932366.CSI,000786.SZ,20250331,0.372
932366.CSI,600066.SH,20250331,0.333
932366.CSI,000999.SZ,20250331,0.327
932366.CSI,600219.SH,20250331,0.313
932366.CSI,000975.SZ,20250331,0.26
932366.CSI,300628.SZ,20250331,0.222
932366.CSI,002422.SZ,20250331,0.222
932366.CSI,000661.SZ,20250331,0.201
