index_code,con_code,trade_date,weight
932368.CSI,000333.SZ,20250331,10.67
932368.CSI,601857.SH,20250331,10.366
932368.CSI,601088.SH,20250331,10.262
932368.CSI,600938.SH,20250331,10.027
932368.CSI,000858.SZ,20250331,7.704
932368.CSI,601919.SH,20250331,5.785
932368.CSI,601225.SH,20250331,5.239
932368.CSI,601633.SH,20250331,3.462
932368.CSI,601600.SH,20250331,3.373
932368.CSI,601898.SH,20250331,3.058
932368.CSI,600887.SH,20250331,2.611
932368.CSI,600482.SH,20250331,1.677
932368.CSI,600096.SH,20250331,1.488
932368.CSI,002311.SZ,20250331,1.346
932368.CSI,600585.SH,20250331,1.274
932368.CSI,000792.SZ,20250331,1.207
932368.CSI,002027.SZ,20250331,1.181
932368.CSI,600612.SH,20250331,1.072
932368.CSI,000921.SZ,20250331,0.998
932368.CSI,600157.SH,20250331,0.98
932368.CSI,000807.SZ,20250331,0.974
932368.CSI,601168.SH,20250331,0.932
932368.CSI,600517.SH,20250331,0.865
932368.CSI,000983.SZ,20250331,0.853
932368.CSI,601001.SH,20250331,0.734
932368.CSI,603939.SH,20250331,0.728
932368.CSI,000786.SZ,20250331,0.689
932368.CSI,002128.SZ,20250331,0.624
932368.CSI,600295.SH,20250331,0.616
932368.CSI,600863.SH,20250331,0.6
932368.CSI,601156.SH,20250331,0.59
932368.CSI,600219.SH,20250331,0.58
932368.CSI,601958.SH,20250331,0.565
932368.CSI,600754.SH,20250331,0.551
932368.CSI,601880.SH,20250331,0.508
932368.CSI,600380.SH,20250331,0.497
932368.CSI,600873.SH,20250331,0.481
932368.CSI,002120.SZ,20250331,0.474
932368.CSI,600258.SH,20250331,0.457
932368.CSI,000513.SZ,20250331,0.455
932368.CSI,603899.SH,20250331,0.436
932368.CSI,600312.SH,20250331,0.428
932368.CSI,603156.SH,20250331,0.421
932368.CSI,601000.SH,20250331,0.381
932368.CSI,603056.SH,20250331,0.356
932368.CSI,600535.SH,20250331,0.334
932368.CSI,603883.SH,20250331,0.325
932368.CSI,603688.SH,20250331,0.305
932368.CSI,601019.SH,20250331,0.271
932368.CSI,603444.SH,20250331,0.191
