index_code,con_code,trade_date,weight
000300.SH,600519.SH,20241231,4.643
000300.SH,300750.SZ,20241231,3.409
000300.SH,601318.SH,20241231,2.749
000300.SH,600036.SH,20241231,2.36
000300.SH,000333.SZ,20241231,1.784
000300.SH,600900.SH,20241231,1.754
000300.SH,300059.SZ,20241231,1.582
000300.SH,600030.SH,20241231,1.381
000300.SH,601166.SH,20241231,1.352
000300.SH,000858.SZ,20241231,1.318
000300.SH,002594.SZ,20241231,1.242
000300.SH,601899.SH,20241231,1.208
000300.SH,601398.SH,20241231,1.177
000300.SH,002475.SZ,20241231,1.0
000300.SH,600276.SH,20241231,0.994
000300.SH,000651.SZ,20241231,0.988
000300.SH,600887.SH,20241231,0.932
000300.SH,688981.SH,20241231,0.913
000300.SH,601328.SH,20241231,0.888
000300.SH,601816.SH,20241231,0.88
000300.SH,601288.SH,20241231,0.827
000300.SH,000725.SZ,20241231,0.787
000300.SH,300760.SZ,20241231,0.75
000300.SH,600919.SH,20241231,0.699
000300.SH,601088.SH,20241231,0.696
000300.SH,688041.SH,20241231,0.676
000300.SH,603259.SH,20241231,0.668
000300.SH,688256.SH,20241231,0.666
000300.SH,600309.SH,20241231,0.652
000300.SH,000063.SZ,20241231,0.631
000300.SH,300124.SZ,20241231,0.612
000300.SH,601668.SH,20241231,0.606
000300.SH,002371.SZ,20241231,0.604
000300.SH,600000.SH,20241231,0.586
000300.SH,601601.SH,20241231,0.566
000300.SH,601988.SH,20241231,0.563
000300.SH,000001.SZ,20241231,0.551
000300.SH,002415.SZ,20241231,0.55
000300.SH,601728.SH,20241231,0.544
000300.SH,300308.SZ,20241231,0.537
000300.SH,600837.SH,20241231,0.521
000300.SH,300274.SZ,20241231,0.52
000300.SH,600690.SH,20241231,0.518
000300.SH,600941.SH,20241231,0.517
000300.SH,603019.SH,20241231,0.513
000300.SH,002714.SZ,20241231,0.51
000300.SH,600016.SH,20241231,0.497
000300.SH,601766.SH,20241231,0.494
000300.SH,601857.SH,20241231,0.492
000300.SH,600406.SH,20241231,0.491
000300.SH,601127.SH,20241231,0.488
000300.SH,600660.SH,20241231,0.485
000300.SH,601919.SH,20241231,0.48
000300.SH,601985.SH,20241231,0.478
000300.SH,600031.SH,20241231,0.474
000300.SH,600028.SH,20241231,0.473
000300.SH,002352.SZ,20241231,0.471
000300.SH,600104.SH,20241231,0.466
000300.SH,601012.SH,20241231,0.462
000300.SH,000100.SZ,20241231,0.458
000300.SH,000568.SZ,20241231,0.447
000300.SH,601169.SH,20241231,0.442
000300.SH,601229.SH,20241231,0.441
000300.SH,601225.SH,20241231,0.438
000300.SH,601688.SH,20241231,0.437
000300.SH,600809.SH,20241231,0.436
000300.SH,002230.SZ,20241231,0.433
000300.SH,603501.SH,20241231,0.431
000300.SH,300498.SZ,20241231,0.426
000300.SH,601138.SH,20241231,0.414
000300.SH,600050.SH,20241231,0.41
000300.SH,601211.SH,20241231,0.408
000300.SH,688012.SH,20241231,0.4
000300.SH,300502.SZ,20241231,0.397
000300.SH,600150.SH,20241231,0.39
000300.SH,002142.SZ,20241231,0.389
000300.SH,688008.SH,20241231,0.376
000300.SH,603288.SH,20241231,0.371
000300.SH,000338.SZ,20241231,0.361
000300.SH,601818.SH,20241231,0.348
000300.SH,600999.SH,20241231,0.345
000300.SH,002027.SZ,20241231,0.345
000300.SH,603986.SH,20241231,0.344
000300.SH,601628.SH,20241231,0.339
000300.SH,000625.SZ,20241231,0.322
000300.SH,688111.SH,20241231,0.321
000300.SH,000425.SZ,20241231,0.318
000300.SH,601390.SH,20241231,0.318
000300.SH,601888.SH,20241231,0.317
000300.SH,600436.SH,20241231,0.314
000300.SH,600089.SH,20241231,0.312
000300.SH,600048.SH,20241231,0.309
000300.SH,000938.SZ,20241231,0.309
000300.SH,601658.SH,20241231,0.306
000300.SH,002241.SZ,20241231,0.305
000300.SH,000792.SZ,20241231,0.304
000300.SH,600905.SH,20241231,0.303
000300.SH,300033.SZ,20241231,0.3
000300.SH,300015.SZ,20241231,0.3
000300.SH,600938.SH,20241231,0.3
000300.SH,601006.SH,20241231,0.3
000300.SH,600019.SH,20241231,0.299
000300.SH,600438.SH,20241231,0.29
000300.SH,601939.SH,20241231,0.286
000300.SH,600584.SH,20241231,0.284
000300.SH,601600.SH,20241231,0.283
000300.SH,300014.SZ,20241231,0.278
000300.SH,600585.SH,20241231,0.277
