index_code,con_code,trade_date,weight
000300.SH,600519.SH,20250630,4.248
000300.SH,300750.SZ,20250630,3.198
000300.SH,601318.SH,20250630,2.865
000300.SH,600036.SH,20250630,2.729
000300.SH,601166.SH,20250630,1.861
000300.SH,600900.SH,20250630,1.769
000300.SH,000333.SZ,20250630,1.704
000300.SH,601899.SH,20250630,1.541
000300.SH,002594.SZ,20250630,1.442
000300.SH,300059.SZ,20250630,1.403
000300.SH,600030.SH,20250630,1.294
000300.SH,601398.SH,20250630,1.276
000300.SH,600276.SH,20250630,1.112
000300.SH,000858.SZ,20250630,1.107
000300.SH,601211.SH,20250630,1.039
000300.SH,601328.SH,20250630,1.024
000300.SH,000651.SZ,20250630,0.966
000300.SH,601288.SH,20250630,0.901
000300.SH,600887.SH,20250630,0.846
000300.SH,002475.SZ,20250630,0.844
000300.SH,600919.SH,20250630,0.841
000300.SH,688981.SH,20250630,0.841
000300.SH,603259.SH,20250630,0.835
000300.SH,601816.SH,20250630,0.81
000300.SH,600000.SH,20250630,0.782
000300.SH,000725.SZ,20250630,0.703
000300.SH,002371.SZ,20250630,0.68
000300.SH,300760.SZ,20250630,0.654
000300.SH,601088.SH,20250630,0.642
000300.SH,688041.SH,20250630,0.63
000300.SH,300308.SZ,20250630,0.622
000300.SH,601601.SH,20250630,0.616
000300.SH,300502.SZ,20250630,0.605
000300.SH,688256.SH,20250630,0.602
000300.SH,300124.SZ,20250630,0.585
000300.SH,601728.SH,20250630,0.577
000300.SH,601668.SH,20250630,0.572
000300.SH,600016.SH,20250630,0.566
000300.SH,002352.SZ,20250630,0.564
000300.SH,000001.SZ,20250630,0.562
000300.SH,002714.SZ,20250630,0.551
000300.SH,002230.SZ,20250630,0.531
000300.SH,601127.SH,20250630,0.526
000300.SH,603501.SH,20250630,0.522
000300.SH,600031.SH,20250630,0.511
000300.SH,601229.SH,20250630,0.506
000300.SH,000063.SZ,20250630,0.502
000300.SH,603019.SH,20250630,0.494
000300.SH,002415.SZ,20250630,0.491
000300.SH,600309.SH,20250630,0.49
000300.SH,600941.SH,20250630,0.488
000300.SH,601169.SH,20250630,0.485
000300.SH,300274.SZ,20250630,0.472
000300.SH,601857.SH,20250630,0.465
000300.SH,601919.SH,20250630,0.455
000300.SH,688008.SH,20250630,0.45
000300.SH,600690.SH,20250630,0.446
000300.SH,600660.SH,20250630,0.438
000300.SH,601012.SH,20250630,0.437
000300.SH,601688.SH,20250630,0.437
000300.SH,300498.SZ,20250630,0.436
000300.SH,002142.SZ,20250630,0.433
000300.SH,600406.SH,20250630,0.432
000300.SH,600809.SH,20250630,0.413
