index_code,con_code,trade_date,weight
000985.SH,601318.SH,20150630,1.796
000985.SH,600036.SH,20150630,1.25
000985.SH,600016.SH,20150630,1.189
000985.SH,600030.SH,20150630,0.857
000985.SH,601166.SH,20150630,0.798
000985.SH,600000.SH,20150630,0.768
000985.SH,600837.SH,20150630,0.714
000985.SH,601766.SH,20150630,0.681
000985.SH,601328.SH,20150630,0.654
000985.SH,000651.SZ,20150630,0.622
000985.SH,000002.SZ,20150630,0.57
000985.SH,601989.SH,20150630,0.55
000985.SH,601398.SH,20150630,0.518
000985.SH,601668.SH,20150630,0.504
000985.SH,600519.SH,20150630,0.476
000985.SH,600887.SH,20150630,0.469
000985.SH,601988.SH,20150630,0.459
000985.SH,601169.SH,20150630,0.455
000985.SH,601818.SH,20150630,0.432
000985.SH,601288.SH,20150630,0.397
000985.SH,601601.SH,20150630,0.384
000985.SH,601390.SH,20150630,0.379
000985.SH,601006.SH,20150630,0.338
000985.SH,000001.SZ,20150630,0.337
000985.SH,000333.SZ,20150630,0.318
000985.SH,601688.SH,20150630,0.307
000985.SH,300059.SZ,20150630,0.303
000985.SH,600104.SH,20150630,0.302
000985.SH,600028.SH,20150630,0.3
000985.SH,600048.SH,20150630,0.298
000985.SH,000166.SZ,20150630,0.293
000985.SH,600900.SH,20150630,0.287
000985.SH,600795.SH,20150630,0.277
000985.SH,601939.SH,20150630,0.277
000985.SH,002024.SZ,20150630,0.274
000985.SH,600015.SH,20150630,0.274
000985.SH,000776.SZ,20150630,0.271
000985.SH,600050.SH,20150630,0.251
000985.SH,600999.SH,20150630,0.249
000985.SH,000858.SZ,20150630,0.243
000985.SH,600011.SH,20150630,0.238
000985.SH,000768.SZ,20150630,0.234
000985.SH,601377.SH,20150630,0.23
000985.SH,600637.SH,20150630,0.224
000985.SH,600570.SH,20150630,0.224
000985.SH,601857.SH,20150630,0.223
000985.SH,002415.SZ,20150630,0.221
000985.SH,600518.SH,20150630,0.221
000985.SH,000725.SZ,20150630,0.214
000985.SH,600276.SH,20150630,0.212
000985.SH,601628.SH,20150630,0.211
000985.SH,600705.SH,20150630,0.21
000985.SH,600029.SH,20150630,0.207
000985.SH,601336.SH,20150630,0.206
000985.SH,600010.SH,20150630,0.205
000985.SH,600886.SH,20150630,0.204
000985.SH,601901.SH,20150630,0.198
000985.SH,000917.SZ,20150630,0.197
000985.SH,601899.SH,20150630,0.196
000985.SH,000100.SZ,20150630,0.195
000985.SH,601186.SH,20150630,0.195
