index_code,con_code,trade_date,weight
932366.CSI,600941.SH,20250430,10.506
932366.CSI,601857.SH,20250430,10.41
932366.CSI,600938.SH,20250430,9.915
932366.CSI,300750.SZ,20250430,6.577
932366.CSI,600900.SH,20250430,6.533
932366.CSI,601088.SH,20250430,6.446
932366.CSI,000333.SZ,20250430,6.272
932366.CSI,000858.SZ,20250430,4.173
932366.CSI,601919.SH,20250430,3.156
932366.CSI,601225.SH,20250430,2.803
932366.CSI,601816.SH,20250430,1.882
932366.CSI,002714.SZ,20250430,1.853
932366.CSI,601898.SH,20250430,1.708
932366.CSI,601633.SH,20250430,1.656
932366.CSI,002352.SZ,20250430,1.634
932366.CSI,601600.SH,20250430,1.599
932366.CSI,600887.SH,20250430,1.529
932366.CSI,003816.SZ,20250430,1.516
932366.CSI,600690.SH,20250430,1.342
932366.CSI,000725.SZ,20250430,1.268
932366.CSI,603993.SH,20250430,1.138
932366.CSI,000338.SZ,20250430,1.127
932366.CSI,000063.SZ,20250430,0.979
932366.CSI,600482.SH,20250430,0.899
932366.CSI,600406.SH,20250430,0.864
932366.CSI,600031.SH,20250430,0.829
932366.CSI,002311.SZ,20250430,0.826
932366.CSI,000708.SZ,20250430,0.731
932366.CSI,600585.SH,20250430,0.698
932366.CSI,600018.SH,20250430,0.679
932366.CSI,002027.SZ,20250430,0.67
932366.CSI,601877.SH,20250430,0.654
932366.CSI,000792.SZ,20250430,0.645
932366.CSI,000895.SZ,20250430,0.551
932366.CSI,600023.SH,20250430,0.544
932366.CSI,601888.SH,20250430,0.51
932366.CSI,000807.SZ,20250430,0.472
932366.CSI,002001.SZ,20250430,0.451
932366.CSI,000983.SZ,20250430,0.44
932366.CSI,688009.SH,20250430,0.437
932366.CSI,000538.SZ,20250430,0.414
932366.CSI,600489.SH,20250430,0.413
932366.CSI,000786.SZ,20250430,0.367
932366.CSI,600066.SH,20250430,0.344
932366.CSI,000999.SZ,20250430,0.326
932366.CSI,600219.SH,20250430,0.307
932366.CSI,000975.SZ,20250430,0.281
932366.CSI,002422.SZ,20250430,0.255
932366.CSI,300628.SZ,20250430,0.185
932366.CSI,000661.SZ,20250430,0.185
