ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000829.SZ,20150105,7.83,8.04,7.82,7.97,7.83,0.13999999999999968,1.79,137864.14,111929.6705
000829.SZ,20150106,7.96,8.19,7.87,8.15,7.97,0.1800000000000006,2.26,151703.59,125040.0951
000829.SZ,20150107,8.27,8.35,8.07,8.12,8.15,-0.030000000000001137,-0.37,135134.22,113697.8112
000829.SZ,20150108,8.12,8.21,8.01,8.07,8.12,-0.049999999999998934,-0.62,105926.99,87945.1226
000829.SZ,20150109,8.08,8.18,7.95,7.96,8.07,-0.11000000000000032,-1.36,96569.56,80041.4427
000829.SZ,20150112,7.9,7.92,7.79,7.87,7.96,-0.08999999999999986,-1.13,85168.64,68560.8949
000829.SZ,20150113,7.88,8.07,7.83,8.03,7.87,0.15999999999999925,2.03,82059.51,67188.0853
000829.SZ,20150114,8.04,8.11,7.95,7.95,8.03,-0.07999999999999918,-1.0,64162.54,52844.2664
000829.SZ,20150115,7.99,8.07,7.97,8.0,7.95,0.04999999999999982,0.63,69006.99,56755.5184
000829.SZ,20150116,8.11,8.46,8.04,8.29,8.0,0.28999999999999915,3.62,230033.29,195022.3354
000829.SZ,20150119,8.09,8.27,7.75,7.93,8.29,-0.35999999999999943,-4.34,157205.1,130323.5687
000829.SZ,20150120,7.99,8.41,7.99,8.32,7.93,0.39000000000000057,4.92,194450.95,163892.6631
000829.SZ,20150121,8.34,8.5,8.29,8.41,8.32,0.08999999999999986,1.08,186328.41,160935.1519
000829.SZ,20150122,8.42,8.52,8.41,8.46,8.41,0.05000000000000071,0.59,142712.22,123838.9343
000829.SZ,20150123,8.47,8.48,8.3,8.31,8.46,-0.15000000000000036,-1.77,117675.35,100980.5383
000829.SZ,20150126,8.31,8.64,8.3,8.55,8.31,0.2400000000000002,2.89,175379.47,152478.5531
000829.SZ,20150127,8.56,8.65,8.38,8.57,8.55,0.019999999999999574,0.23,171555.27,150259.0374
000829.SZ,20150128,8.54,8.65,8.48,8.52,8.57,-0.05000000000000071,-0.58,137154.35,120309.6336
000829.SZ,20150129,8.46,8.63,8.4,8.48,8.52,-0.03999999999999915,-0.47,132699.29,116152.4498
000829.SZ,20150130,8.43,8.51,8.24,8.25,8.48,-0.23000000000000043,-2.71,143189.89,122601.0471
000829.SZ,20150202,7.43,7.65,7.42,7.52,8.25,-0.7300000000000004,-8.85,399152.6,307733.1153
000829.SZ,20150203,7.49,7.75,7.47,7.67,7.52,0.15000000000000036,1.99,216785.5,168962.9434
000829.SZ,20150204,7.67,7.69,7.53,7.57,7.67,-0.09999999999999964,-1.3,184833.59,143874.5273
000829.SZ,20150205,7.62,7.72,7.55,7.57,7.57,0.0,0.0,184369.25,144159.8275
000829.SZ,20150206,7.51,7.57,7.33,7.35,7.57,-0.22000000000000064,-2.91,147710.74,112576.3098
000829.SZ,20150209,7.35,7.67,7.31,7.54,7.35,0.1900000000000004,2.59,155921.11,119939.5111
000829.SZ,20150210,7.48,7.67,7.43,7.59,7.54,0.04999999999999982,0.66,125165.97,96856.2174
000829.SZ,20150211,7.57,7.86,7.55,7.75,7.59,0.16000000000000014,2.11,179792.69,142919.3656
000829.SZ,20150212,7.82,8.53,7.75,8.53,7.75,0.7799999999999994,10.06,419509.11,354707.2074
000829.SZ,20150213,8.8,8.91,8.54,8.66,8.53,0.13000000000000078,1.52,756552.28,678389.8997
000829.SZ,20150216,8.75,8.87,8.56,8.78,8.66,0.11999999999999922,1.39,477446.86,429327.8524
000829.SZ,20150217,8.77,8.81,8.61,8.73,8.78,-0.049999999999998934,-0.57,289763.83,259040.9209
000829.SZ,20150225,8.8,9.22,8.71,8.84,8.73,0.10999999999999943,1.26,405115.73,372598.2244
000829.SZ,20150226,8.84,8.85,8.64,8.76,8.84,-0.08000000000000007,-0.9,236424.74,211706.351
000829.SZ,20150227,8.76,9.11,8.71,8.97,8.76,0.21000000000000085,2.4,354429.25,325620.1562
000829.SZ,20150302,8.93,9.54,8.88,9.36,8.97,0.3899999999999988,4.35,733776.14,699123.6077
000829.SZ,20150303,9.27,9.65,9.2,9.27,9.36,-0.08999999999999986,-0.96,613237.83,593782.7626
000829.SZ,20150304,9.22,9.81,9.14,9.77,9.27,0.5,5.39,711341.07,699864.9388
000829.SZ,20150305,9.9,10.74,9.9,10.74,9.77,0.9700000000000006,9.93,1073544.53,1146522.1843
000829.SZ,20150306,11.19,11.19,10.14,10.53,10.74,-0.21000000000000085,-1.96,1166396.89,1276275.4675
000829.SZ,20150309,10.38,11.58,10.33,11.2,10.53,0.6699999999999999,6.36,1174801.95,1356167.7453
000829.SZ,20150310,10.94,12.09,10.86,11.4,11.2,0.20000000000000107,1.79,1001250.46,1165678.351
000829.SZ,20150311,11.32,11.7,11.06,11.21,11.4,-0.1899999999999995,-1.67,595486.94,692038.3521
000829.SZ,20150312,11.48,11.98,11.02,11.37,11.21,0.15999999999999837,1.43,732621.85,861206.8605
000829.SZ,20150313,11.25,12.05,11.06,11.95,11.37,0.5800000000000001,5.1,788220.9,941002.1563
000829.SZ,20150316,12.23,13.15,12.23,13.15,11.95,1.200000000000001,10.04,792132.97,1053345.5115
000829.SZ,20150317,13.43,14.0,12.83,13.1,13.15,-0.05000000000000071,-0.38,1080182.67,1489640.1604
000829.SZ,20150318,13.16,14.23,13.02,14.02,13.1,0.9199999999999999,7.02,763855.99,1070358.6639
000829.SZ,20150319,13.98,14.32,13.53,13.65,14.02,-0.3699999999999992,-2.64,598851.56,849918.2883
