ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600141.SH,20150106,40.91,43.39,40.67,41.24,39.46,1.7800000000000011,4.51,316341.67,510503.13
600141.SH,20150107,41.06,42.67,40.6,42.28,41.24,1.0399999999999991,2.52,219106.44,353365.907
600141.SH,20150108,42.3,42.98,41.45,41.89,42.28,-0.39000000000000057,-0.92,163492.31,265757.565
600141.SH,20150109,41.63,41.81,40.26,40.39,41.89,-1.5,-3.58,138512.4,219756.781
600141.SH,20150112,40.13,40.13,38.37,38.55,40.39,-1.8400000000000034,-4.56,142544.84,214451.122
600141.SH,20150113,38.6,39.33,38.47,39.25,38.55,0.7000000000000028,1.82,81525.12,122162.518
600141.SH,20150114,39.25,39.84,38.47,38.76,39.25,-0.490000000000002,-1.25,86394.47,130692.888
600141.SH,20150115,38.76,39.61,38.71,39.53,38.76,0.7700000000000031,1.99,77788.56,118049.175
600141.SH,20150116,39.64,39.79,38.71,39.15,39.53,-0.38000000000000256,-0.96,115950.34,175520.188
600141.SH,20150119,38.11,38.21,35.78,36.3,39.15,-2.8500000000000014,-7.28,141178.07,202881.625
600141.SH,20150120,36.76,37.44,36.58,37.36,36.3,1.0600000000000023,2.92,93201.31,133511.687
600141.SH,20150121,37.46,38.73,37.36,38.6,37.36,1.240000000000002,3.32,112534.8,165935.998
600141.SH,20150122,38.42,38.78,37.93,38.71,38.6,0.10999999999999943,0.28,120007.83,178020.277
600141.SH,20150123,38.71,38.96,37.85,38.03,38.71,-0.6799999999999997,-1.76,101287.1,149869.164
600141.SH,20150126,38.03,39.28,38.03,39.22,38.03,1.1899999999999977,3.13,144090.47,215577.749
600141.SH,20150127,40.72,41.11,40.03,40.91,39.22,1.6899999999999977,4.31,336423.56,527738.314
600141.SH,20150128,40.91,40.91,40.16,40.18,40.91,-0.7299999999999969,-1.78,125227.07,195511.268
600141.SH,20150129,39.79,40.03,38.99,39.2,40.18,-0.9799999999999969,-2.44,120566.67,183747.564
600141.SH,20150130,39.38,40.7,39.12,40.08,39.2,0.8799999999999955,2.24,155968.7,241148.781
600141.SH,20150202,39.77,40.6,39.46,39.95,40.08,-0.12999999999999545,-0.32,113926.78,176579.759
600141.SH,20150203,39.87,40.21,39.17,39.95,39.95,0.0,0.0,111956.22,171539.312
600141.SH,20150204,40.03,40.13,38.94,38.99,39.95,-0.9600000000000009,-2.4,98403.35,150599.204
600141.SH,20150205,39.43,39.66,37.88,37.9,38.99,-1.0900000000000034,-2.8,128706.19,191518.176
600141.SH,20150206,37.9,38.65,37.41,37.64,37.9,-0.259999999999998,-0.69,60127.63,88179.658
600141.SH,20150209,37.75,37.98,37.41,37.9,37.64,0.259999999999998,0.69,41657.44,60807.082
600141.SH,20150210,37.9,38.19,37.64,38.16,37.9,0.259999999999998,0.69,55003.55,80487.053
600141.SH,20150211,38.52,38.52,37.75,37.85,38.16,-0.30999999999999517,-0.81,63986.95,94064.747
600141.SH,20150212,37.95,38.45,37.88,38.34,37.85,0.490000000000002,1.29,50086.04,73902.799
600141.SH,20150213,38.32,39.35,38.32,39.02,38.34,0.6799999999999997,1.77,108749.43,163592.134
600141.SH,20150216,38.91,39.82,38.91,39.59,39.02,0.5700000000000003,1.46,88233.84,134510.942
600141.SH,20150217,40.54,43.44,40.54,41.97,39.59,2.3799999999999955,6.01,292530.78,473529.056
600141.SH,20150225,41.94,42.74,41.48,41.86,41.97,-0.10999999999999943,-0.26,197945.13,322059.094
600141.SH,20150226,41.86,42.28,41.04,42.25,41.86,0.39000000000000057,0.93,155873.46,250389.332
600141.SH,20150227,42.28,42.28,41.68,41.81,42.25,-0.4399999999999977,-1.04,104758.17,169629.343
