ZZ800 X版 排名池 — 2026-06-15 — 共338只
=====================================================================================
排名    名称         代码            FCF/EV   FCF(亿)    PQ 行业
-------------------------------------------------------------------------------------
1     健康元        600380.SH      20.2%    31.2  0.01 医药卫生
2     大参林        603233.SH      16.2%    48.7  0.13 医药卫生
3     东航物流       601156.SH      16.1%    44.4  0.07 工业
4     天能股份       688819.SH      14.9%    49.5  0.10 工业
5     正泰电器       601877.SH      14.4%   212.1  0.10 工业
6     吉比特        603444.SH      13.2%    27.9  0.03 信息技术
7     格力电器       000651.SZ      12.9%   446.7  0.03 可选消费
8     辽港股份       601880.SH      12.2%    51.9  0.06 工业
9     中国动力       600482.SH      11.3%   102.2  0.07 其他
10    中信特钢       000708.SZ      11.3%   138.7  0.07 原材料
11    长城汽车       601633.SH      11.3%   288.5  0.13 可选消费
12    五粮液        000858.SZ      11.2%   277.4  0.09 主要消费
13    小商品城       600415.SH      11.1%    83.5  0.12 其他
14    海澜之家       600398.SH      11.0%    40.5  0.05 可选消费
15    吉祥航空       603885.SH      11.0%    66.4  0.11 其他
16    中集集团       000039.SZ      11.0%   138.0  0.09 工业
17    广深铁路       601333.SH      10.6%    27.8  0.05 工业
18    智飞生物       300122.SZ      10.5%    45.5  0.71 医药卫生
19    隆鑫通用       603766.SH      10.4%    25.5  0.05 可选消费
20    中谷物流       603565.SH      10.3%    25.3  0.01 工业
21    神火股份       000933.SZ      10.3%    78.8  0.04 原材料
22    中国铝业       601600.SH      10.0%   248.5  0.04 原材料
23    康弘药业       002773.SZ       9.8%    12.4  0.01 医药卫生
24    浙江龙盛       600352.SH       9.6%    55.7  0.05 原材料
25    云天化        600096.SH       9.6%    68.0  0.05 原材料
26    丽珠集团       000513.SZ       9.6%    25.7  0.01 医药卫生
27    首钢股份       000959.SZ       9.3%    77.8  0.05 原材料
28    万辰集团       300972.SZ       9.2%    35.5  0.04 主要消费
29    TCL科技      000100.SZ       9.1%   277.4  0.12 信息技术
30    山东出版       601019.SH       9.0%    13.7  0.02 可选消费
31    珀莱雅        603605.SH       8.9%    20.2  0.04 可选消费
32    许继电气       000400.SZ       8.8%    24.2  0.05 工业
33    分众传媒       002027.SZ       8.8%    70.5  0.16 可选消费
34    春风动力       603129.SH       8.7%    32.1  0.11 可选消费
35    恒力石化       600346.SH       8.5%   240.1  0.08 能源
36    南山铝业       600219.SH       8.5%    35.5  0.01 原材料
37    君正集团       601216.SH       8.4%    41.3  0.04 原材料
38    晋控煤业       601001.SH       8.3%    22.0 -0.01 能源
39    云铝股份       000807.SZ       8.3%    77.9 -0.00 原材料
