rebalance_date,end_date,nav,period_return_pct,n_valid
2016-06-13,2016-09-12,1.1049,10.49,50
2016-09-12,2016-12-12,1.2396,12.19,50
2016-12-12,2017-03-13,1.2857,3.72,50
2017-03-13,2017-06-12,1.466,14.02,50
2017-06-12,2017-09-11,1.5145,3.31,50
2017-09-11,2017-12-11,1.6526,9.12,50
2017-12-11,2018-03-12,1.687,2.08,50
2018-03-12,2018-06-11,1.6307,-3.34,50
2018-06-11,2018-09-17,1.5158,-7.04,50
2018-09-17,2018-12-17,1.5098,-0.4,50
2018-12-17,2019-03-11,1.6692,10.56,50
2019-03-11,2019-06-17,1.6086,-3.63,50
2019-06-17,2019-09-16,1.6787,4.35,50
2019-09-16,2019-12-16,1.6602,-1.1,50
2019-12-16,2020-03-16,1.4977,-9.79,50
2020-03-16,2020-06-15,1.4674,-2.02,50
2020-06-15,2020-09-14,1.7464,19.02,50
2020-09-14,2020-12-14,1.8054,3.38,50
2020-12-14,2021-03-15,2.0016,10.87,50
2021-03-15,2021-06-14,1.9958,-0.29,50
2021-06-14,2021-09-13,2.3198,16.24,50
2021-09-13,2021-12-13,2.1944,-5.41,50
2021-12-13,2022-03-14,2.0797,-5.23,50
2022-03-14,2022-06-13,2.1909,5.35,50
2022-06-13,2022-09-12,2.2378,2.14,50
2022-09-12,2022-12-12,2.2513,0.6,50
2022-12-12,2023-03-13,2.4645,9.47,50
2023-03-13,2023-06-12,2.5231,2.38,50
2023-06-12,2023-09-11,2.6068,3.32,50
2023-09-11,2023-12-11,2.4664,-5.38,50
2023-12-11,2024-03-11,2.8924,17.27,50
2024-03-11,2024-06-17,3.0372,5.01,50
2024-06-17,2024-09-16,2.8447,-6.34,50
2024-09-16,2024-12-16,3.3194,16.69,50
2024-12-16,2025-03-17,3.2179,-3.06,50
2025-03-17,2025-06-16,3.3051,2.71,50
2025-06-16,2025-09-15,3.6728,11.13,50
2025-09-15,2025-12-15,3.7821,2.97,50
2025-12-15,2026-03-16,4.1586,9.95,50
2026-03-16,2026-06-04,3.9397,-5.26,50
