rank,ts_code,name,fcf_yield,fcf_1e8,ev_1e8,profit_quality,weight,industry,sector
1,600941.SH,中国移动,19.42%,1130.0,5817.5,0.0592,10.00%,电信运营,电信业务
2,601857.SH,中国石油,7.67%,1598.3,20846.5,0.0713,10.00%,石油开采,能源
3,600938.SH,中国海油,44.08%,1083.5,2458.3,0.0365,9.76%,石油开采,能源
4,300750.SZ,宁德时代,6.57%,796.4,12112.6,0.0607,7.18%,电气设备,工业
5,601088.SH,中国神华,11.32%,664.0,5866.9,0.0151,5.98%,煤炭开采,能源
6,000333.SZ,美的集团,9.79%,661.7,6759.6,0.0505,5.96%,家用电器,可选消费
7,600900.SH,长江电力,6.61%,655.7,9915.7,0.0607,5.91%,水力发电,公用事业
8,000858.SZ,五粮液,11.13%,470.2,4225.3,0.0251,4.24%,白酒,主要消费
9,601919.SH,中远海控,16.33%,331.0,2026.4,-0.0018,2.98%,水运,工业
10,601225.SH,陕西煤业,13.99%,309.0,2208.3,0.0131,2.78%,煤炭开采,能源
11,000651.SZ,格力电器,7.05%,255.7,3627.9,-0.0162,2.30%,家用电器,可选消费
12,601600.SH,中国铝业,11.58%,212.8,1836.4,0.0409,1.92%,铝,原材料
13,601633.SH,长城汽车,8.36%,199.2,2384.4,0.0984,1.80%,汽车整车,可选消费
14,601816.SH,京沪高铁,6.03%,196.1,3251.1,0.0129,1.77%,铁路,工业
15,002714.SZ,牧原股份,8.12%,190.4,2345.2,0.1180,1.72%,农业综合,主要消费
16,601898.SH,中煤能源,10.79%,188.1,1743.8,0.0295,1.69%,煤炭开采,能源
17,002352.SZ,顺丰控股,5.92%,172.9,2921.8,0.0724,1.56%,仓储物流,工业
18,600029.SH,南方航空,5.28%,170.7,3235.1,0.1047,1.54%,空运,其他
19,600690.SH,海尔智家,6.00%,158.7,2646.4,0.0150,1.43%,家用电器,可选消费
20,000725.SZ,京东方Ａ,5.30%,158.8,2999.3,0.1064,1.43%,元器件,信息技术
21,600887.SH,伊利股份,7.19%,153.7,2139.2,0.0479,1.39%,乳制品,主要消费
22,603993.SH,洛阳钼业,6.59%,137.5,2086.8,-0.0123,1.24%,小金属,其他
23,000876.SZ,新希望,11.14%,133.3,1197.4,0.0904,1.20%,饲料,其他
24,000338.SZ,潍柴动力,5.54%,132.6,2391.9,0.0141,1.19%,汽车配件,可选消费
25,000063.SZ,中兴通讯,5.42%,124.7,2301.3,0.0296,1.12%,通信设备,电信业务
26,600482.SH,中国动力,14.34%,104.1,726.2,0.0901,0.94%,船舶,其他
27,000708.SZ,中信特钢,6.61%,82.7,1251.7,0.0301,0.75%,特种钢,原材料
28,002311.SZ,海大集团,7.64%,81.6,1068.4,0.1187,0.74%,饲料,其他
29,600585.SH,海螺水泥,10.13%,76.7,757.1,0.0484,0.69%,水泥,原材料
30,601877.SH,正泰电器,6.12%,76.3,1247.1,0.0210,0.69%,电气设备,工业
31,000792.SZ,盐湖股份,8.67%,72.7,838.8,0.0322,0.66%,农药化肥,原材料
32,002027.SZ,分众传媒,6.85%,66.7,973.6,0.0438,0.60%,广告包装,可选消费
33,000895.SZ,双汇发展,6.15%,64.4,1047.1,0.0446,0.58%,食品,主要消费
34,000807.SZ,云铝股份,9.43%,62.6,664.3,-0.0079,0.56%,铝,原材料
35,600023.SH,浙能电力,5.06%,60.6,1198.8,0.0392,0.55%,火力发电,公用事业
36,601888.SH,中国中免,5.22%,53.9,1032.3,-0.0103,0.49%,旅游服务,其他
37,688009.SH,中国通号,5.56%,53.6,965.5,0.0157,0.48%,运输设备,工业
38,000983.SZ,山西焦煤,8.96%,51.4,573.4,0.0063,0.46%,煤炭开采,能源
39,002001.SZ,新和成,6.64%,48.6,731.8,0.0371,0.44%,化学制药,医药卫生
40,002271.SZ,东方雨虹,10.88%,46.4,426.7,0.0983,0.42%,其他建材,原材料
41,000786.SZ,北新建材,7.38%,43.0,582.2,0.0298,0.39%,其他建材,原材料
42,600489.SH,中金黄金,5.47%,42.0,766.6,0.0162,0.38%,黄金,其他
43,600219.SH,南山铝业,10.62%,35.9,337.7,-0.0059,0.32%,铝,原材料
44,000999.SZ,华润三九,5.85%,35.8,611.6,-0.0011,0.32%,中成药,医药卫生
45,600066.SH,宇通客车,5.20%,35.8,689.5,0.0200,0.32%,汽车整车,可选消费
46,601699.SH,潞安环能,5.14%,29.3,571.3,-0.0288,0.26%,煤炭开采,能源
47,000975.SZ,山金国际,5.87%,25.6,435.7,0.0126,0.23%,黄金,其他
48,300628.SZ,亿联网络,8.34%,24.5,293.7,-0.0117,0.22%,通信设备,电信业务
49,002422.SZ,科伦药业,5.02%,24.1,480.1,-0.0132,0.22%,化学制药,医药卫生
50,000661.SZ,长春高新,5.98%,22.2,371.4,0.0000,0.20%,生物制药,医药卫生
